Data from Philips_2700K_7,3W_1535Lumen_250ms_1__0__15-14-47-545.txt Node

Date: Thu Dec 18 15:14:47 CET 2025
User: Stefan
Spectrometer: ?
Trigger mode: 0
Integration Time (sec): 2,500000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
Wavelength [nm]	Power [W]
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	1.48036373318594e-10
427	1.18381576232075e-10
428	1.42571685607917e-10
429	2.48502943400805e-10
430	2.34826774775204e-10
431	2.47388875913837e-10
432	2.82696830506552e-10
433	3.34471693967465e-10
434	2.95494329537922e-10
435	3.76801218202694e-10
436	3.65300800726613e-10
437	3.84381253873374e-10
438	3.88143377435907e-10
439	4.5529372626397e-10
440	4.48949666284086e-10
441	4.43816200707363e-10
442	4.79201914938223e-10
443	5.60344302917307e-10
444	5.50331971057449e-10
445	5.92753656483786e-10
446	5.85254421344477e-10
447	6.8394060320503e-10
448	6.76771241356583e-10
449	8.07321634272194e-10
450	8.87984112935642e-10
451	9.85368965212485e-10
452	8.58961948746068e-10
453	8.99848175291959e-10
454	9.17218899297965e-10
455	9.09727078175858e-10
456	8.53342397986905e-10
457	8.08983297763747e-10
458	8.09801981249925e-10
459	6.88740007400952e-10
460	6.23994890393305e-10
461	5.70156443083665e-10
462	5.38320700129599e-10
463	4.7956422930636e-10
464	4.83561404909099e-10
465	4.42048785063228e-10
466	4.03676550856724e-10
467	4.33486256532219e-10
468	3.87123528410256e-10
469	3.79714678613232e-10
470	3.69838881550637e-10
471	3.48539222765874e-10
472	3.43487941579883e-10
473	3.20353218876604e-10
474	3.12020897073063e-10
475	3.07326924636617e-10
476	2.72580363042225e-10
477	2.60542011100086e-10
478	2.63696306612392e-10
479	2.47808274121957e-10
480	2.37109992516561e-10
481	2.59903541846021e-10
482	2.3865423312859e-10
483	2.36955457323955e-10
484	2.50303251234715e-10
485	2.52719338548432e-10
486	2.53364718808404e-10
487	2.71849081229047e-10
488	2.82589157700284e-10
489	2.96608111912121e-10
490	2.91698308522477e-10
491	3.09350333230129e-10
492	3.21132867280467e-10
493	3.36626133401249e-10
494	3.60623053279794e-10
495	3.67464354497866e-10
496	4.04913198213425e-10
497	4.18643918227719e-10
498	4.3984439453932e-10
499	4.74768529935994e-10
500	5.23260342645121e-10
501	5.43672693497125e-10
502	5.62428234180808e-10
503	6.18364602031122e-10
504	6.74735663181009e-10
505	7.0144135654615e-10
506	7.53042040164713e-10
507	7.50112443086761e-10
508	8.09527788391e-10
509	8.3932048704094e-10
510	8.84696886719048e-10
511	9.0759891344851e-10
512	9.57469101207503e-10
513	9.88564349662425e-10
514	1.04519874298597e-09
515	1.0692665290709e-09
516	1.1003677236455e-09
517	1.13137861263536e-09
518	1.14151524073476e-09
519	1.18090639106256e-09
520	1.19803449111298e-09
521	1.24950970895235e-09
522	1.28397581846361e-09
523	1.33301935417827e-09
524	1.36224067623426e-09
525	1.38080757082514e-09
526	1.35317282206697e-09
527	1.38756396556326e-09
528	1.40824009696843e-09
529	1.45700914094233e-09
530	1.43027714596404e-09
531	1.47112482733657e-09
532	1.47518649281222e-09
533	1.53586461132652e-09
534	1.56560687656667e-09
535	1.54450026135309e-09
536	1.56767815075648e-09
537	1.56248288583084e-09
538	1.57498786134994e-09
539	1.59005436034884e-09
540	1.64072780985838e-09
541	1.6504720826927e-09
542	1.66686144402591e-09
543	1.64506847303207e-09
544	1.68720346625095e-09
