[[DESCRIPTION]]
CPB_SE5_11_5P_A1_5G_SUN

[[ANALYSIS]]
EFF      	3.35	%
FF        	52.9	%
Voc      	1232.4	mV
Jsc       	5.15	mA/cm2
Vmax   	810.0	mV
Jmax    	4.14	mA/cm2
Isc        	0.000463	A
Rsc       	41825	Ohm
Roc      	742.13	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001101E-01	-4.598026E-04	+2.099707E+01	2PT  
-1.901648E-01	-4.603929E-04	+2.087695E+01	2PT  
-1.800679E-01	-4.606339E-04	+2.075879E+01	2PT  
-1.701831E-01	-4.608610E-04	+2.064160E+01	2PT  
-1.602019E-01	-4.602165E-04	+2.052539E+01	2PT  
-1.501808E-01	-4.609414E-04	+2.040332E+01	2PT  
-1.401494E-01	-4.608557E-04	+2.028516E+01	2PT  
-1.301500E-01	-4.607046E-04	+2.016309E+01	2PT  
-1.201990E-01	-4.612298E-04	+2.004590E+01	2PT  
-1.101649E-01	-4.611855E-04	+1.992871E+01	2PT  
-1.001963E-01	-4.616055E-04	+1.981152E+01	2PT  
-9.004901E-02	-4.617065E-04	+1.969336E+01	2PT  
-8.014543E-02	-4.617413E-04	+1.957617E+01	2PT  
-7.012935E-02	-4.621639E-04	+1.945801E+01	2PT  
-6.004684E-02	-4.621486E-04	+1.934082E+01	2PT  
-5.012094E-02	-4.623773E-04	+1.922266E+01	2PT  
-3.999753E-02	-4.622608E-04	+1.910645E+01	2PT  
-3.008085E-02	-4.628413E-04	+1.899023E+01	2PT  
-2.004739E-02	-4.629439E-04	+1.886816E+01	2PT  
-1.000565E-02	-4.632251E-04	+1.875195E+01	2PT  
+6.986834E-05	-4.631031E-04	+1.863477E+01	2PT  
+1.013603E-02	-4.637129E-04	+1.851172E+01	2PT  
+2.007673E-02	-4.636187E-04	+1.839551E+01	2PT  
+3.001712E-02	-4.638058E-04	+1.828027E+01	2PT  
+4.007646E-02	-4.641147E-04	+1.816113E+01	2PT  
+5.013286E-02	-4.639554E-04	+1.804297E+01	2PT  
+6.010570E-02	-4.644515E-04	+1.792480E+01	2PT  
+7.008974E-02	-4.647661E-04	+1.780762E+01	2PT  
+8.006900E-02	-4.645638E-04	+1.768945E+01	2PT  
+9.024042E-02	-4.650972E-04	+1.757227E+01	2PT  
+1.001792E-01	-4.653397E-04	+1.744922E+01	2PT  
+1.102215E-01	-4.660104E-04	+1.733203E+01	2PT  
+1.201451E-01	-4.658039E-04	+1.721484E+01	2PT  
+1.302020E-01	-4.662418E-04	+1.710059E+01	2PT  
+1.401671E-01	-4.665716E-04	+1.698145E+01	2PT  
+1.501627E-01	-4.669139E-04	+1.686426E+01	2PT  
+1.601646E-01	-4.673379E-04	+1.674707E+01	2PT  
+1.701448E-01	-4.674127E-04	+1.663281E+01	2PT  
+1.801734E-01	-4.675139E-04	+1.651465E+01	2PT  
+1.900965E-01	-4.675734E-04	+1.639844E+01	2PT  
+2.001421E-01	-4.678922E-04	+1.628027E+01	2PT  
+2.100878E-01	-4.682330E-04	+1.616211E+01	2PT  
+2.200981E-01	-4.686335E-04	+1.603906E+01	2PT  
+2.300836E-01	-4.686390E-04	+1.591895E+01	2PT  
+2.400409E-01	-4.688093E-04	+1.580078E+01	2PT  
+2.500947E-01	-4.691712E-04	+1.568359E+01	2PT  
+2.600441E-01	-4.691587E-04	+1.556250E+01	2PT  
+2.699950E-01	-4.685546E-04	+1.544629E+01	2PT  
+2.799994E-01	-4.688607E-04	+1.532910E+01	2PT  
+2.900751E-01	-4.693110E-04	+1.520801E+01	2PT  
+3.000140E-01	-4.686681E-04	+1.509277E+01	2PT  
+3.100472E-01	-4.689273E-04	+1.497461E+01	2PT  
+3.201079E-01	-4.686738E-04	+1.485937E+01	2PT  
+3.301354E-01	-4.681346E-04	+1.473926E+01	2PT  
+3.400700E-01	-4.678007E-04	+1.462500E+01	2PT  
+3.501692E-01	-4.680418E-04	+1.450684E+01	2PT  
