[[DESCRIPTION]]
CPB_SE5_12_1P_4000K_1000_LUX

[[ANALYSIS]]
EFF      	0.10**	%
FF        	62.9**	%
Voc      	984.2**	mV
Jsc       	0.17**	mA/cm2
Vmax   	690.2	mV
Jmax    	0.15	mA/cm2
Isc        	1.5017E-5	A
Rsc       	1.5105E+6	Ohm
Roc      	12031	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001636E-01	-1.491935E-05	+2.143164E+01	2PT  
-1.900526E-01	-1.487336E-05	+2.131445E+01	2PT  
-1.801553E-01	-1.488333E-05	+2.119824E+01	2PT  
-1.701406E-01	-1.486102E-05	+2.108105E+01	2PT  
-1.601693E-01	-1.485805E-05	+2.096582E+01	2PT  
-1.500672E-01	-1.486411E-05	+2.084961E+01	2PT  
-1.401494E-01	-1.485778E-05	+2.073242E+01	2PT  
-1.302341E-01	-1.552050E-05	+2.061426E+01	2PT  
-1.201574E-01	-1.538915E-05	+2.049707E+01	2PT  
-1.097817E-01	-1.531611E-05	+2.038086E+01	2PT  
-1.002254E-01	-1.519203E-05	+2.026367E+01	2PT  
-9.014281E-02	-1.493401E-05	+2.014551E+01	2PT  
-8.009042E-02	-1.491492E-05	+2.002734E+01	2PT  
-7.009225E-02	-1.489704E-05	+1.991016E+01	2PT  
-5.999826E-02	-1.515895E-05	+1.979785E+01	2PT  
-5.008909E-02	-1.493681E-05	+1.967969E+01	2PT  
-4.011491E-02	-1.491510E-05	+1.956250E+01	2PT  
-3.005550E-02	-1.489975E-05	+1.944629E+01	2PT  
-2.002978E-02	-1.514499E-05	+1.932422E+01	2PT  
-9.980417E-03	-1.502620E-05	+1.920703E+01	2PT  
+1.986176E-05	-1.501662E-05	+1.909082E+01	2PT  
+1.023603E-02	-1.503979E-05	+1.897461E+01	2PT  
+2.011851E-02	-1.491751E-05	+1.885645E+01	2PT  
+3.010154E-02	-1.488562E-05	+1.873828E+01	2PT  
+4.039191E-02	-1.533385E-05	+1.861914E+01	2PT  
+4.997454E-02	-1.496781E-05	+1.849902E+01	2PT  
+6.014082E-02	-1.491667E-05	+1.838184E+01	2PT  
+7.010682E-02	-1.515779E-05	+1.825977E+01	2PT  
+8.028114E-02	-1.505202E-05	+1.814258E+01	2PT  
+9.050545E-02	-1.523441E-05	+1.802832E+01	2PT  
+1.003429E-01	-1.514269E-05	+1.791113E+01	2PT  
+1.101861E-01	-1.520966E-05	+1.779590E+01	2PT  
+1.201027E-01	-1.507816E-05	+1.767773E+01	2PT  
+1.300057E-01	-1.518714E-05	+1.756348E+01	2PT  
+1.400971E-01	-1.504940E-05	+1.744531E+01	2PT  
+1.500553E-01	-1.516567E-05	+1.733105E+01	2PT  
+1.601305E-01	-1.496126E-05	+1.721191E+01	2PT  
+1.701304E-01	-1.488809E-05	+1.709277E+01	2PT  
+1.800193E-01	-1.544124E-05	+1.697363E+01	2PT  
+1.901722E-01	-1.499467E-05	+1.685449E+01	2PT  
+2.001612E-01	-1.496971E-05	+1.673730E+01	2PT  
+2.101099E-01	-1.491007E-05	+1.662012E+01	2PT  
+2.199954E-01	-1.492200E-05	+1.650391E+01	2PT  
+2.300308E-01	-1.488303E-05	+1.638574E+01	2PT  
+2.402066E-01	-1.519295E-05	+1.626562E+01	2PT  
+2.500108E-01	-1.560781E-05	+1.615137E+01	2PT  
+2.599379E-01	-1.517409E-05	+1.603320E+01	2PT  
+2.700133E-01	-1.553443E-05	+1.591895E+01	2PT  
+2.800010E-01	-1.503119E-05	+1.579980E+01	2PT  
+2.901236E-01	-1.498530E-05	+1.568262E+01	2PT  
+3.001735E-01	-1.494576E-05	+1.556543E+01	2PT  
+3.100675E-01	-1.487803E-05	+1.544824E+01	2PT  
+3.200124E-01	-1.485198E-05	+1.533105E+01	2PT  
