[[DESCRIPTION]]
CPB_SE5_12_2P_A1_5_SUN

[[ANALYSIS]]
EFF      	6.14	%
FF        	69.4	%
Voc      	1233.7	mV
Jsc       	7.18	mA/cm2
Vmax   	970.2	mV
Jmax    	6.33	mA/cm2
Isc        	0.000646	A
Rsc       	3.2735E+6	Ohm
Roc      	248.66	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000601E-01	-6.441342E-04	+2.067285E+01	2PT  
-1.901310E-01	-6.440747E-04	+2.055273E+01	2PT  
-1.802348E-01	-6.440193E-04	+2.043359E+01	2PT  
-1.701144E-01	-6.441991E-04	+2.031934E+01	2PT  
-1.601164E-01	-6.440722E-04	+2.020215E+01	2PT  
-1.501291E-01	-6.444405E-04	+2.008496E+01	2PT  
-1.401777E-01	-6.450519E-04	+1.996680E+01	2PT  
-1.302083E-01	-6.450737E-04	+1.984668E+01	2PT  
-1.201505E-01	-6.451607E-04	+1.972949E+01	2PT  
-1.100727E-01	-6.454488E-04	+1.961328E+01	2PT  
-1.000748E-01	-6.454641E-04	+1.949316E+01	2PT  
-9.009954E-02	-6.457843E-04	+1.937598E+01	2PT  
-8.019971E-02	-6.455844E-04	+1.925879E+01	2PT  
-7.010767E-02	-6.454846E-04	+1.914258E+01	2PT  
-6.001635E-02	-6.456794E-04	+1.902539E+01	2PT  
-5.014117E-02	-6.455128E-04	+1.890137E+01	2PT  
-4.007490E-02	-6.456029E-04	+1.877930E+01	2PT  
-3.003990E-02	-6.456045E-04	+1.866309E+01	2PT  
-2.004739E-02	-6.458134E-04	+1.854590E+01	2PT  
-1.003065E-02	-6.456208E-04	+1.842871E+01	2PT  
+9.486100E-05	-6.459915E-04	+1.830957E+01	2PT  
+1.009357E-02	-6.456128E-04	+1.819238E+01	2PT  
+2.008494E-02	-6.461340E-04	+1.807715E+01	2PT  
+2.998326E-02	-6.460608E-04	+1.795996E+01	2PT  
+4.016716E-02	-6.457635E-04	+1.783789E+01	2PT  
+5.009300E-02	-6.458783E-04	+1.772266E+01	2PT  
+6.009916E-02	-6.455639E-04	+1.760547E+01	2PT  
+7.015598E-02	-6.457308E-04	+1.748828E+01	2PT  
+8.008115E-02	-6.459006E-04	+1.736816E+01	2PT  
+9.015871E-02	-6.463352E-04	+1.725000E+01	2PT  
+1.001709E-01	-6.458428E-04	+1.713184E+01	2PT  
+1.101682E-01	-6.459767E-04	+1.701465E+01	2PT  
+1.200930E-01	-6.457436E-04	+1.689746E+01	2PT  
+1.301778E-01	-6.457260E-04	+1.678125E+01	2PT  
+1.401463E-01	-6.459787E-04	+1.666016E+01	2PT  
+1.501791E-01	-6.457958E-04	+1.653809E+01	2PT  
+1.601370E-01	-6.460992E-04	+1.642285E+01	2PT  
+1.700668E-01	-6.456429E-04	+1.630371E+01	2PT  
+1.800035E-01	-6.458894E-04	+1.618652E+01	2PT  
+1.901374E-01	-6.451985E-04	+1.606934E+01	2PT  
+2.000743E-01	-6.454366E-04	+1.595508E+01	2PT  
+2.100082E-01	-6.450228E-04	+1.583691E+01	2PT  
+2.200954E-01	-6.447370E-04	+1.572070E+01	2PT  
+2.299573E-01	-6.446008E-04	+1.560156E+01	2PT  
+2.400704E-01	-6.443958E-04	+1.548340E+01	2PT  
+2.499569E-01	-6.446129E-04	+1.536719E+01	2PT  
