[[DESCRIPTION]]
CPB_SE5_12_3P_A1_5_SUN

[[ANALYSIS]]
EFF      	6.17	%
FF        	70.1	%
Voc      	1224.9	mV
Jsc       	7.19	mA/cm2
Vmax   	970.1	mV
Jmax    	6.36	mA/cm2
Isc        	0.000647	A
Rsc       	51013	Ohm
Roc      	233.78	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-1.999839E-01	-6.443050E-04	+2.068945E+01	2PT  
-1.901348E-01	-6.448908E-04	+2.057324E+01	2PT  
-1.802074E-01	-6.445048E-04	+2.045508E+01	2PT  
-1.700947E-01	-6.451812E-04	+2.033789E+01	2PT  
-1.602436E-01	-6.450580E-04	+2.022168E+01	2PT  
-1.501154E-01	-6.454193E-04	+2.010449E+01	2PT  
-1.401102E-01	-6.459003E-04	+1.998535E+01	2PT  
-1.301107E-01	-6.457961E-04	+1.986816E+01	2PT  
-1.202269E-01	-6.456922E-04	+1.974805E+01	2PT  
-1.101912E-01	-6.459175E-04	+1.963086E+01	2PT  
-1.001814E-01	-6.458351E-04	+1.951563E+01	2PT  
-9.006054E-02	-6.459323E-04	+1.939844E+01	2PT  
-8.009781E-02	-6.463921E-04	+1.928027E+01	2PT  
-7.010809E-02	-6.465028E-04	+1.916602E+01	2PT  
-6.014456E-02	-6.466369E-04	+1.904785E+01	2PT  
-5.015843E-02	-6.464766E-04	+1.892676E+01	2PT  
-4.004824E-02	-6.470975E-04	+1.880957E+01	2PT  
-3.001436E-02	-6.465325E-04	+1.869336E+01	2PT  
-2.002251E-02	-6.470061E-04	+1.857813E+01	2PT  
-1.014703E-02	-6.470691E-04	+1.845898E+01	2PT  
+7.818712E-05	-6.471650E-04	+1.834277E+01	2PT  
+1.005258E-02	-6.474676E-04	+1.822656E+01	2PT  
+2.000982E-02	-6.473316E-04	+1.810742E+01	2PT  
+3.010896E-02	-6.475893E-04	+1.799023E+01	2PT  
+4.015955E-02	-6.474711E-04	+1.787109E+01	2PT  
+5.020876E-02	-6.471929E-04	+1.775684E+01	2PT  
+6.013177E-02	-6.473603E-04	+1.763281E+01	2PT  
+6.998724E-02	-6.470460E-04	+1.751758E+01	2PT  
+8.014973E-02	-6.476869E-04	+1.739844E+01	2PT  
+9.013774E-02	-6.472273E-04	+1.728125E+01	2PT  
+1.000893E-01	-6.475130E-04	+1.716309E+01	2PT  
+1.102625E-01	-6.469191E-04	+1.704590E+01	2PT  
+1.202473E-01	-6.472507E-04	+1.692676E+01	2PT  
+1.301322E-01	-6.475899E-04	+1.680859E+01	2PT  
+1.401288E-01	-6.471263E-04	+1.669141E+01	2PT  
+1.502625E-01	-6.467769E-04	+1.657227E+01	2PT  
+1.600367E-01	-6.472202E-04	+1.645508E+01	2PT  
+1.700615E-01	-6.468974E-04	+1.633984E+01	2PT  
+1.800704E-01	-6.469886E-04	+1.622070E+01	2PT  
+1.900950E-01	-6.468929E-04	+1.610156E+01	2PT  
+1.999838E-01	-6.469830E-04	+1.597852E+01	2PT  
+2.100987E-01	-6.468939E-04	+1.586328E+01	2PT  
+2.200858E-01	-6.466162E-04	+1.574316E+01	2PT  
+2.302002E-01	-6.464068E-04	+1.562500E+01	2PT  
+2.402097E-01	-6.461968E-04	+1.550684E+01	2PT  
+2.500203E-01	-6.459902E-04	+1.539063E+01	2PT  
+2.601008E-01	-6.457014E-04	+1.527246E+01	2PT  
+2.700794E-01	-6.460341E-04	+1.515723E+01	2PT  
+2.798811E-01	-6.456368E-04	+1.503906E+01	2PT  
+2.901076E-01	-6.458188E-04	+1.492383E+01	2PT  
+3.000146E-01	-6.457471E-04	+1.480469E+01	2PT  
+3.102111E-01	-6.455425E-04	+1.468750E+01	2PT  
+3.201688E-01	-6.449397E-04	+1.456934E+01	2PT  
+3.301374E-01	-6.450986E-04	+1.445117E+01	2PT  
+3.401535E-01	-6.447465E-04	+1.433496E+01	2PT  
+3.502130E-01	-6.446231E-04	+1.421582E+01	2PT  
+3.602066E-01	-6.444884E-04	+1.409766E+01	2PT  
+3.701670E-01	-6.446211E-04	+1.398242E+01	2PT  
+3.801178E-01	-6.439957E-04	+1.385938E+01	2PT  
+3.901427E-01	-6.438691E-04	+1.374316E+01	2PT  
+4.001656E-01	-6.437725E-04	+1.362109E+01	2PT  
+4.102580E-01	-6.432599E-04	+1.350293E+01	2PT  
+4.201783E-01	-6.432832E-04	+1.338184E+01	2PT  
+4.301224E-01	-6.427633E-04	+1.326465E+01	2PT  
+4.401000E-01	-6.426320E-04	+1.314551E+01	2PT  
+4.500593E-01	-6.424052E-04	+1.302734E+01	2PT  
+4.601332E-01	-6.420873E-04	+1.291504E+01	2PT  
+4.701021E-01	-6.416826E-04	+1.279102E+01	2PT  
+4.800243E-01	-6.417204E-04	+1.267480E+01	2PT  
+4.901069E-01	-6.412725E-04	+1.255664E+01	2PT  
+5.001583E-01	-6.411286E-04	+1.243945E+01	2PT  
+5.100712E-01	-6.408588E-04	+1.232129E+01	2PT  
+5.200985E-01	-6.405758E-04	+1.220508E+01	2PT  
+5.300124E-01	-6.397977E-04	+1.208105E+01	2PT  
+5.400162E-01	-6.395971E-04	+1.196484E+01	2PT  
+5.499579E-01	-6.391038E-04	+1.184082E+01	2PT  
+5.600072E-01	-6.385652E-04	+1.172559E+01	2PT  
+5.700480E-01	-6.385111E-04	+1.160840E+01	2PT  
+5.799941E-01	-6.381896E-04	+1.148730E+01	2PT  
+5.899570E-01	-6.376646E-04	+1.137012E+01	2PT  
+6.001403E-01	-6.369702E-04	+1.125098E+01	2PT  
+6.101840E-01	-6.364161E-04	+1.113574E+01	2PT  
+6.200246E-01	-6.359864E-04	+1.101758E+01	2PT  
+6.301692E-01	-6.353375E-04	+1.090039E+01	2PT  
+6.400685E-01	-6.349093E-04	+1.078125E+01	2PT  
+6.501184E-01	-6.338043E-04	+1.066211E+01	2PT  
+6.601084E-01	-6.336822E-04	+1.054590E+01	2PT  
+6.700132E-01	-6.327122E-04	+1.042676E+01	2PT  
+6.801523E-01	-6.323201E-04	+1.030957E+01	2PT  
+6.900653E-01	-6.314473E-04	+1.019141E+01	2PT  
+7.001478E-01	-6.307065E-04	+1.007617E+01	2PT  
+7.101514E-01	-6.296419E-04	+9.959961E+00	2PT  
+7.202353E-01	-6.286026E-04	+9.842773E+00	2PT  
+7.300465E-01	-6.281524E-04	+9.725586E+00	2PT  
+7.400750E-01	-6.268641E-04	+9.608398E+00	2PT  
+7.500873E-01	-6.258951E-04	+9.491211E+00	2PT  
+7.601522E-01	-6.247245E-04	+9.374023E+00	2PT  
+7.700606E-01	-6.237426E-04	+9.257813E+00	2PT  
+7.800462E-01	-6.226173E-04	+9.132813E+00	2PT  
+7.901214E-01	-6.215023E-04	+9.018555E+00	2PT  
+8.000137E-01	-6.199250E-04	+8.897461E+00	2PT  
+8.100715E-01	-6.184002E-04	+8.780273E+00	2PT  
+8.199502E-01	-6.172557E-04	+8.663086E+00	2PT  
+8.299058E-01	-6.157036E-04	+8.545898E+00	2PT  
+8.399851E-01	-6.139838E-04	+8.426758E+00	2PT  
+8.501533E-01	-6.119291E-04	+8.309570E+00	2PT  
+8.600551E-01	-6.098438E-04	+8.193359E+00	2PT  
+8.699833E-01	-6.075636E-04	+8.076172E+00	2PT  
+8.800024E-01	-6.054066E-04	+7.958008E+00	2PT  
+8.899775E-01	-6.029473E-04	+7.838867E+00	2PT  
+8.999356E-01	-6.002762E-04	+7.723633E+00	2PT  
+9.100534E-01	-5.974423E-04	+7.600586E+00	2PT  
+9.200276E-01	-5.942081E-04	+7.484375E+00	2PT  
+9.300851E-01	-5.907120E-04	+7.369141E+00	2PT  
+9.400539E-01	-5.868363E-04	+7.251953E+00	2PT  
+9.502403E-01	-5.826945E-04	+7.133789E+00	2PT  
+9.601559E-01	-5.776103E-04	+7.017578E+00	2PT  
+9.700841E-01	-5.724615E-04	+6.902344E+00	2PT  
+9.801540E-01	-5.664840E-04	+6.784180E+00	2PT  
+9.901387E-01	-5.603723E-04	+6.665039E+00	2PT  
+1.000130E+00	-5.530243E-04	+6.548828E+00	2PT  
+1.010048E+00	-5.448815E-04	+6.432617E+00	2PT  
+1.020010E+00	-5.356715E-04	+6.312500E+00	2PT  
+1.030040E+00	-5.259141E-04	+6.192383E+00	2PT  
+1.039992E+00	-5.144876E-04	+6.077148E+00	2PT  
+1.050053E+00	-5.016022E-04	+5.960938E+00	2PT  
+1.059938E+00	-4.874286E-04	+5.843750E+00	2PT  
+1.070092E+00	-4.719066E-04	+5.724609E+00	2PT  
+1.080016E+00	-4.545730E-04	+5.609375E+00	2PT  
+1.090027E+00	-4.355784E-04	+5.487305E+00	2PT  
+1.100064E+00	-4.148315E-04	+5.372070E+00	2PT  
+1.110022E+00	-3.922664E-04	+5.255859E+00	2PT  
+1.120058E+00	-3.678511E-04	+5.135742E+00	2PT  
+1.130017E+00	-3.414847E-04	+5.020508E+00	2PT  
+1.139981E+00	-3.132713E-04	+4.904297E+00	2PT  
+1.149967E+00	-2.833210E-04	+4.784180E+00	2PT  
+1.160128E+00	-2.514673E-04	+4.666016E+00	2PT  
+1.170091E+00	-2.178384E-04	+4.545898E+00	2PT  
+1.180117E+00	-1.825236E-04	+4.421875E+00	2PT  
+1.190041E+00	-1.456381E-04	+4.307617E+00	2PT  
+1.200040E+00	-1.020399E-04	+3.982422E+00	2PT  
+1.210110E+00	-6.202023E-05	+3.863281E+00	2PT  
+1.220118E+00	-2.065467E-05	+3.747070E+00	2PT  
+1.230092E+00	+2.207519E-05	+3.630859E+00	2PT  
+1.240130E+00	+6.625550E-05	+3.517578E+00	2PT  
+1.250065E+00	+1.159545E-04	+3.290039E+00	2PT  
+1.260079E+00	+1.623017E-04	+3.172852E+00	2PT  
+1.270004E+00	+2.099182E-04	+3.049805E+00	2PT  
+1.280133E+00	+2.583472E-04	+2.934570E+00	2PT  
+1.290097E+00	+3.074041E-04	+2.816406E+00	2PT  
+1.300075E+00	+3.574469E-04	+2.697266E+00	2PT  
+1.310089E+00	+4.077082E-04	+2.579102E+00	2PT  
+1.320072E+00	+4.582901E-04	+2.459961E+00	2PT  
+1.330097E+00	+5.088531E-04	+2.343750E+00	2PT  
+1.339997E+00	+5.587596E-04	+2.225586E+00	2PT  
+1.350096E+00	+6.077274E-04	+2.106445E+00	2PT  
+1.359987E+00	+6.547763E-04	+1.990234E+00	2PT  
+1.369837E+00	+6.989908E-04	+1.868164E+00	2PT  
+1.380126E+00	+7.387436E-04	+1.749023E+00	2PT  
+1.390035E+00	+7.709143E-04	+1.636719E+00	2PT  
+1.400043E+00	+7.893991E-04	+1.506836E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

