[[DESCRIPTION]]
CPB_SE5_16_2P_A1_5G_SUN

[[ANALYSIS]]
EFF      	0.39	%
FF        	28.6	%
Voc      	303.5	mV
Jsc       	4.55	mA/cm2
Vmax   	160.2	mV
Jmax    	2.46	mA/cm2
Isc        	0.000409	A
Rsc       	969.77	Ohm
Roc      	676.07	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001993E-01	-6.049094E-04	+2.128223E+01	2PT  
-1.901098E-01	-5.960289E-04	+2.116699E+01	2PT  
-1.802273E-01	-5.863589E-04	+2.104883E+01	2PT  
-1.701906E-01	-5.768373E-04	+2.092773E+01	2PT  
-1.601664E-01	-5.671050E-04	+2.081250E+01	2PT  
-1.501344E-01	-5.577882E-04	+2.069336E+01	2PT  
-1.401819E-01	-5.480411E-04	+2.057520E+01	2PT  
-1.301697E-01	-5.386662E-04	+2.045215E+01	2PT  
-1.201769E-01	-5.287774E-04	+2.033594E+01	2PT  
-1.101578E-01	-5.192026E-04	+2.021680E+01	2PT  
-1.001141E-01	-5.094128E-04	+2.010059E+01	2PT  
-9.009954E-02	-4.996508E-04	+1.998340E+01	2PT  
-8.014280E-02	-4.901137E-04	+1.986621E+01	2PT  
-7.012476E-02	-4.799894E-04	+1.975195E+01	2PT  
-6.009720E-02	-4.701992E-04	+1.963477E+01	2PT  
-5.003998E-02	-4.603540E-04	+1.951270E+01	2PT  
-4.010563E-02	-4.501986E-04	+1.939746E+01	2PT  
-3.009930E-02	-4.401493E-04	+1.927832E+01	2PT  
-2.008906E-02	-4.301778E-04	+1.915723E+01	2PT  
-1.007273E-02	-4.198709E-04	+1.904004E+01	2PT  
+7.819728E-05	-4.093915E-04	+1.892090E+01	2PT  
+1.008567E-02	-3.990842E-04	+1.880371E+01	2PT  
+2.009339E-02	-3.884386E-04	+1.868848E+01	2PT  
+3.007545E-02	-3.776110E-04	+1.857129E+01	2PT  
+4.010884E-02	-3.667659E-04	+1.845508E+01	2PT  
+5.017633E-02	-3.556979E-04	+1.833691E+01	2PT  
+6.011511E-02	-3.445049E-04	+1.822070E+01	2PT  
+7.007098E-02	-3.330444E-04	+1.810254E+01	2PT  
+8.010663E-02	-3.216346E-04	+1.798535E+01	2PT  
+9.012940E-02	-3.101139E-04	+1.786719E+01	2PT  
+1.000869E-01	-2.980502E-04	+1.774902E+01	2PT  
+1.100572E-01	-2.860137E-04	+1.763086E+01	2PT  
+1.201665E-01	-2.736976E-04	+1.751562E+01	2PT  
