[[DESCRIPTION]]
CPB_SE5_16_6P_A1_5G_SUN

[[ANALYSIS]]
EFF      	5.04	%
FF        	63.1	%
Voc      	1251.1	mV
Jsc       	6.38	mA/cm2
Vmax   	930.1	mV
Jmax    	5.41	mA/cm2
Isc        	0.000574	A
Rsc       	1.018E+5	Ohm
Roc      	309.99	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000124E-01	-5.731137E-04	+2.096777E+01	2PT  
-1.901575E-01	-5.732456E-04	+2.085156E+01	2PT  
-1.802480E-01	-5.739157E-04	+2.072949E+01	2PT  
-1.701187E-01	-5.735884E-04	+2.061230E+01	2PT  
-1.602369E-01	-5.733749E-04	+2.049707E+01	2PT  
-1.501856E-01	-5.734048E-04	+2.037793E+01	2PT  
-1.402136E-01	-5.729861E-04	+2.025684E+01	2PT  
-1.302643E-01	-5.731258E-04	+2.013867E+01	2PT  
-1.201276E-01	-5.732536E-04	+2.002051E+01	2PT  
-1.102335E-01	-5.734471E-04	+1.990332E+01	2PT  
-1.001778E-01	-5.730235E-04	+1.978711E+01	2PT  
-9.012614E-02	-5.730416E-04	+1.966797E+01	2PT  
-8.011447E-02	-5.733329E-04	+1.954883E+01	2PT  
-7.011310E-02	-5.737259E-04	+1.942969E+01	2PT  
-5.997326E-02	-5.734146E-04	+1.931055E+01	2PT  
-5.015695E-02	-5.733715E-04	+1.919336E+01	2PT  
-4.003063E-02	-5.733745E-04	+1.907520E+01	2PT  
-3.016401E-02	-5.734485E-04	+1.895898E+01	2PT  
-2.002227E-02	-5.735892E-04	+1.883984E+01	2PT  
-1.012191E-02	-5.741477E-04	+1.872559E+01	2PT  
+2.819108E-05	-5.740638E-04	+1.860645E+01	2PT  
+1.001061E-02	-5.739489E-04	+1.848828E+01	2PT  
+2.008482E-02	-5.736073E-04	+1.837402E+01	2PT  
+3.004956E-02	-5.738570E-04	+1.825391E+01	2PT  
+4.013480E-02	-5.737559E-04	+1.813867E+01	2PT  
+5.007513E-02	-5.737540E-04	+1.802051E+01	2PT  
+6.008723E-02	-5.735751E-04	+1.790527E+01	2PT  
+7.009765E-02	-5.736274E-04	+1.778809E+01	2PT  
