[[DESCRIPTION]]
CPB_SE5_11_2P_4000K_1000lux

[[ANALYSIS]]
EFF      	37.77	%
FF        	75.9	%
Voc      	1231.8	mV
Jsc       	0.17	mA/cm2
Vmax   	1040.1	mV
Jmax    	0.15	mA/cm2
Isc        	1.494523E-5	A
Rsc       	89799	Ohm
Roc      	4223.5	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001090E-01	-1.524370E-05	+2.213965E+01	2PT  
-1.901208E-01	-1.500262E-05	+2.201563E+01	2PT  
-1.801374E-01	-1.501992E-05	+2.189160E+01	2PT  
-1.701526E-01	-1.510025E-05	+2.176758E+01	2PT  
-1.601647E-01	-1.530621E-05	+2.164453E+01	2PT  
-1.501405E-01	-1.498596E-05	+2.152148E+01	2PT  
-1.401592E-01	-1.529646E-05	+2.139355E+01	2PT  
-1.301639E-01	-1.499911E-05	+2.127148E+01	2PT  
-1.201619E-01	-1.507903E-05	+2.114746E+01	2PT  
-1.101604E-01	-1.531341E-05	+2.102441E+01	2PT  
-1.001251E-01	-1.497160E-05	+2.090137E+01	2PT  
-9.010402E-02	-1.506602E-05	+2.077930E+01	2PT  
-8.010854E-02	-1.523352E-05	+2.065527E+01	2PT  
-7.010689E-02	-1.495837E-05	+2.053320E+01	2PT  
-6.008793E-02	-1.501565E-05	+2.041016E+01	2PT  
-5.008084E-02	-1.525287E-05	+2.028711E+01	2PT  
-4.007805E-02	-1.494884E-05	+2.016406E+01	2PT  
-3.006449E-02	-1.496084E-05	+2.003906E+01	2PT  
-2.004760E-02	-1.500104E-05	+1.991504E+01	2PT  
-1.002213E-02	-1.518713E-05	+1.979297E+01	2PT  
+7.735871E-05	-1.494336E-05	+1.966895E+01	2PT  
+1.009587E-02	-1.496447E-05	+1.954590E+01	2PT  
+2.007277E-02	-1.515594E-05	+1.942285E+01	2PT  
+3.009282E-02	-1.512205E-05	+1.929883E+01	2PT  
+4.012910E-02	-1.523393E-05	+1.917188E+01	2PT  
+5.012977E-02	-1.492732E-05	+1.904785E+01	2PT  
+6.013948E-02	-1.491859E-05	+1.892383E+01	2PT  
+7.013191E-02	-1.499332E-05	+1.879980E+01	2PT  
+8.011305E-02	-1.513389E-05	+1.867578E+01	2PT  
+9.016953E-02	-1.518676E-05	+1.855176E+01	2PT  
+1.001694E-01	-1.489705E-05	+1.842871E+01	2PT  
+1.101752E-01	-1.490521E-05	+1.830469E+01	2PT  
+1.201655E-01	-1.498453E-05	+1.818066E+01	2PT  
+1.301599E-01	-1.516745E-05	+1.805664E+01	2PT  
+1.401884E-01	-1.487486E-05	+1.793457E+01	2PT  
+1.501950E-01	-1.496667E-05	+1.781152E+01	2PT  
+1.601778E-01	-1.522137E-05	+1.768945E+01	2PT  
+1.701667E-01	-1.487748E-05	+1.756445E+01	2PT  
+1.801469E-01	-1.487376E-05	+1.744141E+01	2PT  
+1.901888E-01	-1.490817E-05	+1.731641E+01	2PT  
+2.001444E-01	-1.509349E-05	+1.719531E+01	2PT  
+2.101151E-01	-1.484766E-05	+1.707129E+01	2PT  
+2.200992E-01	-1.486085E-05	+1.694727E+01	2PT  
+2.300750E-01	-1.494178E-05	+1.682324E+01	2PT  
+2.400842E-01	-1.493672E-05	+1.669727E+01	2PT  
+2.500786E-01	-1.510935E-05	+1.657422E+01	2PT  
+2.600643E-01	-1.483083E-05	+1.645215E+01	2PT  
+2.700365E-01	-1.485766E-05	+1.632813E+01	2PT  
+2.800427E-01	-1.495216E-05	+1.620410E+01	2PT  
+2.900912E-01	-1.482265E-05	+1.608203E+01	2PT  
+3.001019E-01	-1.481093E-05	+1.595703E+01	2PT  
+3.100864E-01	-1.493299E-05	+1.583398E+01	2PT  
+3.200974E-01	-1.510856E-05	+1.570996E+01	2PT  
+3.301033E-01	-1.478561E-05	+1.558789E+01	2PT  
+3.401360E-01	-1.481285E-05	+1.546289E+01	2PT  
+3.501507E-01	-1.483297E-05	+1.533789E+01	2PT  
+3.601401E-01	-1.494537E-05	+1.521484E+01	2PT  
+3.701367E-01	-1.490634E-05	+1.508789E+01	2PT  
+3.801424E-01	-1.508389E-05	+1.496387E+01	2PT  
+3.901920E-01	-1.476581E-05	+1.484180E+01	2PT  
+4.001932E-01	-1.494331E-05	+1.471191E+01	2PT  
+4.101732E-01	-1.487160E-05	+1.459277E+01	2PT  
+4.201852E-01	-1.509463E-05	+1.446875E+01	2PT  
+4.301742E-01	-1.473966E-05	+1.434473E+01	2PT  
+4.401835E-01	-1.473473E-05	+1.421875E+01	2PT  
+4.501807E-01	-1.478259E-05	+1.409766E+01	2PT  
+4.601509E-01	-1.473346E-05	+1.396973E+01	2PT  
+4.701086E-01	-1.497925E-05	+1.384766E+01	2PT  
+4.801210E-01	-1.494814E-05	+1.372168E+01	2PT  
+4.901278E-01	-1.501222E-05	+1.359570E+01	2PT  
+5.001115E-01	-1.471766E-05	+1.347168E+01	2PT  
+5.100907E-01	-1.468425E-05	+1.334766E+01	2PT  
+5.200801E-01	-1.471431E-05	+1.322363E+01	2PT  
+5.300612E-01	-1.473953E-05	+1.309863E+01	2PT  
+5.400885E-01	-1.491289E-05	+1.297656E+01	2PT  
+5.500572E-01	-1.465014E-05	+1.285352E+01	2PT  
+5.600592E-01	-1.472054E-05	+1.272949E+01	2PT  
+5.700697E-01	-1.470714E-05	+1.260449E+01	2PT  
+5.800804E-01	-1.477439E-05	+1.248242E+01	2PT  
+5.901126E-01	-1.461553E-05	+1.235840E+01	2PT  
+6.001114E-01	-1.469032E-05	+1.223633E+01	2PT  
+6.101332E-01	-1.459431E-05	+1.211621E+01	2PT  
+6.201295E-01	-1.459913E-05	+1.199121E+01	2PT  
+6.300909E-01	-1.480686E-05	+1.186914E+01	2PT  
+6.401405E-01	-1.459191E-05	+1.174609E+01	2PT  
+6.501566E-01	-1.457277E-05	+1.162207E+01	2PT  
+6.601641E-01	-1.460739E-05	+1.149902E+01	2PT  
+6.701668E-01	-1.483195E-05	+1.137598E+01	2PT  
+6.801740E-01	-1.463060E-05	+1.125098E+01	2PT  
+6.902068E-01	-1.451553E-05	+1.112793E+01	2PT  
+7.002007E-01	-1.460941E-05	+1.100488E+01	2PT  
+7.101813E-01	-1.478564E-05	+1.088184E+01	2PT  
+7.201594E-01	-1.447682E-05	+1.075781E+01	2PT  
+7.301614E-01	-1.450473E-05	+1.063477E+01	2PT  
+7.401547E-01	-1.473212E-05	+1.051367E+01	2PT  
+7.501590E-01	-1.445065E-05	+1.038965E+01	2PT  
+7.601171E-01	-1.456081E-05	+1.026855E+01	2PT  
+7.700872E-01	-1.473301E-05	+1.014453E+01	2PT  
+7.800907E-01	-1.440065E-05	+1.002246E+01	2PT  
+7.900995E-01	-1.441986E-05	+9.897461E+00	2PT  
+8.000836E-01	-1.456997E-05	+9.774414E+00	2PT  
+8.100773E-01	-1.461984E-05	+9.650391E+00	2PT  
+8.200651E-01	-1.433376E-05	+9.526367E+00	2PT  
+8.300387E-01	-1.433193E-05	+9.403320E+00	2PT  
+8.400876E-01	-1.439480E-05	+9.279297E+00	2PT  
+8.500865E-01	-1.447887E-05	+9.154297E+00	2PT  
+8.600768E-01	-1.456900E-05	+9.029297E+00	2PT  
+8.700907E-01	-1.422456E-05	+8.906250E+00	2PT  
+8.800912E-01	-1.421493E-05	+8.782227E+00	2PT  
+8.900944E-01	-1.426574E-05	+8.658203E+00	2PT  
+9.001149E-01	-1.442103E-05	+8.533203E+00	2PT  
+9.101203E-01	-1.410455E-05	+8.410156E+00	2PT  
+9.201375E-01	-1.416301E-05	+8.288086E+00	2PT  
+9.301205E-01	-1.430359E-05	+8.165039E+00	2PT  
+9.401639E-01	-1.398125E-05	+8.042969E+00	2PT  
+9.501663E-01	-1.394174E-05	+7.916992E+00	2PT  
+9.601689E-01	-1.399728E-05	+7.794922E+00	2PT  
+9.701802E-01	-1.385000E-05	+7.672852E+00	2PT  
+9.801666E-01	-1.394141E-05	+7.545898E+00	2PT  
+9.901741E-01	-1.369572E-05	+7.422852E+00	2PT  
+1.000173E+00	-1.370766E-05	+7.298828E+00	2PT  
+1.010161E+00	-1.374029E-05	+7.176758E+00	2PT  
+1.020131E+00	-1.341708E-05	+7.052734E+00	2PT  
+1.030132E+00	-1.337858E-05	+6.928711E+00	2PT  
+1.040125E+00	-1.343190E-05	+6.804688E+00	2PT  
+1.050129E+00	-1.310533E-05	+6.680664E+00	2PT  
+1.060083E+00	-1.284734E-05	+6.555664E+00	2PT  
+1.070096E+00	-1.268448E-05	+6.430664E+00	2PT  
+1.080066E+00	-1.267209E-05	+6.308594E+00	2PT  
+1.090092E+00	-1.217245E-05	+6.185547E+00	2PT  
+1.100076E+00	-1.192208E-05	+6.061523E+00	2PT  
+1.110053E+00	-1.155284E-05	+5.932617E+00	2PT  
+1.120057E+00	-1.121260E-05	+5.808594E+00	2PT  
