[[DESCRIPTION]]
CPB_SE5_11_5P_4000K_1000lux

[[ANALYSIS]]
EFF      	33.24**	%
FF        	69.9**	%
Voc      	1195.4**	mV
Jsc       	0.16**	mA/cm2
Vmax   	1000.2	mV
Jmax    	0.14	mA/cm2
Isc        	1.4717E-5	A
Rsc       	4.3003E+5	Ohm
Roc      	5852.7	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000977E-01	-1.474800E-05	+2.208008E+01	2PT  
-1.901365E-01	-1.497287E-05	+2.195801E+01	2PT  
-1.801355E-01	-1.490462E-05	+2.183496E+01	2PT  
-1.701429E-01	-1.471417E-05	+2.171094E+01	2PT  
-1.601675E-01	-1.481819E-05	+2.158887E+01	2PT  
-1.501426E-01	-1.496976E-05	+2.146484E+01	2PT  
-1.401591E-01	-1.471297E-05	+2.134277E+01	2PT  
-1.301562E-01	-1.473516E-05	+2.121875E+01	2PT  
-1.201730E-01	-1.483689E-05	+2.109570E+01	2PT  
-1.101637E-01	-1.502419E-05	+2.097168E+01	2PT  
-1.001218E-01	-1.468418E-05	+2.084766E+01	2PT  
-9.012527E-02	-1.477786E-05	+2.072461E+01	2PT  
-8.013183E-02	-1.490282E-05	+2.060059E+01	2PT  
-7.011151E-02	-1.467345E-05	+2.047852E+01	2PT  
-6.007807E-02	-1.471615E-05	+2.035547E+01	2PT  
-5.009010E-02	-1.488469E-05	+2.023242E+01	2PT  
-4.008727E-02	-1.485778E-05	+2.010645E+01	2PT  
-3.007763E-02	-1.469789E-05	+1.998340E+01	2PT  
-2.007324E-02	-1.466012E-05	+1.985937E+01	2PT  
-1.001963E-02	-1.472498E-05	+1.973535E+01	2PT  
+9.819135E-05	-1.471693E-05	+1.961035E+01	2PT  
+1.007671E-02	-1.477229E-05	+1.948535E+01	2PT  
+2.009274E-02	-1.499009E-05	+1.936133E+01	2PT  
+3.009871E-02	-1.463347E-05	+1.923828E+01	2PT  
