[[DESCRIPTION]]
CPB_SE5_12_3P_4000K_1000lux

[[ANALYSIS]]
EFF      	38.35**	%
FF        	77.9**	%
Voc      	1203.2**	mV
Jsc       	0.17**	mA/cm2
Vmax   	1040.1	mV
Jmax    	0.15	mA/cm2
Isc        	1.5126E-5	A
Rsc       	87035	Ohm
Roc      	2966.8	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001028E-01	-1.486688E-05	+2.174414E+01	2PT  
-1.901082E-01	-1.491285E-05	+2.162012E+01	2PT  
-1.801274E-01	-1.498416E-05	+2.149609E+01	2PT  
-1.701420E-01	-1.492664E-05	+2.137402E+01	2PT  
-1.601540E-01	-1.488608E-05	+2.125000E+01	2PT  
-1.501267E-01	-1.492620E-05	+2.112695E+01	2PT  
-1.401608E-01	-1.512163E-05	+2.100488E+01	2PT  
-1.301657E-01	-1.487400E-05	+2.088086E+01	2PT  
-1.201632E-01	-1.493488E-05	+2.075781E+01	2PT  
-1.101693E-01	-1.509969E-05	+2.063477E+01	2PT  
-1.001248E-01	-1.506708E-05	+2.050781E+01	2PT  
-9.011795E-02	-1.519846E-05	+2.038379E+01	2PT  
-8.011202E-02	-1.488258E-05	+2.025977E+01	2PT  
-7.011455E-02	-1.496640E-05	+2.013770E+01	2PT  
-6.006748E-02	-1.495733E-05	+2.000977E+01	2PT  
-5.007385E-02	-1.524878E-05	+1.988672E+01	2PT  
-4.007581E-02	-1.490692E-05	+1.976270E+01	2PT  
-3.006788E-02	-1.488974E-05	+1.963867E+01	2PT  
-2.007411E-02	-1.487157E-05	+1.951172E+01	2PT  
-1.003129E-02	-1.488109E-05	+1.938574E+01	2PT  
+7.069527E-05	-1.512726E-05	+1.926465E+01	2PT  
+1.008509E-02	-1.511030E-05	+1.914063E+01	2PT  
+2.009198E-02	-1.487176E-05	+1.901660E+01	2PT  
+3.009483E-02	-1.488164E-05	+1.888965E+01	2PT  
