[[DESCRIPTION]]
CPB_SE5_12_6P_4000K_1000lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	0.0**	%
Voc      	8.1**	mV
Jsc       	0.00**	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	7.3106E-9	A
Rsc       	5.3946E+6	Ohm
Roc      	1.861E+6**	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000917E-01	-2.741833E-09	+2.145996E+01	2PT  
-1.901124E-01	+9.364339E-09	+2.133008E+01	2PT  
-1.801320E-01	-1.471579E-09	+2.120898E+01	2PT  
-1.701509E-01	+8.341289E-09	+2.107910E+01	2PT  
-1.601966E-01	-4.123340E-09	+2.095801E+01	2PT  
-1.501421E-01	+4.776715E-09	+2.082813E+01	2PT  
-1.401574E-01	-6.676356E-09	+2.070703E+01	2PT  
-1.301776E-01	-5.058213E-09	+2.058301E+01	2PT  
-1.201685E-01	+1.359994E-09	+2.046094E+01	2PT  
-1.102057E-01	-4.263749E-09	+2.033789E+01	2PT  
-1.001651E-01	-5.241079E-09	+2.021387E+01	2PT  
-9.012715E-02	+8.306654E-09	+2.008984E+01	2PT  
-8.009583E-02	-1.371594E-09	+1.996680E+01	2PT  
-7.006872E-02	+3.296634E-09	+1.984180E+01	2PT  
-6.007821E-02	+9.187747E-09	+1.972070E+01	2PT  
-5.006126E-02	-6.229324E-09	+1.959668E+01	2PT  
-4.003550E-02	+3.476560E-09	+1.947266E+01	2PT  
-3.006958E-02	-7.056292E-09	+1.934863E+01	2PT  
-2.005753E-02	-6.412207E-09	+1.922656E+01	2PT  
-1.004467E-02	+5.410722E-09	+1.910156E+01	2PT  
+7.486169E-05	-7.405441E-09	+1.898047E+01	2PT  
+1.006508E-02	+1.832385E-09	+1.885547E+01	2PT  
+2.007535E-02	+3.739445E-09	+1.873340E+01	2PT  
+3.005815E-02	-2.182328E-09	+1.860937E+01	2PT  
+4.011081E-02	+1.023411E-09	+1.848633E+01	2PT  
+5.011995E-02	+9.418481E-09	+1.836328E+01	2PT  
+6.010118E-02	-2.315635E-09	+1.824121E+01	2PT  
+7.009015E-02	+3.256197E-09	+1.811816E+01	2PT  
+8.010144E-02	+5.054531E-09	+1.799609E+01	2PT  
+9.017066E-02	-1.489082E-09	+1.787207E+01	2PT  
+1.002127E-01	+4.282253E-09	+1.774805E+01	2PT  
+1.101909E-01	+9.727222E-09	+1.762598E+01	2PT  
+1.201746E-01	-5.252781E-09	+1.750195E+01	2PT  
+1.301611E-01	+1.422482E-09	+1.737793E+01	2PT  
+1.402123E-01	-6.977552E-09	+1.725488E+01	2PT  
+1.501628E-01	-8.418636E-09	+1.713086E+01	2PT  
+1.601529E-01	+1.308344E-09	+1.700879E+01	2PT  
+1.701149E-01	-3.109709E-09	+1.688477E+01	2PT  
+1.801277E-01	-8.411970E-09	+1.676270E+01	2PT  
+1.901630E-01	+9.253959E-09	+1.663770E+01	2PT  
+2.001344E-01	-1.354086E-09	+1.651465E+01	2PT  
+2.101040E-01	-1.004884E-08	+1.639453E+01	2PT  
+2.200726E-01	+5.454062E-09	+1.627051E+01	2PT  
+2.300805E-01	-1.482406E-09	+1.614648E+01	2PT  
+2.401235E-01	+5.560694E-09	+1.602344E+01	2PT  
+2.500902E-01	+8.930319E-09	+1.590039E+01	2PT  
+2.600483E-01	+5.817284E-09	+1.577148E+01	2PT  
+2.700460E-01	-5.513550E-09	+1.564648E+01	2PT  
+2.800649E-01	-5.311514E-09	+1.552441E+01	2PT  
+2.901052E-01	+5.861881E-09	+1.540234E+01	2PT  
+3.001111E-01	+3.531970E-09	+1.527930E+01	2PT  
+3.101085E-01	-5.397760E-09	+1.515625E+01	2PT  
+3.201072E-01	+9.676406E-09	+1.502734E+01	2PT  
+3.301121E-01	-5.094890E-09	+1.490430E+01	2PT  
+3.401338E-01	+7.899323E-09	+1.477637E+01	2PT  
+3.501392E-01	-1.488248E-09	+1.465332E+01	2PT  
+3.601747E-01	+4.070223E-09	+1.452930E+01	2PT  
+3.701556E-01	+9.347744E-09	+1.440723E+01	2PT  
+3.801245E-01	-9.938430E-09	+1.428125E+01	2PT  
+3.901733E-01	+8.311291E-09	+1.415625E+01	2PT  
+4.001698E-01	-1.779455E-09	+1.403223E+01	2PT  
+4.102121E-01	+2.783004E-09	+1.390820E+01	2PT  
+4.202060E-01	+7.598545E-09	+1.378613E+01	2PT  
+4.302027E-01	+5.173305E-09	+1.365723E+01	2PT  
+4.401762E-01	-1.154537E-09	+1.353320E+01	2PT  
+4.501814E-01	-3.017635E-09	+1.341113E+01	2PT  
+4.601658E-01	+2.176483E-09	+1.328711E+01	2PT  
+4.701578E-01	+6.782494E-09	+1.316504E+01	2PT  
+4.801119E-01	-7.914545E-09	+1.304102E+01	2PT  
+4.900954E-01	+1.280845E-09	+1.291699E+01	2PT  
+5.001172E-01	-1.073716E-09	+1.279199E+01	2PT  
+5.100716E-01	-8.864799E-09	+1.267090E+01	2PT  
+5.200589E-01	+6.529196E-09	+1.254785E+01	2PT  
+5.300176E-01	-4.657868E-09	+1.242578E+01	2PT  
+5.400509E-01	-8.179498E-09	+1.230273E+01	2PT  
+5.500415E-01	-7.083785E-09	+1.217383E+01	2PT  
+5.600610E-01	-1.016383E-08	+1.205078E+01	2PT  
+5.700581E-01	+1.057569E-09	+1.192773E+01	2PT  
+5.800477E-01	-6.796336E-09	+1.180469E+01	2PT  
+5.901008E-01	-1.024800E-08	+1.168164E+01	2PT  
+6.000969E-01	+6.675852E-09	+1.155762E+01	2PT  
+6.100799E-01	-5.601475E-09	+1.143555E+01	2PT  
+6.201004E-01	-1.798623E-09	+1.131250E+01	2PT  
+6.301128E-01	+2.514730E-09	+1.118945E+01	2PT  
+6.401160E-01	-3.079710E-09	+1.106543E+01	2PT  
+6.501387E-01	-1.569066E-09	+1.094238E+01	2PT  
+6.601570E-01	+9.104006E-09	+1.081836E+01	2PT  
+6.701742E-01	-2.773499E-09	+1.069434E+01	2PT  
+6.801990E-01	+3.096258E-09	+1.057129E+01	2PT  
+6.901955E-01	-1.388253E-09	+1.044434E+01	2PT  
+7.001874E-01	+5.228666E-09	+1.032031E+01	2PT  
+7.101518E-01	+8.252545E-09	+1.019727E+01	2PT  
+7.201641E-01	-1.433244E-09	+1.007422E+01	2PT  
+7.301835E-01	+4.221827E-09	+9.950195E+00	2PT  
+7.401742E-01	-6.733420E-09	+9.825195E+00	2PT  
+7.501292E-01	-9.353953E-09	+9.701172E+00	2PT  
+7.601181E-01	+6.585868E-09	+9.577148E+00	2PT  
+7.700958E-01	-1.215772E-09	+9.454102E+00	2PT  
+7.801303E-01	+4.934175E-09	+9.329102E+00	2PT  
+7.901174E-01	-5.681049E-09	+9.205078E+00	2PT  
+8.000487E-01	-1.001378E-08	+9.082031E+00	2PT  
+8.100438E-01	+4.760457E-09	+8.958008E+00	2PT  
+8.200501E-01	-1.502421E-09	+8.833008E+00	2PT  
+8.300471E-01	+5.801495E-09	+8.708984E+00	2PT  
+8.400537E-01	-6.443063E-09	+8.583984E+00	2PT  
+8.500901E-01	-2.657271E-09	+8.463867E+00	2PT  
+8.600826E-01	+1.642850E-09	+8.338867E+00	2PT  
+8.700470E-01	-5.707745E-09	+8.214844E+00	2PT  
+8.800718E-01	-9.218525E-09	+8.092773E+00	2PT  
+8.901206E-01	+2.238542E-09	+7.969727E+00	2PT  
+9.000892E-01	-6.009757E-09	+7.845703E+00	2PT  
+9.101080E-01	-1.002466E-08	+7.723633E+00	2PT  
+9.200886E-01	+1.502871E-09	+7.600586E+00	2PT  
+9.301130E-01	-7.331652E-09	+7.478516E+00	2PT  
+9.401490E-01	-9.191062E-09	+7.354492E+00	2PT  
+9.501786E-01	+9.693045E-09	+7.226563E+00	2PT  
+9.601599E-01	-1.270764E-09	+7.103516E+00	2PT  
+9.702013E-01	+4.709615E-09	+6.980469E+00	2PT  
+9.801793E-01	+6.348856E-09	+6.856445E+00	2PT  
+9.901641E-01	-9.324768E-09	+6.731445E+00	2PT  
+1.000158E+00	+2.373928E-09	+6.607422E+00	2PT  
+1.010129E+00	-6.099347E-09	+6.483398E+00	2PT  
+1.020122E+00	-9.945946E-09	+6.361328E+00	2PT  
+1.030091E+00	+1.412061E-09	+6.237305E+00	2PT  
+1.040062E+00	-4.460764E-09	+6.113281E+00	2PT  
+1.050087E+00	-7.711228E-09	+5.990234E+00	2PT  
+1.060086E+00	+1.534959E-09	+5.869141E+00	2PT  
+1.070052E+00	-5.897271E-09	+5.746094E+00	2PT  
+1.080039E+00	-1.007342E-08	+5.622070E+00	2PT  
+1.090068E+00	+3.832347E-09	+5.499023E+00	2PT  
+1.100029E+00	-6.992954E-09	+5.376953E+00	2PT  
+1.110052E+00	-7.148793E-09	+5.254883E+00	2PT  
+1.120034E+00	+1.332923E-09	+5.131836E+00	2PT  
+1.130046E+00	-7.258745E-09	+5.007813E+00	2PT  
+1.140070E+00	-8.570675E-09	+4.882813E+00	2PT  
+1.150064E+00	+1.453308E-09	+4.760742E+00	2PT  
+1.160047E+00	-4.959478E-09	+4.636719E+00	2PT  
+1.170106E+00	-8.449460E-09	+4.515625E+00	2PT  
+1.180083E+00	+1.679511E-09	+4.392578E+00	2PT  
+1.190151E+00	-2.373560E-09	+4.270508E+00	2PT  
+1.200118E+00	-9.424784E-09	+4.147461E+00	2PT  
+1.210129E+00	+1.617016E-09	+4.024414E+00	2PT  
+1.220122E+00	-6.619699E-09	+3.901367E+00	2PT  
+1.230112E+00	-7.186229E-09	+3.779297E+00	2PT  
+1.240155E+00	+1.356248E-09	+3.656250E+00	2PT  
+1.250167E+00	-7.265020E-09	+3.532227E+00	2PT  
+1.260188E+00	+3.411997E-09	+3.404297E+00	2PT  
+1.270152E+00	+8.789939E-09	+3.282227E+00	2PT  
+1.280150E+00	-7.823644E-09	+3.157227E+00	2PT  
+1.290191E+00	+4.756702E-09	+3.036133E+00	2PT  
+1.300127E+00	-3.627140E-09	+2.912109E+00	2PT  
+1.310107E+00	-3.515479E-09	+2.791016E+00	2PT  
+1.320071E+00	+6.764140E-09	+2.664063E+00	2PT  
+1.330078E+00	-5.454413E-09	+2.541992E+00	2PT  
+1.340069E+00	-7.027966E-09	+2.418945E+00	2PT  
+1.350069E+00	+5.275763E-09	+2.294922E+00	2PT  
+1.360064E+00	-3.283427E-09	+2.168945E+00	2PT  
+1.370003E+00	-1.075169E-08	+2.050781E+00	2PT  
+1.380025E+00	-4.416608E-09	+1.913086E+00	2PT  
+1.390043E+00	+5.984331E-09	+1.775391E+00	2PT  
+1.400055E+00	+1.853647E-09	+1.635742E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=4.1100000000E-1
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

