[[DESCRIPTION]]
CPB_SE5_12_6P_4000K_200lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	0.0**	%
Voc      	3.1**	mV
Jsc       	0.00**	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	2.4114E-9	A
Rsc       	1.5381E+6	Ohm
Roc      	1.5446E+6	Ohm
A          	0.09	cm2
Incd. Pwr	0.163	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000428E-01	+3.897723E-09	+2.141699E+01	2PT  
-1.900971E-01	+9.752562E-09	+2.129492E+01	2PT  
-1.801274E-01	-6.036769E-09	+2.117188E+01	2PT  
-1.701569E-01	+5.489431E-09	+2.105078E+01	2PT  
-1.601519E-01	+9.681324E-09	+2.092676E+01	2PT  
-1.501410E-01	-2.835993E-09	+2.080371E+01	2PT  
-1.401353E-01	+3.478645E-09	+2.067969E+01	2PT  
-1.301503E-01	-6.327608E-09	+2.055566E+01	2PT  
-1.201638E-01	-9.616318E-09	+2.043359E+01	2PT  
-1.101670E-01	+1.657419E-09	+2.031055E+01	2PT  
-1.001084E-01	-4.641155E-09	+2.018848E+01	2PT  
-9.009548E-02	-5.670183E-09	+2.006641E+01	2PT  
-8.007780E-02	+3.535723E-09	+1.994336E+01	2PT  
-7.008909E-02	+1.457468E-09	+1.982031E+01	2PT  
-6.006804E-02	-6.356777E-09	+1.969727E+01	2PT  
-5.008402E-02	+1.691987E-09	+1.957422E+01	2PT  
-4.006653E-02	-2.386040E-09	+1.944629E+01	2PT  
-3.000777E-02	+3.704014E-09	+1.932227E+01	2PT  
-2.006661E-02	-5.343566E-09	+1.919922E+01	2PT  
-1.000875E-02	-5.493949E-09	+1.907715E+01	2PT  
+1.223551E-04	+2.508046E-09	+1.895410E+01	2PT  
+1.012256E-02	+7.592681E-09	+1.883203E+01	2PT  
+2.009188E-02	-8.802692E-09	+1.870801E+01	2PT  
+3.008938E-02	+1.857360E-09	+1.858496E+01	2PT  
+4.011898E-02	-5.715607E-09	+1.846094E+01	2PT  
+5.012149E-02	+2.159795E-09	+1.833105E+01	2PT  
