[[DESCRIPTION]]
CPB_SE5_15_1P_4000K_1000lux

[[ANALYSIS]]
EFF      	34.02	%
FF        	70.0	%
Voc      	1211.6	mV
Jsc       	0.16	mA/cm2
Vmax   	980.2	mV
Jmax    	0.14	mA/cm2
Isc        	1.484121E-5	A
Rsc       	2.4091E+5	Ohm
Roc      	5654.9	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000995E-01	-1.524425E-05	+2.211523E+01	2PT  
-1.901122E-01	-1.502598E-05	+2.198633E+01	2PT  
-1.801340E-01	-1.522045E-05	+2.186230E+01	2PT  
-1.701439E-01	-1.499294E-05	+2.173926E+01	2PT  
-1.601727E-01	-1.490187E-05	+2.161523E+01	2PT  
-1.501399E-01	-1.491598E-05	+2.149023E+01	2PT  
-1.401616E-01	-1.500923E-05	+2.136719E+01	2PT  
-1.301646E-01	-1.494813E-05	+2.124023E+01	2PT  
-1.201683E-01	-1.507001E-05	+2.111816E+01	2PT  
-1.101496E-01	-1.489147E-05	+2.099512E+01	2PT  
-1.001411E-01	-1.498940E-05	+2.087207E+01	2PT  
-9.012677E-02	-1.507292E-05	+2.074805E+01	2PT  
-8.011344E-02	-1.486188E-05	+2.062598E+01	2PT  
-7.011729E-02	-1.487516E-05	+2.050195E+01	2PT  
-6.007966E-02	-1.505311E-05	+2.037988E+01	2PT  
-5.006513E-02	-1.486516E-05	+2.025586E+01	2PT  
-4.006882E-02	-1.484129E-05	+2.013184E+01	2PT  
-3.008359E-02	-1.496526E-05	+2.000879E+01	2PT  
-2.006245E-02	-1.517362E-05	+1.988574E+01	2PT  
-1.002879E-02	-1.485310E-05	+1.976172E+01	2PT  
+7.902508E-05	-1.484112E-05	+1.963770E+01	2PT  
+1.008920E-02	-1.493911E-05	+1.951465E+01	2PT  
+2.008178E-02	-1.513258E-05	+1.939062E+01	2PT  
+3.009032E-02	-1.503402E-05	+1.926367E+01	2PT  
+4.014121E-02	-1.481852E-05	+1.914453E+01	2PT  
+5.013489E-02	-1.481821E-05	+1.901563E+01	2PT  
+6.013267E-02	-1.483780E-05	+1.889355E+01	2PT  
+7.012940E-02	-1.479972E-05	+1.876465E+01	2PT  
+8.014055E-02	-1.487724E-05	+1.864258E+01	2PT  
+9.017835E-02	-1.506886E-05	+1.851953E+01	2PT  
+1.001818E-01	-1.477338E-05	+1.839648E+01	2PT  
+1.101820E-01	-1.479068E-05	+1.827246E+01	2PT  
+1.201555E-01	-1.488545E-05	+1.814844E+01	2PT  
