[[DESCRIPTION]]
CPB_SE5_15_3P_4000K_1000lux

[[ANALYSIS]]
EFF      	37.63	%
FF        	75.1	%
Voc      	1241.7	mV
Jsc       	0.17	mA/cm2
Vmax   	1030.1	mV
Jmax    	0.15	mA/cm2
Isc        	1.493011E-5	A
Rsc       	6.1232E+6**	Ohm
Roc      	4840.4	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000940E-01	-1.511629E-05	+2.205273E+01	2PT  
-1.901194E-01	-1.484354E-05	+2.192871E+01	2PT  
-1.801249E-01	-1.484322E-05	+2.180469E+01	2PT  
-1.701372E-01	-1.492644E-05	+2.168066E+01	2PT  
-1.601679E-01	-1.500354E-05	+2.155957E+01	2PT  
-1.501403E-01	-1.482191E-05	+2.143555E+01	2PT  
-1.401812E-01	-1.501526E-05	+2.131445E+01	2PT  
-1.301683E-01	-1.516013E-05	+2.119043E+01	2PT  
-1.201623E-01	-1.482549E-05	+2.106836E+01	2PT  
-1.101619E-01	-1.494072E-05	+2.094531E+01	2PT  
-1.001235E-01	-1.497832E-05	+2.082324E+01	2PT  
-9.011577E-02	-1.488100E-05	+2.070215E+01	2PT  
-8.011785E-02	-1.499831E-05	+2.057812E+01	2PT  
-7.010705E-02	-1.483784E-05	+2.044922E+01	2PT  
-6.008452E-02	-1.510908E-05	+2.032715E+01	2PT  
-5.007096E-02	-1.481132E-05	+2.020313E+01	2PT  
-4.007974E-02	-1.481064E-05	+2.007910E+01	2PT  
-3.007030E-02	-1.489053E-05	+1.995605E+01	2PT  
-2.006076E-02	-1.480830E-05	+1.983496E+01	2PT  
-1.002043E-02	-1.479572E-05	+1.971094E+01	2PT  
+7.902365E-05	-1.493117E-05	+1.958887E+01	2PT  
+1.008247E-02	-1.479680E-05	+1.946680E+01	2PT  
+2.009933E-02	-1.478232E-05	+1.934180E+01	2PT  
+3.008791E-02	-1.487852E-05	+1.921875E+01	2PT  
+4.013148E-02	-1.507214E-05	+1.909570E+01	2PT  
+5.012891E-02	-1.489803E-05	+1.897168E+01	2PT  
+6.012655E-02	-1.477710E-05	+1.884766E+01	2PT  
+7.013453E-02	-1.479987E-05	+1.872363E+01	2PT  
+8.013634E-02	-1.507650E-05	+1.860156E+01	2PT  
+9.017131E-02	-1.482543E-05	+1.847754E+01	2PT  
+1.001774E-01	-1.480588E-05	+1.835547E+01	2PT  
+1.101554E-01	-1.490719E-05	+1.823145E+01	2PT  
+1.201869E-01	-1.476128E-05	+1.810938E+01	2PT  
+1.301779E-01	-1.478739E-05	+1.798730E+01	2PT  
+1.402009E-01	-1.495969E-05	+1.786328E+01	2PT  
+1.501889E-01	-1.501974E-05	+1.773828E+01	2PT  
+1.601898E-01	-1.474999E-05	+1.761719E+01	2PT  
+1.701597E-01	-1.486145E-05	+1.749414E+01	2PT  
+1.801458E-01	-1.476822E-05	+1.737207E+01	2PT  
+1.901613E-01	-1.473316E-05	+1.724805E+01	2PT  
+2.001649E-01	-1.480718E-05	+1.712402E+01	2PT  
+2.100935E-01	-1.492673E-05	+1.700000E+01	2PT  
+2.200760E-01	-1.489608E-05	+1.687500E+01	2PT  
+2.300938E-01	-1.476075E-05	+1.675488E+01	2PT  
+2.400946E-01	-1.483423E-05	+1.663086E+01	2PT  
+2.500810E-01	-1.501814E-05	+1.650684E+01	2PT  
+2.600574E-01	-1.476063E-05	+1.638281E+01	2PT  
+2.700599E-01	-1.470166E-05	+1.625977E+01	2PT  
+2.800579E-01	-1.476327E-05	+1.613477E+01	2PT  
+2.900849E-01	-1.496562E-05	+1.601270E+01	2PT  
+3.000929E-01	-1.483713E-05	+1.588477E+01	2PT  
+3.101029E-01	-1.500265E-05	+1.576172E+01	2PT  
+3.201021E-01	-1.495792E-05	+1.563379E+01	2PT  
+3.301020E-01	-1.477126E-05	+1.550977E+01	2PT  
+3.401480E-01	-1.470688E-05	+1.538867E+01	2PT  
+3.501409E-01	-1.467628E-05	+1.526074E+01	2PT  
+3.601311E-01	-1.484756E-05	+1.513867E+01	2PT  
+3.701438E-01	-1.494005E-05	+1.501367E+01	2PT  
+3.801440E-01	-1.465657E-05	+1.489062E+01	2PT  
+3.901833E-01	-1.466496E-05	+1.476660E+01	2PT  
+4.001848E-01	-1.475082E-05	+1.464355E+01	2PT  
+4.101802E-01	-1.474915E-05	+1.451758E+01	2PT  
+4.201671E-01	-1.486767E-05	+1.439453E+01	2PT  
+4.301653E-01	-1.464128E-05	+1.427148E+01	2PT  
+4.401625E-01	-1.473035E-05	+1.414844E+01	2PT  
+4.501709E-01	-1.490361E-05	+1.402441E+01	2PT  
+4.601492E-01	-1.468732E-05	+1.390039E+01	2PT  
+4.701374E-01	-1.460575E-05	+1.377637E+01	2PT  
+4.801140E-01	-1.461045E-05	+1.365039E+01	2PT  
+4.901337E-01	-1.459836E-05	+1.352441E+01	2PT  
+5.001233E-01	-1.477505E-05	+1.340527E+01	2PT  
+5.101049E-01	-1.472279E-05	+1.328027E+01	2PT  
+5.200663E-01	-1.466631E-05	+1.315918E+01	2PT  
+5.300533E-01	-1.481329E-05	+1.303516E+01	2PT  
+5.400926E-01	-1.467337E-05	+1.291211E+01	2PT  
+5.500728E-01	-1.459381E-05	+1.279004E+01	2PT  
+5.600798E-01	-1.458619E-05	+1.266309E+01	2PT  
+5.700580E-01	-1.464288E-05	+1.253906E+01	2PT  
+5.800682E-01	-1.457542E-05	+1.241699E+01	2PT  
+5.901132E-01	-1.453867E-05	+1.229395E+01	2PT  
+6.001107E-01	-1.463211E-05	+1.216992E+01	2PT  
+6.101040E-01	-1.471933E-05	+1.204492E+01	2PT  
+6.201206E-01	-1.469756E-05	+1.192090E+01	2PT  
+6.301257E-01	-1.449149E-05	+1.179785E+01	2PT  
