[[DESCRIPTION]]
CPB_SE5_15_3P_4000K_200lux

[[ANALYSIS]]
EFF      	22.32**	%
FF        	58.1**	%
Voc      	1015.8**	mV
Jsc       	0.06**	mA/cm2
Vmax   	760.1	mV
Jmax    	0.05	mA/cm2
Isc        	5.5532E-6	A
Rsc       	6.8541E+5	Ohm
Roc      	5733.3**	Ohm
A          	0.09	cm2
Incd. Pwr	0.163	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001203E-01	-5.647305E-06	+2.284180E+01	2PT  
-1.901171E-01	-5.629650E-06	+2.271777E+01	2PT  
-1.801491E-01	-5.643636E-06	+2.258887E+01	2PT  
-1.701580E-01	-5.616111E-06	+2.246582E+01	2PT  
-1.601739E-01	-5.608212E-06	+2.234082E+01	2PT  
-1.501557E-01	-5.651221E-06	+2.221777E+01	2PT  
-1.401644E-01	-5.610588E-06	+2.209473E+01	2PT  
-1.301805E-01	-5.619854E-06	+2.197070E+01	2PT  
-1.201893E-01	-5.629845E-06	+2.184766E+01	2PT  
-1.101720E-01	-5.609628E-06	+2.172266E+01	2PT  
-1.001479E-01	-5.608120E-06	+2.160156E+01	2PT  
-9.012932E-02	-5.587972E-06	+2.147754E+01	2PT  
-8.012169E-02	-5.597429E-06	+2.135645E+01	2PT  
-7.011834E-02	-5.589523E-06	+2.123145E+01	2PT  
-6.007949E-02	-5.571261E-06	+2.110840E+01	2PT  
-5.008769E-02	-5.590091E-06	+2.098145E+01	2PT  
-4.009227E-02	-5.579188E-06	+2.085840E+01	2PT  
-3.008517E-02	-5.566639E-06	+2.073340E+01	2PT  
-2.007407E-02	-5.585337E-06	+2.061035E+01	2PT  
-1.002129E-02	-5.548972E-06	+2.048828E+01	2PT  
+7.652544E-05	-5.553281E-06	+2.036426E+01	2PT  
+1.008505E-02	-5.578702E-06	+2.024121E+01	2PT  
+2.008037E-02	-5.551489E-06	+2.011816E+01	2PT  
+3.008119E-02	-5.561321E-06	+1.999316E+01	2PT  
+4.012281E-02	-5.546597E-06	+1.986914E+01	2PT  
+5.011548E-02	-5.547933E-06	+1.974805E+01	2PT  
+6.013253E-02	-5.574063E-06	+1.962109E+01	2PT  
+7.012849E-02	-5.527191E-06	+1.949902E+01	2PT  
+8.013403E-02	-5.532695E-06	+1.937598E+01	2PT  
+9.016459E-02	-5.561302E-06	+1.925195E+01	2PT  
+1.001611E-01	-5.524324E-06	+1.912891E+01	2PT  
+1.101627E-01	-5.524256E-06	+1.900391E+01	2PT  
+1.201775E-01	-5.503264E-06	+1.887988E+01	2PT  
+1.301814E-01	-5.510518E-06	+1.875488E+01	2PT  
+1.402055E-01	-5.522535E-06	+1.863379E+01	2PT  
+1.501801E-01	-5.506407E-06	+1.850781E+01	2PT  
+1.601575E-01	-5.503822E-06	+1.838477E+01	2PT  
+1.701429E-01	-5.513831E-06	+1.826270E+01	2PT  
+1.801400E-01	-5.492142E-06	+1.813867E+01	2PT  
+1.901575E-01	-5.490743E-06	+1.801758E+01	2PT  
+2.001274E-01	-5.478973E-06	+1.789355E+01	2PT  
+2.101027E-01	-5.473875E-06	+1.776563E+01	2PT  
+2.200911E-01	-5.490847E-06	+1.764355E+01	2PT  
+2.300676E-01	-5.434984E-06	+1.751660E+01	2PT  
+2.400950E-01	-5.478378E-06	+1.739160E+01	2PT  
+2.500763E-01	-5.439075E-06	+1.726855E+01	2PT  
+2.600537E-01	-5.440098E-06	+1.714453E+01	2PT  
+2.700478E-01	-5.423379E-06	+1.702051E+01	2PT  
+2.800435E-01	-5.419246E-06	+1.689746E+01	2PT  
+2.900849E-01	-5.432638E-06	+1.677344E+01	2PT  
+3.000987E-01	-5.390467E-06	+1.665039E+01	2PT  
+3.100896E-01	-5.400884E-06	+1.652344E+01	2PT  
+3.200880E-01	-5.355446E-06	+1.639844E+01	2PT  
+3.301032E-01	-5.366900E-06	+1.627832E+01	2PT  
+3.401316E-01	-5.385902E-06	+1.615039E+01	2PT  
+3.501328E-01	-5.320443E-06	+1.602832E+01	2PT  
+3.601359E-01	-5.332807E-06	+1.589941E+01	2PT  
+3.701405E-01	-5.285543E-06	+1.577734E+01	2PT  
+3.801323E-01	-5.293978E-06	+1.565234E+01	2PT  
+3.901835E-01	-5.267183E-06	+1.552930E+01	2PT  
+4.001852E-01	-5.257738E-06	+1.540527E+01	2PT  
+4.101737E-01	-5.255743E-06	+1.528125E+01	2PT  
+4.201982E-01	-5.223689E-06	+1.515723E+01	2PT  
+4.301731E-01	-5.238435E-06	+1.503320E+01	2PT  
+4.401791E-01	-5.218505E-06	+1.491113E+01	2PT  
+4.501635E-01	-5.151047E-06	+1.478418E+01	2PT  
+4.601370E-01	-5.142902E-06	+1.466309E+01	2PT  
+4.701297E-01	-5.100932E-06	+1.453906E+01	2PT  
+4.801163E-01	-5.096030E-06	+1.441602E+01	2PT  
+4.901289E-01	-5.091701E-06	+1.429297E+01	2PT  
+5.001103E-01	-5.077431E-06	+1.416895E+01	2PT  
+5.101036E-01	-5.063438E-06	+1.404492E+01	2PT  
+5.200728E-01	-5.065585E-06	+1.392090E+01	2PT  
+5.300660E-01	-5.049101E-06	+1.379785E+01	2PT  
+5.400928E-01	-5.020625E-06	+1.367383E+01	2PT  
+5.500541E-01	-5.018843E-06	+1.354590E+01	2PT  
+5.600651E-01	-5.013160E-06	+1.342188E+01	2PT  
+5.700657E-01	-4.954129E-06	+1.329883E+01	2PT  
+5.800807E-01	-4.936211E-06	+1.317578E+01	2PT  
+5.901061E-01	-4.903150E-06	+1.305273E+01	2PT  
+6.001092E-01	-4.880898E-06	+1.293066E+01	2PT  
+6.101110E-01	-4.798278E-06	+1.280566E+01	2PT  
+6.201239E-01	-4.834635E-06	+1.268262E+01	2PT  
+6.301362E-01	-4.789002E-06	+1.255957E+01	2PT  
+6.401547E-01	-4.787524E-06	+1.243555E+01	2PT  
+6.501595E-01	-4.809093E-06	+1.231445E+01	2PT  
+6.601419E-01	-4.706324E-06	+1.219043E+01	2PT  
+6.701665E-01	-4.686955E-06	+1.206738E+01	2PT  
+6.801550E-01	-4.711209E-06	+1.194531E+01	2PT  
+6.902052E-01	-4.653200E-06	+1.182031E+01	2PT  
+7.001778E-01	-4.636523E-06	+1.169727E+01	2PT  
+7.101650E-01	-4.532605E-06	+1.157422E+01	2PT  
+7.201719E-01	-4.429645E-06	+1.145020E+01	2PT  
+7.301467E-01	-4.434323E-06	+1.132617E+01	2PT  
+7.401586E-01	-4.368503E-06	+1.120215E+01	2PT  
+7.501547E-01	-4.348540E-06	+1.108008E+01	2PT  
+7.601260E-01	-4.308341E-06	+1.095508E+01	2PT  
+7.700973E-01	-4.245137E-06	+1.083203E+01	2PT  
+7.800789E-01	-4.151314E-06	+1.070898E+01	2PT  
+7.900949E-01	-4.076242E-06	+1.058691E+01	2PT  
+8.000837E-01	-3.887443E-06	+1.046289E+01	2PT  
+8.100736E-01	-3.988361E-06	+1.033887E+01	2PT  
+8.200507E-01	-3.919877E-06	+1.021484E+01	2PT  
+8.300166E-01	-3.708354E-06	+1.009082E+01	2PT  
+8.400480E-01	-3.604107E-06	+9.966797E+00	2PT  
+8.500770E-01	-3.744953E-06	+9.843750E+00	2PT  
+8.600864E-01	-3.613931E-06	+9.721680E+00	2PT  
+8.700944E-01	-3.575861E-06	+9.596680E+00	2PT  
+8.800954E-01	-3.448700E-06	+9.472656E+00	2PT  
+8.901114E-01	-3.278704E-06	+9.351563E+00	2PT  
+9.001157E-01	-3.339620E-06	+9.231445E+00	2PT  
+9.101060E-01	-3.065033E-06	+9.106445E+00	2PT  
+9.201196E-01	-2.922414E-06	+8.986328E+00	2PT  
+9.301496E-01	-2.819652E-06	+8.861328E+00	2PT  
+9.401648E-01	-2.715528E-06	+8.741211E+00	2PT  
+9.501749E-01	-2.420522E-06	+8.617188E+00	2PT  
+9.601726E-01	-2.425030E-06	+8.494141E+00	2PT  
+9.701828E-01	-2.561211E-06	+8.369141E+00	2PT  
+9.801355E-01	-2.472088E-06	+8.246094E+00	2PT  
+9.901749E-01	-2.359263E-06	+8.123047E+00	2PT  
+1.000181E+00	-2.226857E-06	+8.000977E+00	2PT  
+1.010174E+00	-2.122649E-06	+7.881836E+00	2PT  
+1.020181E+00	+1.643325E-06	+7.742188E+00	2PT  
+1.030141E+00	-1.853189E-06	+7.606445E+00	2PT  
+1.040238E+00	-9.314366E-07	+7.258789E+00	2PT  
+1.050097E+00	-1.033096E-06	+7.132813E+00	2PT  
+1.059983E+00	-8.343835E-07	+7.004883E+00	2PT  
+1.070087E+00	-8.758749E-07	+6.753906E+00	2PT  
+1.080129E+00	-2.706173E-07	+6.401367E+00	2PT  
+1.090299E+00	-4.006717E-07	+6.276367E+00	2PT  
+1.100093E+00	-2.073116E-07	+6.152344E+00	2PT  
+1.110637E+00	+3.006302E-07	+6.030273E+00	2PT  
+1.119937E+00	+1.008659E-06	+5.909180E+00	2PT  
+1.130138E+00	+1.048385E-06	+5.770508E+00	2PT  
+1.140085E+00	+9.581792E-07	+5.534180E+00	2PT  
+1.150147E+00	+1.177092E-06	+5.063477E+00	2PT  
+1.160121E+00	+1.097371E-06	+4.941406E+00	2PT  
+1.170086E+00	+1.570932E-06	+4.817383E+00	2PT  
+1.180051E+00	+2.067219E-06	+4.695313E+00	2PT  
+1.190149E+00	+2.701520E-06	+4.571289E+00	2PT  
+1.200140E+00	+3.300808E-06	+4.449219E+00	2PT  
+1.210096E+00	+4.271715E-06	+4.325195E+00	2PT  
+1.220120E+00	+5.042803E-06	+4.200195E+00	2PT  
+1.230133E+00	+5.669469E-06	+4.080078E+00	2PT  
+1.240238E+00	+6.569123E-06	+3.955078E+00	2PT  
+1.250210E+00	+7.406193E-06	+3.833984E+00	2PT  
+1.260170E+00	+1.023180E-05	+3.596680E+00	2PT  
+1.270143E+00	+1.237043E-05	+3.470703E+00	2PT  
+1.280185E+00	+1.884506E-05	+3.347656E+00	2PT  
+1.289994E+00	+2.246058E-05	+3.223633E+00	2PT  
+1.300155E+00	+2.993163E-05	+3.101563E+00	2PT  
+1.310139E+00	+2.573318E-05	+2.979492E+00	2PT  
+1.320078E+00	+2.987027E-05	+2.856445E+00	2PT  
+1.330126E+00	+3.543766E-05	+2.731445E+00	2PT  
+1.340112E+00	+4.269929E-05	+2.610352E+00	2PT  
+1.350077E+00	+4.822437E-05	+2.486328E+00	2PT  
+1.360067E+00	+5.644835E-05	+2.364258E+00	2PT  
+1.370069E+00	+6.611912E-05	+2.239258E+00	2PT  
+1.380081E+00	+7.871013E-05	+2.118164E+00	2PT  
+1.390052E+00	+9.118934E-05	+1.987305E+00	2PT  
+1.400060E+00	+1.117896E-04	+1.750000E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.6300000000E-1
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

