[[DESCRIPTION]]
CPB_SE5_15_4P_4000K_1000lux

[[ANALYSIS]]
EFF      	30.39	%
FF        	66.8	%
Voc      	1149.3	mV
Jsc       	0.16	mA/cm2
Vmax   	890.1	mV
Jmax    	0.14	mA/cm2
Isc        	1.464148E-5	A
Rsc       	84782	Ohm
Roc      	9285	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001006E-01	-1.474017E-05	+2.219531E+01	2PT  
-1.901206E-01	-1.502253E-05	+2.207422E+01	2PT  
-1.801366E-01	-1.474903E-05	+2.194922E+01	2PT  
-1.701482E-01	-1.469213E-05	+2.182520E+01	2PT  
-1.601613E-01	-1.479662E-05	+2.170313E+01	2PT  
-1.501461E-01	-1.495646E-05	+2.157910E+01	2PT  
-1.401645E-01	-1.467469E-05	+2.145605E+01	2PT  
-1.301536E-01	-1.468463E-05	+2.133203E+01	2PT  
-1.201489E-01	-1.475999E-05	+2.120801E+01	2PT  
-1.101746E-01	-1.494340E-05	+2.108496E+01	2PT  
-1.001159E-01	-1.464857E-05	+2.096094E+01	2PT  
-9.012160E-02	-1.497074E-05	+2.083203E+01	2PT  
-8.011219E-02	-1.463839E-05	+2.070898E+01	2PT  
-7.010838E-02	-1.469099E-05	+2.058594E+01	2PT  
-6.009550E-02	-1.479013E-05	+2.046094E+01	2PT  
-5.007013E-02	-1.462326E-05	+2.033984E+01	2PT  
-4.007639E-02	-1.464401E-05	+2.021582E+01	2PT  
-3.007110E-02	-1.477612E-05	+2.009180E+01	2PT  
-2.007736E-02	-1.473562E-05	+1.996875E+01	2PT  
-1.001795E-02	-1.461968E-05	+1.984570E+01	2PT  
+8.735742E-05	-1.464167E-05	+1.972168E+01	2PT  
+1.008672E-02	-1.485997E-05	+1.959863E+01	2PT  
+2.009942E-02	-1.458112E-05	+1.947559E+01	2PT  
+3.009878E-02	-1.458858E-05	+1.935156E+01	2PT  
+4.013065E-02	-1.466191E-05	+1.922754E+01	2PT  
+5.013652E-02	-1.484535E-05	+1.910449E+01	2PT  
+6.013340E-02	-1.480317E-05	+1.897852E+01	2PT  
+7.012007E-02	-1.485727E-05	+1.885156E+01	2PT  
+8.014560E-02	-1.455676E-05	+1.873145E+01	2PT  
+9.017085E-02	-1.456647E-05	+1.860547E+01	2PT  
+1.001536E-01	-1.457118E-05	+1.848047E+01	2PT  
+1.101620E-01	-1.459138E-05	+1.835449E+01	2PT  
+1.201610E-01	-1.462754E-05	+1.822949E+01	2PT  
+1.301813E-01	-1.476790E-05	+1.810547E+01	2PT  
+1.402014E-01	-1.460790E-05	+1.798145E+01	2PT  
+1.501923E-01	-1.450528E-05	+1.785840E+01	2PT  
+1.601800E-01	-1.453875E-05	+1.773340E+01	2PT  
+1.701543E-01	-1.461209E-05	+1.760938E+01	2PT  
+1.801386E-01	-1.470604E-05	+1.748633E+01	2PT  
+1.901664E-01	-1.450212E-05	+1.736426E+01	2PT  
+2.001463E-01	-1.456013E-05	+1.724023E+01	2PT  
+2.101146E-01	-1.470941E-05	+1.711621E+01	2PT  
+2.200989E-01	-1.456432E-05	+1.699219E+01	2PT  
+2.300808E-01	-1.446962E-05	+1.687109E+01	2PT  
+2.401058E-01	-1.443368E-05	+1.674316E+01	2PT  
+2.500816E-01	-1.469590E-05	+1.662207E+01	2PT  
+2.600703E-01	-1.454712E-05	+1.649805E+01	2PT  
+2.700509E-01	-1.441462E-05	+1.637500E+01	2PT  
+2.800584E-01	-1.443314E-05	+1.625098E+01	2PT  
+2.900876E-01	-1.466992E-05	+1.612891E+01	2PT  
+3.000987E-01	-1.447087E-05	+1.600000E+01	2PT  
