[[DESCRIPTION]]
CPB_SE5_15_5P_2700K_1000lux

[[ANALYSIS]]
EFF      	20.03	%
FF        	69.9	%
Voc      	1208.7	mV
Jsc       	0.07	mA/cm2
Vmax   	990.2	mV
Jmax    	0.06	mA/cm2
Isc        	6.316876E-6	A
Rsc       	2.1317E+5	Ohm
Roc      	12560	Ohm
A          	0.09	cm2
Incd. Pwr	0.296	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001359E-01	-6.471798E-06	+2.209375E+01	2PT  
-1.901280E-01	-6.460059E-06	+2.196973E+01	2PT  
-1.801423E-01	-6.359471E-06	+2.184473E+01	2PT  
-1.701523E-01	-6.388736E-06	+2.172070E+01	2PT  
-1.601973E-01	-6.406249E-06	+2.159668E+01	2PT  
-1.501627E-01	-6.494338E-06	+2.147266E+01	2PT  
-1.401609E-01	-6.390244E-06	+2.134863E+01	2PT  
-1.301588E-01	-6.357083E-06	+2.122754E+01	2PT  
-1.201745E-01	-6.369515E-06	+2.110059E+01	2PT  
-1.102138E-01	-6.430090E-06	+2.097754E+01	2PT  
-1.001292E-01	-6.341207E-06	+2.085547E+01	2PT  
-9.012715E-02	-6.393722E-06	+2.073340E+01	2PT  
-8.011299E-02	-6.374575E-06	+2.061230E+01	2PT  
-7.011905E-02	-6.327423E-06	+2.048828E+01	2PT  
-6.013844E-02	-6.396986E-06	+2.036621E+01	2PT  
-5.008846E-02	-6.474409E-06	+2.024316E+01	2PT  
-4.006293E-02	-6.318632E-06	+2.012012E+01	2PT  
-3.007128E-02	-6.347542E-06	+1.999512E+01	2PT  
-2.009491E-02	-6.357131E-06	+1.987109E+01	2PT  
-1.003961E-02	-6.432068E-06	+1.974805E+01	2PT  
+8.235860E-05	-6.315931E-06	+1.962402E+01	2PT  
+1.008336E-02	-6.338569E-06	+1.950195E+01	2PT  
+2.006094E-02	-6.411092E-06	+1.937793E+01	2PT  
+3.009953E-02	-6.387207E-06	+1.925391E+01	2PT  
+4.013984E-02	-6.293666E-06	+1.913086E+01	2PT  
+5.013995E-02	-6.326281E-06	+1.900586E+01	2PT  
+6.009684E-02	-6.354262E-06	+1.888281E+01	2PT  
+7.012790E-02	-6.436751E-06	+1.875879E+01	2PT  
+8.013976E-02	-6.286030E-06	+1.863574E+01	2PT  
+9.017980E-02	-6.289055E-06	+1.851270E+01	2PT  
+1.001344E-01	-6.341464E-06	+1.838770E+01	2PT  
+1.101746E-01	-6.383743E-06	+1.826465E+01	2PT  
+1.201963E-01	-6.268112E-06	+1.814258E+01	2PT  
+1.301560E-01	-6.325961E-06	+1.801953E+01	2PT  
+1.401791E-01	-6.433240E-06	+1.789453E+01	2PT  
+1.501976E-01	-6.257122E-06	+1.777344E+01	2PT  
+1.601829E-01	-6.262705E-06	+1.764648E+01	2PT  
+1.701455E-01	-6.284416E-06	+1.752441E+01	2PT  
+1.801290E-01	-6.396275E-06	+1.740137E+01	2PT  
+1.901686E-01	-6.260575E-06	+1.727637E+01	2PT  
+2.001600E-01	-6.239079E-06	+1.715332E+01	2PT  
+2.100949E-01	-6.296319E-06	+1.703027E+01	2PT  
+2.200778E-01	-6.401421E-06	+1.690527E+01	2PT  
+2.300959E-01	-6.230085E-06	+1.678516E+01	2PT  
+2.401051E-01	-6.226817E-06	+1.665723E+01	2PT  
+2.501025E-01	-6.230071E-06	+1.653418E+01	2PT  
+2.600209E-01	-6.279555E-06	+1.641016E+01	2PT  
+2.700484E-01	-6.313878E-06	+1.628711E+01	2PT  
+2.800422E-01	-6.205930E-06	+1.616309E+01	2PT  
+2.900982E-01	-6.232447E-06	+1.603906E+01	2PT  
+3.001309E-01	-6.219044E-06	+1.591309E+01	2PT  
+3.101037E-01	-6.232145E-06	+1.578613E+01	2PT  
+3.200627E-01	-6.321995E-06	+1.566309E+01	2PT  
+3.300920E-01	-6.286580E-06	+1.553809E+01	2PT  
