[[DESCRIPTION]]
CPB_SE5_15_6P_4000K_200lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	0.0**	%
Voc      	6.0**	mV
Jsc       	0.00**	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	9.4900E-9	A
Rsc       	5.9194E+7**	Ohm
Roc      	1.6618E+6**	Ohm
A          	0.09	cm2
Incd. Pwr	0.163	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000603E-01	+3.739411E-09	+2.143945E+01	2PT  
-1.901172E-01	-7.789496E-09	+2.131543E+01	2PT  
-1.801572E-01	-9.874195E-09	+2.119141E+01	2PT  
-1.701661E-01	+4.941207E-09	+2.106738E+01	2PT  
-1.601661E-01	-8.183228E-09	+2.094043E+01	2PT  
-1.501423E-01	+1.501621E-09	+2.081641E+01	2PT  
-1.402047E-01	-4.227020E-09	+2.069238E+01	2PT  
-1.301854E-01	+6.775744E-09	+2.056934E+01	2PT  
-1.201662E-01	+6.213396E-09	+2.044727E+01	2PT  
-1.101539E-01	-1.691544E-09	+2.032324E+01	2PT  
-1.001136E-01	+6.918258E-09	+2.020020E+01	2PT  
-9.010381E-02	+7.883006E-09	+2.007617E+01	2PT  
-8.009780E-02	-4.539507E-09	+1.995410E+01	2PT  
-7.005734E-02	+4.424253E-09	+1.983105E+01	2PT  
-6.005441E-02	+2.628014E-09	+1.970801E+01	2PT  
-5.009266E-02	-9.983805E-09	+1.958301E+01	2PT  
-4.008058E-02	+1.721987E-09	+1.945996E+01	2PT  
-3.010770E-02	-3.947905E-09	+1.933594E+01	2PT  
-2.006985E-02	+6.283784E-09	+1.921289E+01	2PT  
-1.004290E-02	+6.043013E-09	+1.909082E+01	2PT  
+7.652384E-05	-9.608380E-09	+1.896289E+01	2PT  
+1.008672E-02	+6.732048E-09	+1.883887E+01	2PT  
+2.010686E-02	-1.370748E-09	+1.871875E+01	2PT  
+3.009958E-02	+2.815699E-12	+1.859277E+01	2PT  
+4.013450E-02	+9.174729E-09	+1.846875E+01	2PT  
+5.015495E-02	-1.662796E-09	+1.834668E+01	2PT  
+6.017318E-02	+5.288194E-09	+1.822266E+01	2PT  
+7.014840E-02	-3.926653E-09	+1.809863E+01	2PT  
+8.013874E-02	-5.711844E-09	+1.797656E+01	2PT  
+9.016541E-02	+1.547442E-09	+1.785254E+01	2PT  
+1.001872E-01	-1.617380E-09	+1.773047E+01	2PT  
+1.101718E-01	-1.012460E-08	+1.760645E+01	2PT  
+1.201739E-01	+7.177776E-09	+1.748242E+01	2PT  
+1.301663E-01	-7.390789E-09	+1.736133E+01	2PT  
+1.401675E-01	-6.487548E-09	+1.723730E+01	2PT  
+1.501587E-01	+5.096993E-09	+1.711426E+01	2PT  
+1.601434E-01	-4.337462E-09	+1.699121E+01	2PT  
+1.701629E-01	+6.552912E-09	+1.686719E+01	2PT  
+1.801599E-01	+1.217109E-09	+1.674316E+01	2PT  
+1.901680E-01	-3.020126E-09	+1.662109E+01	2PT  
+2.001589E-01	+6.181324E-09	+1.649902E+01	2PT  
+2.101222E-01	+8.852372E-09	+1.637695E+01	2PT  
+2.201130E-01	-5.916821E-09	+1.625195E+01	2PT  
+2.301159E-01	+2.921692E-09	+1.612891E+01	2PT  
+2.401048E-01	+9.713816E-09	+1.600781E+01	2PT  
+2.501082E-01	-4.451591E-09	+1.588477E+01	2PT  
+2.600429E-01	-6.637123E-09	+1.576465E+01	2PT  
+2.700451E-01	+7.946731E-09	+1.564062E+01	2PT  
+2.800516E-01	-2.024825E-09	+1.551660E+01	2PT  
+2.901290E-01	+4.173897E-09	+1.539258E+01	2PT  
+3.000965E-01	-7.130025E-09	+1.526953E+01	2PT  
+3.101167E-01	+6.415473E-09	+1.514258E+01	2PT  
+3.200752E-01	+5.848043E-09	+1.502148E+01	2PT  
+3.301110E-01	-1.621964E-09	+1.489746E+01	2PT  
+3.401485E-01	+7.228966E-09	+1.477441E+01	2PT  
+3.501655E-01	+7.408962E-09	+1.465039E+01	2PT  
+3.601395E-01	-7.972001E-09	+1.452637E+01	2PT  
+3.701358E-01	+3.771480E-09	+1.440234E+01	2PT  
+3.801201E-01	-7.317071E-09	+1.428027E+01	2PT  
+3.901742E-01	-6.002197E-09	+1.415625E+01	2PT  
+4.001802E-01	+4.069748E-09	+1.403418E+01	2PT  
+4.101726E-01	-7.354123E-09	+1.391211E+01	2PT  
+4.201779E-01	+2.613027E-09	+1.378711E+01	2PT  
+4.301884E-01	+8.112539E-09	+1.366211E+01	2PT  
+4.401634E-01	-1.384493E-09	+1.353516E+01	2PT  
+4.501450E-01	+1.575762E-09	+1.341504E+01	2PT  
+4.600903E-01	-5.446046E-09	+1.329102E+01	2PT  
+4.701108E-01	-9.660063E-09	+1.316895E+01	2PT  
+4.801196E-01	+6.842418E-09	+1.304492E+01	2PT  
+4.900951E-01	-4.750729E-09	+1.292285E+01	2PT  
+5.001143E-01	+5.333192E-09	+1.279883E+01	2PT  
+5.100413E-01	-5.169424E-09	+1.267090E+01	2PT  
+5.200443E-01	-4.462414E-09	+1.254687E+01	2PT  
+5.300545E-01	+8.384116E-09	+1.242188E+01	2PT  
+5.400216E-01	-5.639344E-09	+1.230078E+01	2PT  
+5.500482E-01	+2.992512E-09	+1.217090E+01	2PT  
+5.600544E-01	-2.725157E-09	+1.204785E+01	2PT  
+5.700595E-01	-6.314670E-09	+1.192578E+01	2PT  
+5.800799E-01	+7.495182E-09	+1.180176E+01	2PT  
+5.900588E-01	-4.789032E-09	+1.167969E+01	2PT  
+6.000943E-01	+4.759555E-09	+1.155664E+01	2PT  
