[[DESCRIPTION]]
CPB_SE5_16_2P_2700K_1000lux

[[ANALYSIS]]
EFF      	0.00	%
FF        	0.0	%
Voc      	6.8	mV
Jsc       	0.06	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	5.594318E-6	A
Rsc       	1228.1	Ohm
Roc      	1225.1	Ohm
A          	0.09	cm2
Incd. Pwr	0.296	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001045E-01	-1.664203E-04	+2.208105E+01	2PT  
-1.901211E-01	-1.582973E-04	+2.195801E+01	2PT  
-1.801338E-01	-1.499924E-04	+2.183398E+01	2PT  
-1.701449E-01	-1.418003E-04	+2.171289E+01	2PT  
-1.601650E-01	-1.338801E-04	+2.158887E+01	2PT  
-1.501481E-01	-1.254862E-04	+2.146973E+01	2PT  
-1.401576E-01	-1.174945E-04	+2.133105E+01	2PT  
-1.301692E-01	-1.095203E-04	+2.118555E+01	2PT  
-1.201868E-01	-1.017826E-04	+2.083887E+01	2PT  
-1.101784E-01	-9.378032E-05	+2.071484E+01	2PT  
-1.001500E-01	-8.584664E-05	+2.059180E+01	2PT  
-9.013215E-02	-7.784330E-05	+2.046875E+01	2PT  
-8.013197E-02	-6.970891E-05	+2.034473E+01	2PT  
-7.012059E-02	-6.181707E-05	+2.022266E+01	2PT  
-6.009347E-02	-5.384544E-05	+2.009863E+01	2PT  
-5.008179E-02	-4.575126E-05	+1.997852E+01	2PT  
-4.007972E-02	-3.775559E-05	+1.985449E+01	2PT  
-3.007273E-02	-2.971982E-05	+1.973340E+01	2PT  
-2.006825E-02	-2.169429E-05	+1.960840E+01	2PT  
-1.003127E-02	-1.373294E-05	+1.948828E+01	2PT  
+8.985875E-05	-5.521413E-06	+1.913965E+01	2PT  
+1.009420E-02	+2.656250E-06	+1.901855E+01	2PT  
+2.009101E-02	+1.080208E-05	+1.878125E+01	2PT  
+3.009869E-02	+1.905806E-05	+1.865234E+01	2PT  
+4.013800E-02	+2.742299E-05	+1.853223E+01	2PT  
+5.013587E-02	+3.577234E-05	+1.840820E+01	2PT  
+6.014082E-02	+4.422166E-05	+1.828516E+01	2PT  
+7.013590E-02	+5.283770E-05	+1.816211E+01	2PT  
+8.014888E-02	+6.145184E-05	+1.803809E+01	2PT  
+9.018647E-02	+7.021742E-05	+1.791016E+01	2PT  
+1.001887E-01	+7.902541E-05	+1.778613E+01	2PT  
+1.101890E-01	+8.789437E-05	+1.766113E+01	2PT  
+1.201996E-01	+9.689466E-05	+1.754297E+01	2PT  
+1.301883E-01	+1.061715E-04	+1.730371E+01	2PT  
+1.402049E-01	+1.156429E-04	+1.718066E+01	2PT  
+1.501828E-01	+1.250661E-04	+1.705664E+01	2PT  
+1.601623E-01	+1.345827E-04	+1.693359E+01	2PT  
+1.701589E-01	+1.446102E-04	+1.681152E+01	2PT  
+1.801473E-01	+1.545142E-04	+1.668848E+01	2PT  
+1.901634E-01	+1.648307E-04	+1.656543E+01	2PT  
+2.001406E-01	+1.750855E-04	+1.644043E+01	2PT  
+2.101175E-01	+1.858352E-04	+1.631836E+01	2PT  
+2.201038E-01	+1.963069E-04	+1.619531E+01	2PT  
+2.301004E-01	+2.073877E-04	+1.606641E+01	2PT  
+2.401018E-01	+2.183186E-04	+1.594629E+01	2PT  
+2.500842E-01	+2.296036E-04	+1.582324E+01	2PT  
+2.600702E-01	+2.410818E-04	+1.569922E+01	2PT  
+2.700517E-01	+2.527617E-04	+1.557520E+01	2PT  
+2.800624E-01	+2.648343E-04	+1.545117E+01	2PT  
+2.900984E-01	+2.772711E-04	+1.532910E+01	2PT  
+3.000939E-01	+2.897331E-04	+1.520312E+01	2PT  
+3.101070E-01	+3.026370E-04	+1.507910E+01	2PT  
+3.201064E-01	+3.154641E-04	+1.495605E+01	2PT  
+3.301058E-01	+3.290273E-04	+1.483203E+01	2PT  
+3.401449E-01	+3.423621E-04	+1.471191E+01	2PT  
+3.501332E-01	+3.561428E-04	+1.458496E+01	2PT  
+3.601401E-01	+3.704668E-04	+1.446582E+01	2PT  
+3.701478E-01	+3.845674E-04	+1.434277E+01	2PT  
+3.801483E-01	+3.994157E-04	+1.422070E+01	2PT  
+3.901962E-01	+4.147828E-04	+1.409668E+01	2PT  
+4.001927E-01	+4.302041E-04	+1.397266E+01	2PT  
+4.101959E-01	+4.456242E-04	+1.384863E+01	2PT  
+4.201851E-01	+4.615673E-04	+1.372754E+01	2PT  
+4.301762E-01	+4.777708E-04	+1.360254E+01	2PT  
+4.401949E-01	+4.942896E-04	+1.348242E+01	2PT  
+4.501774E-01	+5.108491E-04	+1.335742E+01	2PT  
+4.601617E-01	+5.283029E-04	+1.323633E+01	2PT  
+4.701397E-01	+5.456850E-04	+1.310742E+01	2PT  
+4.801279E-01	+5.631339E-04	+1.298535E+01	2PT  
+4.901389E-01	+5.815891E-04	+1.286133E+01	2PT  
+5.001327E-01	+6.004812E-04	+1.274023E+01	2PT  
+5.101047E-01	+6.190782E-04	+1.261621E+01	2PT  
+5.200924E-01	+6.377966E-04	+1.249512E+01	2PT  
+5.300789E-01	+6.577509E-04	+1.237109E+01	2PT  
+5.400921E-01	+6.775068E-04	+1.224805E+01	2PT  
+5.500811E-01	+6.976965E-04	+1.212402E+01	2PT  
+5.600799E-01	+7.185758E-04	+1.200098E+01	2PT  
+5.700840E-01	+7.398537E-04	+1.187793E+01	2PT  
+5.800923E-01	+7.618392E-04	+1.175488E+01	2PT  
+5.901283E-01	+7.837032E-04	+1.163086E+01	2PT  
+6.001355E-01	+8.058317E-04	+1.150977E+01	2PT  
+6.101299E-01	+8.280001E-04	+1.138574E+01	2PT  
+6.201429E-01	+8.517604E-04	+1.126465E+01	2PT  
+6.301219E-01	+8.753001E-04	+1.113770E+01	2PT  
+6.401713E-01	+8.990859E-04	+1.101758E+01	2PT  
+6.501691E-01	+9.232846E-04	+1.089258E+01	2PT  
+6.601850E-01	+9.485983E-04	+1.077344E+01	2PT  
+6.701847E-01	+9.740064E-04	+1.063965E+01	2PT  
+6.801761E-01	+1.000727E-03	+1.040137E+01	2PT  
+6.902031E-01	+1.027081E-03	+1.027734E+01	2PT  
+7.001820E-01	+1.052762E-03	+1.015430E+01	2PT  
+7.101717E-01	+1.080369E-03	+1.002734E+01	2PT  
+7.201623E-01	+1.107452E-03	+9.908203E+00	2PT  
+7.301497E-01	+1.135599E-03	+9.780273E+00	2PT  
+7.401623E-01	+1.164605E-03	+9.657227E+00	2PT  
+7.501501E-01	+1.194382E-03	+9.534180E+00	2PT  
+7.601275E-01	+1.223324E-03	+9.410156E+00	2PT  
+7.701054E-01	+1.253453E-03	+9.287109E+00	2PT  
+7.800937E-01	+1.284384E-03	+9.160156E+00	2PT  
+7.901014E-01	+1.317001E-03	+9.035156E+00	2PT  
+8.000853E-01	+1.347310E-03	+8.915039E+00	2PT  
+8.100742E-01	+1.379725E-03	+8.787109E+00	2PT  
+8.200431E-01	+1.410813E-03	+8.666016E+00	2PT  
+8.300428E-01	+1.445066E-03	+8.540039E+00	2PT  
+8.400742E-01	+1.479374E-03	+8.416992E+00	2PT  
+8.500844E-01	+1.515109E-03	+8.292969E+00	2PT  
+8.600908E-01	+1.549273E-03	+8.167969E+00	2PT  
+8.700797E-01	+1.585287E-03	+8.045898E+00	2PT  
+8.800843E-01	+1.622504E-03	+7.916992E+00	2PT  
+8.901264E-01	+1.659981E-03	+7.796875E+00	2PT  
+9.001326E-01	+1.696217E-03	+7.672852E+00	2PT  
+9.101331E-01	+1.733191E-03	+7.548828E+00	2PT  
+9.201217E-01	+1.772146E-03	+7.424805E+00	2PT  
+9.301332E-01	+1.840428E-03	+7.301758E+00	2PT  
+9.401737E-01	+1.888489E-03	+7.178711E+00	2PT  
+9.501763E-01	+1.929586E-03	+7.050781E+00	2PT  
+9.601768E-01	+1.972097E-03	+6.926758E+00	2PT  
+9.701975E-01	+2.016353E-03	+6.804688E+00	2PT  
+9.801579E-01	+2.060504E-03	+6.681641E+00	2PT  
+9.901860E-01	+2.104748E-03	+6.557617E+00	2PT  
+1.000174E+00	+2.151591E-03	+6.436523E+00	2PT  
+1.010164E+00	+2.196044E-03	+6.311523E+00	2PT  
+1.020135E+00	+2.243698E-03	+6.189453E+00	2PT  
+1.030110E+00	+2.289755E-03	+6.068359E+00	2PT  
+1.040141E+00	+2.342029E-03	+5.941406E+00	2PT  
