[[DESCRIPTION]]
CPB_SE5_16_2P_4000K_1000lux

[[ANALYSIS]]
EFF      	0.00	%
FF        	0.6	%
Voc      	15.4	mV
Jsc       	0.15	mA/cm2
Vmax   	0.1	mV
Jmax    	0.15	mA/cm2
Isc        	1.320889E-5	A
Rsc       	1159.2	Ohm
Roc      	1162	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001037E-01	-1.815589E-04	+2.212109E+01	2PT  
-1.901202E-01	-1.731210E-04	+2.200000E+01	2PT  
-1.801301E-01	-1.646533E-04	+2.187598E+01	2PT  
-1.701481E-01	-1.560794E-04	+2.175195E+01	2PT  
-1.601709E-01	-1.475484E-04	+2.162891E+01	2PT  
-1.501340E-01	-1.391773E-04	+2.150488E+01	2PT  
-1.401600E-01	-1.309946E-04	+2.138281E+01	2PT  
-1.301766E-01	-1.223739E-04	+2.125879E+01	2PT  
-1.201503E-01	-1.139458E-04	+2.113867E+01	2PT  
-1.101561E-01	-1.055167E-04	+2.099805E+01	2PT  
-1.001433E-01	-9.844437E-05	+2.065039E+01	2PT  
-9.014355E-02	-9.003991E-05	+2.052832E+01	2PT  
-8.012766E-02	-8.166288E-05	+2.040430E+01	2PT  
-7.011734E-02	-7.292696E-05	+2.028027E+01	2PT  
-6.008543E-02	-6.449798E-05	+2.015723E+01	2PT  
-5.008331E-02	-5.616744E-05	+2.003516E+01	2PT  
-4.008386E-02	-4.742397E-05	+1.991309E+01	2PT  
-3.008345E-02	-3.903576E-05	+1.978418E+01	2PT  
-2.007408E-02	-3.042993E-05	+1.966211E+01	2PT  
-1.002872E-02	-2.191086E-05	+1.953711E+01	2PT  
+8.735721E-05	-1.313309E-05	+1.939746E+01	2PT  
+1.010917E-02	-4.539018E-06	+1.904297E+01	2PT  
+2.004931E-02	+3.985233E-06	+1.891113E+01	2PT  
+3.010132E-02	+1.280628E-05	+1.867383E+01	2PT  
+4.012815E-02	+2.162477E-05	+1.854785E+01	2PT  
+5.013471E-02	+3.061973E-05	+1.842480E+01	2PT  
+6.014350E-02	+3.960586E-05	+1.830078E+01	2PT  
+7.013170E-02	+4.862221E-05	+1.817773E+01	2PT  
+8.013614E-02	+5.755078E-05	+1.805566E+01	2PT  
+9.018692E-02	+6.715753E-05	+1.793164E+01	2PT  
+1.001825E-01	+7.647268E-05	+1.780859E+01	2PT  
+1.101774E-01	+8.594905E-05	+1.768457E+01	2PT  
+1.201941E-01	+9.560565E-05	+1.756348E+01	2PT  
+1.301825E-01	+1.053059E-04	+1.732324E+01	2PT  
+1.402011E-01	+1.154690E-04	+1.720020E+01	2PT  
+1.501843E-01	+1.253531E-04	+1.707813E+01	2PT  
+1.601778E-01	+1.355649E-04	+1.695410E+01	2PT  
+1.701745E-01	+1.460348E-04	+1.682617E+01	2PT  
+1.801456E-01	+1.564540E-04	+1.670117E+01	2PT  
+1.901650E-01	+1.673595E-04	+1.658203E+01	2PT  
+2.001383E-01	+1.782514E-04	+1.645605E+01	2PT  
+2.101358E-01	+1.893012E-04	+1.633301E+01	2PT  
+2.201099E-01	+2.003743E-04	+1.620898E+01	2PT  
+2.300859E-01	+2.121810E-04	+1.608594E+01	2PT  
+2.401088E-01	+2.242533E-04	+1.596191E+01	2PT  
+2.500898E-01	+2.361097E-04	+1.583887E+01	2PT  
+2.600757E-01	+2.478917E-04	+1.571582E+01	2PT  
+2.700451E-01	+2.606435E-04	+1.559277E+01	2PT  
+2.800714E-01	+2.733312E-04	+1.546973E+01	2PT  
+2.900997E-01	+2.862845E-04	+1.534668E+01	2PT  
+3.000869E-01	+2.998056E-04	+1.522266E+01	2PT  
+3.100974E-01	+3.131350E-04	+1.510059E+01	2PT  
+3.201066E-01	+3.267879E-04	+1.497461E+01	2PT  
+3.301141E-01	+3.409187E-04	+1.485254E+01	2PT  
+3.401518E-01	+3.557135E-04	+1.472363E+01	2PT  
+3.501493E-01	+3.698577E-04	+1.460059E+01	2PT  
+3.601432E-01	+3.851677E-04	+1.447852E+01	2PT  
+3.701493E-01	+4.003173E-04	+1.435449E+01	2PT  
+3.801575E-01	+4.151795E-04	+1.423145E+01	2PT  
+3.901870E-01	+4.311252E-04	+1.410742E+01	2PT  
+4.002002E-01	+4.474905E-04	+1.398438E+01	2PT  
+4.102091E-01	+4.639138E-04	+1.386035E+01	2PT  
+4.201844E-01	+4.810101E-04	+1.373145E+01	2PT  
+4.301702E-01	+4.978952E-04	+1.361035E+01	2PT  
+4.401920E-01	+5.150615E-04	+1.348633E+01	2PT  
+4.501762E-01	+5.330188E-04	+1.336328E+01	2PT  
+4.601670E-01	+5.511279E-04	+1.324023E+01	2PT  
+4.701380E-01	+5.694429E-04	+1.311719E+01	2PT  
+4.801290E-01	+5.885724E-04	+1.299512E+01	2PT  
+4.901327E-01	+6.077258E-04	+1.287207E+01	2PT  
+5.001237E-01	+6.270729E-04	+1.274902E+01	2PT  
+5.101062E-01	+6.468697E-04	+1.262695E+01	2PT  
+5.200797E-01	+6.677789E-04	+1.250293E+01	2PT  
+5.300838E-01	+6.878414E-04	+1.237891E+01	2PT  
+5.400962E-01	+7.092657E-04	+1.225586E+01	2PT  
