[[DESCRIPTION]]
Bare_FTO_CPB_SE_109_350_7_1P_2700K_200lux

[[ANALYSIS]]
EFF      	1.83**	%
FF        	37.7**	%
Voc      	382.6**	mV
Jsc       	0.02**	mA/cm2
Vmax   	220.1	mV
Jmax    	0.01	mA/cm2
Isc        	1.3717E-6	A
Rsc       	1.6845E+6	Ohm
Roc      	1.3389E+5	Ohm
A          	0.09	cm2
Incd. Pwr	0.12	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001062E-01	-1.754312E-06	+2.218359E+01	2PT  
-1.901181E-01	-1.710869E-06	+2.205957E+01	2PT  
-1.801523E-01	-1.703730E-06	+2.193848E+01	2PT  
-1.701469E-01	-1.665261E-06	+2.181152E+01	2PT  
-1.601613E-01	-1.655205E-06	+2.168750E+01	2PT  
-1.501504E-01	-1.627307E-06	+2.156250E+01	2PT  
-1.401643E-01	-1.596525E-06	+2.144238E+01	2PT  
-1.301808E-01	-1.585520E-06	+2.131738E+01	2PT  
-1.201657E-01	-1.540271E-06	+2.119336E+01	2PT  
-1.101666E-01	-1.533360E-06	+2.107129E+01	2PT  
-1.001178E-01	-1.523459E-06	+2.094727E+01	2PT  
-9.010652E-02	-1.484659E-06	+2.082422E+01	2PT  
-8.012261E-02	-1.473460E-06	+2.070215E+01	2PT  
-7.010464E-02	-1.471964E-06	+2.057910E+01	2PT  
-6.008723E-02	-1.429411E-06	+2.045605E+01	2PT  
-5.007843E-02	-1.418514E-06	+2.033203E+01	2PT  
-4.008457E-02	-1.430726E-06	+2.020898E+01	2PT  
-3.006357E-02	-1.397105E-06	+2.008496E+01	2PT  
-2.007006E-02	-1.396869E-06	+1.995703E+01	2PT  
-1.002542E-02	-1.356302E-06	+1.983496E+01	2PT  
+7.069230E-05	-1.371785E-06	+1.970703E+01	2PT  
+1.008257E-02	-1.344102E-06	+1.958398E+01	2PT  
+2.009861E-02	-1.319274E-06	+1.945898E+01	2PT  
+3.008714E-02	-1.333751E-06	+1.933398E+01	2PT  
+4.013898E-02	-1.288879E-06	+1.921289E+01	2PT  
+5.012923E-02	-1.293184E-06	+1.908301E+01	2PT  
+6.013354E-02	-1.249043E-06	+1.896191E+01	2PT  
+7.013619E-02	-1.239094E-06	+1.883789E+01	2PT  
+8.012731E-02	-1.240241E-06	+1.871680E+01	2PT  
+9.017579E-02	-1.199279E-06	+1.859277E+01	2PT  
+1.001709E-01	-1.200754E-06	+1.846387E+01	2PT  
+1.101686E-01	-1.161362E-06	+1.834180E+01	2PT  
+1.201624E-01	-1.164610E-06	+1.821289E+01	2PT  
+1.301764E-01	-1.136965E-06	+1.809082E+01	2PT  
+1.401984E-01	-1.101487E-06	+1.796777E+01	2PT  
+1.501806E-01	-1.088773E-06	+1.784570E+01	2PT  
+1.601725E-01	-1.064493E-06	+1.772266E+01	2PT  
+1.701580E-01	-1.011113E-06	+1.760254E+01	2PT  
+1.801402E-01	-1.027907E-06	+1.725488E+01	2PT  
+1.901579E-01	-9.994918E-07	+1.713770E+01	2PT  
+2.001731E-01	-9.434999E-07	+1.701563E+01	2PT  
+2.101163E-01	-9.252910E-07	+1.689160E+01	2PT  
+2.200928E-01	-8.981855E-07	+1.676953E+01	2PT  
+2.301109E-01	-8.360068E-07	+1.664746E+01	2PT  
+2.401087E-01	-8.105716E-07	+1.652344E+01	2PT  
+2.500590E-01	-7.797041E-07	+1.640137E+01	2PT  
+2.600953E-01	-7.118210E-07	+1.627930E+01	2PT  
+2.700270E-01	-6.747428E-07	+1.615723E+01	2PT  
+2.799887E-01	-6.433398E-07	+1.603516E+01	2PT  
+2.900407E-01	-5.905893E-07	+1.591309E+01	2PT  
+3.000329E-01	-5.306592E-07	+1.579004E+01	2PT  
+3.100155E-01	-4.886058E-07	+1.566797E+01	2PT  
+3.200657E-01	-4.275980E-07	+1.554492E+01	2PT  
+3.300695E-01	-3.638582E-07	+1.542285E+01	2PT  
+3.401327E-01	-3.108858E-07	+1.530078E+01	2PT  
+3.501043E-01	-2.496101E-07	+1.517773E+01	2PT  
+3.601438E-01	-1.663866E-07	+1.505566E+01	2PT  
+3.700975E-01	-1.075405E-07	+1.493164E+01	2PT  
+3.801419E-01	-1.683832E-08	+1.480762E+01	2PT  
+3.901557E-01	+5.051339E-08	+1.468555E+01	2PT  
+4.001453E-01	+1.214485E-07	+1.456152E+01	2PT  
+4.101823E-01	+2.207113E-07	+1.443848E+01	2PT  
+4.202060E-01	+3.025091E-07	+1.431445E+01	2PT  
+4.301766E-01	+3.693930E-07	+1.419238E+01	2PT  
+4.402362E-01	+4.759725E-07	+1.406836E+01	2PT  
+4.502101E-01	+5.552149E-07	+1.394531E+01	2PT  
+4.601667E-01	+6.327403E-07	+1.382129E+01	2PT  
+4.701244E-01	+7.377803E-07	+1.369727E+01	2PT  
+4.800718E-01	+8.312855E-07	+1.357324E+01	2PT  
+4.901189E-01	+9.258516E-07	+1.345215E+01	2PT  
+5.001092E-01	+1.039913E-06	+1.321289E+01	2PT  
+5.101030E-01	+1.140062E-06	+1.308887E+01	2PT  
+5.200718E-01	+1.217545E-06	+1.296484E+01	2PT  
+5.300663E-01	+1.334515E-06	+1.284082E+01	2PT  
+5.400746E-01	+1.436902E-06	+1.271582E+01	2PT  
+5.500531E-01	+1.543676E-06	+1.259375E+01	2PT  
+5.600689E-01	+1.692957E-06	+1.246777E+01	2PT  
+5.700601E-01	+1.790782E-06	+1.234473E+01	2PT  
+5.800841E-01	+1.924842E-06	+1.222070E+01	2PT  
+5.901129E-01	+2.028198E-06	+1.209668E+01	2PT  
+6.001180E-01	+2.154471E-06	+1.197266E+01	2PT  
+6.101156E-01	+2.303841E-06	+1.184766E+01	2PT  
+6.201240E-01	+2.429971E-06	+1.172363E+01	2PT  
+6.301195E-01	+2.591996E-06	+1.160059E+01	2PT  
+6.401567E-01	+2.726827E-06	+1.147754E+01	2PT  
+6.501408E-01	+2.853756E-06	+1.135645E+01	2PT  
+6.601592E-01	+3.026861E-06	+1.123242E+01	2PT  
+6.701756E-01	+3.175970E-06	+1.110742E+01	2PT  
+6.801670E-01	+3.308497E-06	+1.098242E+01	2PT  
+6.902180E-01	+3.491020E-06	+1.086133E+01	2PT  
+7.001920E-01	+3.643567E-06	+1.073145E+01	2PT  
+7.101842E-01	+3.831532E-06	+1.060938E+01	2PT  
+7.201669E-01	+3.999297E-06	+1.048437E+01	2PT  
+7.301476E-01	+4.190851E-06	+1.036133E+01	2PT  
+7.401729E-01	+4.388047E-06	+1.023926E+01	2PT  
+7.501438E-01	+4.569863E-06	+1.011035E+01	2PT  
+7.601506E-01	+4.804518E-06	+9.989258E+00	2PT  
+7.701150E-01	+4.992561E-06	+9.865234E+00	2PT  
+7.800992E-01	+5.213718E-06	+9.744141E+00	2PT  
+7.901118E-01	+5.454962E-06	+9.621094E+00	2PT  
+8.001006E-01	+5.682163E-06	+9.498047E+00	2PT  
+8.100714E-01	+5.946533E-06	+9.371094E+00	2PT  
+8.200564E-01	+6.188006E-06	+9.250000E+00	2PT  
+8.300456E-01	+6.439713E-06	+9.125000E+00	2PT  
+8.400925E-01	+6.726926E-06	+9.001953E+00	2PT  
+8.500965E-01	+7.005138E-06	+8.878906E+00	2PT  
+8.600942E-01	+7.265109E-06	+8.753906E+00	2PT  
+8.700894E-01	+7.579059E-06	+8.632813E+00	2PT  
+8.801006E-01	+7.876687E-06	+8.509766E+00	2PT  
+8.901389E-01	+8.179873E-06	+8.384766E+00	2PT  
+9.001266E-01	+8.532414E-06	+8.261719E+00	2PT  
+9.101350E-01	+8.868835E-06	+8.136719E+00	2PT  
+9.201372E-01	+9.242366E-06	+8.012695E+00	2PT  
+9.301407E-01	+9.614108E-06	+7.893555E+00	2PT  
+9.401667E-01	+9.996570E-06	+7.750977E+00	2PT  
+9.501798E-01	+1.035698E-05	+7.512695E+00	2PT  
+9.601629E-01	+1.078434E-05	+7.390625E+00	2PT  
+9.701688E-01	+1.123804E-05	+7.264648E+00	2PT  
+9.801676E-01	+1.169447E-05	+7.142578E+00	2PT  
+9.901841E-01	+1.221314E-05	+7.018555E+00	2PT  
+1.000154E+00	+1.273875E-05	+6.895508E+00	2PT  
+1.010156E+00	+1.330423E-05	+6.773438E+00	2PT  
+1.020139E+00	+1.393495E-05	+6.651367E+00	2PT  
+1.030114E+00	+1.458887E-05	+6.530273E+00	2PT  
+1.040120E+00	+1.530692E-05	+6.407227E+00	2PT  
+1.050109E+00	+1.613055E-05	+6.282227E+00	2PT  
+1.060099E+00	+1.701157E-05	+6.158203E+00	2PT  
+1.070083E+00	+1.799119E-05	+6.036133E+00	2PT  
+1.080074E+00	+1.912608E-05	+5.913086E+00	2PT  
+1.090091E+00	+2.041023E-05	+5.790039E+00	2PT  
+1.100070E+00	+2.186512E-05	+5.666016E+00	2PT  
+1.110054E+00	+2.362785E-05	+5.544922E+00	2PT  
+1.120046E+00	+2.569357E-05	+5.420898E+00	2PT  
+1.130047E+00	+2.811980E-05	+5.295898E+00	2PT  
+1.140088E+00	+3.117102E-05	+5.175781E+00	2PT  
