[[DESCRIPTION]]
Bare_FTO_CPB_SE_109_300_7_2P_A1_5G_Sun

[[ANALYSIS]]
EFF      	1.86**	%
FF        	50.3**	%
Voc      	1184.2**	mV
Jsc       	3.13**	mA/cm2
Vmax   	830.0	mV
Jmax    	2.24	mA/cm2
Isc        	0.00028142	A
Rsc       	22826	Ohm
Roc      	647.89	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001048E-01	-2.883482E-04	+2.242480E+01	2PT  
-1.901228E-01	-2.877982E-04	+2.230273E+01	2PT  
-1.801378E-01	-2.873734E-04	+2.217969E+01	2PT  
-1.701493E-01	-2.872722E-04	+2.205566E+01	2PT  
-1.601654E-01	-2.869106E-04	+2.193359E+01	2PT  
-1.501492E-01	-2.866146E-04	+2.180664E+01	2PT  
-1.401599E-01	-2.863135E-04	+2.168164E+01	2PT  
-1.301727E-01	-2.860409E-04	+2.155762E+01	2PT  
-1.201694E-01	-2.854718E-04	+2.143750E+01	2PT  
-1.101671E-01	-2.854439E-04	+2.131055E+01	2PT  
-1.001378E-01	-2.850448E-04	+2.119043E+01	2PT  
-9.012330E-02	-2.847354E-04	+2.106641E+01	2PT  
-8.011550E-02	-2.843922E-04	+2.094531E+01	2PT  
-7.011722E-02	-2.840409E-04	+2.082227E+01	2PT  
-6.008310E-02	-2.836531E-04	+2.069727E+01	2PT  
-5.008334E-02	-2.834377E-04	+2.057422E+01	2PT  
-4.008131E-02	-2.830715E-04	+2.045215E+01	2PT  
-3.007690E-02	-2.826484E-04	+2.033008E+01	2PT  
-2.007746E-02	-2.825061E-04	+2.020508E+01	2PT  
-1.003128E-02	-2.819379E-04	+2.008301E+01	2PT  
+7.485869E-05	-2.814147E-04	+1.996094E+01	2PT  
+1.006917E-02	-2.810593E-04	+1.983887E+01	2PT  
+2.008276E-02	-2.806887E-04	+1.971484E+01	2PT  
+3.009050E-02	-2.802139E-04	+1.959180E+01	2PT  
+4.012334E-02	-2.798826E-04	+1.946777E+01	2PT  
+5.012412E-02	-2.793676E-04	+1.934375E+01	2PT  
+6.012242E-02	-2.788960E-04	+1.921973E+01	2PT  
+7.012703E-02	-2.785271E-04	+1.909766E+01	2PT  
+8.012579E-02	-2.781958E-04	+1.897266E+01	2PT  
+9.015416E-02	-2.778181E-04	+1.884863E+01	2PT  
+1.001653E-01	-2.773593E-04	+1.872559E+01	2PT  
+1.101670E-01	-2.768308E-04	+1.860254E+01	2PT  
+1.201690E-01	-2.764381E-04	+1.847852E+01	2PT  
+1.301794E-01	-2.760304E-04	+1.835645E+01	2PT  
+1.401963E-01	-2.753146E-04	+1.823242E+01	2PT  
+1.501789E-01	-2.749847E-04	+1.810840E+01	2PT  
+1.601564E-01	-2.746208E-04	+1.798633E+01	2PT  
+1.701370E-01	-2.740403E-04	+1.786328E+01	2PT  
+1.801308E-01	-2.735104E-04	+1.773828E+01	2PT  
+1.901513E-01	-2.731322E-04	+1.761426E+01	2PT  
+2.001344E-01	-2.727665E-04	+1.749219E+01	2PT  
+2.101088E-01	-2.721861E-04	+1.736914E+01	2PT  
+2.200838E-01	-2.716592E-04	+1.724512E+01	2PT  
+2.300725E-01	-2.712147E-04	+1.712207E+01	2PT  
+2.400865E-01	-2.705409E-04	+1.700000E+01	2PT  
+2.500676E-01	-2.698050E-04	+1.687598E+01	2PT  
+2.600598E-01	-2.693545E-04	+1.675195E+01	2PT  
+2.700402E-01	-2.687881E-04	+1.662793E+01	2PT  
+2.800462E-01	-2.682219E-04	+1.650391E+01	2PT  
+2.900749E-01	-2.676177E-04	+1.638184E+01	2PT  
+3.000892E-01	-2.671722E-04	+1.625781E+01	2PT  
+3.100878E-01	-2.664472E-04	+1.613574E+01	2PT  
+3.200805E-01	-2.656703E-04	+1.601270E+01	2PT  
+3.300945E-01	-2.650653E-04	+1.588770E+01	2PT  
+3.401322E-01	-2.643345E-04	+1.576660E+01	2PT  
+3.501332E-01	-2.638760E-04	+1.564355E+01	2PT  
+3.601248E-01	-2.630386E-04	+1.552148E+01	2PT  
+3.701348E-01	-2.623375E-04	+1.539844E+01	2PT  
+3.801376E-01	-2.616979E-04	+1.527637E+01	2PT  
+3.901809E-01	-2.611461E-04	+1.515234E+01	2PT  
+4.001823E-01	-2.602288E-04	+1.502930E+01	2PT  
+4.101791E-01	-2.595350E-04	+1.490625E+01	2PT  
+4.201604E-01	-2.587961E-04	+1.477930E+01	2PT  
+4.301533E-01	-2.579485E-04	+1.466016E+01	2PT  
+4.401736E-01	-2.572962E-04	+1.453418E+01	2PT  
+4.501592E-01	-2.563267E-04	+1.441113E+01	2PT  
+4.601403E-01	-2.554915E-04	+1.428809E+01	2PT  
+4.701272E-01	-2.545213E-04	+1.416406E+01	2PT  
+4.801127E-01	-2.533088E-04	+1.404297E+01	2PT  
+4.901199E-01	-2.521106E-04	+1.391895E+01	2PT  
+5.001091E-01	-2.511272E-04	+1.379687E+01	2PT  
+5.100858E-01	-2.500805E-04	+1.367383E+01	2PT  
+5.200701E-01	-2.491019E-04	+1.355176E+01	2PT  
+5.300559E-01	-2.481942E-04	+1.342773E+01	2PT  
+5.400669E-01	-2.469035E-04	+1.330469E+01	2PT  
+5.500549E-01	-2.458133E-04	+1.318066E+01	2PT  
+5.600571E-01	-2.447936E-04	+1.305664E+01	2PT  
+5.700659E-01	-2.436997E-04	+1.293457E+01	2PT  
+5.800668E-01	-2.422753E-04	+1.281055E+01	2PT  
+5.901089E-01	-2.411828E-04	+1.268652E+01	2PT  
+6.000997E-01	-2.399888E-04	+1.256543E+01	2PT  
+6.101148E-01	-2.393095E-04	+1.243652E+01	2PT  
+6.201255E-01	-2.380208E-04	+1.231250E+01	2PT  
+6.301045E-01	-2.368106E-04	+1.219043E+01	2PT  
+6.401305E-01	-2.355968E-04	+1.206152E+01	2PT  
+6.501445E-01	-2.341275E-04	+1.193848E+01	2PT  
+6.601443E-01	-2.326281E-04	+1.181543E+01	2PT  
+6.701672E-01	-2.311896E-04	+1.169238E+01	2PT  
+6.801558E-01	-2.298558E-04	+1.156738E+01	2PT  
+6.901881E-01	-2.277414E-04	+1.144824E+01	2PT  
+7.001841E-01	-2.263491E-04	+1.132324E+01	2PT  
+7.101739E-01	-2.242878E-04	+1.120313E+01	2PT  
+7.201407E-01	-2.217946E-04	+1.108203E+01	2PT  
+7.301330E-01	-2.193658E-04	+1.095703E+01	2PT  
+7.401516E-01	-2.186322E-04	+1.083301E+01	2PT  
+7.501235E-01	-2.175093E-04	+1.071094E+01	2PT  
+7.601117E-01	-2.160085E-04	+1.058789E+01	2PT  
+7.700945E-01	-2.142751E-04	+1.046387E+01	2PT  
+7.800796E-01	-2.125408E-04	+1.033594E+01	2PT  
+7.900938E-01	-2.102493E-04	+1.021582E+01	2PT  
+8.000839E-01	-2.083724E-04	+1.008984E+01	2PT  
+8.100606E-01	-2.063669E-04	+9.966797E+00	2PT  
+8.200551E-01	-2.041531E-04	+9.841797E+00	2PT  
+8.300277E-01	-2.018621E-04	+9.718750E+00	2PT  
+8.400607E-01	-1.994351E-04	+9.596680E+00	2PT  
+8.500735E-01	-1.968093E-04	+9.473633E+00	2PT  
+8.600731E-01	-1.942881E-04	+9.349609E+00	2PT  
+8.700814E-01	-1.917646E-04	+9.226563E+00	2PT  
+8.800704E-01	-1.890900E-04	+9.102539E+00	2PT  
+8.901201E-01	-1.861584E-04	+8.979492E+00	2PT  
+9.001209E-01	-1.830403E-04	+8.856445E+00	2PT  
+9.101071E-01	-1.797411E-04	+8.734375E+00	2PT  
+9.201131E-01	-1.764619E-04	+8.610352E+00	2PT  
+9.301226E-01	-1.731855E-04	+8.487305E+00	2PT  
+9.401431E-01	-1.697910E-04	+8.364258E+00	2PT  
+9.501538E-01	-1.662366E-04	+8.241211E+00	2PT  
+9.601613E-01	-1.627143E-04	+8.117188E+00	2PT  
+9.701663E-01	-1.587510E-04	+7.993164E+00	2PT  
+9.801654E-01	-1.547108E-04	+7.869141E+00	2PT  
+9.901747E-01	-1.504195E-04	+7.747070E+00	2PT  
+1.000155E+00	-1.460047E-04	+7.621094E+00	2PT  
+1.010145E+00	-1.409979E-04	+7.499023E+00	2PT  
+1.020126E+00	-1.358020E-04	+7.375000E+00	2PT  
+1.030105E+00	-1.300832E-04	+7.253906E+00	2PT  
+1.040132E+00	-1.239200E-04	+7.129883E+00	2PT  
+1.050113E+00	-1.173317E-04	+7.008789E+00	2PT  
+1.060091E+00	-1.111949E-04	+6.867188E+00	2PT  
+1.070067E+00	-1.038242E-04	+6.730469E+00	2PT  
+1.080032E+00	-1.039063E-04	+6.381836E+00	2PT  
+1.090067E+00	-9.565952E-05	+6.267578E+00	2PT  
+1.100052E+00	-8.954181E-05	+6.143555E+00	2PT  
+1.110033E+00	-8.235363E-05	+6.025391E+00	2PT  
+1.120034E+00	-7.464367E-05	+5.897461E+00	2PT  
