[[DESCRIPTION]]
Bare_FTO_CPB_SE_109_350_4_1P_4000K_200lux

[[ANALYSIS]]
EFF      	8.44**	%
FF        	38.2**	%
Voc      	993.9**	mV
Jsc       	0.04**	mA/cm2
Vmax   	610.1	mV
Jmax    	0.02	mA/cm2
Isc        	3.2593E-6	A
Rsc       	3.995E+6	Ohm
Roc      	72718	Ohm
A          	0.09	cm2
Incd. Pwr	0.163	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001043E-01	-3.439032E-06	+2.297168E+01	2PT  
-1.901227E-01	-3.440331E-06	+2.284863E+01	2PT  
-1.801430E-01	-3.411434E-06	+2.272363E+01	2PT  
-1.701677E-01	-3.419681E-06	+2.259961E+01	2PT  
-1.601643E-01	-3.404543E-06	+2.247559E+01	2PT  
-1.501397E-01	-3.369072E-06	+2.235156E+01	2PT  
-1.401556E-01	-3.395813E-06	+2.222852E+01	2PT  
-1.301852E-01	-3.380292E-06	+2.210449E+01	2PT  
-1.201778E-01	-3.376992E-06	+2.197949E+01	2PT  
-1.101673E-01	-3.350933E-06	+2.185742E+01	2PT  
-1.001365E-01	-3.317559E-06	+2.173340E+01	2PT  
-9.012986E-02	-3.346028E-06	+2.161035E+01	2PT  
-8.011825E-02	-3.322003E-06	+2.148730E+01	2PT  
-7.010321E-02	-3.286411E-06	+2.136328E+01	2PT  
-6.009369E-02	-3.300614E-06	+2.124023E+01	2PT  
-5.008105E-02	-3.297464E-06	+2.112012E+01	2PT  
-4.007486E-02	-3.250252E-06	+2.099609E+01	2PT  
-3.007773E-02	-3.287032E-06	+2.087402E+01	2PT  
-2.006907E-02	-3.262420E-06	+2.075000E+01	2PT  
-1.003713E-02	-3.242089E-06	+2.062891E+01	2PT  
+9.652565E-05	-3.259470E-06	+2.050195E+01	2PT  
+1.007670E-02	-3.246886E-06	+2.037793E+01	2PT  
+2.006430E-02	-3.232573E-06	+2.025195E+01	2PT  
+3.008197E-02	-3.210940E-06	+2.012305E+01	2PT  
+4.012150E-02	-3.214052E-06	+1.999902E+01	2PT  
+5.012730E-02	-3.192145E-06	+1.987598E+01	2PT  
+6.014368E-02	-3.156399E-06	+1.975195E+01	2PT  
+7.012378E-02	-3.177294E-06	+1.962695E+01	2PT  
+8.014634E-02	-3.132919E-06	+1.949902E+01	2PT  
+9.017751E-02	-3.160291E-06	+1.937500E+01	2PT  
+1.001656E-01	-3.113583E-06	+1.925000E+01	2PT  
+1.101742E-01	-3.141010E-06	+1.912305E+01	2PT  
+1.201629E-01	-3.120248E-06	+1.899902E+01	2PT  
+1.301801E-01	-3.104745E-06	+1.887402E+01	2PT  
+1.401917E-01	-3.094390E-06	+1.875293E+01	2PT  
+1.501870E-01	-3.049057E-06	+1.862891E+01	2PT  
+1.601604E-01	-3.071845E-06	+1.850684E+01	2PT  
+1.701501E-01	-3.045880E-06	+1.838281E+01	2PT  
+1.801510E-01	-3.003251E-06	+1.825879E+01	2PT  
+1.901495E-01	-3.030056E-06	+1.813867E+01	2PT  
+2.001459E-01	-3.003034E-06	+1.801465E+01	2PT  
+2.101080E-01	-2.976153E-06	+1.789258E+01	2PT  
+2.200917E-01	-2.987308E-06	+1.776953E+01	2PT  
+2.300630E-01	-2.964708E-06	+1.764746E+01	2PT  
+2.400841E-01	-2.958471E-06	+1.752539E+01	2PT  
+2.500758E-01	-2.936496E-06	+1.740137E+01	2PT  
+2.600685E-01	-2.905265E-06	+1.727734E+01	2PT  
+2.700548E-01	-2.856054E-06	+1.715430E+01	2PT  
+2.800464E-01	-2.871691E-06	+1.703125E+01	2PT  
+2.900848E-01	-2.851484E-06	+1.690918E+01	2PT  
+3.001010E-01	-2.799914E-06	+1.678613E+01	2PT  
+3.100917E-01	-2.819879E-06	+1.666309E+01	2PT  
