[[DESCRIPTION]]
Bare_FTO_CPB_SE_109_350_4_1P_A1_5G_Sun

[[ANALYSIS]]
EFF      	2.44	%
FF        	57.8	%
Voc      	1276.3	mV
Jsc       	3.31	mA/cm2
Vmax   	990.2	mV
Jmax    	2.47	mA/cm2
Isc        	0.000298	A
Rsc       	23015	Ohm
Roc      	291.85	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001078E-01	-3.034365E-04	+2.172754E+01	2PT  
-1.901162E-01	-3.030249E-04	+2.160449E+01	2PT  
-1.801392E-01	-3.027179E-04	+2.148047E+01	2PT  
-1.701465E-01	-3.023348E-04	+2.135742E+01	2PT  
-1.601695E-01	-3.024333E-04	+2.123535E+01	2PT  
-1.501507E-01	-3.020233E-04	+2.111328E+01	2PT  
-1.401645E-01	-3.017350E-04	+2.099023E+01	2PT  
-1.301722E-01	-3.014320E-04	+2.086719E+01	2PT  
-1.201724E-01	-3.011315E-04	+2.074512E+01	2PT  
-1.101664E-01	-3.010895E-04	+2.061719E+01	2PT  
-1.001298E-01	-3.008078E-04	+2.049316E+01	2PT  
-9.012225E-02	-3.003658E-04	+2.037305E+01	2PT  
-8.011799E-02	-3.001181E-04	+2.025000E+01	2PT  
-7.011401E-02	-2.999971E-04	+2.012500E+01	2PT  
-6.008883E-02	-2.996058E-04	+2.000293E+01	2PT  
-5.007903E-02	-2.994315E-04	+1.987793E+01	2PT  
-4.008048E-02	-2.992708E-04	+1.975684E+01	2PT  
-3.007366E-02	-2.988756E-04	+1.963281E+01	2PT  
-2.007001E-02	-2.985236E-04	+1.951074E+01	2PT  
-1.002463E-02	-2.983956E-04	+1.938574E+01	2PT  
+7.319212E-05	-2.979171E-04	+1.926367E+01	2PT  
+1.007922E-02	-2.975217E-04	+1.913965E+01	2PT  
+2.008866E-02	-2.976518E-04	+1.901270E+01	2PT  
+3.008103E-02	-2.969989E-04	+1.889258E+01	2PT  
+4.012295E-02	-2.969239E-04	+1.876562E+01	2PT  
+5.012486E-02	-2.964152E-04	+1.864551E+01	2PT  
+6.013031E-02	-2.962482E-04	+1.852051E+01	2PT  
+7.012098E-02	-2.959216E-04	+1.839746E+01	2PT  
+8.012624E-02	-2.955794E-04	+1.827539E+01	2PT  
+9.016125E-02	-2.953253E-04	+1.815137E+01	2PT  
+1.001715E-01	-2.948962E-04	+1.802734E+01	2PT  
+1.101688E-01	-2.944420E-04	+1.790527E+01	2PT  
+1.201788E-01	-2.941578E-04	+1.778223E+01	2PT  
+1.301774E-01	-2.937846E-04	+1.765918E+01	2PT  
+1.401918E-01	-2.934927E-04	+1.753516E+01	2PT  
+1.501774E-01	-2.931357E-04	+1.741211E+01	2PT  
+1.601689E-01	-2.927996E-04	+1.728906E+01	2PT  
+1.701508E-01	-2.924051E-04	+1.716602E+01	2PT  
+1.801378E-01	-2.921217E-04	+1.704199E+01	2PT  
+1.901535E-01	-2.917866E-04	+1.692090E+01	2PT  
+2.001342E-01	-2.915146E-04	+1.679688E+01	2PT  
+2.101117E-01	-2.910326E-04	+1.667578E+01	2PT  
+2.200999E-01	-2.907367E-04	+1.655078E+01	2PT  
+2.300809E-01	-2.901570E-04	+1.642871E+01	2PT  
+2.400967E-01	-2.901253E-04	+1.629980E+01	2PT  
+2.500793E-01	-2.895597E-04	+1.617578E+01	2PT  
+2.600642E-01	-2.891582E-04	+1.605176E+01	2PT  
+2.700449E-01	-2.890091E-04	+1.592969E+01	2PT  
+2.800491E-01	-2.886319E-04	+1.580469E+01	2PT  
+2.900809E-01	-2.880299E-04	+1.568066E+01	2PT  
+3.000724E-01	-2.876871E-04	+1.555566E+01	2PT  
+3.100924E-01	-2.871273E-04	+1.543457E+01	2PT  
+3.200853E-01	-2.868994E-04	+1.531055E+01	2PT  
+3.300993E-01	-2.861933E-04	+1.518848E+01	2PT  
+3.401276E-01	-2.858372E-04	+1.506543E+01	2PT  
+3.501390E-01	-2.852561E-04	+1.494238E+01	2PT  
+3.601311E-01	-2.847758E-04	+1.481738E+01	2PT  
+3.701382E-01	-2.841247E-04	+1.469336E+01	2PT  
+3.801450E-01	-2.836608E-04	+1.456738E+01	2PT  
+3.901750E-01	-2.833976E-04	+1.444043E+01	2PT  
+4.001799E-01	-2.826378E-04	+1.432129E+01	2PT  
+4.101854E-01	-2.822367E-04	+1.419629E+01	2PT  
+4.201756E-01	-2.816476E-04	+1.407422E+01	2PT  
+4.301581E-01	-2.811058E-04	+1.394922E+01	2PT  
+4.401819E-01	-2.806682E-04	+1.382715E+01	2PT  
+4.501637E-01	-2.801436E-04	+1.370117E+01	2PT  
+4.601448E-01	-2.795100E-04	+1.357813E+01	2PT  
+4.701319E-01	-2.789015E-04	+1.345605E+01	2PT  
+4.801152E-01	-2.782647E-04	+1.333301E+01	2PT  
+4.901116E-01	-2.775666E-04	+1.320996E+01	2PT  
+5.001060E-01	-2.771482E-04	+1.308594E+01	2PT  
+5.100902E-01	-2.766123E-04	+1.296191E+01	2PT  
+5.200813E-01	-2.756762E-04	+1.284082E+01	2PT  
+5.300582E-01	-2.752513E-04	+1.271582E+01	2PT  
+5.400804E-01	-2.745726E-04	+1.259277E+01	2PT  
+5.500675E-01	-2.738220E-04	+1.247070E+01	2PT  
+5.600604E-01	-2.730738E-04	+1.234668E+01	2PT  
+5.700693E-01	-2.725830E-04	+1.222168E+01	2PT  
+5.800728E-01	-2.715059E-04	+1.210156E+01	2PT  
+5.900914E-01	-2.711145E-04	+1.197656E+01	2PT  
+6.001084E-01	-2.700765E-04	+1.185645E+01	2PT  
+6.101083E-01	-2.692151E-04	+1.173340E+01	2PT  
+6.201111E-01	-2.685653E-04	+1.160937E+01	2PT  
+6.301143E-01	-2.677033E-04	+1.148730E+01	2PT  
+6.401557E-01	-2.668525E-04	+1.136328E+01	2PT  
+6.501561E-01	-2.659851E-04	+1.124023E+01	2PT  
+6.601583E-01	-2.652212E-04	+1.111816E+01	2PT  
+6.701524E-01	-2.643241E-04	+1.099414E+01	2PT  
+6.801579E-01	-2.634097E-04	+1.087012E+01	2PT  
+6.901960E-01	-2.625844E-04	+1.074512E+01	2PT  
+7.001895E-01	-2.615093E-04	+1.062207E+01	2PT  
+7.101625E-01	-2.609264E-04	+1.049219E+01	2PT  
+7.201499E-01	-2.600874E-04	+1.036816E+01	2PT  
+7.301397E-01	-2.593039E-04	+1.024414E+01	2PT  
+7.401615E-01	-2.583969E-04	+1.012012E+01	2PT  
+7.501323E-01	-2.573920E-04	+9.998047E+00	2PT  
+7.601066E-01	-2.564336E-04	+9.874023E+00	2PT  
+7.701047E-01	-2.555251E-04	+9.750000E+00	2PT  
+7.800766E-01	-2.543484E-04	+9.626953E+00	2PT  
+7.900980E-01	-2.532452E-04	+9.503906E+00	2PT  
+8.000783E-01	-2.523531E-04	+9.378906E+00	2PT  
+8.100583E-01	-2.508950E-04	+9.257813E+00	2PT  
+8.200330E-01	-2.497160E-04	+9.133789E+00	2PT  
+8.300331E-01	-2.485265E-04	+9.009766E+00	2PT  
+8.400742E-01	-2.473932E-04	+8.885742E+00	2PT  
+8.500701E-01	-2.461698E-04	+8.763672E+00	2PT  
+8.600827E-01	-2.448146E-04	+8.638672E+00	2PT  
+8.700843E-01	-2.434507E-04	+8.514648E+00	2PT  
+8.800804E-01	-2.420365E-04	+8.391602E+00	2PT  
+8.901175E-01	-2.403840E-04	+8.267578E+00	2PT  
+9.001191E-01	-2.388107E-04	+8.144531E+00	2PT  
+9.101124E-01	-2.373475E-04	+8.021484E+00	2PT  
+9.201167E-01	-2.356822E-04	+7.898438E+00	2PT  
+9.301257E-01	-2.338885E-04	+7.776367E+00	2PT  
+9.401650E-01	-2.320515E-04	+7.653320E+00	2PT  
+9.501737E-01	-2.301459E-04	+7.530273E+00	2PT  
+9.601662E-01	-2.285164E-04	+7.402344E+00	2PT  
+9.701694E-01	-2.262297E-04	+7.280273E+00	2PT  
+9.801570E-01	-2.241022E-04	+7.158203E+00	2PT  
+9.901687E-01	-2.219722E-04	+7.035156E+00	2PT  
+1.000166E+00	-2.195808E-04	+6.913086E+00	2PT  
+1.010153E+00	-2.167976E-04	+6.789063E+00	2PT  
+1.020143E+00	-2.140590E-04	+6.666016E+00	2PT  
+1.030112E+00	-2.113551E-04	+6.542969E+00	2PT  
+1.040131E+00	-2.084787E-04	+6.419922E+00	2PT  
+1.050111E+00	-2.052106E-04	+6.297852E+00	2PT  
+1.060087E+00	-2.019651E-04	+6.173828E+00	2PT  
+1.070083E+00	-1.984765E-04	+6.051758E+00	2PT  
+1.080053E+00	-1.947606E-04	+5.927734E+00	2PT  
+1.090073E+00	-1.908893E-04	+5.805664E+00	2PT  
+1.100071E+00	-1.867108E-04	+5.680664E+00	2PT  
+1.110045E+00	-1.826374E-04	+5.552734E+00	2PT  
+1.120056E+00	-1.778613E-04	+5.430664E+00	2PT  
+1.130062E+00	-1.727827E-04	+5.306641E+00	2PT  
+1.140095E+00	-1.674274E-04	+5.184570E+00	2PT  
+1.150090E+00	-1.615604E-04	+5.062500E+00	2PT  
+1.160104E+00	-1.555129E-04	+4.939453E+00	2PT  
+1.170108E+00	-1.487277E-04	+4.815430E+00	2PT  
+1.180090E+00	-1.412907E-04	+4.693359E+00	2PT  
+1.190131E+00	-1.329637E-04	+4.572266E+00	2PT  
+1.200123E+00	-1.239120E-04	+4.448242E+00	2PT  
+1.210143E+00	-1.136610E-04	+4.323242E+00	2PT  
+1.220114E+00	-1.013855E-04	+4.202148E+00	2PT  
+1.230133E+00	-9.441045E-05	+3.853516E+00	2PT  
+1.240161E+00	-8.053572E-05	+3.730469E+00	2PT  
+1.250166E+00	-6.435095E-05	+3.607422E+00	2PT  
+1.260141E+00	-4.466431E-05	+3.481445E+00	2PT  
+1.270151E+00	-1.990787E-05	+3.359375E+00	2PT  
+1.280170E+00	+1.248807E-05	+3.237305E+00	2PT  
+1.290165E+00	+5.746038E-05	+3.090820E+00	2PT  
+1.300134E+00	+1.316092E-04	+2.852539E+00	2PT  
+1.310125E+00	+2.225758E-04	+2.730469E+00	2PT  
+1.320094E+00	+3.534807E-04	+2.606445E+00	2PT  
+1.330103E+00	+5.413223E-04	+2.484375E+00	2PT  
+1.340113E+00	+7.999321E-04	+2.364258E+00	2PT  
+1.350084E+00	+1.383684E-03	+2.125000E+00	2PT  
+1.360060E+00	+1.860313E-03	+2.003906E+00	2PT  
+1.370033E+00	+2.382041E-03	+1.880859E+00	2PT  
+1.380069E+00	+2.894074E-03	+1.756836E+00	2PT  
+1.390051E+00	+3.394495E-03	+1.634766E+00	2PT  
+1.400056E+00	+3.856137E-03	+1.512695E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

