[[DESCRIPTION]]
Bare_FTO_CPB_SE_7_No_spiro_AP_11_1P_1Sun

[[ANALYSIS]]
EFF      	3.06**	%
FF        	53.2**	%
Voc      	1196.6**	mV
Jsc       	4.80**	mA/cm2
Vmax   	930.1	mV
Jmax    	3.29	mA/cm2
Isc        	0.00043209	A
Rsc       	18231	Ohm
Roc      	245.27	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001052E-01	-4.426437E-04	+2.230273E+01	2PT  
-1.901185E-01	-4.422800E-04	+2.218066E+01	2PT  
-1.801511E-01	-4.418197E-04	+2.205762E+01	2PT  
-1.701580E-01	-4.413646E-04	+2.192969E+01	2PT  
-1.601712E-01	-4.408011E-04	+2.180957E+01	2PT  
-1.501554E-01	-4.405726E-04	+2.168359E+01	2PT  
-1.401644E-01	-4.401719E-04	+2.156250E+01	2PT  
-1.301763E-01	-4.395223E-04	+2.143848E+01	2PT  
-1.201693E-01	-4.390210E-04	+2.131543E+01	2PT  
-1.101729E-01	-4.389191E-04	+2.119141E+01	2PT  
-1.001310E-01	-4.380558E-04	+2.106934E+01	2PT  
-9.012481E-02	-4.374760E-04	+2.094531E+01	2PT  
-8.012556E-02	-4.369217E-04	+2.082227E+01	2PT  
-7.011738E-02	-4.363261E-04	+2.069922E+01	2PT  
-6.009702E-02	-4.358004E-04	+2.057520E+01	2PT  
-5.008102E-02	-4.352301E-04	+2.045117E+01	2PT  
-4.007889E-02	-4.345870E-04	+2.032910E+01	2PT  
-3.007364E-02	-4.338925E-04	+2.020801E+01	2PT  
-2.007499E-02	-4.332541E-04	+2.008496E+01	2PT  
-1.003294E-02	-4.325792E-04	+1.996191E+01	2PT  
+7.235704E-05	-4.320865E-04	+1.983496E+01	2PT  
+1.007420E-02	-4.314756E-04	+1.971289E+01	2PT  
+2.008274E-02	-4.309582E-04	+1.958398E+01	2PT  
+3.009469E-02	-4.301642E-04	+1.946191E+01	2PT  
+4.012976E-02	-4.293836E-04	+1.933887E+01	2PT  
+5.012313E-02	-4.288789E-04	+1.921484E+01	2PT  
+6.012017E-02	-4.280491E-04	+1.909180E+01	2PT  
+7.012536E-02	-4.273353E-04	+1.896777E+01	2PT  
+8.013334E-02	-4.266438E-04	+1.884375E+01	2PT  
+9.017257E-02	-4.258906E-04	+1.872266E+01	2PT  
+1.001605E-01	-4.252084E-04	+1.859863E+01	2PT  
+1.101747E-01	-4.243446E-04	+1.847656E+01	2PT  
+1.201722E-01	-4.235114E-04	+1.835254E+01	2PT  
+1.301823E-01	-4.225226E-04	+1.822949E+01	2PT  
+1.401979E-01	-4.215087E-04	+1.810645E+01	2PT  
+1.501858E-01	-4.209309E-04	+1.798145E+01	2PT  
+1.601670E-01	-4.200104E-04	+1.785742E+01	2PT  
+1.701499E-01	-4.190725E-04	+1.773633E+01	2PT  
+1.801334E-01	-4.184100E-04	+1.760645E+01	2PT  
+1.901479E-01	-4.176231E-04	+1.748340E+01	2PT  
+2.001346E-01	-4.166265E-04	+1.735937E+01	2PT  
+2.101100E-01	-4.155064E-04	+1.723535E+01	2PT  
+2.200917E-01	-4.146150E-04	+1.711328E+01	2PT  
+2.300822E-01	-4.140853E-04	+1.698633E+01	2PT  
+2.400930E-01	-4.131000E-04	+1.686133E+01	2PT  
+2.500812E-01	-4.117347E-04	+1.674023E+01	2PT  
+2.600564E-01	-4.109491E-04	+1.661621E+01	2PT  
+2.700448E-01	-4.102614E-04	+1.649219E+01	2PT  
+2.800389E-01	-4.091236E-04	+1.636914E+01	2PT  
+2.900851E-01	-4.080542E-04	+1.624609E+01	2PT  
+3.000834E-01	-4.066622E-04	+1.612305E+01	2PT  
+3.100921E-01	-4.059404E-04	+1.599805E+01	2PT  
+3.200930E-01	-4.045163E-04	+1.587598E+01	2PT  
+3.300983E-01	-4.035584E-04	+1.575195E+01	2PT  
+3.401330E-01	-4.022893E-04	+1.562988E+01	2PT  
+3.501320E-01	-4.009578E-04	+1.550879E+01	2PT  
+3.601338E-01	-4.000050E-04	+1.538477E+01	2PT  
+3.701200E-01	-3.988085E-04	+1.526270E+01	2PT  
+3.801432E-01	-3.976003E-04	+1.513867E+01	2PT  
+3.901750E-01	-3.963020E-04	+1.501465E+01	2PT  
+4.001770E-01	-3.949728E-04	+1.489062E+01	2PT  
+4.101780E-01	-3.937498E-04	+1.476758E+01	2PT  
+4.201744E-01	-3.923076E-04	+1.464648E+01	2PT  
+4.301600E-01	-3.908870E-04	+1.452148E+01	2PT  
+4.401760E-01	-3.895205E-04	+1.439746E+01	2PT  
+4.501624E-01	-3.883208E-04	+1.427344E+01	2PT  
+4.601470E-01	-3.871612E-04	+1.415039E+01	2PT  
+4.701183E-01	-3.858703E-04	+1.402832E+01	2PT  
+4.801096E-01	-3.845337E-04	+1.390723E+01	2PT  
+4.901198E-01	-3.829910E-04	+1.378418E+01	2PT  
+5.001000E-01	-3.814524E-04	+1.366113E+01	2PT  
+5.100933E-01	-3.802065E-04	+1.353320E+01	2PT  
+5.200744E-01	-3.786871E-04	+1.341113E+01	2PT  
+5.300552E-01	-3.776174E-04	+1.328418E+01	2PT  
+5.400878E-01	-3.759931E-04	+1.316113E+01	2PT  
+5.500571E-01	-3.744818E-04	+1.303809E+01	2PT  
+5.600641E-01	-3.727036E-04	+1.291602E+01	2PT  
+5.700562E-01	-3.713917E-04	+1.279199E+01	2PT  
+5.800695E-01	-3.698065E-04	+1.266992E+01	2PT  
+5.901067E-01	-3.681386E-04	+1.254590E+01	2PT  
+6.000987E-01	-3.666358E-04	+1.242480E+01	2PT  
+6.101075E-01	-3.648913E-04	+1.230078E+01	2PT  
+6.201139E-01	-3.632304E-04	+1.217969E+01	2PT  
+6.301040E-01	-3.618494E-04	+1.205371E+01	2PT  
+6.401429E-01	-3.601174E-04	+1.193066E+01	2PT  
+6.501539E-01	-3.582550E-04	+1.181055E+01	2PT  
+6.601564E-01	-3.564493E-04	+1.168750E+01	2PT  
+6.701486E-01	-3.547372E-04	+1.156250E+01	2PT  
+6.801641E-01	-3.528244E-04	+1.144141E+01	2PT  
+6.901972E-01	-3.510832E-04	+1.131738E+01	2PT  
+7.001882E-01	-3.493575E-04	+1.119238E+01	2PT  
+7.101750E-01	-3.476116E-04	+1.106934E+01	2PT  
+7.201511E-01	-3.456237E-04	+1.094824E+01	2PT  
+7.301347E-01	-3.439684E-04	+1.082422E+01	2PT  
+7.401616E-01	-3.419392E-04	+1.070117E+01	2PT  
+7.501346E-01	-3.397429E-04	+1.058105E+01	2PT  
+7.601212E-01	-3.376786E-04	+1.045898E+01	2PT  
+7.700979E-01	-3.359930E-04	+1.033398E+01	2PT  
+7.800815E-01	-3.340296E-04	+1.021094E+01	2PT  
+7.900970E-01	-3.316561E-04	+1.008887E+01	2PT  
+8.000664E-01	-3.295662E-04	+9.965820E+00	2PT  
+8.100696E-01	-3.273745E-04	+9.842773E+00	2PT  
+8.200495E-01	-3.252625E-04	+9.719727E+00	2PT  
+8.300335E-01	-3.230130E-04	+9.595703E+00	2PT  
+8.400624E-01	-3.206450E-04	+9.473633E+00	2PT  
+8.500695E-01	-3.183007E-04	+9.349609E+00	2PT  
+8.600758E-01	-3.156829E-04	+9.225586E+00	2PT  
