[[DESCRIPTION]]
Bare_FTO_CPB_SE_7_No_spiro_AP_11_1P_4000K_1000lux

[[ANALYSIS]]
EFF      	19.63**	%
FF        	57.9**	%
Voc      	1034.2**	mV
Jsc       	0.13**	mA/cm2
Vmax   	790.1	mV
Jmax    	0.10	mA/cm2
Isc        	1.2116E-5	A
Rsc       	3.1156E+5	Ohm
Roc      	8207.9	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000948E-01	-1.236332E-05	+2.310547E+01	2PT  
-1.900908E-01	-1.237356E-05	+2.298145E+01	2PT  
-1.801557E-01	-1.251500E-05	+2.285742E+01	2PT  
-1.701526E-01	-1.230899E-05	+2.273535E+01	2PT  
-1.601706E-01	-1.231117E-05	+2.261230E+01	2PT  
-1.501570E-01	-1.242154E-05	+2.248828E+01	2PT  
-1.401616E-01	-1.258286E-05	+2.236426E+01	2PT  
-1.301628E-01	-1.225499E-05	+2.224121E+01	2PT  
-1.201591E-01	-1.226585E-05	+2.211621E+01	2PT  
-1.101781E-01	-1.240350E-05	+2.199414E+01	2PT  
-1.001231E-01	-1.248205E-05	+2.187012E+01	2PT  
-9.012230E-02	-1.222842E-05	+2.174609E+01	2PT  
-8.010044E-02	-1.221366E-05	+2.162305E+01	2PT  
-7.009900E-02	-1.230007E-05	+2.149805E+01	2PT  
-6.009521E-02	-1.244987E-05	+2.137500E+01	2PT  
-5.008667E-02	-1.217334E-05	+2.125293E+01	2PT  
-4.007125E-02	-1.219129E-05	+2.112793E+01	2PT  
-3.006695E-02	-1.220214E-05	+2.100391E+01	2PT  
-2.006748E-02	-1.243653E-05	+2.088086E+01	2PT  
-1.002713E-02	-1.214935E-05	+2.075781E+01	2PT  
+9.069138E-05	-1.211569E-05	+2.063281E+01	2PT  
+1.008841E-02	-1.221687E-05	+2.050977E+01	2PT  
+2.008278E-02	-1.240422E-05	+2.038672E+01	2PT  
+3.009882E-02	-1.207486E-05	+2.026465E+01	2PT  
+4.014783E-02	-1.213834E-05	+2.013965E+01	2PT  
+5.012575E-02	-1.235942E-05	+2.001660E+01	2PT  
+6.013702E-02	-1.209045E-05	+1.989355E+01	2PT  
+7.014544E-02	-1.205999E-05	+1.977051E+01	2PT  
+8.014148E-02	-1.201364E-05	+1.964160E+01	2PT  
+9.016792E-02	-1.200604E-05	+1.951660E+01	2PT  
+1.001562E-01	-1.208683E-05	+1.939453E+01	2PT  
+1.101787E-01	-1.226024E-05	+1.927051E+01	2PT  
+1.201709E-01	-1.196473E-05	+1.914844E+01	2PT  
+1.301982E-01	-1.194837E-05	+1.902441E+01	2PT  
+1.402007E-01	-1.221379E-05	+1.890234E+01	2PT  
+1.501852E-01	-1.208833E-05	+1.877734E+01	2PT  
+1.601753E-01	-1.189547E-05	+1.865234E+01	2PT  
+1.701438E-01	-1.189262E-05	+1.852832E+01	2PT  
+1.801444E-01	-1.189399E-05	+1.840527E+01	2PT  
+1.901501E-01	-1.202038E-05	+1.828125E+01	2PT  
+2.001373E-01	-1.181654E-05	+1.815918E+01	2PT  
+2.101239E-01	-1.180474E-05	+1.803516E+01	2PT  
+2.201009E-01	-1.206393E-05	+1.791309E+01	2PT  
+2.300816E-01	-1.179828E-05	+1.778906E+01	2PT  
+2.400908E-01	-1.172502E-05	+1.766504E+01	2PT  
+2.500920E-01	-1.178008E-05	+1.754199E+01	2PT  
+2.600633E-01	-1.183806E-05	+1.741797E+01	2PT  
+2.700484E-01	-1.194699E-05	+1.729395E+01	2PT  
+2.800495E-01	-1.166296E-05	+1.716895E+01	2PT  
+2.900919E-01	-1.161609E-05	+1.704590E+01	2PT  
+3.000811E-01	-1.179923E-05	+1.692383E+01	2PT  
+3.101053E-01	-1.158954E-05	+1.680078E+01	2PT  
+3.201095E-01	-1.153777E-05	+1.667676E+01	2PT  
+3.301157E-01	-1.160428E-05	+1.655273E+01	2PT  
+3.401163E-01	-1.168415E-05	+1.642969E+01	2PT  
+3.501351E-01	-1.145606E-05	+1.630762E+01	2PT  
+3.601413E-01	-1.143780E-05	+1.618164E+01	2PT  
+3.701459E-01	-1.141339E-05	+1.605762E+01	2PT  
+3.801371E-01	-1.165729E-05	+1.593555E+01	2PT  
+3.901828E-01	-1.151350E-05	+1.581152E+01	2PT  
+4.001884E-01	-1.135409E-05	+1.569043E+01	2PT  
