[[DESCRIPTION]]
Bare_FTO_CPB_SE_7_No_spiro_AP_16_1P_4000K_1000lux

[[ANALYSIS]]
EFF      	18.26**	%
FF        	53.3**	%
Voc      	1082.0**	mV
Jsc       	0.13**	mA/cm2
Vmax   	800.1	mV
Jmax    	0.09	mA/cm2
Isc        	1.1707E-5	A
Rsc       	6.862E+5	Ohm
Roc      	11785	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000949E-01	-1.165681E-05	+2.244336E+01	2PT  
-1.901132E-01	-1.169034E-05	+2.231836E+01	2PT  
-1.801330E-01	-1.165463E-05	+2.219336E+01	2PT  
-1.701440E-01	-1.164881E-05	+2.207324E+01	2PT  
-1.601671E-01	-1.162394E-05	+2.194922E+01	2PT  
-1.501419E-01	-1.174349E-05	+2.182715E+01	2PT  
-1.401841E-01	-1.175075E-05	+2.170117E+01	2PT  
-1.301646E-01	-1.168236E-05	+2.157812E+01	2PT  
-1.201601E-01	-1.157063E-05	+2.145410E+01	2PT  
-1.101625E-01	-1.163658E-05	+2.133105E+01	2PT  
-1.001166E-01	-1.183516E-05	+2.120898E+01	2PT  
-9.012459E-02	-1.155173E-05	+2.108496E+01	2PT  
-8.010540E-02	-1.156630E-05	+2.096094E+01	2PT  
-7.011934E-02	-1.177304E-05	+2.083887E+01	2PT  
-6.007883E-02	-1.161468E-05	+2.071582E+01	2PT  
-5.007328E-02	-1.153984E-05	+2.059277E+01	2PT  
-4.007474E-02	-1.157789E-05	+2.046875E+01	2PT  
-3.006695E-02	-1.178129E-05	+2.034570E+01	2PT  
-2.007820E-02	-1.170620E-05	+2.021875E+01	2PT  
-1.003125E-02	-1.147822E-05	+2.009473E+01	2PT  
+7.902447E-05	-1.170888E-05	+1.996680E+01	2PT  
+1.009005E-02	-1.144465E-05	+1.984473E+01	2PT  
+2.008022E-02	-1.153725E-05	+1.972168E+01	2PT  
+3.010056E-02	-1.147738E-05	+1.959961E+01	2PT  
+4.013619E-02	-1.141151E-05	+1.947656E+01	2PT  
+5.012054E-02	-1.150089E-05	+1.935254E+01	2PT  
+6.013694E-02	-1.168666E-05	+1.922852E+01	2PT  
+7.013186E-02	-1.135542E-05	+1.910742E+01	2PT  
+8.013976E-02	-1.135512E-05	+1.898047E+01	2PT  
+9.017412E-02	-1.134080E-05	+1.885547E+01	2PT  
+1.001756E-01	-1.143166E-05	+1.873242E+01	2PT  
+1.101843E-01	-1.138575E-05	+1.861035E+01	2PT  
+1.201769E-01	-1.129246E-05	+1.848535E+01	2PT  
+1.301696E-01	-1.132011E-05	+1.836133E+01	2PT  
+1.401917E-01	-1.144985E-05	+1.823926E+01	2PT  
+1.501874E-01	-1.149597E-05	+1.811426E+01	2PT  
+1.601745E-01	-1.123774E-05	+1.799121E+01	2PT  
+1.701538E-01	-1.128119E-05	+1.786914E+01	2PT  
+1.801451E-01	-1.147497E-05	+1.774609E+01	2PT  
+1.901566E-01	-1.118133E-05	+1.762305E+01	2PT  
+2.001286E-01	-1.121847E-05	+1.750000E+01	2PT  
+2.101168E-01	-1.136763E-05	+1.737598E+01	2PT  
+2.201041E-01	-1.126891E-05	+1.725195E+01	2PT  
+2.300944E-01	-1.108955E-05	+1.712793E+01	2PT  
+2.401099E-01	-1.111893E-05	+1.700391E+01	2PT  
+2.500888E-01	-1.105266E-05	+1.687695E+01	2PT  
+2.600629E-01	-1.131770E-05	+1.675684E+01	2PT  
+2.700437E-01	-1.112151E-05	+1.663184E+01	2PT  
+2.800524E-01	-1.098425E-05	+1.650879E+01	2PT  
+2.900714E-01	-1.109985E-05	+1.638672E+01	2PT  
+3.000975E-01	-1.101523E-05	+1.626270E+01	2PT  
+3.101096E-01	-1.090368E-05	+1.613965E+01	2PT  
+3.200932E-01	-1.097924E-05	+1.601563E+01	2PT  
+3.301007E-01	-1.094156E-05	+1.589063E+01	2PT  
+3.401356E-01	-1.080941E-05	+1.576953E+01	2PT  
+3.501297E-01	-1.100454E-05	+1.564160E+01	2PT  
+3.601486E-01	-1.076053E-05	+1.551953E+01	2PT  
+3.701344E-01	-1.083136E-05	+1.539551E+01	2PT  
+3.801380E-01	-1.098849E-05	+1.527148E+01	2PT  
+3.901681E-01	-1.070307E-05	+1.514746E+01	2PT  
+4.001837E-01	-1.064987E-05	+1.502539E+01	2PT  
+4.101816E-01	-1.085372E-05	+1.490332E+01	2PT  
+4.201801E-01	-1.059047E-05	+1.477930E+01	2PT  
+4.301591E-01	-1.072143E-05	+1.465234E+01	2PT  
+4.401847E-01	-1.043200E-05	+1.452930E+01	2PT  
+4.501572E-01	-1.046071E-05	+1.440527E+01	2PT  
+4.601364E-01	-1.047948E-05	+1.428125E+01	2PT  
+4.701402E-01	-1.026723E-05	+1.416211E+01	2PT  
+4.801157E-01	-1.041967E-05	+1.402832E+01	2PT  
+4.912809E-01	-1.046301E-05	+1.367871E+01	2PT  
+5.014672E-01	-1.042098E-05	+1.356348E+01	2PT  
+5.107673E-01	-1.035803E-05	+1.344727E+01	2PT  
+5.201035E-01	-1.026698E-05	+1.333105E+01	2PT  
