[[DESCRIPTION]]
Bare_FTO_CPB_SE_7_No_spiro_AP_9_4P_1Sun

[[ANALYSIS]]
EFF      	0.02	%
FF        	28.8	%
Voc      	361.4	mV
Jsc       	0.21	mA/cm2
Vmax   	190.1	mV
Jmax    	0.12	mA/cm2
Isc        	1.904210E-5	A
Rsc       	14601	Ohm
Roc      	14441	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001099E-01	-4.776749E-04	+2.311328E+01	2PT  
-1.901186E-01	-3.810029E-04	+2.299121E+01	2PT  
-1.801385E-01	-3.010342E-04	+2.286816E+01	2PT  
-1.701484E-01	-2.359592E-04	+2.274414E+01	2PT  
-1.601654E-01	-1.845587E-04	+2.262598E+01	2PT  
-1.501478E-01	-1.437315E-04	+2.248730E+01	2PT  
-1.401591E-01	-1.125067E-04	+2.234766E+01	2PT  
-1.301846E-01	-8.693778E-05	+2.199805E+01	2PT  
-1.201827E-01	-6.923264E-05	+2.187402E+01	2PT  
-1.101812E-01	-5.610627E-05	+2.175098E+01	2PT  
-1.001318E-01	-4.629851E-05	+2.162793E+01	2PT  
-9.012927E-02	-3.912000E-05	+2.150098E+01	2PT  
-8.011706E-02	-3.378324E-05	+2.138086E+01	2PT  
-7.011738E-02	-2.985489E-05	+2.125391E+01	2PT  
-6.008879E-02	-2.695295E-05	+2.112988E+01	2PT  
-5.007837E-02	-2.470482E-05	+2.100391E+01	2PT  
-4.007898E-02	-2.303481E-05	+2.088086E+01	2PT  
-3.007034E-02	-2.169433E-05	+2.075977E+01	2PT  
-2.007652E-02	-2.064140E-05	+2.063379E+01	2PT  
-1.002712E-02	-1.978299E-05	+2.051074E+01	2PT  
+7.819320E-05	-1.903632E-05	+2.038672E+01	2PT  
+1.007420E-02	-1.840800E-05	+2.026172E+01	2PT  
+2.007766E-02	-1.785335E-05	+2.013965E+01	2PT  
+3.009041E-02	-1.729535E-05	+2.001953E+01	2PT  
+4.012636E-02	-1.681533E-05	+1.989453E+01	2PT  
+5.012739E-02	-1.636268E-05	+1.977246E+01	2PT  
+6.012144E-02	-1.586613E-05	+1.964648E+01	2PT  
+7.012966E-02	-1.543771E-05	+1.952344E+01	2PT  
+8.013593E-02	-1.498979E-05	+1.939941E+01	2PT  
+9.016662E-02	-1.457450E-05	+1.927539E+01	2PT  
+1.001702E-01	-1.415940E-05	+1.915137E+01	2PT  
+1.101812E-01	-1.368700E-05	+1.902832E+01	2PT  
+1.201717E-01	-1.325481E-05	+1.890527E+01	2PT  
+1.301832E-01	-1.281255E-05	+1.878320E+01	2PT  
+1.401999E-01	-1.232852E-05	+1.866016E+01	2PT  
+1.501811E-01	-1.186538E-05	+1.853613E+01	2PT  
+1.601570E-01	-1.140002E-05	+1.841406E+01	2PT  
+1.701505E-01	-1.085847E-05	+1.829004E+01	2PT  
+1.801469E-01	-1.031762E-05	+1.817090E+01	2PT  
+1.901398E-01	-1.041463E-05	+1.782227E+01	2PT  
+2.001238E-01	-9.838730E-06	+1.770703E+01	2PT  
+2.101072E-01	-9.324091E-06	+1.758984E+01	2PT  
+2.200761E-01	-8.800627E-06	+1.747070E+01	2PT  
+2.300727E-01	-8.289736E-06	+1.734961E+01	2PT  
+2.400793E-01	-7.778605E-06	+1.722461E+01	2PT  
+2.500619E-01	-7.199844E-06	+1.710449E+01	2PT  
+2.600431E-01	-6.652690E-06	+1.697656E+01	2PT  
+2.700400E-01	-6.070397E-06	+1.685449E+01	2PT  
+2.800487E-01	-5.461263E-06	+1.673145E+01	2PT  
+2.900770E-01	-4.872194E-06	+1.660742E+01	2PT  
+3.000883E-01	-4.232459E-06	+1.648438E+01	2PT  
+3.100781E-01	-3.583720E-06	+1.635938E+01	2PT  
+3.200861E-01	-2.895190E-06	+1.623535E+01	2PT  
