[[DESCRIPTION]]
CPB_103_SE_500_200_5_1P_A1_5G_Sun

[[ANALYSIS]]
EFF      	0.00**	%
FF        	0.0**	%
Voc      	2.7**	mV
Jsc       	0.00**	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	9.1854E-8	A
Rsc       	29708	Ohm
Roc      	29731	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001121E-01	-7.134897E-06	+2.281543E+01	2PT  
-1.901703E-01	-6.679427E-06	+2.269043E+01	2PT  
-1.800864E-01	-6.117716E-06	+2.256738E+01	2PT  
-1.701586E-01	-5.779050E-06	+2.244336E+01	2PT  
-1.602262E-01	-5.622116E-06	+2.231934E+01	2PT  
-1.501218E-01	-5.152830E-06	+2.219238E+01	2PT  
-1.401798E-01	-4.809569E-06	+2.207227E+01	2PT  
-1.301464E-01	-4.430772E-06	+2.194727E+01	2PT  
-1.201510E-01	-3.955593E-06	+2.182324E+01	2PT  
-1.101593E-01	-3.783991E-06	+2.170020E+01	2PT  
-1.001326E-01	-3.266593E-06	+2.157715E+01	2PT  
-9.011491E-02	-3.178732E-06	+2.145410E+01	2PT  
-8.011220E-02	-2.761730E-06	+2.133105E+01	2PT  
-7.012638E-02	-2.500178E-06	+2.120605E+01	2PT  
-6.007703E-02	-2.131544E-06	+2.108496E+01	2PT  
-5.008870E-02	-1.737022E-06	+2.095898E+01	2PT  
-4.007291E-02	-1.481794E-06	+2.083398E+01	2PT  
-3.008036E-02	-1.055473E-06	+2.071289E+01	2PT  
-2.004331E-02	-7.568431E-07	+2.036816E+01	2PT  
-1.002960E-02	-4.311281E-07	+2.024707E+01	2PT  
+1.490210E-04	-8.681257E-08	+2.012305E+01	2PT  
+1.011925E-02	+2.471242E-07	+1.999805E+01	2PT  
+2.011105E-02	+5.876370E-07	+1.987891E+01	2PT  
+3.007042E-02	+1.021684E-06	+1.963672E+01	2PT  
+4.014307E-02	+1.401279E-06	+1.951367E+01	2PT  
+5.012525E-02	+1.800789E-06	+1.938965E+01	2PT  
+6.013926E-02	+2.169764E-06	+1.926563E+01	2PT  
+7.010782E-02	+2.513342E-06	+1.914355E+01	2PT  
+8.017736E-02	+2.997249E-06	+1.901953E+01	2PT  
+9.016485E-02	+3.359563E-06	+1.889453E+01	2PT  
+1.001960E-01	+3.605162E-06	+1.877246E+01	2PT  
+1.102020E-01	+4.313557E-06	+1.864746E+01	2PT  
+1.201707E-01	+4.360278E-06	+1.852148E+01	2PT  
+1.302114E-01	+5.007048E-06	+1.839844E+01	2PT  
+1.402293E-01	+5.549866E-06	+1.827637E+01	2PT  
+1.502036E-01	+5.967567E-06	+1.815430E+01	2PT  
+1.601469E-01	+6.208320E-06	+1.803418E+01	2PT  
+1.701289E-01	+6.954000E-06	+1.791016E+01	2PT  
+1.801343E-01	+7.281142E-06	+1.778711E+01	2PT  
+1.901900E-01	+7.788354E-06	+1.766406E+01	2PT  
+2.001676E-01	+8.589910E-06	+1.754102E+01	2PT  
+2.101314E-01	+9.448348E-06	+1.741895E+01	2PT  
+2.200917E-01	+1.002450E-05	+1.717871E+01	2PT  
+2.300848E-01	+1.029897E-05	+1.705469E+01	2PT  
+2.400999E-01	+1.103635E-05	+1.693262E+01	2PT  
+2.500827E-01	+1.184125E-05	+1.680273E+01	2PT  
+2.600710E-01	+1.258158E-05	+1.667871E+01	2PT  
+2.700336E-01	+1.307817E-05	+1.655469E+01	2PT  
+2.800442E-01	+1.387188E-05	+1.643066E+01	2PT  
+2.900742E-01	+1.454530E-05	+1.630664E+01	2PT  
+3.000836E-01	+1.526000E-05	+1.618555E+01	2PT  
+3.101003E-01	+1.651900E-05	+1.606152E+01	2PT  
+3.200891E-01	+1.743066E-05	+1.593848E+01	2PT  
+3.301024E-01	+1.813036E-05	+1.581445E+01	2PT  
+3.401376E-01	+1.904847E-05	+1.568945E+01	2PT  
+3.501376E-01	+2.034656E-05	+1.556738E+01	2PT  
+3.601457E-01	+2.049204E-05	+1.544336E+01	2PT  
+3.701486E-01	+2.210935E-05	+1.532031E+01	2PT  
+3.801517E-01	+2.302311E-05	+1.519727E+01	2PT  
+3.901763E-01	+2.374663E-05	+1.507422E+01	2PT  
+4.001909E-01	+2.516128E-05	+1.495020E+01	2PT  
+4.101920E-01	+2.658493E-05	+1.482910E+01	2PT  
+4.201736E-01	+2.709388E-05	+1.470410E+01	2PT  
+4.301656E-01	+2.767723E-05	+1.458008E+01	2PT  
+4.401919E-01	+2.876487E-05	+1.445605E+01	2PT  
+4.501626E-01	+2.934560E-05	+1.433301E+01	2PT  
+4.601415E-01	+3.110632E-05	+1.420898E+01	2PT  
+4.701241E-01	+3.196029E-05	+1.408691E+01	2PT  
+4.801168E-01	+3.262951E-05	+1.396289E+01	2PT  
+4.901147E-01	+3.381196E-05	+1.384180E+01	2PT  
+5.001053E-01	+3.470375E-05	+1.371680E+01	2PT  
+5.100816E-01	+3.603239E-05	+1.359180E+01	2PT  
+5.200685E-01	+3.782458E-05	+1.346973E+01	2PT  
+5.300766E-01	+3.907637E-05	+1.334570E+01	2PT  
+5.400900E-01	+4.108607E-05	+1.322266E+01	2PT  
+5.500787E-01	+4.441045E-05	+1.309961E+01	2PT  
+5.600896E-01	+4.487081E-05	+1.297559E+01	2PT  
+5.700861E-01	+4.644007E-05	+1.285156E+01	2PT  
+5.800675E-01	+4.812699E-05	+1.272949E+01	2PT  
+5.900953E-01	+4.967444E-05	+1.260449E+01	2PT  
+6.001176E-01	+5.111302E-05	+1.248242E+01	2PT  
+6.101162E-01	+5.240345E-05	+1.235937E+01	2PT  
+6.201271E-01	+5.389381E-05	+1.223535E+01	2PT  
+6.301218E-01	+5.632628E-05	+1.210645E+01	2PT  
+6.401840E-01	+5.837746E-05	+1.198340E+01	2PT  
+6.501422E-01	+5.866542E-05	+1.185840E+01	2PT  
+6.601945E-01	+6.125432E-05	+1.173340E+01	2PT  
+6.701693E-01	+6.352810E-05	+1.160937E+01	2PT  
+6.801357E-01	+6.672695E-05	+1.148730E+01	2PT  
+6.901839E-01	+6.938335E-05	+1.136328E+01	2PT  
+7.002112E-01	+7.168867E-05	+1.124219E+01	2PT  
+7.102113E-01	+7.463664E-05	+1.111719E+01	2PT  
+7.201907E-01	+7.818270E-05	+1.099316E+01	2PT  
+7.301488E-01	+7.959754E-05	+1.087109E+01	2PT  
+7.401720E-01	+8.465134E-05	+1.074707E+01	2PT  
+7.501182E-01	+8.779621E-05	+1.062402E+01	2PT  
+7.601295E-01	+8.945297E-05	+1.050000E+01	2PT  
+7.701225E-01	+9.129562E-05	+1.037598E+01	2PT  
+7.800858E-01	+9.585765E-05	+1.024902E+01	2PT  
