[[DESCRIPTION]]
CPB_103_SE_500_250_15_5P_4000K_1000lux

[[ANALYSIS]]
EFF      	20.77**	%
FF        	70.0**	%
Voc      	872.1**	mV
Jsc       	0.14**	mA/cm2
Vmax   	690.2	mV
Jmax    	0.12	mA/cm2
Isc        	1.2595E-5	A
Rsc       	75391	Ohm
Roc      	6207.4	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000999E-01	-1.270860E-05	+2.237891E+01	2PT  
-1.901119E-01	-1.271915E-05	+2.225488E+01	2PT  
-1.801511E-01	-1.284266E-05	+2.213086E+01	2PT  
-1.701589E-01	-1.299533E-05	+2.200684E+01	2PT  
-1.601637E-01	-1.267909E-05	+2.188477E+01	2PT  
-1.501382E-01	-1.273149E-05	+2.176074E+01	2PT  
-1.401675E-01	-1.295199E-05	+2.163770E+01	2PT  
-1.301678E-01	-1.287668E-05	+2.151367E+01	2PT  
-1.201662E-01	-1.267088E-05	+2.138965E+01	2PT  
-1.101587E-01	-1.267108E-05	+2.126660E+01	2PT  
-1.001272E-01	-1.267632E-05	+2.113965E+01	2PT  
-9.012798E-02	-1.270388E-05	+2.101563E+01	2PT  
-8.013517E-02	-1.286092E-05	+2.089160E+01	2PT  
-7.011401E-02	-1.272229E-05	+2.076855E+01	2PT  
-6.007105E-02	-1.264359E-05	+2.064453E+01	2PT  
-5.008316E-02	-1.275330E-05	+2.052051E+01	2PT  
-4.007565E-02	-1.293774E-05	+2.039746E+01	2PT  
-3.007520E-02	-1.263024E-05	+2.027441E+01	2PT  
-2.006826E-02	-1.296250E-05	+2.015430E+01	2PT  
-1.003295E-02	-1.289556E-05	+2.002734E+01	2PT  
+8.485801E-05	-1.259254E-05	+1.990625E+01	2PT  
+1.008005E-02	-1.263207E-05	+1.978223E+01	2PT  
+2.007691E-02	-1.295477E-05	+1.966016E+01	2PT  
+3.009219E-02	-1.280301E-05	+1.953516E+01	2PT  
+4.012726E-02	-1.258892E-05	+1.941113E+01	2PT  
+5.014177E-02	-1.258721E-05	+1.928711E+01	2PT  
+6.011945E-02	-1.269939E-05	+1.916406E+01	2PT  
+7.011402E-02	-1.286960E-05	+1.904102E+01	2PT  
+8.012977E-02	-1.254892E-05	+1.891797E+01	2PT  
+9.016814E-02	-1.260203E-05	+1.879395E+01	2PT  
+1.001677E-01	-1.290963E-05	+1.867188E+01	2PT  
+1.101728E-01	-1.258701E-05	+1.854785E+01	2PT  
+1.201966E-01	-1.260786E-05	+1.842578E+01	2PT  
+1.301595E-01	-1.272216E-05	+1.830176E+01	2PT  
+1.402012E-01	-1.259092E-05	+1.817871E+01	2PT  
+1.501925E-01	-1.250924E-05	+1.805469E+01	2PT  
+1.601688E-01	-1.252351E-05	+1.793066E+01	2PT  
+1.701380E-01	-1.265807E-05	+1.780664E+01	2PT  
+1.801475E-01	-1.252067E-05	+1.768555E+01	2PT  
+1.901478E-01	-1.246641E-05	+1.756055E+01	2PT  
+2.001366E-01	-1.259458E-05	+1.743262E+01	2PT  
+2.101081E-01	-1.245017E-05	+1.730859E+01	2PT  
+2.201021E-01	-1.250154E-05	+1.718457E+01	2PT  
+2.300640E-01	-1.258462E-05	+1.706055E+01	2PT  
+2.400819E-01	-1.268774E-05	+1.693555E+01	2PT  
+2.500782E-01	-1.276238E-05	+1.681055E+01	2PT  
+2.600644E-01	-1.243324E-05	+1.668652E+01	2PT  
+2.700434E-01	-1.242314E-05	+1.656250E+01	2PT  
+2.800637E-01	-1.244873E-05	+1.643848E+01	2PT  
+2.900832E-01	-1.272125E-05	+1.631543E+01	2PT  
+3.001030E-01	-1.240233E-05	+1.619238E+01	2PT  
+3.100938E-01	-1.241678E-05	+1.607031E+01	2PT  
+3.201034E-01	-1.257821E-05	+1.594629E+01	2PT  
+3.300936E-01	-1.256130E-05	+1.582227E+01	2PT  
+3.401380E-01	-1.230705E-05	+1.569922E+01	2PT  
+3.501287E-01	-1.239044E-05	+1.557520E+01	2PT  
+3.601205E-01	-1.252649E-05	+1.545117E+01	2PT  
+3.701243E-01	-1.240887E-05	+1.532422E+01	2PT  
+3.801291E-01	-1.254895E-05	+1.520020E+01	2PT  
+3.901881E-01	-1.223801E-05	+1.507813E+01	2PT  
+4.001907E-01	-1.232979E-05	+1.495508E+01	2PT  
+4.101905E-01	-1.223082E-05	+1.483496E+01	2PT  
+4.201824E-01	-1.218072E-05	+1.471094E+01	2PT  
+4.301651E-01	-1.242284E-05	+1.458887E+01	2PT  
+4.401684E-01	-1.247497E-05	+1.446484E+01	2PT  
+4.501615E-01	-1.221719E-05	+1.434473E+01	2PT  
+4.601376E-01	-1.240660E-05	+1.422168E+01	2PT  
+4.701383E-01	-1.207953E-05	+1.409961E+01	2PT  
+4.801209E-01	-1.207516E-05	+1.397559E+01	2PT  
+4.901268E-01	-1.235500E-05	+1.385352E+01	2PT  
+5.001142E-01	-1.202305E-05	+1.372949E+01	2PT  
+5.100960E-01	-1.196025E-05	+1.360547E+01	2PT  
+5.200775E-01	-1.207218E-05	+1.348340E+01	2PT  
+5.300542E-01	-1.197650E-05	+1.335645E+01	2PT  
+5.400867E-01	-1.185423E-05	+1.323633E+01	2PT  
+5.500584E-01	-1.183289E-05	+1.311035E+01	2PT  
+5.600662E-01	-1.178085E-05	+1.298535E+01	2PT  
+5.700707E-01	-1.196345E-05	+1.286523E+01	2PT  
+5.800768E-01	-1.170267E-05	+1.274121E+01	2PT  
+5.900821E-01	-1.187780E-05	+1.262109E+01	2PT  
+6.001048E-01	-1.182430E-05	+1.249707E+01	2PT  
+6.101131E-01	-1.153230E-05	+1.237402E+01	2PT  
+6.201168E-01	-1.156940E-05	+1.225098E+01	2PT  
+6.300982E-01	-1.153336E-05	+1.212598E+01	2PT  
+6.401457E-01	-1.166846E-05	+1.200195E+01	2PT  
+6.501594E-01	-1.139068E-05	+1.187402E+01	2PT  
+6.601492E-01	-1.115124E-05	+1.175293E+01	2PT  
+6.701690E-01	-1.107020E-05	+1.162891E+01	2PT  
+6.801654E-01	-1.109156E-05	+1.150586E+01	2PT  
+6.901985E-01	-1.113323E-05	+1.138086E+01	2PT  
+7.001907E-01	-1.065492E-05	+1.125879E+01	2PT  
+7.101846E-01	-1.058506E-05	+1.113477E+01	2PT  
+7.201372E-01	-1.028568E-05	+1.101465E+01	2PT  
+7.302195E-01	-1.036465E-05	+1.066895E+01	2PT  
+7.401752E-01	-1.013790E-05	+1.055176E+01	2PT  
+7.501296E-01	-9.983014E-06	+1.043262E+01	2PT  
+7.601097E-01	-9.649331E-06	+1.030957E+01	2PT  
+7.701316E-01	-9.362759E-06	+1.018457E+01	2PT  
+7.799822E-01	-9.128171E-06	+1.006152E+01	2PT  
+7.900904E-01	-8.751600E-06	+9.938477E+00	2PT  
+8.000766E-01	-8.056249E-06	+9.814453E+00	2PT  
+8.100852E-01	-7.467838E-06	+9.687500E+00	2PT  
+8.199964E-01	-6.821815E-06	+9.566406E+00	2PT  
+8.300170E-01	-6.074614E-06	+9.443359E+00	2PT  
+8.400786E-01	-4.715550E-06	+9.320313E+00	2PT  
+8.501211E-01	-3.331791E-06	+9.196289E+00	2PT  
+8.600399E-01	-1.798764E-06	+9.074219E+00	2PT  
+8.700217E-01	-3.323945E-07	+8.720703E+00	2PT  
+8.800569E-01	+1.265381E-06	+8.481445E+00	2PT  
+8.901186E-01	+4.060782E-06	+8.356445E+00	2PT  
+9.001659E-01	+7.887370E-06	+8.235352E+00	2PT  
+9.101061E-01	+1.106502E-05	+7.996094E+00	2PT  
+9.201208E-01	+1.594237E-05	+7.874023E+00	2PT  
+9.301127E-01	+2.187223E-05	+7.750977E+00	2PT  
+9.401564E-01	+2.963340E-05	+7.628906E+00	2PT  
+9.501733E-01	+3.870943E-05	+7.504883E+00	2PT  
+9.601747E-01	+4.987161E-05	+7.381836E+00	2PT  
+9.701977E-01	+6.397901E-05	+7.259766E+00	2PT  
+9.801716E-01	+8.093299E-05	+7.135742E+00	2PT  
+9.901935E-01	+1.026247E-04	+7.015625E+00	2PT  
+1.000167E+00	+1.233880E-04	+6.775391E+00	2PT  
+1.010157E+00	+1.523158E-04	+6.652344E+00	2PT  
+1.020137E+00	+1.869028E-04	+6.528320E+00	2PT  
+1.030113E+00	+2.281953E-04	+6.405273E+00	2PT  
+1.040125E+00	+2.778597E-04	+6.280273E+00	2PT  
+1.050115E+00	+3.360920E-04	+6.155273E+00	2PT  
+1.060085E+00	+4.047365E-04	+6.031250E+00	2PT  
+1.070083E+00	+4.851487E-04	+5.909180E+00	2PT  
+1.080077E+00	+5.788267E-04	+5.785156E+00	2PT  
+1.090097E+00	+6.870189E-04	+5.657227E+00	2PT  
+1.100079E+00	+8.105926E-04	+5.533203E+00	2PT  
+1.110063E+00	+9.519497E-04	+5.416016E+00	2PT  
+1.120054E+00	+1.114943E-03	+5.177734E+00	2PT  
+1.130040E+00	+1.288755E-03	+5.053711E+00	2PT  
+1.140075E+00	+1.480598E-03	+4.931641E+00	2PT  
+1.150101E+00	+1.688961E-03	+4.810547E+00	2PT  
+1.160104E+00	+1.914853E-03	+4.687500E+00	2PT  
+1.170086E+00	+2.156711E-03	+4.563477E+00	2PT  
+1.180088E+00	+2.413676E-03	+4.441406E+00	2PT  
+1.190134E+00	+2.685918E-03	+4.317383E+00	2PT  
+1.200133E+00	+2.970021E-03	+4.195313E+00	2PT  
+1.210130E+00	+3.265202E-03	+4.071289E+00	2PT  
+1.220144E+00	+3.569829E-03	+3.949219E+00	2PT  
+1.230148E+00	+3.881331E-03	+3.825195E+00	2PT  
+1.240180E+00	+4.197709E-03	+3.703125E+00	2PT  
+1.250168E+00	+4.515208E-03	+3.579102E+00	2PT  
+1.260162E+00	+4.829598E-03	+3.457031E+00	2PT  
+1.270154E+00	+5.137953E-03	+3.333008E+00	2PT  
+1.280175E+00	+5.436527E-03	+3.210938E+00	2PT  
+1.290156E+00	+5.714711E-03	+3.087891E+00	2PT  
+1.300145E+00	+5.970038E-03	+2.964844E+00	2PT  
+1.310116E+00	+6.190911E-03	+2.841797E+00	2PT  
+1.320112E+00	+6.365116E-03	+2.719727E+00	2PT  
+1.330124E+00	+6.480271E-03	+2.595703E+00	2PT  
+1.340099E+00	+6.511535E-03	+2.473633E+00	2PT  
+1.350082E+00	+6.434388E-03	+2.349609E+00	2PT  
+1.360079E+00	+6.214052E-03	+2.227539E+00	2PT  
+1.370061E+00	+5.801204E-03	+2.106445E+00	2PT  
+1.380060E+00	+5.112112E-03	+1.982422E+00	2PT  
+1.390037E+00	+4.117006E-03	+1.861328E+00	2PT  
+1.400019E+00	+7.782064E-04	+1.516602E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=4.1100000000E-1
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

