[[DESCRIPTION]]
CPB_103_SE_500_300_07_2P_A1_5G_Sun

[[ANALYSIS]]
EFF      	0.35**	%
FF        	37.5**	%
Voc      	881.6**	mV
Jsc       	1.07**	mA/cm2
Vmax   	560.1	mV
Jmax    	0.63	mA/cm2
Isc        	9.6458E-5	A
Rsc       	20283	Ohm
Roc      	1718.6	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000979E-01	-1.095615E-04	+2.398730E+01	2PT  
-1.901172E-01	-1.067183E-04	+2.386426E+01	2PT  
-1.801336E-01	-1.042290E-04	+2.373828E+01	2PT  
-1.701478E-01	-1.012178E-04	+2.361816E+01	2PT  
-1.601955E-01	-1.034839E-04	+2.326758E+01	2PT  
-1.501707E-01	-1.013442E-04	+2.315332E+01	2PT  
-1.401813E-01	-9.940623E-05	+2.303320E+01	2PT  
-1.301940E-01	-9.683875E-05	+2.291211E+01	2PT  
-1.201683E-01	-9.699158E-05	+2.266309E+01	2PT  
-1.101822E-01	-1.040511E-04	+2.220215E+01	2PT  
-1.001452E-01	-1.029131E-04	+2.208789E+01	2PT  
-9.013903E-02	-1.020279E-04	+2.197070E+01	2PT  
-8.013988E-02	-1.011587E-04	+2.185352E+01	2PT  
-7.014067E-02	-1.003913E-04	+2.173340E+01	2PT  
-6.010695E-02	-9.964304E-05	+2.161523E+01	2PT  
-5.009852E-02	-9.889274E-05	+2.149512E+01	2PT  
-4.009551E-02	-9.849927E-05	+2.136719E+01	2PT  
-3.009272E-02	-9.794384E-05	+2.124316E+01	2PT  
-2.009575E-02	-9.757619E-05	+2.111816E+01	2PT  
-1.004379E-02	-9.692162E-05	+2.099609E+01	2PT  
+6.569357E-05	-9.645499E-05	+2.086914E+01	2PT  
+1.007422E-02	-9.592977E-05	+2.074707E+01	2PT  
+2.006852E-02	-9.550044E-05	+2.062305E+01	2PT  
+3.007112E-02	-9.500192E-05	+2.049902E+01	2PT  
+4.011400E-02	-9.443243E-05	+2.037598E+01	2PT  
+5.011838E-02	-9.393503E-05	+2.025293E+01	2PT  
+6.011434E-02	-9.345439E-05	+2.012891E+01	2PT  
+7.011865E-02	-9.285550E-05	+2.000586E+01	2PT  
+8.012050E-02	-9.227479E-05	+1.988281E+01	2PT  
+9.015673E-02	-9.174443E-05	+1.975781E+01	2PT  
+1.001600E-01	-9.119277E-05	+1.963184E+01	2PT  
+1.101584E-01	-9.061573E-05	+1.950977E+01	2PT  
+1.201581E-01	-8.992750E-05	+1.938867E+01	2PT  
+1.301684E-01	-8.954585E-05	+1.926172E+01	2PT  
+1.401882E-01	-8.896853E-05	+1.913867E+01	2PT  
+1.501753E-01	-8.833705E-05	+1.901367E+01	2PT  
+1.601574E-01	-8.779003E-05	+1.888965E+01	2PT  
+1.701373E-01	-8.728037E-05	+1.876562E+01	2PT  
+1.801248E-01	-8.654671E-05	+1.864355E+01	2PT  
+1.901434E-01	-8.608944E-05	+1.851855E+01	2PT  
+2.001255E-01	-8.537423E-05	+1.839746E+01	2PT  
+2.101025E-01	-8.474971E-05	+1.827246E+01	2PT  
+2.200812E-01	-8.416657E-05	+1.814941E+01	2PT  
+2.300662E-01	-8.348436E-05	+1.802441E+01	2PT  
