[[DESCRIPTION]]
CPB_103_SE_500_350_16_3P_2700K_1000lux

[[ANALYSIS]]
EFF      	11.62**	%
FF        	58.2**	%
Voc      	1024.4**	mV
Jsc       	0.06**	mA/cm2
Vmax   	770.1	mV
Jmax    	0.04	mA/cm2
Isc        	5.1954E-6	A
Rsc       	4.5018E+5	Ohm
Roc      	19189	Ohm
A          	0.09	cm2
Incd. Pwr	0.296	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001226E-01	-5.432344E-06	+2.267578E+01	2PT  
-1.901256E-01	-5.356990E-06	+2.255176E+01	2PT  
-1.801528E-01	-5.330666E-06	+2.242578E+01	2PT  
-1.701261E-01	-5.276472E-06	+2.230371E+01	2PT  
-1.601654E-01	-5.244354E-06	+2.217480E+01	2PT  
-1.501333E-01	-5.268660E-06	+2.205176E+01	2PT  
-1.402028E-01	-5.387006E-06	+2.192871E+01	2PT  
-1.301913E-01	-5.379296E-06	+2.180469E+01	2PT  
-1.201599E-01	-5.254804E-06	+2.168066E+01	2PT  
-1.101380E-01	-5.219734E-06	+2.155566E+01	2PT  
-1.001452E-01	-5.392547E-06	+2.143555E+01	2PT  
-9.011736E-02	-5.259373E-06	+2.131152E+01	2PT  
-8.011256E-02	-5.243631E-06	+2.118945E+01	2PT  
-7.008313E-02	-5.252466E-06	+2.106250E+01	2PT  
-6.013956E-02	-5.315459E-06	+2.093945E+01	2PT  
-5.010024E-02	-5.383825E-06	+2.081543E+01	2PT  
-4.006984E-02	-5.243757E-06	+2.069141E+01	2PT  
-3.005105E-02	-5.221450E-06	+2.056934E+01	2PT  
-2.010331E-02	-5.319937E-06	+2.044531E+01	2PT  
-1.002632E-02	-5.238772E-06	+2.032227E+01	2PT  
+8.235901E-05	-5.195010E-06	+2.019727E+01	2PT  
+1.009839E-02	-5.194750E-06	+2.007227E+01	2PT  
+2.012526E-02	-5.186015E-06	+1.994824E+01	2PT  
+3.010876E-02	-5.207612E-06	+1.982129E+01	2PT  
+4.008215E-02	-5.332206E-06	+1.969922E+01	2PT  
+5.012659E-02	-5.218717E-06	+1.957617E+01	2PT  
+6.013056E-02	-5.172067E-06	+1.945215E+01	2PT  
+7.012720E-02	-5.201251E-06	+1.932910E+01	2PT  
+8.010977E-02	-5.339936E-06	+1.920508E+01	2PT  
+9.016142E-02	-5.202894E-06	+1.908105E+01	2PT  
+1.001722E-01	-5.188797E-06	+1.895508E+01	2PT  
