[[DESCRIPTION]]
CPB_103_SE_500_350_16_3P_4000K_1000lux

[[ANALYSIS]]
EFF      	18.15**	%
FF        	55.6**	%
Voc      	1015.8**	mV
Jsc       	0.13**	mA/cm2
Vmax   	730.1	mV
Jmax    	0.10	mA/cm2
Isc        	1.1890E-5	A
Rsc       	1.4371E+5	Ohm
Roc      	7982.9	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001003E-01	-1.232933E-05	+2.274121E+01	2PT  
-1.901147E-01	-1.194124E-05	+2.261914E+01	2PT  
-1.801259E-01	-1.203448E-05	+2.249512E+01	2PT  
-1.701515E-01	-1.231026E-05	+2.237207E+01	2PT  
-1.601648E-01	-1.195570E-05	+2.224805E+01	2PT  
-1.501404E-01	-1.192750E-05	+2.212402E+01	2PT  
-1.401564E-01	-1.191217E-05	+2.199902E+01	2PT  
-1.301777E-01	-1.192337E-05	+2.187988E+01	2PT  
-1.201668E-01	-1.191670E-05	+2.175488E+01	2PT  
-1.101831E-01	-1.207448E-05	+2.163379E+01	2PT  
-1.001292E-01	-1.221454E-05	+2.150879E+01	2PT  
-9.010652E-02	-1.187958E-05	+2.138574E+01	2PT  
-8.013874E-02	-1.204487E-05	+2.126367E+01	2PT  
-7.009880E-02	-1.185686E-05	+2.114453E+01	2PT  
-6.007535E-02	-1.185831E-05	+2.101855E+01	2PT  
-5.008325E-02	-1.206729E-05	+2.089844E+01	2PT  
-4.006474E-02	-1.197030E-05	+2.077344E+01	2PT  
-3.007782E-02	-1.193818E-05	+2.065234E+01	2PT  
-2.007328E-02	-1.219107E-05	+2.052930E+01	2PT  
-1.002211E-02	-1.181914E-05	+2.040527E+01	2PT  
+6.319297E-05	-1.189085E-05	+2.028320E+01	2PT  
+1.008256E-02	-1.196042E-05	+2.016113E+01	2PT  
+2.010024E-02	-1.176759E-05	+2.003711E+01	2PT  
+3.010032E-02	-1.182015E-05	+1.991309E+01	2PT  
+4.010800E-02	-1.194121E-05	+1.979004E+01	2PT  
+5.013920E-02	-1.176269E-05	+1.966797E+01	2PT  
+6.013601E-02	-1.174977E-05	+1.954395E+01	2PT  
+7.014449E-02	-1.178891E-05	+1.941992E+01	2PT  
+8.013657E-02	-1.206508E-05	+1.929688E+01	2PT  
+9.016292E-02	-1.170350E-05	+1.917383E+01	2PT  
+1.001860E-01	-1.173458E-05	+1.905078E+01	2PT  
+1.101818E-01	-1.189733E-05	+1.892773E+01	2PT  
+1.201690E-01	-1.202255E-05	+1.880273E+01	2PT  
+1.301812E-01	-1.193168E-05	+1.867578E+01	2PT  
+1.402008E-01	-1.181806E-05	+1.855176E+01	2PT  
+1.501836E-01	-1.161133E-05	+1.842773E+01	2PT  
+1.601643E-01	-1.174471E-05	+1.830566E+01	2PT  
+1.701471E-01	-1.195314E-05	+1.818164E+01	2PT  
+1.801407E-01	-1.160294E-05	+1.805762E+01	2PT  
+1.901498E-01	-1.154970E-05	+1.793359E+01	2PT  
+2.001366E-01	-1.157105E-05	+1.780957E+01	2PT  
+2.101149E-01	-1.186209E-05	+1.768652E+01	2PT  
+2.200996E-01	-1.154703E-05	+1.756250E+01	2PT  
+2.300831E-01	-1.168866E-05	+1.743555E+01	2PT  
+2.400953E-01	-1.145976E-05	+1.731152E+01	2PT  
+2.500725E-01	-1.144521E-05	+1.718750E+01	2PT  
+2.600556E-01	-1.154089E-05	+1.706445E+01	2PT  
+2.700337E-01	-1.176150E-05	+1.694043E+01	2PT  
+2.800516E-01	-1.171594E-05	+1.681445E+01	2PT  
+2.900918E-01	-1.137100E-05	+1.669336E+01	2PT  
+3.000894E-01	-1.135020E-05	+1.656445E+01	2PT  
+3.100838E-01	-1.154948E-05	+1.644434E+01	2PT  
+3.200983E-01	-1.144768E-05	+1.632031E+01	2PT  
+3.300995E-01	-1.122127E-05	+1.619727E+01	2PT  
+3.401322E-01	-1.134695E-05	+1.607520E+01	2PT  
+3.501295E-01	-1.152763E-05	+1.595117E+01	2PT  
+3.601393E-01	-1.112736E-05	+1.582813E+01	2PT  
+3.701486E-01	-1.114919E-05	+1.570410E+01	2PT  
+3.801447E-01	-1.134031E-05	+1.558203E+01	2PT  
+3.901706E-01	-1.124868E-05	+1.545801E+01	2PT  
+4.001796E-01	-1.099428E-05	+1.533398E+01	2PT  
+4.101835E-01	-1.106644E-05	+1.521191E+01	2PT  
+4.201887E-01	-1.092177E-05	+1.508301E+01	2PT  
+4.301581E-01	-1.113507E-05	+1.496094E+01	2PT  
+4.401761E-01	-1.101337E-05	+1.483691E+01	2PT  
+4.501560E-01	-1.077792E-05	+1.471387E+01	2PT  
+4.601376E-01	-1.077753E-05	+1.458984E+01	2PT  
+4.701308E-01	-1.086920E-05	+1.446875E+01	2PT  
+4.800928E-01	-1.089845E-05	+1.433984E+01	2PT  
+4.901312E-01	-1.074398E-05	+1.421582E+01	2PT  
+5.001069E-01	-1.050807E-05	+1.409277E+01	2PT  
+5.101050E-01	-1.049591E-05	+1.396875E+01	2PT  
+5.200665E-01	-1.063929E-05	+1.384668E+01	2PT  
+5.300676E-01	-1.028510E-05	+1.372266E+01	2PT  
+5.400675E-01	-1.026082E-05	+1.360059E+01	2PT  
+5.503630E-01	-1.041896E-05	+1.325195E+01	2PT  
+5.602509E-01	-1.034555E-05	+1.313672E+01	2PT  
+5.700759E-01	-1.024995E-05	+1.301953E+01	2PT  
+5.800804E-01	-1.014297E-05	+1.290137E+01	2PT  
+5.901448E-01	-1.008294E-05	+1.277734E+01	2PT  
+6.001010E-01	-9.999510E-06	+1.265820E+01	2PT  
+6.100779E-01	-1.024625E-05	+1.253906E+01	2PT  
+6.201142E-01	-9.887905E-06	+1.241504E+01	2PT  
+6.301207E-01	-9.769539E-06	+1.229102E+01	2PT  
+6.400654E-01	-9.909628E-06	+1.216992E+01	2PT  
+6.501477E-01	-9.851745E-06	+1.204590E+01	2PT  
+6.601586E-01	-9.530999E-06	+1.192187E+01	2PT  
+6.701806E-01	-9.473117E-06	+1.179785E+01	2PT  
+6.800524E-01	-9.539156E-06	+1.167480E+01	2PT  
+6.901709E-01	-9.572772E-06	+1.154980E+01	2PT  
+7.001920E-01	-9.191666E-06	+1.142676E+01	2PT  
+7.102109E-01	-9.113682E-06	+1.130469E+01	2PT  
+7.200419E-01	-9.142751E-06	+1.117969E+01	2PT  
+7.301157E-01	-9.196418E-06	+1.105664E+01	2PT  
+7.401459E-01	-8.806101E-06	+1.093262E+01	2PT  
+7.501523E-01	-8.698554E-06	+1.080762E+01	2PT  
+7.601541E-01	-8.621842E-06	+1.068359E+01	2PT  
+7.700087E-01	-8.599367E-06	+1.055957E+01	2PT  
+7.800969E-01	-8.351206E-06	+1.043848E+01	2PT  
+7.901275E-01	-8.237575E-06	+1.031445E+01	2PT  
+8.000217E-01	-8.311646E-06	+1.019141E+01	2PT  
+8.100562E-01	-8.275116E-06	+1.006738E+01	2PT  
+8.199550E-01	-7.940089E-06	+9.948242E+00	2PT  
+8.299766E-01	-7.790453E-06	+9.822266E+00	2PT  
+8.400425E-01	-7.785403E-06	+9.699219E+00	2PT  
+8.500788E-01	-7.379387E-06	+9.575195E+00	2PT  
+8.600692E-01	-7.280776E-06	+9.453125E+00	2PT  
+8.700057E-01	-7.230193E-06	+9.329102E+00	2PT  
+8.800820E-01	-6.809176E-06	+9.208008E+00	2PT  
+8.901588E-01	-6.646503E-06	+9.084961E+00	2PT  
+9.001002E-01	-6.618315E-06	+8.962891E+00	2PT  
+9.101132E-01	-6.113451E-06	+8.838867E+00	2PT  
+9.200392E-01	-5.899198E-06	+8.717773E+00	2PT  
+9.300619E-01	-5.591049E-06	+8.591797E+00	2PT  
+9.401437E-01	-5.371238E-06	+8.467773E+00	2PT  
+9.501730E-01	-4.719815E-06	+8.344727E+00	2PT  
