[[DESCRIPTION]]
CPB_103_SE_500_350_16_3P_A1_5G_Sun

[[ANALYSIS]]
EFF      	4.55**	%
FF        	72.4**	%
Voc      	1300.5**	mV
Jsc       	4.83**	mA/cm2
Vmax   	1100.0	mV
Jmax    	4.14	mA/cm2
Isc        	0.00043508	A
Rsc       	34387	Ohm
Roc      	95.479	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001130E-01	-4.383358E-04	+2.209473E+01	2PT  
-1.901207E-01	-4.383328E-04	+2.197266E+01	2PT  
-1.801430E-01	-4.382377E-04	+2.184863E+01	2PT  
-1.701532E-01	-4.380935E-04	+2.172656E+01	2PT  
-1.601628E-01	-4.378151E-04	+2.160156E+01	2PT  
-1.501546E-01	-4.378340E-04	+2.147754E+01	2PT  
-1.401691E-01	-4.376484E-04	+2.135352E+01	2PT  
-1.301696E-01	-4.374296E-04	+2.123047E+01	2PT  
-1.201811E-01	-4.374287E-04	+2.110645E+01	2PT  
-1.101748E-01	-4.370050E-04	+2.098340E+01	2PT  
-1.001321E-01	-4.367412E-04	+2.086133E+01	2PT  
-9.013683E-02	-4.367591E-04	+2.073926E+01	2PT  
-8.011868E-02	-4.364433E-04	+2.061621E+01	2PT  
-7.011984E-02	-4.361625E-04	+2.049316E+01	2PT  
-6.008876E-02	-4.362320E-04	+2.036816E+01	2PT  
-5.007519E-02	-4.360208E-04	+2.024512E+01	2PT  
-4.008646E-02	-4.357351E-04	+2.012109E+01	2PT  
-3.007694E-02	-4.353727E-04	+1.999707E+01	2PT  
-2.007493E-02	-4.353554E-04	+1.987207E+01	2PT  
-1.003295E-02	-4.354834E-04	+1.974902E+01	2PT  
+6.985822E-05	-4.350754E-04	+1.962500E+01	2PT  
+1.009088E-02	-4.348987E-04	+1.950098E+01	2PT  
+2.008107E-02	-4.347631E-04	+1.937891E+01	2PT  
+3.008282E-02	-4.344107E-04	+1.925488E+01	2PT  
+4.012957E-02	-4.340812E-04	+1.913086E+01	2PT  
+5.012573E-02	-4.339788E-04	+1.900684E+01	2PT  
+6.012557E-02	-4.338567E-04	+1.887988E+01	2PT  
+7.013536E-02	-4.338519E-04	+1.875684E+01	2PT  
+8.012982E-02	-4.336088E-04	+1.863477E+01	2PT  
+9.017026E-02	-4.334671E-04	+1.851074E+01	2PT  
+1.001614E-01	-4.336097E-04	+1.838672E+01	2PT  
+1.101639E-01	-4.330136E-04	+1.826367E+01	2PT  
+1.201642E-01	-4.330934E-04	+1.813965E+01	2PT  
+1.301773E-01	-4.326410E-04	+1.801758E+01	2PT  
+1.402050E-01	-4.324159E-04	+1.789160E+01	2PT  
+1.501785E-01	-4.321319E-04	+1.776855E+01	2PT  
+1.601636E-01	-4.322019E-04	+1.764551E+01	2PT  
+1.701496E-01	-4.318410E-04	+1.752246E+01	2PT  
+1.801369E-01	-4.318618E-04	+1.739941E+01	2PT  
+1.901585E-01	-4.316401E-04	+1.727637E+01	2PT  
+2.001278E-01	-4.312943E-04	+1.715430E+01	2PT  
+2.101157E-01	-4.309268E-04	+1.703125E+01	2PT  
+2.200931E-01	-4.309666E-04	+1.690430E+01	2PT  
+2.300716E-01	-4.305059E-04	+1.678516E+01	2PT  
+2.400921E-01	-4.301819E-04	+1.665918E+01	2PT  
+2.500720E-01	-4.300853E-04	+1.653418E+01	2PT  
+2.600628E-01	-4.297048E-04	+1.641113E+01	2PT  
+2.700519E-01	-4.296556E-04	+1.628809E+01	2PT  
+2.800505E-01	-4.293366E-04	+1.616504E+01	2PT  
+2.900854E-01	-4.291220E-04	+1.604102E+01	2PT  
+3.000985E-01	-4.289795E-04	+1.591895E+01	2PT  
+3.100924E-01	-4.291157E-04	+1.579395E+01	2PT  
+3.201020E-01	-4.287531E-04	+1.566992E+01	2PT  
+3.300924E-01	-4.283616E-04	+1.554688E+01	2PT  
+3.401320E-01	-4.278113E-04	+1.542676E+01	2PT  
+3.501314E-01	-4.275221E-04	+1.530273E+01	2PT  
+3.601299E-01	-4.273631E-04	+1.517969E+01	2PT  
+3.701266E-01	-4.272270E-04	+1.505664E+01	2PT  
+3.801412E-01	-4.268024E-04	+1.493359E+01	2PT  
+3.901832E-01	-4.263095E-04	+1.481055E+01	2PT  
+4.001771E-01	-4.260549E-04	+1.468652E+01	2PT  
+4.101781E-01	-4.255402E-04	+1.456543E+01	2PT  
+4.201642E-01	-4.255295E-04	+1.443652E+01	2PT  
+4.301473E-01	-4.253283E-04	+1.431348E+01	2PT  
+4.401834E-01	-4.249554E-04	+1.418848E+01	2PT  
+4.501657E-01	-4.248115E-04	+1.406445E+01	2PT  
+4.601523E-01	-4.242115E-04	+1.394141E+01	2PT  
+4.701280E-01	-4.240337E-04	+1.381738E+01	2PT  
+4.800984E-01	-4.237893E-04	+1.369434E+01	2PT  
+4.901268E-01	-4.234299E-04	+1.357031E+01	2PT  
+5.001083E-01	-4.230819E-04	+1.344629E+01	2PT  
+5.100912E-01	-4.228071E-04	+1.332227E+01	2PT  
+5.200762E-01	-4.224031E-04	+1.320020E+01	2PT  
+5.300518E-01	-4.220304E-04	+1.307715E+01	2PT  
+5.400839E-01	-4.215313E-04	+1.295313E+01	2PT  
+5.500535E-01	-4.208599E-04	+1.283203E+01	2PT  
+5.600627E-01	-4.207714E-04	+1.270801E+01	2PT  
+5.700579E-01	-4.202485E-04	+1.258496E+01	2PT  
+5.800786E-01	-4.200201E-04	+1.246094E+01	2PT  
+5.901070E-01	-4.193807E-04	+1.233984E+01	2PT  
+6.001150E-01	-4.191370E-04	+1.221582E+01	2PT  
+6.101165E-01	-4.185435E-04	+1.209180E+01	2PT  
+6.201128E-01	-4.179380E-04	+1.196777E+01	2PT  
+6.300991E-01	-4.178481E-04	+1.184375E+01	2PT  
+6.401545E-01	-4.173330E-04	+1.171875E+01	2PT  
+6.501606E-01	-4.170951E-04	+1.159668E+01	2PT  
+6.601595E-01	-4.165267E-04	+1.147461E+01	2PT  
+6.701585E-01	-4.163011E-04	+1.134961E+01	2PT  
+6.801546E-01	-4.156978E-04	+1.122656E+01	2PT  
+6.902038E-01	-4.151469E-04	+1.110645E+01	2PT  
+7.001799E-01	-4.146228E-04	+1.098242E+01	2PT  
+7.101764E-01	-4.139755E-04	+1.086230E+01	2PT  
+7.201511E-01	-4.135271E-04	+1.073926E+01	2PT  
+7.301447E-01	-4.131203E-04	+1.061719E+01	2PT  
+7.401578E-01	-4.124662E-04	+1.049414E+01	2PT  
+7.501350E-01	-4.120928E-04	+1.037012E+01	2PT  
+7.601168E-01	-4.115154E-04	+1.024805E+01	2PT  
+7.700986E-01	-4.111782E-04	+1.012402E+01	2PT  
+7.800871E-01	-4.106482E-04	+9.999023E+00	2PT  
+7.900961E-01	-4.102739E-04	+9.875000E+00	2PT  
+8.000811E-01	-4.099604E-04	+9.750977E+00	2PT  
+8.100690E-01	-4.092983E-04	+9.629883E+00	2PT  
+8.200509E-01	-4.089923E-04	+9.505859E+00	2PT  
+8.300292E-01	-4.082859E-04	+9.382813E+00	2PT  
+8.400734E-01	-4.076432E-04	+9.261719E+00	2PT  
+8.500683E-01	-4.073807E-04	+9.137695E+00	2PT  
+8.600804E-01	-4.065664E-04	+9.014648E+00	2PT  
+8.700725E-01	-4.062348E-04	+8.890625E+00	2PT  
+8.800781E-01	-4.056700E-04	+8.767578E+00	2PT  
+8.901203E-01	-4.047994E-04	+8.647461E+00	2PT  
+9.001168E-01	-4.042809E-04	+8.523438E+00	2PT  
+9.101125E-01	-4.034667E-04	+8.403320E+00	2PT  
+9.201084E-01	-4.027311E-04	+8.277344E+00	2PT  
+9.301234E-01	-4.020075E-04	+8.153320E+00	2PT  
+9.401586E-01	-4.012234E-04	+8.030273E+00	2PT  
+9.501628E-01	-4.001695E-04	+7.909180E+00	2PT  
+9.601649E-01	-3.993577E-04	+7.785156E+00	2PT  
+9.701656E-01	-3.981617E-04	+7.662109E+00	2PT  
+9.801576E-01	-3.973368E-04	+7.539063E+00	2PT  
+9.901747E-01	-3.959001E-04	+7.416992E+00	2PT  
+1.000157E+00	-3.945329E-04	+7.293945E+00	2PT  
+1.010154E+00	-3.933334E-04	+7.168945E+00	2PT  
+1.020126E+00	-3.918837E-04	+7.044922E+00	2PT  
+1.030110E+00	-3.905451E-04	+6.922852E+00	2PT  
+1.040125E+00	-3.882501E-04	+6.798828E+00	2PT  
+1.050100E+00	-3.861540E-04	+6.676758E+00	2PT  
+1.060091E+00	-3.838131E-04	+6.552734E+00	2PT  
+1.070073E+00	-3.813554E-04	+6.430664E+00	2PT  
+1.080058E+00	-3.784506E-04	+6.306641E+00	2PT  
+1.090075E+00	-3.756068E-04	+6.181641E+00	2PT  
+1.100045E+00	-3.722555E-04	+6.058594E+00	2PT  
+1.110042E+00	-3.688472E-04	+5.934570E+00	2PT  
+1.120049E+00	-3.646475E-04	+5.811523E+00	2PT  
+1.130042E+00	-3.602850E-04	+5.689453E+00	2PT  
+1.140076E+00	-3.552334E-04	+5.566406E+00	2PT  
+1.150079E+00	-3.493752E-04	+5.442383E+00	2PT  
+1.160106E+00	-3.434609E-04	+5.319336E+00	2PT  
+1.170092E+00	-3.367219E-04	+5.196289E+00	2PT  
+1.180081E+00	-3.292147E-04	+5.074219E+00	2PT  
+1.190131E+00	-3.203746E-04	+4.950195E+00	2PT  
+1.200142E+00	-3.109226E-04	+4.827148E+00	2PT  
+1.210112E+00	-3.000179E-04	+4.704102E+00	2PT  
+1.220147E+00	-2.872648E-04	+4.582031E+00	2PT  
+1.230127E+00	-2.725732E-04	+4.461914E+00	2PT  
+1.240170E+00	-2.553755E-04	+4.336914E+00	2PT  
+1.250169E+00	-2.348847E-04	+4.212891E+00	2PT  
+1.260163E+00	-2.092500E-04	+4.094727E+00	2PT  
+1.270151E+00	-1.788057E-04	+3.958008E+00	2PT  
+1.280166E+00	-1.390161E-04	+3.819336E+00	2PT  
+1.290125E+00	-8.600697E-05	+3.472656E+00	2PT  
+1.300171E+00	-3.584565E-06	+3.128906E+00	2PT  
+1.310117E+00	+1.211250E-04	+2.777344E+00	2PT  
+1.320098E+00	+2.731131E-04	+2.629883E+00	2PT  
+1.330128E+00	+4.993457E-04	+2.492188E+00	2PT  
+1.340095E+00	+1.011679E-03	+2.252930E+00	2PT  
+1.350066E+00	+1.580277E-03	+2.131836E+00	2PT  
+1.360067E+00	+2.395316E-03	+2.007813E+00	2PT  
+1.370055E+00	+3.453942E-03	+1.884766E+00	2PT  
+1.380070E+00	+4.653724E-03	+1.761719E+00	2PT  
+1.390059E+00	+5.492094E-03	+1.636719E+00	2PT  
+1.400031E+00	+4.756234E-03	+1.515625E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

