[[DESCRIPTION]]
CPB_103_SE_500_AP_13_1P_A1_5G_Sun

[[ANALYSIS]]
EFF      	0.00	%
FF        	18.4	%
Voc      	112.1	mV
Jsc       	0.07	mA/cm2
Vmax   	50.1	mV
Jmax    	0.03	mA/cm2
Isc        	6.211203E-6	A
Rsc       	8563.3	Ohm
Roc      	21555	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001031E-01	-1.433658E-04	+2.271582E+01	2PT  
-1.901109E-01	-1.320359E-04	+2.258984E+01	2PT  
-1.801367E-01	-1.210598E-04	+2.246777E+01	2PT  
-1.701509E-01	-1.105150E-04	+2.235059E+01	2PT  
-1.601811E-01	-9.891314E-05	+2.200195E+01	2PT  
-1.501612E-01	-8.881391E-05	+2.187793E+01	2PT  
-1.401747E-01	-7.904143E-05	+2.175293E+01	2PT  
-1.301837E-01	-6.971083E-05	+2.163086E+01	2PT  
-1.201789E-01	-6.086031E-05	+2.150488E+01	2PT  
-1.101696E-01	-5.251402E-05	+2.138184E+01	2PT  
-1.001285E-01	-4.478897E-05	+2.125781E+01	2PT  
-9.012101E-02	-3.777202E-05	+2.113379E+01	2PT  
-8.011863E-02	-3.142942E-05	+2.100879E+01	2PT  
-7.011597E-02	-2.592525E-05	+2.088672E+01	2PT  
-6.008778E-02	-2.115207E-05	+2.075781E+01	2PT  
-5.008159E-02	-1.718339E-05	+2.063477E+01	2PT  
-4.007817E-02	-1.389684E-05	+2.051074E+01	2PT  
-3.007032E-02	-1.122170E-05	+2.039063E+01	2PT  
-2.009158E-02	-9.192870E-06	+2.004297E+01	2PT  
-1.003295E-02	-7.512536E-06	+1.992090E+01	2PT  
+6.819246E-05	-6.202358E-06	+1.979297E+01	2PT  
+1.008170E-02	-5.167537E-06	+1.966895E+01	2PT  
+2.008116E-02	-4.327144E-06	+1.954687E+01	2PT  
+3.009043E-02	-3.671292E-06	+1.942383E+01	2PT  
+4.012731E-02	-3.065483E-06	+1.930176E+01	2PT  
+5.013262E-02	-2.553488E-06	+1.917773E+01	2PT  
+6.012264E-02	-2.115183E-06	+1.905371E+01	2PT  
+7.012024E-02	-1.641428E-06	+1.893066E+01	2PT  
+8.012050E-02	-1.197099E-06	+1.880664E+01	2PT  
+9.016380E-02	-6.972748E-07	+1.868848E+01	2PT  
+1.001569E-01	-5.461723E-07	+1.834277E+01	2PT  
+1.101845E-01	-8.725922E-08	+1.822363E+01	2PT  
+1.201341E-01	+3.719600E-07	+1.810352E+01	2PT  
+1.302007E-01	+9.163947E-07	+1.798437E+01	2PT  
+1.401868E-01	+1.347613E-06	+1.774902E+01	2PT  
+1.501895E-01	+1.361968E-06	+1.727930E+01	2PT  
+1.601811E-01	+1.837385E-06	+1.715625E+01	2PT  
+1.701584E-01	+2.363762E-06	+1.703320E+01	2PT  
+1.801472E-01	+2.926431E-06	+1.691016E+01	2PT  
+1.901598E-01	+3.461372E-06	+1.678516E+01	2PT  
+2.001406E-01	+4.068412E-06	+1.666113E+01	2PT  
+2.101097E-01	+4.688964E-06	+1.653711E+01	2PT  
+2.201054E-01	+5.335241E-06	+1.641504E+01	2PT  
+2.300772E-01	+6.024353E-06	+1.628613E+01	2PT  
+2.401049E-01	+6.745754E-06	+1.616113E+01	2PT  
