[[DESCRIPTION]]
CPB_SE5_12_6P_2700K_200lux

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001372E-01	-1.391630E-09	+2.127832E+01	2PT  
-1.901411E-01	-1.954954E-08	+2.115527E+01	2PT  
-1.801419E-01	+1.094149E-08	+2.103125E+01	2PT  
-1.701968E-01	+9.663712E-10	+2.090723E+01	2PT  
-1.601954E-01	-6.257872E-09	+2.078516E+01	2PT  
-1.500988E-01	+1.916279E-08	+2.066113E+01	2PT  
-1.401652E-01	-7.530197E-09	+2.053711E+01	2PT  
-1.301142E-01	+3.844067E-10	+2.041406E+01	2PT  
-1.201400E-01	+1.287148E-09	+2.029004E+01	2PT  
-1.101483E-01	+1.629163E-09	+2.016211E+01	2PT  
-1.000937E-01	+1.608552E-08	+2.003906E+01	2PT  
-9.010511E-02	-8.810973E-09	+1.991504E+01	2PT  
-8.009329E-02	-7.450261E-10	+1.979102E+01	2PT  
-7.017688E-02	-2.317406E-10	+1.966699E+01	2PT  
-6.008361E-02	-1.448086E-08	+1.954590E+01	2PT  
-5.008521E-02	+1.137925E-08	+1.942090E+01	2PT  
-4.007028E-02	-1.069159E-09	+1.929980E+01	2PT  
-3.007729E-02	-1.350827E-10	+1.917383E+01	2PT  
-2.003647E-02	+1.716515E-08	+1.905078E+01	2PT  
-1.004156E-02	+7.534926E-10	+1.892773E+01	2PT  
+9.320441E-05	+7.464173E-10	+1.880371E+01	2PT  
+1.006378E-02	+1.863950E-08	+1.868066E+01	2PT  
+2.003517E-02	-1.387883E-09	+1.856152E+01	2PT  
+3.008155E-02	+1.639154E-09	+1.843652E+01	2PT  
+4.008704E-02	+7.235513E-09	+1.831543E+01	2PT  
+5.002675E-02	-8.083518E-10	+1.819238E+01	2PT  
+6.014298E-02	+9.830320E-10	+1.806738E+01	2PT  
+7.009146E-02	+3.734157E-09	+1.794727E+01	2PT  
+8.011474E-02	-2.144906E-09	+1.782129E+01	2PT  
+9.018625E-02	+2.173563E-10	+1.769727E+01	2PT  
+1.001415E-01	-1.683276E-09	+1.757324E+01	2PT  
+1.101328E-01	+1.717057E-09	+1.744629E+01	2PT  
+1.201779E-01	+1.937260E-08	+1.732422E+01	2PT  
+1.301442E-01	-9.279676E-09	+1.719922E+01	2PT  
+1.401597E-01	-2.784016E-10	+1.707520E+01	2PT  
+1.501798E-01	+8.524012E-09	+1.695313E+01	2PT  
+1.601268E-01	-1.740311E-08	+1.683008E+01	2PT  
+1.701241E-01	+1.864746E-11	+1.670703E+01	2PT  
+1.800890E-01	-1.830766E-09	+1.658398E+01	2PT  
+1.900773E-01	-1.942296E-08	+1.646094E+01	2PT  
+2.001039E-01	+1.927425E-09	+1.633691E+01	2PT  
+2.100067E-01	+8.363420E-11	+1.621289E+01	2PT  
+2.201259E-01	+2.615155E-10	+1.608594E+01	2PT  
