[[DESCRIPTION]]
CPB_SE5_13_3P_A1_5G_Sun

[[ANALYSIS]]
EFF      	3.15	%
FF        	55.0	%
Voc      	1280.1	mV
Jsc       	4.47	mA/cm2
Vmax   	880.1	mV
Jmax    	3.57	mA/cm2
Isc        	0.000402	A
Rsc       	1.0541E+6	Ohm
Roc      	676.26	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001090E-01	-4.049833E-04	+2.210840E+01	2PT  
-1.901255E-01	-4.049600E-04	+2.198437E+01	2PT  
-1.801410E-01	-4.047539E-04	+2.186035E+01	2PT  
-1.701501E-01	-4.046051E-04	+2.173730E+01	2PT  
-1.601712E-01	-4.042680E-04	+2.161328E+01	2PT  
-1.501441E-01	-4.042657E-04	+2.148730E+01	2PT  
-1.401645E-01	-4.044182E-04	+2.136133E+01	2PT  
-1.301750E-01	-4.041329E-04	+2.123828E+01	2PT  
-1.201709E-01	-4.039753E-04	+2.111426E+01	2PT  
-1.101654E-01	-4.037879E-04	+2.099121E+01	2PT  
-1.001303E-01	-4.036887E-04	+2.086621E+01	2PT  
-9.012555E-02	-4.035830E-04	+2.074121E+01	2PT  
-8.012033E-02	-4.034942E-04	+2.061914E+01	2PT  
-7.011475E-02	-4.032511E-04	+2.049512E+01	2PT  
-6.008349E-02	-4.031480E-04	+2.037207E+01	2PT  
-5.008453E-02	-4.030677E-04	+2.024902E+01	2PT  
-4.007681E-02	-4.028059E-04	+2.012500E+01	2PT  
-3.007784E-02	-4.023943E-04	+2.000195E+01	2PT  
-2.006681E-02	-4.021572E-04	+1.988086E+01	2PT  
-1.002221E-02	-4.019996E-04	+1.975684E+01	2PT  
+7.652948E-05	-4.019895E-04	+1.962793E+01	2PT  
+1.007931E-02	-4.019811E-04	+1.950488E+01	2PT  
+2.007887E-02	-4.021225E-04	+1.937695E+01	2PT  
+3.008737E-02	-4.017100E-04	+1.925293E+01	2PT  
+4.011843E-02	-4.018700E-04	+1.912305E+01	2PT  
+5.012373E-02	-4.016737E-04	+1.900000E+01	2PT  
+6.010977E-02	-4.016361E-04	+1.887695E+01	2PT  
+7.011928E-02	-4.013411E-04	+1.875195E+01	2PT  
+8.011799E-02	-4.011345E-04	+1.862891E+01	2PT  
+9.016217E-02	-4.010423E-04	+1.850586E+01	2PT  
+1.001537E-01	-4.006897E-04	+1.838184E+01	2PT  
+1.101654E-01	-4.005795E-04	+1.825684E+01	2PT  
+1.201697E-01	-4.002685E-04	+1.813477E+01	2PT  
+1.301641E-01	-4.000843E-04	+1.801172E+01	2PT  
+1.401922E-01	-3.997211E-04	+1.788672E+01	2PT  
+1.501739E-01	-3.997736E-04	+1.776367E+01	2PT  
+1.601641E-01	-3.993364E-04	+1.764063E+01	2PT  
+1.701413E-01	-3.992093E-04	+1.751660E+01	2PT  
+1.801286E-01	-3.989159E-04	+1.739355E+01	2PT  
+1.901425E-01	-3.987576E-04	+1.726953E+01	2PT  
+2.001264E-01	-3.985488E-04	+1.714551E+01	2PT  
+2.101033E-01	-3.986257E-04	+1.701758E+01	2PT  
+2.200884E-01	-3.984826E-04	+1.689258E+01	2PT  
+2.300705E-01	-3.982457E-04	+1.676953E+01	2PT  
+2.400838E-01	-3.981085E-04	+1.664551E+01	2PT  
+2.500717E-01	-3.976803E-04	+1.652148E+01	2PT  
+2.600553E-01	-3.975481E-04	+1.639746E+01	2PT  
+2.700444E-01	-3.974066E-04	+1.627246E+01	2PT  
+2.800440E-01	-3.972550E-04	+1.614746E+01	2PT  
+2.900750E-01	-3.967095E-04	+1.602637E+01	2PT  
+3.000878E-01	-3.964771E-04	+1.590234E+01	2PT  
+3.100799E-01	-3.960466E-04	+1.577832E+01	2PT  
+3.200836E-01	-3.956961E-04	+1.565527E+01	2PT  
+3.300837E-01	-3.952952E-04	+1.553320E+01	2PT  
+3.401271E-01	-3.950362E-04	+1.541016E+01	2PT  
+3.501207E-01	-3.947899E-04	+1.528516E+01	2PT  
+3.601243E-01	-3.945836E-04	+1.515918E+01	2PT  
+3.701290E-01	-3.939171E-04	+1.503809E+01	2PT  
+3.801344E-01	-3.937689E-04	+1.491113E+01	2PT  
+3.901727E-01	-3.933927E-04	+1.478613E+01	2PT  
