[[DESCRIPTION]]
CPB_SE5_13_6P_2700K_200lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	113.9**	%
Voc      	25.5**	mV
Jsc       	0.00**	mA/cm2
Vmax   	10.1	mV
Jmax    	0.00	mA/cm2
Isc        	4.6788E-10	A
Rsc       	8.7639E+6	Ohm
Roc      	6.182E+5**	Ohm
A          	0.09	cm2
Incd. Pwr	0.12	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001204E-01	-1.130807E-09	+2.129688E+01	2PT  
-1.901356E-01	-6.107350E-09	+2.117188E+01	2PT  
-1.800912E-01	+1.869504E-08	+2.104883E+01	2PT  
-1.701432E-01	-7.518916E-09	+2.092480E+01	2PT  
-1.600928E-01	+2.111042E-10	+2.080176E+01	2PT  
-1.502064E-01	+5.488843E-11	+2.067480E+01	2PT  
-1.401655E-01	-2.259047E-10	+2.055078E+01	2PT  
-1.301442E-01	+1.183652E-08	+2.042676E+01	2PT  
-1.201467E-01	-4.017186E-09	+2.030469E+01	2PT  
-1.100964E-01	+8.880499E-10	+2.018164E+01	2PT  
-1.000889E-01	+1.927295E-08	+2.005859E+01	2PT  
-9.012931E-02	-1.175686E-08	+1.993457E+01	2PT  
-8.011387E-02	+6.322035E-11	+1.981152E+01	2PT  
-7.011496E-02	-1.747410E-09	+1.968848E+01	2PT  
-6.012015E-02	-1.483517E-08	+1.956348E+01	2PT  
-5.006824E-02	+1.538876E-08	+1.944043E+01	2PT  
-4.011981E-02	+1.431673E-09	+1.931836E+01	2PT  
-3.008687E-02	-6.054043E-09	+1.919531E+01	2PT  
-2.001867E-02	+1.951230E-08	+1.907129E+01	2PT  
-1.002571E-02	+9.038766E-10	+1.894922E+01	2PT  
+4.320010E-05	-4.737929E-10	+1.882227E+01	2PT  
+1.006527E-02	-1.348698E-09	+1.870020E+01	2PT  
+2.004161E-02	-1.739871E-08	+1.857520E+01	2PT  
+3.007203E-02	+1.471843E-08	+1.845117E+01	2PT  
+4.013908E-02	+1.175898E-09	+1.833203E+01	2PT  
+5.007621E-02	-2.334432E-09	+1.820605E+01	2PT  
+6.014425E-02	+1.664387E-08	+1.808301E+01	2PT  
+7.013696E-02	+7.072479E-10	+1.795996E+01	2PT  
+8.017752E-02	+1.865273E-10	+1.783594E+01	2PT  
+9.016617E-02	+1.669964E-08	+1.771484E+01	2PT  
+1.001598E-01	-4.557520E-09	+1.759082E+01	2PT  
+1.101546E-01	+1.248130E-08	+1.746387E+01	2PT  
+1.201539E-01	-7.554303E-10	+1.733887E+01	2PT  
+1.302218E-01	+4.464734E-10	+1.721484E+01	2PT  
+1.401917E-01	+7.655014E-11	+1.709082E+01	2PT  
+1.501408E-01	-1.768118E-08	+1.696680E+01	2PT  
+1.601556E-01	+8.278153E-09	+1.684375E+01	2PT  
+1.700953E-01	+1.452859E-10	+1.672070E+01	2PT  
+1.800846E-01	-1.846483E-08	+1.659863E+01	2PT  
+1.901369E-01	+7.803628E-09	+1.647559E+01	2PT  
+2.001142E-01	+9.630308E-10	+1.635156E+01	2PT  
+2.100466E-01	-1.366408E-08	+1.622949E+01	2PT  
+2.201180E-01	+1.968654E-08	+1.610547E+01	2PT  
+2.300095E-01	+1.756960E-10	+1.598438E+01	2PT  
+2.400945E-01	+1.233803E-09	+1.585938E+01	2PT  
+2.500410E-01	+2.065225E-10	+1.573926E+01	2PT  
+2.599709E-01	-8.033408E-10	+1.561523E+01	2PT  
+2.700073E-01	-5.261605E-09	+1.549121E+01	2PT  
+2.800570E-01	+1.938480E-08	+1.536816E+01	2PT  
+2.900810E-01	-2.599823E-09	+1.524512E+01	2PT  
+3.001160E-01	-1.704937E-10	+1.512012E+01	2PT  
+3.100487E-01	-1.165801E-09	+1.499609E+01	2PT  
+3.200426E-01	-1.740111E-08	+1.487402E+01	2PT  
+3.300705E-01	+1.135621E-08	+1.474902E+01	2PT  
+3.400625E-01	-8.325123E-10	+1.462695E+01	2PT  
+3.500915E-01	+6.630899E-10	+1.450195E+01	2PT  
+3.601572E-01	+3.006704E-10	+1.437695E+01	2PT  
+3.701269E-01	-1.078350E-08	+1.425488E+01	2PT  
+3.801372E-01	+1.777177E-08	+1.412793E+01	2PT  
+3.901810E-01	-5.325393E-10	+1.400488E+01	2PT  
+4.002346E-01	+4.668807E-10	+1.388086E+01	2PT  
+4.101888E-01	+1.675376E-09	+1.375684E+01	2PT  
+4.201342E-01	-1.905018E-08	+1.363184E+01	2PT  
+4.301586E-01	+1.647468E-08	+1.350781E+01	2PT  
+4.400864E-01	-8.675005E-10	+1.338672E+01	2PT  
+4.501487E-01	+4.050277E-09	+1.325781E+01	2PT  
+4.601341E-01	+7.484979E-09	+1.313672E+01	2PT  
+4.701256E-01	+1.689120E-09	+1.300879E+01	2PT  
+4.801213E-01	+1.962364E-08	+1.288574E+01	2PT  
+4.900919E-01	-9.709869E-09	+1.276172E+01	2PT  
+5.000968E-01	-4.442141E-10	+1.263867E+01	2PT  
+5.100660E-01	+7.193309E-10	+1.251172E+01	2PT  
+5.200801E-01	-6.533580E-10	+1.238672E+01	2PT  
+5.300723E-01	+1.178070E-08	+1.226465E+01	2PT  
+5.400348E-01	-1.689042E-08	+1.214063E+01	2PT  
+5.500340E-01	+1.669480E-10	+1.201758E+01	2PT  
+5.600008E-01	-4.925441E-10	+1.189355E+01	2PT  
+5.700292E-01	-1.937265E-08	+1.177148E+01	2PT  
+5.800382E-01	+3.970739E-09	+1.164844E+01	2PT  
+5.900526E-01	-8.675044E-10	+1.152539E+01	2PT  
+6.000387E-01	-1.805565E-08	+1.140332E+01	2PT  
+6.101336E-01	-4.546284E-10	+1.128223E+01	2PT  
+6.200646E-01	-1.838230E-09	+1.115820E+01	2PT  
+6.301662E-01	+4.897948E-10	+1.103125E+01	2PT  
+6.401632E-01	+8.988743E-10	+1.090723E+01	2PT  
+6.501225E-01	-1.913862E-08	+1.078320E+01	2PT  
+6.601154E-01	-3.033962E-10	+1.066113E+01	2PT  
+6.701480E-01	-5.536634E-09	+1.053320E+01	2PT  
+6.801295E-01	+1.564564E-09	+1.041211E+01	2PT  
+6.902361E-01	+1.732499E-08	+1.028711E+01	2PT  
+7.001924E-01	-7.664698E-09	+1.016406E+01	2PT  
+7.101712E-01	+1.554160E-09	+1.004297E+01	2PT  
+7.201498E-01	+1.971391E-08	+9.919922E+00	2PT  
+7.301362E-01	-1.070773E-08	+9.795898E+00	2PT  
+7.401379E-01	+1.038102E-08	+9.668945E+00	2PT  
+7.501473E-01	+8.304750E-09	+9.549805E+00	2PT  
+7.600850E-01	-1.034191E-08	+9.423828E+00	2PT  
+7.700837E-01	+1.299960E-08	+9.300781E+00	2PT  
+7.800773E-01	-7.746019E-10	+9.176758E+00	2PT  
+7.901070E-01	+1.363773E-09	+9.053711E+00	2PT  
+8.001068E-01	+1.947166E-08	+8.930664E+00	2PT  
+8.100690E-01	+4.197532E-11	+8.812500E+00	2PT  
