[[DESCRIPTION]]
CPB_SE5_15_6P_2700K_200lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	5.5**	%
Voc      	33.3**	mV
Jsc       	0.00**	mA/cm2
Vmax   	20.0	mV
Jmax    	0.00	mA/cm2
Isc        	1.0545E-8	A
Rsc       	2.9816E+8**	Ohm
Roc      	1.1918E+6**	Ohm
A          	0.09	cm2
Incd. Pwr	0.12	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000908E-01	+1.185490E-09	+2.124707E+01	2PT  
-1.901151E-01	+1.640527E-08	+2.112500E+01	2PT  
-1.801132E-01	+5.056287E-10	+2.100195E+01	2PT  
-1.700915E-01	+9.622035E-10	+2.087793E+01	2PT  
-1.601410E-01	+9.652516E-09	+2.075391E+01	2PT  
-1.501554E-01	-1.721378E-08	+2.063086E+01	2PT  
-1.401433E-01	+1.604500E-08	+2.050488E+01	2PT  
-1.302021E-01	-1.265798E-09	+2.038379E+01	2PT  
-1.201196E-01	-8.925313E-11	+2.025684E+01	2PT  
-1.101284E-01	+1.181583E-08	+2.013281E+01	2PT  
-1.001384E-01	-1.623809E-08	+2.000879E+01	2PT  
-9.006707E-02	+5.530635E-11	+1.988672E+01	2PT  
-8.008929E-02	+7.284983E-10	+1.976270E+01	2PT  
-7.014234E-02	-1.972903E-08	+1.963867E+01	2PT  
-6.008836E-02	+9.495048E-09	+1.951465E+01	2PT  
-5.006899E-02	+7.993153E-10	+1.939160E+01	2PT  
-4.003276E-02	-7.621045E-10	+1.926563E+01	2PT  
-3.010627E-02	-1.325383E-09	+1.914063E+01	2PT  
-2.009816E-02	-1.277764E-08	+1.901660E+01	2PT  
-1.002244E-02	-6.512826E-10	+1.889648E+01	2PT  
+5.820344E-05	-1.060196E-08	+1.876758E+01	2PT  
+1.005868E-02	-6.433635E-10	+1.864355E+01	2PT  
+2.000681E-02	-9.725040E-10	+1.851953E+01	2PT  
+3.003385E-02	-5.735774E-09	+1.839551E+01	2PT  
+4.010052E-02	+1.212790E-08	+1.827246E+01	2PT  
+5.012083E-02	-1.357881E-09	+1.815234E+01	2PT  
+6.004795E-02	-1.844579E-08	+1.802832E+01	2PT  
+7.007858E-02	-1.792446E-10	+1.790625E+01	2PT  
+8.011023E-02	+7.530830E-10	+1.778027E+01	2PT  
+9.012865E-02	-8.573424E-09	+1.765918E+01	2PT  
+1.001620E-01	+6.118603E-10	+1.753125E+01	2PT  
+1.101412E-01	-1.948442E-08	+1.740723E+01	2PT  
+1.201669E-01	+1.615449E-08	+1.728320E+01	2PT  
+1.301297E-01	-1.152898E-09	+1.716211E+01	2PT  
+1.401650E-01	-6.671510E-09	+1.703809E+01	2PT  
+1.501524E-01	+6.171504E-09	+1.691602E+01	2PT  
+1.601332E-01	+9.955294E-10	+1.679297E+01	2PT  
+1.700932E-01	-1.349960E-09	+1.666992E+01	2PT  
+1.801409E-01	+1.321808E-08	+1.654492E+01	2PT  
+1.901182E-01	+8.747215E-10	+1.642383E+01	2PT  
+2.001406E-01	-7.458573E-10	+1.629785E+01	2PT  
+2.101402E-01	+1.478604E-08	+1.617578E+01	2PT  
+2.200585E-01	-1.432285E-08	+1.605273E+01	2PT  
+2.300556E-01	+1.678719E-09	+1.593164E+01	2PT  
+2.400840E-01	+1.662731E-08	+1.580762E+01	2PT  
+2.500302E-01	-1.473282E-08	+1.568359E+01	2PT  
+2.600218E-01	-5.729530E-10	+1.556055E+01	2PT  
+2.700341E-01	+9.774533E-09	+1.543848E+01	2PT  
+2.799806E-01	-1.784125E-08	+1.531445E+01	2PT  
+2.900640E-01	-6.483637E-10	+1.519238E+01	2PT  
+3.000682E-01	-1.777836E-09	+1.506836E+01	2PT  
+3.100536E-01	-1.225349E-08	+1.494727E+01	2PT  
+3.200497E-01	+4.923009E-10	+1.482227E+01	2PT  
+3.301068E-01	+1.766876E-08	+1.470215E+01	2PT  
+3.401105E-01	-1.356953E-08	+1.457812E+01	2PT  
+3.501328E-01	-7.416877E-10	+1.445508E+01	2PT  
+3.601342E-01	+1.178405E-09	+1.433203E+01	2PT  
+3.701062E-01	-1.674255E-08	+1.420898E+01	2PT  
+3.801029E-01	+3.954895E-09	+1.408496E+01	2PT  
+3.901436E-01	-1.629517E-09	+1.396289E+01	2PT  
+4.001200E-01	-1.686506E-08	+1.384082E+01	2PT  
+4.101900E-01	+1.061351E-09	+1.371973E+01	2PT  
+4.201655E-01	+8.405623E-10	+1.359473E+01	2PT  
+4.300730E-01	-1.929849E-08	+1.347070E+01	2PT  
+4.401584E-01	+1.117139E-08	+1.334668E+01	2PT  
+4.500748E-01	-8.254344E-10	+1.322461E+01	2PT  
+4.600790E-01	-5.955770E-09	+1.310059E+01	2PT  
+4.701185E-01	+1.419833E-08	+1.297754E+01	2PT  
+4.800120E-01	-5.833715E-10	+1.285547E+01	2PT  
+4.901023E-01	+1.425861E-09	+1.273047E+01	2PT  
+5.000803E-01	+1.172700E-08	+1.260938E+01	2PT  
+5.100375E-01	+8.063982E-10	+1.248535E+01	2PT  
+5.200681E-01	+1.142991E-09	+1.236133E+01	2PT  
+5.300394E-01	+1.150209E-08	+1.223730E+01	2PT  
+5.400271E-01	-1.719720E-08	+1.211328E+01	2PT  
+5.500291E-01	+3.268389E-09	+1.198926E+01	2PT  
+5.599939E-01	-9.879130E-10	+1.186719E+01	2PT  
+5.700222E-01	-1.823203E-08	+1.174414E+01	2PT  
+5.800452E-01	+6.642686E-09	+1.162109E+01	2PT  
+5.900685E-01	-5.267913E-09	+1.149512E+01	2PT  
+6.000404E-01	-1.358005E-08	+1.137402E+01	2PT  
+6.101080E-01	+1.587042E-08	+1.124805E+01	2PT  
+6.200891E-01	-1.082068E-09	+1.112598E+01	2PT  
+6.301319E-01	+1.927774E-10	+1.100195E+01	2PT  
+6.401597E-01	+1.950883E-08	+1.087988E+01	2PT  
+6.501237E-01	-9.229177E-09	+1.075586E+01	2PT  
+6.601660E-01	+1.482934E-09	+1.063379E+01	2PT  
+6.701591E-01	+1.494731E-08	+1.051074E+01	2PT  
+6.801035E-01	-1.873904E-08	+1.038477E+01	2PT  
+6.902165E-01	+1.811405E-08	+1.025781E+01	2PT  
+7.001758E-01	-1.074281E-08	+1.013281E+01	2PT  
+7.101263E-01	-4.279710E-10	+1.000781E+01	2PT  
+7.201355E-01	+7.388762E-09	+9.885742E+00	2PT  
+7.300854E-01	-1.321914E-08	+9.762695E+00	2PT  
+7.401676E-01	-7.416923E-10	+9.639648E+00	2PT  
+7.501296E-01	+1.465018E-09	+9.516602E+00	2PT  
+7.600698E-01	-1.634843E-08	+9.393555E+00	2PT  
+7.701087E-01	-2.679850E-10	+9.271484E+00	2PT  
+7.800761E-01	+1.775414E-08	+9.149414E+00	2PT  
+7.900156E-01	-1.002079E-09	+9.030273E+00	2PT  
+8.000529E-01	-3.113146E-10	+8.902344E+00	2PT  
+8.100381E-01	-1.581191E-09	+8.779297E+00	2PT  
+8.199796E-01	-1.842868E-08	+8.655273E+00	2PT  
+8.299980E-01	+6.980111E-09	+8.531250E+00	2PT  
+8.400184E-01	+1.046772E-09	+8.408203E+00	2PT  
+8.500526E-01	+1.711215E-09	+8.283203E+00	2PT  
+8.600406E-01	+1.440360E-08	+8.162109E+00	2PT  
+8.700398E-01	-2.056143E-09	+8.038086E+00	2PT  
