[[DESCRIPTION]]
CPB_SE6_10_1P_2700K_200lux

[[ANALYSIS]]
EFF      	9.82**	%
FF        	44.7**	%
Voc      	970.2**	mV
Jsc       	0.03**	mA/cm2
Vmax   	630.1	mV
Jmax    	0.02	mA/cm2
Isc        	2.4458E-6	A
Rsc       	3.679E+6	Ohm
Roc      	80339	Ohm
A          	0.09	cm2
Incd. Pwr	0.12	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001050E-01	-2.497965E-06	+2.190527E+01	2PT  
-1.901149E-01	-2.506633E-06	+2.178125E+01	2PT  
-1.801391E-01	-2.517707E-06	+2.166016E+01	2PT  
-1.701334E-01	-2.496341E-06	+2.153613E+01	2PT  
-1.601587E-01	-2.520843E-06	+2.141113E+01	2PT  
-1.501524E-01	-2.503291E-06	+2.129102E+01	2PT  
-1.401674E-01	-2.500210E-06	+2.116602E+01	2PT  
-1.301668E-01	-2.494821E-06	+2.104395E+01	2PT  
-1.201702E-01	-2.471358E-06	+2.091797E+01	2PT  
-1.101541E-01	-2.466665E-06	+2.079395E+01	2PT  
-1.001256E-01	-2.483847E-06	+2.067090E+01	2PT  
-9.010892E-02	-2.458890E-06	+2.054688E+01	2PT  
-8.011933E-02	-2.485831E-06	+2.042285E+01	2PT  
-7.011496E-02	-2.478534E-06	+2.029980E+01	2PT  
-6.009688E-02	-2.466108E-06	+2.017676E+01	2PT  
-5.008340E-02	-2.472187E-06	+2.005371E+01	2PT  
-4.008060E-02	-2.461433E-06	+1.993066E+01	2PT  
-3.007110E-02	-2.434318E-06	+1.980566E+01	2PT  
-2.007330E-02	-2.436291E-06	+1.967773E+01	2PT  
-1.002883E-02	-2.441340E-06	+1.955566E+01	2PT  
+7.985998E-05	-2.445786E-06	+1.942773E+01	2PT  
+1.007261E-02	-2.435701E-06	+1.930371E+01	2PT  
+2.007367E-02	-2.439646E-06	+1.917969E+01	2PT  
+3.007779E-02	-2.394146E-06	+1.905566E+01	2PT  
+4.012329E-02	-2.411510E-06	+1.893359E+01	2PT  
+5.013090E-02	-2.420574E-06	+1.881055E+01	2PT  
+6.013045E-02	-2.378060E-06	+1.868750E+01	2PT  
+7.012378E-02	-2.418540E-06	+1.856055E+01	2PT  
+8.011957E-02	-2.410236E-06	+1.843848E+01	2PT  
+9.015225E-02	-2.389925E-06	+1.831348E+01	2PT  
+1.001625E-01	-2.396886E-06	+1.818652E+01	2PT  
+1.101597E-01	-2.386927E-06	+1.806348E+01	2PT  
