[[DESCRIPTION]]
CPB_SE6_10_3P_A1_5G_Sun

[[ANALYSIS]]
EFF      	3.57**	%
FF        	65.7**	%
Voc      	1373.4**	mV
Jsc       	3.95**	mA/cm2
Vmax   	1130.0	mV
Jmax    	3.16	mA/cm2
Isc        	0.00035582	A
Rsc       	2809	Ohm
Roc      	113.72	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001168E-01	-3.672114E-04	+2.229199E+01	2PT  
-1.901292E-01	-3.670604E-04	+2.216699E+01	2PT  
-1.801396E-01	-3.666892E-04	+2.204492E+01	2PT  
-1.701572E-01	-3.666925E-04	+2.192285E+01	2PT  
-1.601631E-01	-3.665510E-04	+2.179785E+01	2PT  
-1.501523E-01	-3.666737E-04	+2.167285E+01	2PT  
-1.401662E-01	-3.661051E-04	+2.155078E+01	2PT  
-1.301684E-01	-3.663526E-04	+2.142090E+01	2PT  
-1.201712E-01	-3.786084E-04	+2.129688E+01	2PT  
-1.101735E-01	-3.884492E-04	+2.117188E+01	2PT  
-1.001332E-01	-3.874930E-04	+2.104980E+01	2PT  
-9.012742E-02	-3.856257E-04	+2.092676E+01	2PT  
-8.012328E-02	-3.830713E-04	+2.080371E+01	2PT  
-7.011697E-02	-3.797360E-04	+2.068164E+01	2PT  
-6.009883E-02	-3.767846E-04	+2.055762E+01	2PT  
-5.008194E-02	-3.737924E-04	+2.043555E+01	2PT  
-4.008662E-02	-3.703466E-04	+2.031055E+01	2PT  
-3.007697E-02	-3.672095E-04	+2.018555E+01	2PT  
-2.007752E-02	-3.634447E-04	+2.006641E+01	2PT  
-1.003464E-02	-3.596574E-04	+1.994434E+01	2PT  
+7.402740E-05	-3.557961E-04	+1.981641E+01	2PT  
+1.007259E-02	-3.525049E-04	+1.969336E+01	2PT  
+2.008709E-02	-3.484923E-04	+1.957129E+01	2PT  
+3.008221E-02	-3.449128E-04	+1.944727E+01	2PT  
+4.011567E-02	-3.413236E-04	+1.932324E+01	2PT  
+5.012602E-02	-3.375529E-04	+1.920117E+01	2PT  
+6.012669E-02	-3.340392E-04	+1.907715E+01	2PT  
+7.011516E-02	-3.304664E-04	+1.895605E+01	2PT  
+8.012638E-02	-3.263539E-04	+1.883203E+01	2PT  
+9.015757E-02	-3.230455E-04	+1.870801E+01	2PT  
+1.001642E-01	-3.188774E-04	+1.858496E+01	2PT  
+1.101684E-01	-3.152244E-04	+1.846094E+01	2PT  
+1.201658E-01	-3.119003E-04	+1.833691E+01	2PT  
+1.301737E-01	-3.071491E-04	+1.821289E+01	2PT  
+1.401939E-01	-3.029798E-04	+1.809180E+01	2PT  
+1.501782E-01	-3.003057E-04	+1.796875E+01	2PT  
+1.601617E-01	-3.003569E-04	+1.784863E+01	2PT  
+1.701501E-01	-2.960782E-04	+1.772559E+01	2PT  
+1.801371E-01	-2.921090E-04	+1.760254E+01	2PT  
+1.901551E-01	-2.895429E-04	+1.747949E+01	2PT  
+2.001274E-01	-2.858810E-04	+1.735547E+01	2PT  
+2.101051E-01	-2.837181E-04	+1.723438E+01	2PT  
+2.200935E-01	-2.779457E-04	+1.710938E+01	2PT  
+2.300852E-01	-2.732555E-04	+1.698633E+01	2PT  
+2.400907E-01	-2.688679E-04	+1.686133E+01	2PT  
+2.500772E-01	-2.659359E-04	+1.673828E+01	2PT  
+2.600614E-01	-2.623626E-04	+1.661621E+01	2PT  
+2.700363E-01	-2.631132E-04	+1.649023E+01	2PT  
+2.800514E-01	-2.592165E-04	+1.636719E+01	2PT  
+2.900928E-01	-2.661924E-04	+1.624414E+01	2PT  
+3.000818E-01	-3.449666E-04	+1.612109E+01	2PT  
+3.100851E-01	-3.483823E-04	+1.599707E+01	2PT  
+3.200871E-01	-2.768682E-04	+1.587598E+01	2PT  
+3.300951E-01	-3.399615E-04	+1.574707E+01	2PT  
+3.401386E-01	-3.425065E-04	+1.562305E+01	2PT  
+3.501330E-01	-3.491000E-04	+1.550000E+01	2PT  
+3.601268E-01	-3.253936E-04	+1.537793E+01	2PT  
+3.701305E-01	-3.392452E-04	+1.525488E+01	2PT  
+3.801325E-01	-3.397815E-04	+1.513086E+01	2PT  
+3.903793E-01	-2.272598E-04	+1.500879E+01	2PT  
+4.001729E-01	-2.703186E-04	+1.488477E+01	2PT  
+4.102025E-01	-3.292423E-04	+1.476074E+01	2PT  
+4.198706E-01	-2.903925E-04	+1.463672E+01	2PT  
+4.301386E-01	-2.356165E-04	+1.451563E+01	2PT  
+4.401724E-01	-3.467850E-04	+1.439160E+01	2PT  
+4.501473E-01	-3.449367E-04	+1.426953E+01	2PT  
+4.601239E-01	-3.406925E-04	+1.414648E+01	2PT  
+4.700830E-01	-3.454092E-04	+1.402246E+01	2PT  
+4.801116E-01	-3.363515E-04	+1.389746E+01	2PT  
+4.901329E-01	-3.252092E-04	+1.377246E+01	2PT  
+5.001038E-01	-3.404712E-04	+1.365137E+01	2PT  
+5.100913E-01	-3.437744E-04	+1.352832E+01	2PT  
+5.200750E-01	-2.604140E-04	+1.340430E+01	2PT  
+5.300434E-01	-3.430981E-04	+1.328027E+01	2PT  
