[[DESCRIPTION]]
CPB_SE6_10_4P_2700K_1000lux

[[ANALYSIS]]
EFF      	11.28**	%
FF        	53.3**	%
Voc      	1165.3**	mV
Jsc       	0.05**	mA/cm2
Vmax   	860.1	mV
Jmax    	0.04	mA/cm2
Isc        	4.8353E-6	A
Rsc       	2.0234E+7**	Ohm
Roc      	19725	Ohm
A          	0.09	cm2
Incd. Pwr	0.296	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000944E-01	-4.756326E-06	+2.254004E+01	2PT  
-1.901043E-01	-4.779147E-06	+2.241602E+01	2PT  
-1.801713E-01	-4.893355E-06	+2.229297E+01	2PT  
-1.701633E-01	-4.860446E-06	+2.216895E+01	2PT  
-1.601603E-01	-4.760537E-06	+2.204492E+01	2PT  
-1.501215E-01	-4.748202E-06	+2.192188E+01	2PT  
-1.401996E-01	-4.804104E-06	+2.179785E+01	2PT  
-1.301672E-01	-4.759765E-06	+2.167578E+01	2PT  
-1.201401E-01	-4.721565E-06	+2.155176E+01	2PT  
-1.101872E-01	-4.844137E-06	+2.143066E+01	2PT  
-1.001070E-01	-4.728918E-06	+2.130078E+01	2PT  
-9.014320E-02	-4.825903E-06	+2.117773E+01	2PT  
-8.013544E-02	-4.890175E-06	+2.105371E+01	2PT  
-7.010097E-02	-4.702138E-06	+2.093164E+01	2PT  
-6.007883E-02	-4.737537E-06	+2.080371E+01	2PT  
-5.008947E-02	-4.733197E-06	+2.068164E+01	2PT  
-4.008048E-02	-4.705785E-06	+2.055273E+01	2PT  
-3.012284E-02	-4.793570E-06	+2.043066E+01	2PT  
-2.009083E-02	-4.834668E-06	+2.030664E+01	2PT  
-1.002295E-02	-4.695092E-06	+2.018359E+01	2PT  
+4.736028E-05	-4.835990E-06	+2.005371E+01	2PT  
+1.008673E-02	-4.694634E-06	+1.993164E+01	2PT  
+2.011775E-02	-4.688730E-06	+1.980859E+01	2PT  
+3.004634E-02	-4.745650E-06	+1.968457E+01	2PT  
+4.010910E-02	-4.838567E-06	+1.956055E+01	2PT  
+5.015013E-02	-4.657483E-06	+1.943848E+01	2PT  
+6.015350E-02	-4.690025E-06	+1.931348E+01	2PT  
+7.009399E-02	-4.800360E-06	+1.919043E+01	2PT  
+8.014245E-02	-4.689825E-06	+1.906738E+01	2PT  
+9.016997E-02	-4.659207E-06	+1.894434E+01	2PT  
+1.001466E-01	-4.685895E-06	+1.882031E+01	2PT  
+1.101552E-01	-4.781378E-06	+1.869727E+01	2PT  
+1.201667E-01	-4.669006E-06	+1.856836E+01	2PT  
+1.301822E-01	-4.653676E-06	+1.844727E+01	2PT  
+1.401991E-01	-4.626240E-06	+1.832324E+01	2PT  
+1.501484E-01	-4.683495E-06	+1.820020E+01	2PT  
+1.601668E-01	-4.648591E-06	+1.807813E+01	2PT  
+1.701551E-01	-4.606266E-06	+1.795410E+01	2PT  
