[[DESCRIPTION]]
CPB_SE6_10_5P_4000K_1000lux

[[ANALYSIS]]
EFF      	4.03**	%
FF        	39.2**	%
Voc      	380.2**	mV
Jsc       	0.11**	mA/cm2
Vmax   	230.0	mV
Jmax    	0.07	mA/cm2
Isc        	9.9969E-6	A
Rsc       	76777	Ohm
Roc      	15687	Ohm
A          	0.09	cm2
Incd. Pwr	0.411	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000997E-01	-1.198299E-05	+2.229004E+01	2PT  
-1.901219E-01	-1.187013E-05	+2.216699E+01	2PT  
-1.801285E-01	-1.157266E-05	+2.204297E+01	2PT  
-1.701544E-01	-1.152670E-05	+2.191992E+01	2PT  
-1.601809E-01	-1.159595E-05	+2.179688E+01	2PT  
-1.501518E-01	-1.122985E-05	+2.167383E+01	2PT  
-1.401634E-01	-1.125594E-05	+2.155273E+01	2PT  
-1.301894E-01	-1.117232E-05	+2.142676E+01	2PT  
-1.201638E-01	-1.115723E-05	+2.130176E+01	2PT  
-1.101585E-01	-1.079877E-05	+2.117969E+01	2PT  
-1.001310E-01	-1.085993E-05	+2.105078E+01	2PT  
-9.012341E-02	-1.062180E-05	+2.092773E+01	2PT  
-8.011168E-02	-1.054319E-05	+2.080371E+01	2PT  
-7.011263E-02	-1.065698E-05	+2.068066E+01	2PT  
-6.008064E-02	-1.035482E-05	+2.056055E+01	2PT  
-5.008096E-02	-1.039190E-05	+2.042969E+01	2PT  
-3.800801E-02	-1.037353E-05	+2.007910E+01	2PT  
-2.971625E-02	-1.033569E-05	+1.996387E+01	2PT  
-2.006337E-02	-1.013526E-05	+1.984375E+01	2PT  
-1.009465E-02	-1.017081E-05	+1.972070E+01	2PT  
+8.735954E-05	-9.995420E-06	+1.959961E+01	2PT  
+1.010506E-02	-9.907921E-06	+1.947656E+01	2PT  
+2.002349E-02	-9.976717E-06	+1.935352E+01	2PT  
+3.008132E-02	-9.912339E-06	+1.922949E+01	2PT  
+4.005624E-02	-9.802822E-06	+1.910059E+01	2PT  
+5.012087E-02	-9.723938E-06	+1.897656E+01	2PT  
+6.011104E-02	-9.573295E-06	+1.885156E+01	2PT  
+7.016286E-02	-9.402383E-06	+1.873047E+01	2PT  
+8.005060E-02	-9.418563E-06	+1.860645E+01	2PT  
+9.016480E-02	-9.117493E-06	+1.848340E+01	2PT  
+1.001753E-01	-9.004466E-06	+1.836133E+01	2PT  
+1.101212E-01	-8.924718E-06	+1.823730E+01	2PT  
+1.201297E-01	-8.830607E-06	+1.811230E+01	2PT  
+1.301805E-01	-8.563220E-06	+1.799219E+01	2PT  
+1.401693E-01	-8.599789E-06	+1.787012E+01	2PT  
+1.501896E-01	-8.180374E-06	+1.774707E+01	2PT  
+1.601684E-01	-8.003031E-06	+1.762305E+01	2PT  
+1.700706E-01	-7.989217E-06	+1.750098E+01	2PT  
+1.801399E-01	-7.573130E-06	+1.737891E+01	2PT  
+1.901491E-01	-7.389895E-06	+1.725488E+01	2PT  
+2.000901E-01	-7.376336E-06	+1.713281E+01	2PT  
+2.100961E-01	-6.903183E-06	+1.700977E+01	2PT  
+2.201107E-01	-6.707901E-06	+1.688770E+01	2PT  
+2.300241E-01	-6.481247E-06	+1.676367E+01	2PT  
+2.400783E-01	-6.185157E-06	+1.663965E+01	2PT  
+2.500734E-01	-5.745169E-06	+1.651855E+01	2PT  
+2.600302E-01	-5.402311E-06	+1.639453E+01	2PT  
+2.700417E-01	-5.009243E-06	+1.627246E+01	2PT  
+2.800332E-01	-4.631663E-06	+1.614648E+01	2PT  
+2.901287E-01	-4.251477E-06	+1.602441E+01	2PT  
+3.000011E-01	-3.998694E-06	+1.590137E+01	2PT  
+3.101015E-01	-3.377239E-06	+1.577930E+01	2PT  
+3.201317E-01	-2.894418E-06	+1.565430E+01	2PT  
+3.300136E-01	-2.499638E-06	+1.553125E+01	2PT  
+3.401484E-01	-1.850502E-06	+1.541113E+01	2PT  
+3.502028E-01	-1.348024E-06	+1.527734E+01	2PT  
+3.602082E-01	-1.025177E-06	+1.492871E+01	2PT  
+3.701644E-01	-4.659005E-07	+1.481250E+01	2PT  
+3.799788E-01	-1.385121E-08	+1.469434E+01	2PT  
+3.905678E-01	+8.293543E-07	+1.456250E+01	2PT  
+4.002550E-01	+1.252403E-06	+1.432617E+01	2PT  
+4.101184E-01	+1.783292E-06	+1.420215E+01	2PT  
+4.202236E-01	+2.612112E-06	+1.408008E+01	2PT  
+4.301999E-01	+3.263643E-06	+1.395605E+01	2PT  
+4.401612E-01	+3.942964E-06	+1.383203E+01	2PT  
+4.501160E-01	+4.483173E-06	+1.370801E+01	2PT  
+4.601397E-01	+5.252207E-06	+1.358496E+01	2PT  
+4.701597E-01	+6.346862E-06	+1.346094E+01	2PT  
+4.801527E-01	+7.110606E-06	+1.333496E+01	2PT  
+4.901603E-01	+7.772630E-06	+1.321484E+01	2PT  
+5.001177E-01	+8.567227E-06	+1.308887E+01	2PT  
+5.101572E-01	+9.734415E-06	+1.296875E+01	2PT  
+5.200702E-01	+1.036205E-05	+1.272461E+01	2PT  
+5.300643E-01	+1.129131E-05	+1.260156E+01	2PT  
+5.400746E-01	+1.226070E-05	+1.247754E+01	2PT  
+5.500655E-01	+1.325286E-05	+1.235352E+01	2PT  
+5.600591E-01	+1.414319E-05	+1.222852E+01	2PT  
+5.700708E-01	+1.504462E-05	+1.210449E+01	2PT  
+5.800745E-01	+1.620255E-05	+1.198047E+01	2PT  
+5.901002E-01	+1.736200E-05	+1.185742E+01	2PT  
+6.001070E-01	+1.836729E-05	+1.173535E+01	2PT  
+6.101212E-01	+1.949914E-05	+1.161230E+01	2PT  
+6.201155E-01	+2.071888E-05	+1.148730E+01	2PT  
+6.300983E-01	+2.172271E-05	+1.136328E+01	2PT  
+6.401486E-01	+2.286699E-05	+1.124023E+01	2PT  
+6.501621E-01	+2.397488E-05	+1.111328E+01	2PT  
+6.601657E-01	+2.532369E-05	+1.099414E+01	2PT  
+6.701659E-01	+2.659476E-05	+1.086816E+01	2PT  
+6.801691E-01	+2.774320E-05	+1.074512E+01	2PT  
+6.902006E-01	+2.886363E-05	+1.062207E+01	2PT  
+7.001737E-01	+3.026511E-05	+1.049805E+01	2PT  
+7.101818E-01	+3.161939E-05	+1.037598E+01	2PT  
+7.201695E-01	+3.274232E-05	+1.025195E+01	2PT  
+7.301413E-01	+3.442759E-05	+1.012793E+01	2PT  
+7.401656E-01	+3.574888E-05	+1.000293E+01	2PT  
+7.501359E-01	+3.691875E-05	+9.880859E+00	2PT  
+7.601303E-01	+3.821795E-05	+9.756836E+00	2PT  
+7.701089E-01	+3.991637E-05	+9.634766E+00	2PT  
+7.800702E-01	+4.125804E-05	+9.512695E+00	2PT  
+7.901114E-01	+4.294625E-05	+9.390625E+00	2PT  
+8.000845E-01	+4.448411E-05	+9.266602E+00	2PT  
+8.100789E-01	+4.603043E-05	+9.143555E+00	2PT  
+8.200598E-01	+4.737394E-05	+9.019531E+00	2PT  
+8.300418E-01	+4.900212E-05	+8.894531E+00	2PT  
+8.400688E-01	+5.064310E-05	+8.771484E+00	2PT  
+8.500875E-01	+5.218616E-05	+8.649414E+00	2PT  
+8.600941E-01	+5.390402E-05	+8.526367E+00	2PT  
+8.701009E-01	+5.576167E-05	+8.403320E+00	2PT  
+8.801031E-01	+5.733644E-05	+8.278320E+00	2PT  
+8.901323E-01	+5.922266E-05	+8.158203E+00	2PT  
+9.001344E-01	+6.103759E-05	+8.034180E+00	2PT  
+9.101203E-01	+6.273732E-05	+7.912109E+00	2PT  
+9.201272E-01	+6.464987E-05	+7.788086E+00	2PT  
+9.301476E-01	+6.668939E-05	+7.664063E+00	2PT  
+9.401703E-01	+6.879478E-05	+7.541992E+00	2PT  
+9.501719E-01	+7.058540E-05	+7.416992E+00	2PT  
+9.601797E-01	+7.276043E-05	+7.291992E+00	2PT  
+9.701878E-01	+7.511307E-05	+7.170898E+00	2PT  
+9.801753E-01	+7.716133E-05	+7.045898E+00	2PT  
+9.901866E-01	+7.956471E-05	+6.922852E+00	2PT  
+1.000171E+00	+8.210571E-05	+6.798828E+00	2PT  
+1.010159E+00	+8.434382E-05	+6.673828E+00	2PT  
+1.020137E+00	+8.729313E-05	+6.550781E+00	2PT  
+1.030127E+00	+9.040989E-05	+6.429688E+00	2PT  
+1.040138E+00	+9.325568E-05	+6.306641E+00	2PT  
+1.050130E+00	+9.718793E-05	+6.184570E+00	2PT  
+1.060088E+00	+1.000902E-04	+5.945313E+00	2PT  
+1.070080E+00	+1.035486E-04	+5.821289E+00	2PT  
+1.080052E+00	+1.079678E-04	+5.697266E+00	2PT  
+1.090072E+00	+1.123919E-04	+5.573242E+00	2PT  
+1.100061E+00	+1.174717E-04	+5.450195E+00	2PT  
+1.110045E+00	+1.235100E-04	+5.330078E+00	2PT  
+1.120066E+00	+1.304211E-04	+5.205078E+00	2PT  
+1.130052E+00	+1.383225E-04	+5.082031E+00	2PT  
+1.140091E+00	+1.475696E-04	+4.958008E+00	2PT  
+1.150102E+00	+1.587384E-04	+4.834961E+00	2PT  
+1.160102E+00	+1.716089E-04	+4.710938E+00	2PT  
+1.170095E+00	+1.872106E-04	+4.587891E+00	2PT  
+1.180092E+00	+2.071632E-04	+4.463867E+00	2PT  
+1.190122E+00	+2.307975E-04	+4.340820E+00	2PT  
+1.200145E+00	+2.602098E-04	+4.220703E+00	2PT  
+1.210140E+00	+2.959015E-04	+4.095703E+00	2PT  
+1.220147E+00	+3.406312E-04	+3.973633E+00	2PT  
+1.230130E+00	+3.941249E-04	+3.849609E+00	2PT  
+1.240194E+00	+4.592379E-04	+3.726563E+00	2PT  
+1.250189E+00	+5.368039E-04	+3.606445E+00	2PT  
+1.260175E+00	+6.284858E-04	+3.481445E+00	2PT  
+1.270169E+00	+7.357476E-04	+3.357422E+00	2PT  
+1.280174E+00	+8.581939E-04	+3.236328E+00	2PT  
+1.290161E+00	+1.064663E-03	+2.997070E+00	2PT  
+1.300135E+00	+1.232998E-03	+2.871094E+00	2PT  
+1.310122E+00	+1.418016E-03	+2.747070E+00	2PT  
+1.320093E+00	+1.619033E-03	+2.625000E+00	2PT  
+1.330121E+00	+1.832090E-03	+2.502930E+00	2PT  
+1.340096E+00	+2.053019E-03	+2.379883E+00	2PT  
+1.350077E+00	+2.260782E-03	+2.257813E+00	2PT  
+1.360060E+00	+2.433044E-03	+2.134766E+00	2PT  
+1.370030E+00	+2.518232E-03	+2.010742E+00	2PT  
+1.380065E+00	+2.452124E-03	+1.881836E+00	2PT  
+1.390045E+00	+2.207237E-03	+1.759766E+00	2PT  
+1.400048E+00	+1.759090E-03	+1.639648E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=4.1100000000E-1
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

