[[DESCRIPTION]]
CPB_SE6_11_2P_A1_5G_Sun

[[ANALYSIS]]
EFF      	5.44	%
FF        	68.4	%
Voc      	1286.8	mV
Jsc       	6.18	mA/cm2
Vmax   	1070.1	mV
Jmax    	5.08	mA/cm2
Isc        	0.000556	A
Rsc       	26796	Ohm
Roc      	155.63	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001131E-01	-5.619207E-04	+2.165625E+01	2PT  
-1.901165E-01	-5.618646E-04	+2.153516E+01	2PT  
-1.801479E-01	-5.614200E-04	+2.141016E+01	2PT  
-1.701591E-01	-5.610178E-04	+2.128711E+01	2PT  
-1.601725E-01	-5.607259E-04	+2.116211E+01	2PT  
-1.501501E-01	-5.604930E-04	+2.103516E+01	2PT  
-1.401732E-01	-5.602221E-04	+2.091113E+01	2PT  
-1.301794E-01	-5.601195E-04	+2.078711E+01	2PT  
-1.201749E-01	-5.594885E-04	+2.066406E+01	2PT  
-1.101745E-01	-5.594585E-04	+2.054102E+01	2PT  
-1.001389E-01	-5.589788E-04	+2.041797E+01	2PT  
-9.012539E-02	-5.587779E-04	+2.029395E+01	2PT  
-8.012092E-02	-5.587462E-04	+2.017285E+01	2PT  
-7.011713E-02	-5.582665E-04	+2.004492E+01	2PT  
-6.009495E-02	-5.579513E-04	+1.992285E+01	2PT  
-5.008626E-02	-5.578298E-04	+1.979883E+01	2PT  
-4.008667E-02	-5.575505E-04	+1.967773E+01	2PT  
-3.008208E-02	-5.570676E-04	+1.955469E+01	2PT  
-2.008089E-02	-5.569103E-04	+1.942871E+01	2PT  
-1.003635E-02	-5.566606E-04	+1.930469E+01	2PT  
+7.319532E-05	-5.562959E-04	+1.918066E+01	2PT  
+1.007188E-02	-5.559095E-04	+1.905664E+01	2PT  
+2.007039E-02	-5.559103E-04	+1.893262E+01	2PT  
+3.008233E-02	-5.552613E-04	+1.881055E+01	2PT  
+4.010819E-02	-5.550609E-04	+1.868652E+01	2PT  
+5.012320E-02	-5.549265E-04	+1.855859E+01	2PT  
+6.011459E-02	-5.549085E-04	+1.843457E+01	2PT  
+7.011578E-02	-5.543848E-04	+1.831055E+01	2PT  
+8.011951E-02	-5.540578E-04	+1.818750E+01	2PT  
+9.014612E-02	-5.539727E-04	+1.806445E+01	2PT  
+1.001596E-01	-5.535109E-04	+1.793945E+01	2PT  
+1.101635E-01	-5.531804E-04	+1.781641E+01	2PT  
+1.201690E-01	-5.528168E-04	+1.769141E+01	2PT  
+1.301618E-01	-5.527249E-04	+1.756543E+01	2PT  
+1.402019E-01	-5.524340E-04	+1.744336E+01	2PT  
+1.501817E-01	-5.519939E-04	+1.731543E+01	2PT  
+1.601556E-01	-5.518252E-04	+1.719043E+01	2PT  
+1.701338E-01	-5.516392E-04	+1.706738E+01	2PT  
+1.801231E-01	-5.513394E-04	+1.694238E+01	2PT  
+1.901491E-01	-5.512917E-04	+1.682129E+01	2PT  
+2.001157E-01	-5.511157E-04	+1.669629E+01	2PT  
+2.101051E-01	-5.507822E-04	+1.657324E+01	2PT  
+2.200892E-01	-5.507826E-04	+1.644922E+01	2PT  
+2.300681E-01	-5.503478E-04	+1.632715E+01	2PT  
+2.400803E-01	-5.499062E-04	+1.619922E+01	2PT  
+2.500669E-01	-5.498857E-04	+1.607617E+01	2PT  
+2.600472E-01	-5.495056E-04	+1.594727E+01	2PT  
+2.700325E-01	-5.490221E-04	+1.582324E+01	2PT  
+2.800426E-01	-5.488576E-04	+1.570117E+01	2PT  
+2.900572E-01	-5.486293E-04	+1.557715E+01	2PT  
+3.000776E-01	-5.481968E-04	+1.545410E+01	2PT  
+3.100814E-01	-5.482611E-04	+1.533105E+01	2PT  
+3.200862E-01	-5.481006E-04	+1.520312E+01	2PT  
+3.300948E-01	-5.475093E-04	+1.507910E+01	2PT  
+3.401180E-01	-5.473220E-04	+1.495703E+01	2PT  
+3.501195E-01	-5.472358E-04	+1.482910E+01	2PT  
+3.601189E-01	-5.470475E-04	+1.470508E+01	2PT  
+3.701253E-01	-5.466671E-04	+1.458203E+01	2PT  
+3.801404E-01	-5.464496E-04	+1.445996E+01	2PT  
+3.901726E-01	-5.459507E-04	+1.433691E+01	2PT  
+4.001705E-01	-5.457514E-04	+1.421484E+01	2PT  
+4.101795E-01	-5.452276E-04	+1.408984E+01	2PT  
+4.201644E-01	-5.452968E-04	+1.396680E+01	2PT  
+4.301431E-01	-5.447125E-04	+1.384473E+01	2PT  
+4.401720E-01	-5.444519E-04	+1.372070E+01	2PT  
+4.501541E-01	-5.440281E-04	+1.359668E+01	2PT  
+4.601395E-01	-5.435335E-04	+1.347363E+01	2PT  
+4.701138E-01	-5.431967E-04	+1.334961E+01	2PT  
