[[DESCRIPTION]]
CPB_SE6_12_3P_2700K_1000lux

[[ANALYSIS]]
EFF      	0.00**	%
FF        	0.0**	%
Voc      	2.9**	mV
Jsc       	0.05**	mA/cm2
Vmax   	NaN	mV
Jmax    	NaN	mA/cm2
Isc        	4.1957E-6	A
Rsc       	681.47	Ohm
Roc      	681.55	Ohm
A          	0.09	cm2
Incd. Pwr	0.296	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001006E-01	-3.063396E-04	+2.194824E+01	2PT  
-1.901311E-01	-2.907683E-04	+2.182715E+01	2PT  
-1.801335E-01	-2.749293E-04	+2.170313E+01	2PT  
-1.701431E-01	-2.596183E-04	+2.157910E+01	2PT  
-1.601675E-01	-2.444058E-04	+2.145605E+01	2PT  
-1.501446E-01	-2.292624E-04	+2.133203E+01	2PT  
-1.401628E-01	-2.137805E-04	+2.120801E+01	2PT  
-1.301663E-01	-1.990594E-04	+2.108496E+01	2PT  
-1.201678E-01	-1.839869E-04	+2.096094E+01	2PT  
-1.101655E-01	-1.689178E-04	+2.083691E+01	2PT  
-1.001211E-01	-1.536835E-04	+2.071387E+01	2PT  
-9.012481E-02	-1.384256E-04	+2.058984E+01	2PT  
-8.011930E-02	-1.234254E-04	+2.046680E+01	2PT  
-7.011009E-02	-1.086794E-04	+2.034473E+01	2PT  
-6.010543E-02	-9.332503E-05	+1.999805E+01	2PT  
-5.009275E-02	-7.824570E-05	+1.987500E+01	2PT  
-4.009396E-02	-6.345872E-05	+1.975195E+01	2PT  
-3.007947E-02	-4.875775E-05	+1.962793E+01	2PT  
-2.007416E-02	-3.396397E-05	+1.950391E+01	2PT  
-1.002538E-02	-1.895656E-05	+1.938281E+01	2PT  
+8.152594E-05	-4.075681E-06	+1.903418E+01	2PT  
+1.008007E-02	+1.054452E-05	+1.879492E+01	2PT  
+2.008097E-02	+2.546289E-05	+1.867090E+01	2PT  
+3.009886E-02	+4.027242E-05	+1.854785E+01	2PT  
+4.013140E-02	+5.500377E-05	+1.842578E+01	2PT  
+5.013927E-02	+7.002401E-05	+1.830176E+01	2PT  
+6.014448E-02	+8.483669E-05	+1.817773E+01	2PT  
+7.014790E-02	+9.971461E-05	+1.805957E+01	2PT  
+8.012698E-02	+1.144944E-04	+1.782031E+01	2PT  
+9.016662E-02	+1.297730E-04	+1.769922E+01	2PT  
+1.001729E-01	+1.446397E-04	+1.757520E+01	2PT  
+1.101756E-01	+1.596395E-04	+1.745313E+01	2PT  
+1.201774E-01	+1.750681E-04	+1.732813E+01	2PT  
+1.301905E-01	+1.902181E-04	+1.720605E+01	2PT  
+1.402036E-01	+2.054675E-04	+1.708203E+01	2PT  
+1.501941E-01	+2.209556E-04	+1.695801E+01	2PT  
+1.601738E-01	+2.361616E-04	+1.683496E+01	2PT  
+1.701510E-01	+2.517734E-04	+1.670996E+01	2PT  
+1.801481E-01	+2.674235E-04	+1.658594E+01	2PT  
+1.901536E-01	+2.830393E-04	+1.646484E+01	2PT  
+2.001328E-01	+2.988353E-04	+1.634082E+01	2PT  
+2.101160E-01	+3.142631E-04	+1.621777E+01	2PT  
+2.200941E-01	+3.303816E-04	+1.609375E+01	2PT  
+2.300794E-01	+3.462112E-04	+1.596973E+01	2PT  
+2.401026E-01	+3.621823E-04	+1.584570E+01	2PT  
+2.500826E-01	+3.777143E-04	+1.571973E+01	2PT  
+2.600741E-01	+3.943565E-04	+1.559863E+01	2PT  
+2.700440E-01	+4.106344E-04	+1.547363E+01	2PT  
+2.800584E-01	+4.270524E-04	+1.534961E+01	2PT  
+2.900934E-01	+4.438119E-04	+1.522852E+01	2PT  
+3.001068E-01	+4.599620E-04	+1.510449E+01	2PT  
+3.101088E-01	+4.771990E-04	+1.498340E+01	2PT  
+3.201033E-01	+4.942392E-04	+1.485449E+01	2PT  
+3.301063E-01	+5.106834E-04	+1.473145E+01	2PT  
+3.401395E-01	+5.281288E-04	+1.460449E+01	2PT  
+3.501505E-01	+5.450860E-04	+1.448047E+01	2PT  
+3.601426E-01	+5.619710E-04	+1.435645E+01	2PT  
+3.701461E-01	+5.790251E-04	+1.423340E+01	2PT  
+3.801545E-01	+5.965659E-04	+1.410937E+01	2PT  
+3.901862E-01	+6.143912E-04	+1.398730E+01	2PT  
+4.001962E-01	+6.317666E-04	+1.386328E+01	2PT  
+4.101928E-01	+6.491650E-04	+1.374121E+01	2PT  
+4.201940E-01	+6.671008E-04	+1.361719E+01	2PT  
+4.301659E-01	+6.852265E-04	+1.349316E+01	2PT  
+4.401860E-01	+7.030341E-04	+1.337109E+01	2PT  
+4.501751E-01	+7.216145E-04	+1.324707E+01	2PT  
