[[DESCRIPTION]]
CPB_SE6_12_3P_A1_5G_Sun

[[ANALYSIS]]
EFF      	0.83**	%
FF        	32.0**	%
Voc      	513.4**	mV
Jsc       	5.05**	mA/cm2
Vmax   	290.1	mV
Jmax    	2.86	mA/cm2
Isc        	0.00045471	A
Rsc       	2161.3	Ohm
Roc      	825.96	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001083E-01	-5.494211E-04	+2.196680E+01	2PT  
-1.901307E-01	-5.441344E-04	+2.184375E+01	2PT  
-1.801533E-01	-5.383018E-04	+2.171680E+01	2PT  
-1.701607E-01	-5.330404E-04	+2.159570E+01	2PT  
-1.601748E-01	-5.279281E-04	+2.147168E+01	2PT  
-1.501569E-01	-5.230448E-04	+2.135059E+01	2PT  
-1.401713E-01	-5.178715E-04	+2.122559E+01	2PT  
-1.301744E-01	-5.131463E-04	+2.110547E+01	2PT  
-1.201689E-01	-5.083795E-04	+2.098145E+01	2PT  
-1.101653E-01	-5.034474E-04	+2.085938E+01	2PT  
-1.001363E-01	-4.989641E-04	+2.073437E+01	2PT  
-9.012263E-02	-4.944344E-04	+2.061328E+01	2PT  
-8.012819E-02	-4.898418E-04	+2.048828E+01	2PT  
-7.011230E-02	-4.857539E-04	+2.036523E+01	2PT  
-6.009609E-02	-4.811765E-04	+2.024023E+01	2PT  
-5.008456E-02	-4.771542E-04	+2.011426E+01	2PT  
-4.008905E-02	-4.725908E-04	+1.999316E+01	2PT  
-3.007481E-02	-4.685247E-04	+1.986719E+01	2PT  
-2.006423E-02	-4.638676E-04	+1.974512E+01	2PT  
-1.002968E-02	-4.594422E-04	+1.962109E+01	2PT  
+6.819246E-05	-4.546738E-04	+1.949707E+01	2PT  
+1.007678E-02	-4.501402E-04	+1.937305E+01	2PT  
+2.007949E-02	-4.454354E-04	+1.924902E+01	2PT  
+3.007795E-02	-4.404490E-04	+1.912695E+01	2PT  
+4.011998E-02	-4.354628E-04	+1.900098E+01	2PT  
+5.011909E-02	-4.304214E-04	+1.887988E+01	2PT  
+6.012727E-02	-4.251297E-04	+1.875586E+01	2PT  
+7.012411E-02	-4.199643E-04	+1.863086E+01	2PT  
+8.012779E-02	-4.141728E-04	+1.850879E+01	2PT  
+9.016739E-02	-4.079648E-04	+1.838477E+01	2PT  
+1.001616E-01	-4.017178E-04	+1.826270E+01	2PT  
+1.101702E-01	-3.958310E-04	+1.814062E+01	2PT  
+1.201726E-01	-3.896972E-04	+1.801172E+01	2PT  
+1.301756E-01	-3.839243E-04	+1.788965E+01	2PT  
+1.401945E-01	-3.763992E-04	+1.776660E+01	2PT  
+1.501838E-01	-3.705310E-04	+1.764258E+01	2PT  
+1.601663E-01	-3.635589E-04	+1.751855E+01	2PT  
+1.701440E-01	-3.568355E-04	+1.739648E+01	2PT  
+1.801330E-01	-3.491981E-04	+1.727344E+01	2PT  
+1.901394E-01	-3.417694E-04	+1.714844E+01	2PT  
+2.001252E-01	-3.344028E-04	+1.702539E+01	2PT  
+2.101016E-01	-3.261182E-04	+1.690137E+01	2PT  
+2.200871E-01	-3.186690E-04	+1.677734E+01	2PT  
+2.300794E-01	-3.113635E-04	+1.665332E+01	2PT  
+2.400964E-01	-3.018521E-04	+1.652930E+01	2PT  
+2.500680E-01	-2.927886E-04	+1.640625E+01	2PT  
+2.600469E-01	-2.835405E-04	+1.628223E+01	2PT  
+2.700395E-01	-2.762253E-04	+1.615723E+01	2PT  
+2.800401E-01	-2.666369E-04	+1.603320E+01	2PT  
+2.900806E-01	-2.577452E-04	+1.591113E+01	2PT  
+3.000808E-01	-2.468436E-04	+1.578418E+01	2PT  
+3.100911E-01	-2.390070E-04	+1.566016E+01	2PT  
+3.200927E-01	-2.282888E-04	+1.553711E+01	2PT  
+3.300921E-01	-2.189964E-04	+1.541309E+01	2PT  
+3.401388E-01	-2.078973E-04	+1.528906E+01	2PT  
+3.501303E-01	-1.976286E-04	+1.516309E+01	2PT  
+3.601328E-01	-1.868467E-04	+1.504199E+01	2PT  
+3.701327E-01	-1.762878E-04	+1.491797E+01	2PT  
+3.801337E-01	-1.663474E-04	+1.479590E+01	2PT  
+3.901758E-01	-1.546494E-04	+1.467285E+01	2PT  
+4.001760E-01	-1.429289E-04	+1.455078E+01	2PT  
+4.101847E-01	-1.298108E-04	+1.442578E+01	2PT  
+4.201596E-01	-1.172384E-04	+1.430273E+01	2PT  
+4.301589E-01	-1.047965E-04	+1.418066E+01	2PT  
+4.401581E-01	-9.644009E-05	+1.383496E+01	2PT  
+4.501306E-01	-8.417625E-05	+1.371094E+01	2PT  
+4.601631E-01	-7.154886E-05	+1.358887E+01	2PT  
+4.701272E-01	-5.713727E-05	+1.346484E+01	2PT  
+4.801000E-01	-4.392888E-05	+1.334082E+01	2PT  
+4.901008E-01	-2.812054E-05	+1.322168E+01	2PT  
+5.001297E-01	-1.395152E-05	+1.308789E+01	2PT  
+5.101487E-01	-4.422806E-06	+1.273828E+01	2PT  
+5.199472E-01	+8.781496E-06	+1.260840E+01	2PT  
+5.300338E-01	+1.822449E-05	+1.236816E+01	2PT  
+5.400829E-01	+3.373712E-05	+1.224316E+01	2PT  
+5.500587E-01	+4.800613E-05	+1.212402E+01	2PT  
+5.600599E-01	+6.240323E-05	+1.200098E+01	2PT  
+5.700980E-01	+7.707717E-05	+1.187598E+01	2PT  
+5.800464E-01	+9.326340E-05	+1.175488E+01	2PT  
+5.901123E-01	+1.064924E-04	+1.152051E+01	2PT  
+6.001173E-01	+1.224548E-04	+1.139648E+01	2PT  
+6.101121E-01	+1.388699E-04	+1.127344E+01	2PT  
+6.201127E-01	+1.556139E-04	+1.115039E+01	2PT  
+6.301177E-01	+1.728347E-04	+1.102441E+01	2PT  
+6.401535E-01	+1.882482E-04	+1.089941E+01	2PT  
+6.501629E-01	+2.058937E-04	+1.077637E+01	2PT  
+6.601602E-01	+2.234714E-04	+1.065234E+01	2PT  
+6.701708E-01	+2.419936E-04	+1.053027E+01	2PT  
+6.801669E-01	+2.574975E-04	+1.040137E+01	2PT  
+6.902125E-01	+2.762803E-04	+1.027734E+01	2PT  
+7.001982E-01	+2.923288E-04	+1.015332E+01	2PT  
+7.101769E-01	+3.117818E-04	+1.002637E+01	2PT  
+7.201558E-01	+3.291492E-04	+9.906250E+00	2PT  
+7.301459E-01	+3.491343E-04	+9.778320E+00	2PT  
+7.401650E-01	+3.683660E-04	+9.655273E+00	2PT  
+7.501528E-01	+3.884147E-04	+9.530273E+00	2PT  
+7.601263E-01	+4.103044E-04	+9.408203E+00	2PT  
+7.701033E-01	+4.268262E-04	+9.286133E+00	2PT  
+7.800940E-01	+4.499044E-04	+9.161133E+00	2PT  
+7.900859E-01	+4.736801E-04	+9.038086E+00	2PT  
+8.000845E-01	+4.953025E-04	+8.916016E+00	2PT  
+8.100719E-01	+5.129883E-04	+8.791992E+00	2PT  
+8.200672E-01	+5.364579E-04	+8.670898E+00	2PT  
+8.300435E-01	+5.612387E-04	+8.546875E+00	2PT  
+8.400792E-01	+5.861421E-04	+8.423828E+00	2PT  
+8.500726E-01	+6.068466E-04	+8.301758E+00	2PT  
+8.600873E-01	+6.292055E-04	+8.178711E+00	2PT  
+8.700929E-01	+6.528580E-04	+8.053711E+00	2PT  
+8.800938E-01	+6.797196E-04	+7.930664E+00	2PT  
+8.901359E-01	+7.055897E-04	+7.808594E+00	2PT  
+9.001263E-01	+7.302612E-04	+7.686523E+00	2PT  
+9.101256E-01	+7.547295E-04	+7.562500E+00	2PT  
+9.201285E-01	+7.803727E-04	+7.439453E+00	2PT  
+9.301218E-01	+8.084213E-04	+7.316406E+00	2PT  
+9.401662E-01	+8.387089E-04	+7.194336E+00	2PT  
+9.501890E-01	+8.659035E-04	+7.070313E+00	2PT  
+9.601737E-01	+8.971721E-04	+6.947266E+00	2PT  
+9.701848E-01	+9.267124E-04	+6.825195E+00	2PT  
+9.801658E-01	+9.580260E-04	+6.699219E+00	2PT  
+9.901901E-01	+9.816613E-04	+6.579102E+00	2PT  
+1.000159E+00	+1.008779E-03	+6.340820E+00	2PT  
+1.010149E+00	+1.040385E-03	+6.216797E+00	2PT  
+1.020130E+00	+1.074400E-03	+6.093750E+00	2PT  
+1.030108E+00	+1.115288E-03	+5.970703E+00	2PT  
+1.040131E+00	+1.143682E-03	+5.846680E+00	2PT  
+1.050111E+00	+1.177182E-03	+5.722656E+00	2PT  
+1.060094E+00	+1.216980E-03	+5.600586E+00	2PT  
+1.070085E+00	+1.249997E-03	+5.478516E+00	2PT  
+1.080061E+00	+1.282816E-03	+5.353516E+00	2PT  
+1.090070E+00	+1.309648E-03	+5.230469E+00	2PT  
+1.100062E+00	+1.356535E-03	+5.106445E+00	2PT  
+1.110048E+00	+1.380083E-03	+4.984375E+00	2PT  
+1.120056E+00	+1.418833E-03	+4.860352E+00	2PT  
+1.130038E+00	+1.469340E-03	+4.731445E+00	2PT  
+1.140093E+00	+1.501566E-03	+4.607422E+00	2PT  
+1.150085E+00	+1.553557E-03	+4.483398E+00	2PT  
+1.160098E+00	+1.608734E-03	+4.358398E+00	2PT  
+1.170093E+00	+1.652266E-03	+4.234375E+00	2PT  
+1.180099E+00	+1.709973E-03	+4.109375E+00	2PT  
+1.190130E+00	+1.791423E-03	+3.986328E+00	2PT  
+1.200148E+00	+1.969315E-03	+3.867188E+00	2PT  
+1.210143E+00	+1.857995E-03	+3.746094E+00	2PT  
+1.220130E+00	+1.913633E-03	+3.622070E+00	2PT  
+1.230140E+00	+1.999593E-03	+3.501953E+00	2PT  
+1.240171E+00	+2.148730E-03	+3.375977E+00	2PT  
+1.250177E+00	+2.309266E-03	+3.253906E+00	2PT  
+1.260166E+00	+2.269056E-03	+3.130859E+00	2PT  
+1.270144E+00	+2.342274E-03	+3.008789E+00	2PT  
+1.280171E+00	+2.532670E-03	+2.886719E+00	2PT  
+1.290148E+00	+2.771000E-03	+2.763672E+00	2PT  
+1.300169E+00	+3.808545E-03	+2.641602E+00	2PT  
+1.310107E+00	+3.531653E-03	+2.518555E+00	2PT  
+1.320103E+00	+3.467179E-03	+2.392578E+00	2PT  
+1.330112E+00	+3.954482E-03	+2.269531E+00	2PT  
+1.340107E+00	+4.364753E-03	+2.145508E+00	2PT  
+1.350062E+00	+4.641387E-03	+2.022461E+00	2PT  
+1.360080E+00	+5.004612E-03	+1.898438E+00	2PT  
+1.370126E+00	+4.989149E-03	+1.774414E+00	2PT  
+1.380128E+00	+5.138868E-03	+1.651367E+00	2PT  
+1.390137E+00	+5.491660E-03	+1.530273E+00	2PT  
+1.400151E+00	+4.918670E-03	+1.406250E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

