[[DESCRIPTION]]
CPB_SE6_12_5P_4000K_200lux

[[ANALYSIS]]
EFF      	3.39**	%
FF        	30.5**	%
Voc      	275.4**	mV
Jsc       	0.07**	mA/cm2
Vmax   	160.2	mV
Jmax    	0.03	mA/cm2
Isc        	5.9150E-6	A
Rsc       	68167	Ohm
Roc      	17325**	Ohm
A          	0.09	cm2
Incd. Pwr	0.163	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001042E-01	-9.187320E-06	+2.206738E+01	2PT  
-1.901427E-01	-9.064462E-06	+2.194336E+01	2PT  
-1.801519E-01	-8.985974E-06	+2.181934E+01	2PT  
-1.701929E-01	-8.648192E-06	+2.169727E+01	2PT  
-1.601684E-01	-8.371451E-06	+2.157520E+01	2PT  
-1.501569E-01	-8.204828E-06	+2.145215E+01	2PT  
-1.401657E-01	-8.123922E-06	+2.132813E+01	2PT  
-1.301988E-01	-7.999067E-06	+2.120508E+01	2PT  
-1.201602E-01	-7.844369E-06	+2.108105E+01	2PT  
-1.101565E-01	-7.554786E-06	+2.095801E+01	2PT  
-1.001378E-01	-7.356538E-06	+2.083398E+01	2PT  
-9.014865E-02	-7.354175E-06	+2.071094E+01	2PT  
-8.012673E-02	-7.154590E-06	+2.058594E+01	2PT  
-7.013801E-02	-7.053348E-06	+2.046289E+01	2PT  
-6.011260E-02	-6.888127E-06	+2.034082E+01	2PT  
-5.008293E-02	-6.689654E-06	+2.021777E+01	2PT  
-4.008238E-02	-6.531611E-06	+2.009375E+01	2PT  
-3.006860E-02	-6.345325E-06	+1.996875E+01	2PT  
-2.008836E-02	-6.262024E-06	+1.984668E+01	2PT  
-1.003213E-02	-6.129124E-06	+1.972363E+01	2PT  
+8.319312E-05	-5.913239E-06	+1.960059E+01	2PT  
+1.006172E-02	-5.835695E-06	+1.947949E+01	2PT  
+2.008610E-02	-5.617286E-06	+1.935059E+01	2PT  
+3.007130E-02	-5.543970E-06	+1.922852E+01	2PT  
+4.011415E-02	-5.406566E-06	+1.910059E+01	2PT  
+5.014426E-02	-5.199683E-06	+1.897949E+01	2PT  
+6.011517E-02	-5.088229E-06	+1.885547E+01	2PT  
+7.012461E-02	-4.945058E-06	+1.873145E+01	2PT  
+8.011074E-02	-4.695639E-06	+1.860645E+01	2PT  
+9.014258E-02	-4.472005E-06	+1.848535E+01	2PT  
+1.001615E-01	-4.231484E-06	+1.835938E+01	2PT  
+1.101815E-01	-4.018218E-06	+1.823535E+01	2PT  
+1.201816E-01	-3.887150E-06	+1.811328E+01	2PT  
+1.301771E-01	-3.594420E-06	+1.798926E+01	2PT  
+1.401855E-01	-3.374961E-06	+1.786621E+01	2PT  
+1.501731E-01	-3.204872E-06	+1.774219E+01	2PT  
+1.601629E-01	-3.101746E-06	+1.762012E+01	2PT  
+1.701506E-01	-2.851330E-06	+1.749707E+01	2PT  
+1.801414E-01	-2.558629E-06	+1.737402E+01	2PT  
+1.901441E-01	-2.255499E-06	+1.724902E+01	2PT  
+2.001125E-01	-2.129090E-06	+1.712500E+01	2PT  
+2.101050E-01	-1.819122E-06	+1.700098E+01	2PT  
+2.200650E-01	-1.537919E-06	+1.687695E+01	2PT  
+2.300874E-01	-1.211769E-06	+1.675293E+01	2PT  
+2.401247E-01	-1.045962E-06	+1.663477E+01	2PT  
+2.501311E-01	-8.223740E-07	+1.628809E+01	2PT  
+2.600601E-01	-5.410179E-07	+1.616406E+01	2PT  
+2.702397E-01	-4.235254E-07	+1.604004E+01	2PT  
+2.799160E-01	+3.667488E-07	+1.591992E+01	2PT  
+2.900798E-01	+3.607119E-07	+1.579980E+01	2PT  
+3.001319E-01	+1.015776E-06	+1.555957E+01	2PT  
+3.101084E-01	+1.376476E-06	+1.543652E+01	2PT  
+3.200510E-01	+1.485544E-06	+1.531250E+01	2PT  
+3.301076E-01	+1.768389E-06	+1.518750E+01	2PT  
+3.401770E-01	+2.035990E-06	+1.506543E+01	2PT  
+3.501790E-01	+2.514922E-06	+1.494238E+01	2PT  
+3.601321E-01	+2.999682E-06	+1.482031E+01	2PT  
+3.700622E-01	+3.630994E-06	+1.470117E+01	2PT  
+3.801649E-01	+3.759983E-06	+1.457715E+01	2PT  
+3.902051E-01	+4.119897E-06	+1.445508E+01	2PT  
+4.002288E-01	+4.135302E-06	+1.433105E+01	2PT  
+4.101548E-01	+4.574018E-06	+1.420898E+01	2PT  
+4.201877E-01	+5.201667E-06	+1.408398E+01	2PT  
+4.301686E-01	+5.585370E-06	+1.396094E+01	2PT  
+4.401638E-01	+6.001109E-06	+1.383691E+01	2PT  
+4.501612E-01	+6.553003E-06	+1.371387E+01	2PT  
+4.601586E-01	+7.072698E-06	+1.358887E+01	2PT  
+4.701508E-01	+7.799975E-06	+1.346680E+01	2PT  
+4.801793E-01	+8.456342E-06	+1.334180E+01	2PT  
+4.900923E-01	+8.915905E-06	+1.321777E+01	2PT  
+5.001583E-01	+9.329022E-06	+1.309961E+01	2PT  
+5.101680E-01	+9.878630E-06	+1.296191E+01	2PT  
+5.200771E-01	+1.025656E-05	+1.272266E+01	2PT  
+5.300611E-01	+1.081547E-05	+1.260059E+01	2PT  
+5.400691E-01	+1.158781E-05	+1.247559E+01	2PT  
+5.500658E-01	+1.190616E-05	+1.235449E+01	2PT  
+5.600754E-01	+1.264916E-05	+1.223047E+01	2PT  
+5.700638E-01	+1.329584E-05	+1.210938E+01	2PT  
+5.801020E-01	+1.429582E-05	+1.198535E+01	2PT  
+5.901137E-01	+1.492920E-05	+1.186230E+01	2PT  
+6.001123E-01	+1.515705E-05	+1.174023E+01	2PT  
+6.101117E-01	+1.537365E-05	+1.161523E+01	2PT  
+6.201117E-01	+1.629942E-05	+1.149316E+01	2PT  
+6.301146E-01	+1.737460E-05	+1.136719E+01	2PT  
+6.401626E-01	+1.781482E-05	+1.124512E+01	2PT  
+6.501554E-01	+1.844789E-05	+1.112109E+01	2PT  
+6.601595E-01	+1.966491E-05	+1.099414E+01	2PT  
+6.701658E-01	+2.036423E-05	+1.087207E+01	2PT  
+6.801761E-01	+2.154973E-05	+1.074805E+01	2PT  
