[[DESCRIPTION]]
CPB_SE6_13_1P_2700K_200lux

[[ANALYSIS]]
EFF      	5.51**	%
FF        	43.1**	%
Voc      	590.8**	mV
Jsc       	0.03**	mA/cm2
Vmax   	350.1	mV
Jmax    	0.02	mA/cm2
Isc        	2.3346E-6	A
Rsc       	1.2385E+6	Ohm
Roc      	1.0478E+5	Ohm
A          	0.09	cm2
Incd. Pwr	0.12	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001089E-01	-2.500374E-06	+2.212988E+01	2PT  
-1.901147E-01	-2.469303E-06	+2.200977E+01	2PT  
-1.801353E-01	-2.460188E-06	+2.188379E+01	2PT  
-1.701475E-01	-2.458485E-06	+2.176172E+01	2PT  
-1.601509E-01	-2.432602E-06	+2.163770E+01	2PT  
-1.501406E-01	-2.446504E-06	+2.151367E+01	2PT  
-1.401627E-01	-2.434149E-06	+2.139063E+01	2PT  
-1.301706E-01	-2.418073E-06	+2.126758E+01	2PT  
-1.201643E-01	-2.416633E-06	+2.113867E+01	2PT  
-1.101691E-01	-2.405121E-06	+2.101563E+01	2PT  
-1.001213E-01	-2.408342E-06	+2.089160E+01	2PT  
-9.011986E-02	-2.397584E-06	+2.076855E+01	2PT  
-8.012299E-02	-2.383386E-06	+2.064551E+01	2PT  
-7.010750E-02	-2.387702E-06	+2.052246E+01	2PT  
-6.009310E-02	-2.368846E-06	+2.039844E+01	2PT  
-5.007938E-02	-2.351285E-06	+2.027539E+01	2PT  
-4.008991E-02	-2.364034E-06	+2.015234E+01	2PT  
-3.007687E-02	-2.340309E-06	+2.003027E+01	2PT  
-2.007413E-02	-2.343509E-06	+1.990820E+01	2PT  
-1.002379E-02	-2.345534E-06	+1.977930E+01	2PT  
+6.402607E-05	-2.334559E-06	+1.965625E+01	2PT  
+1.008173E-02	-2.329313E-06	+1.953418E+01	2PT  
+2.009615E-02	-2.325739E-06	+1.941113E+01	2PT  
+3.008471E-02	-2.303918E-06	+1.928613E+01	2PT  
+4.012991E-02	-2.320744E-06	+1.916504E+01	2PT  
+5.012013E-02	-2.295682E-06	+1.904004E+01	2PT  
+6.012854E-02	-2.279962E-06	+1.891699E+01	2PT  
+7.013224E-02	-2.286052E-06	+1.879199E+01	2PT  
+8.012227E-02	-2.275533E-06	+1.866797E+01	2PT  
+9.016485E-02	-2.257030E-06	+1.854590E+01	2PT  
+1.001696E-01	-2.268187E-06	+1.842188E+01	2PT  
+1.101595E-01	-2.251499E-06	+1.829785E+01	2PT  
+1.201753E-01	-2.254599E-06	+1.817578E+01	2PT  
+1.301642E-01	-2.231211E-06	+1.804590E+01	2PT  
+1.402106E-01	-2.202497E-06	+1.792578E+01	2PT  
+1.501879E-01	-2.212820E-06	+1.780176E+01	2PT  
+1.601593E-01	-2.169778E-06	+1.767969E+01	2PT  
+1.701475E-01	-2.169939E-06	+1.755566E+01	2PT  
+1.801408E-01	-2.174583E-06	+1.743262E+01	2PT  
+1.901568E-01	-2.132522E-06	+1.730469E+01	2PT  
+2.001320E-01	-2.144436E-06	+1.717969E+01	2PT  
+2.101201E-01	-2.109655E-06	+1.705762E+01	2PT  
+2.200911E-01	-2.112633E-06	+1.693359E+01	2PT  
+2.300831E-01	-2.083512E-06	+1.681152E+01	2PT  
+2.400953E-01	-2.048920E-06	+1.668848E+01	2PT  
+2.500728E-01	-2.044531E-06	+1.656445E+01	2PT  
+2.600491E-01	-2.013489E-06	+1.644141E+01	2PT  
+2.700397E-01	-1.975043E-06	+1.631836E+01	2PT  
+2.800311E-01	-1.956480E-06	+1.619434E+01	2PT  
+2.900764E-01	-1.916896E-06	+1.607227E+01	2PT  
+3.000843E-01	-1.900216E-06	+1.594434E+01	2PT  
+3.100804E-01	-1.856533E-06	+1.582031E+01	2PT  
+3.200913E-01	-1.803097E-06	+1.569629E+01	2PT  
+3.300976E-01	-1.776611E-06	+1.557227E+01	2PT  
+3.401342E-01	-1.711482E-06	+1.545020E+01	2PT  
+3.501191E-01	-1.698721E-06	+1.532031E+01	2PT  
