[[DESCRIPTION]]
CPB_105_700nm_A1.5G_12_1P_VN

[[ANALYSIS]]
EFF      	0.60**	%
FF        	87.9**	%
Voc      	200.1**	mV
Jsc       	3.42**	mA/cm2
Vmax   	190.1	mV
Jmax    	3.16	mA/cm2
Isc        	0.00030776	A
Rsc       	8894.4	Ohm
Roc      	6043.6	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001011E-01	+2.830830E-04	+2.160840E+01	2PT  
-1.901195E-01	+2.847346E-04	+2.148828E+01	2PT  
-1.801334E-01	+2.854953E-04	+2.136426E+01	2PT  
-1.701479E-01	+2.870299E-04	+2.124414E+01	2PT  
-1.601681E-01	+2.880956E-04	+2.111914E+01	2PT  
-1.501448E-01	+2.893439E-04	+2.099609E+01	2PT  
-1.401632E-01	+2.906848E-04	+2.087305E+01	2PT  
-1.301697E-01	+2.918907E-04	+2.075000E+01	2PT  
-1.201579E-01	+2.932152E-04	+2.062793E+01	2PT  
-1.101656E-01	+2.941842E-04	+2.050391E+01	2PT  
-1.001204E-01	+2.956619E-04	+2.038086E+01	2PT  
-9.011754E-02	+2.973068E-04	+2.026172E+01	2PT  
-8.010832E-02	+2.980729E-04	+2.013281E+01	2PT  
-7.010680E-02	+2.992896E-04	+2.000977E+01	2PT  
-6.007902E-02	+3.006488E-04	+1.988574E+01	2PT  
-5.007893E-02	+3.017542E-04	+1.976172E+01	2PT  
-4.007648E-02	+3.029573E-04	+1.963867E+01	2PT  
-3.007101E-02	+3.042498E-04	+1.951758E+01	2PT  
-2.006793E-02	+3.053235E-04	+1.939258E+01	2PT  
-1.002733E-02	+3.066695E-04	+1.927051E+01	2PT  
+5.153549E-05	+3.077632E-04	+1.914551E+01	2PT  
+1.004948E-02	+3.089267E-04	+1.902148E+01	2PT  
+2.004737E-02	+3.101847E-04	+1.889941E+01	2PT  
+3.005525E-02	+3.112950E-04	+1.877539E+01	2PT  
+4.010170E-02	+3.125940E-04	+1.865234E+01	2PT  
+5.010291E-02	+3.141963E-04	+1.853223E+01	2PT  
+6.010211E-02	+3.153595E-04	+1.840723E+01	2PT  
+7.010008E-02	+3.165901E-04	+1.828418E+01	2PT  
+8.010878E-02	+3.181488E-04	+1.816016E+01	2PT  
+9.014039E-02	+3.192501E-04	+1.803613E+01	2PT  
+1.001518E-01	+3.207182E-04	+1.791309E+01	2PT  
+1.101462E-01	+3.224294E-04	+1.778906E+01	2PT  
+1.201474E-01	+3.239924E-04	+1.766406E+01	2PT  
+1.301516E-01	+3.255526E-04	+1.754102E+01	2PT  
+1.401805E-01	+3.275090E-04	+1.741699E+01	2PT  
+1.501681E-01	+3.295278E-04	+1.729492E+01	2PT  
+1.601435E-01	+3.316267E-04	+1.716895E+01	2PT  
+1.701264E-01	+3.340786E-04	+1.704492E+01	2PT  
+1.801137E-01	+3.371017E-04	+1.692285E+01	2PT  
