[[DESCRIPTION]]
CPB_105_700nm_4000K_200lux_12_1P_VN

[[ANALYSIS]]
EFF      	0.02**	%
FF        	82.6**	%
Voc      	200.1**	mV
Jsc       	0.10**	mA/cm2
Vmax   	190.1	mV
Jmax    	0.08	mA/cm2
Isc        	8.5681E-6	A
Rsc       	1.4659E+5	Ohm
Roc      	80364	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000979E-01	+7.326928E-06	+2.176465E+01	2PT  
-1.900996E-01	+7.451341E-06	+2.164063E+01	2PT  
-1.801317E-01	+7.417070E-06	+2.151660E+01	2PT  
-1.701267E-01	+7.557479E-06	+2.139258E+01	2PT  
-1.601690E-01	+7.630582E-06	+2.126953E+01	2PT  
-1.501453E-01	+7.637110E-06	+2.114453E+01	2PT  
-1.401525E-01	+7.766007E-06	+2.102441E+01	2PT  
-1.301562E-01	+7.793044E-06	+2.089648E+01	2PT  
-1.201333E-01	+7.888757E-06	+2.077344E+01	2PT  
-1.101455E-01	+7.930663E-06	+2.064844E+01	2PT  
-1.001201E-01	+7.980029E-06	+2.052344E+01	2PT  
-9.010607E-02	+8.059591E-06	+2.040234E+01	2PT  
-8.010846E-02	+8.118741E-06	+2.027832E+01	2PT  
-7.010859E-02	+8.087861E-06	+2.015625E+01	2PT  
-6.008669E-02	+8.272857E-06	+2.003320E+01	2PT  
-5.007119E-02	+8.274696E-06	+1.991211E+01	2PT  
-4.008755E-02	+8.265849E-06	+1.978809E+01	2PT  
-3.004800E-02	+8.428010E-06	+1.966504E+01	2PT  
-2.005670E-02	+8.437665E-06	+1.954004E+01	2PT  
-1.000633E-02	+8.495081E-06	+1.941699E+01	2PT  
+9.235836E-05	+8.568760E-06	+1.929688E+01	2PT  
+1.007766E-02	+8.632031E-06	+1.917285E+01	2PT  
+2.008786E-02	+8.637385E-06	+1.905078E+01	2PT  
+3.008465E-02	+8.730054E-06	+1.892480E+01	2PT  
+4.012341E-02	+8.709036E-06	+1.880078E+01	2PT  
+5.012159E-02	+8.872325E-06	+1.867676E+01	2PT  
+6.013672E-02	+8.933762E-06	+1.855371E+01	2PT  
+7.012411E-02	+8.929511E-06	+1.842969E+01	2PT  
+8.016264E-02	+9.074902E-06	+1.830566E+01	2PT  
+9.016889E-02	+9.158990E-06	+1.818457E+01	2PT  
+1.001653E-01	+9.250863E-06	+1.805566E+01	2PT  
+1.101904E-01	+9.305305E-06	+1.793164E+01	2PT  
+1.201918E-01	+9.409278E-06	+1.780762E+01	2PT  
+1.301781E-01	+9.502390E-06	+1.768262E+01	2PT  
+1.402011E-01	+9.565248E-06	+1.756152E+01	2PT  
+1.501941E-01	+9.797665E-06	+1.743750E+01	2PT  
+1.601608E-01	+1.001130E-05	+1.731543E+01	2PT  
+1.701402E-01	+1.009015E-05	+1.707617E+01	2PT  
+1.801189E-01	+1.027353E-05	+1.695410E+01	2PT  
+1.901558E-01	+1.068557E-05	+1.683008E+01	2PT  
+2.001199E-01	+1.105634E-05	+1.670801E+01	2PT  
+2.101037E-01	+1.152684E-05	+1.658398E+01	2PT  
+2.201023E-01	+1.218138E-05	+1.646094E+01	2PT  
+2.300663E-01	+1.288581E-05	+1.633691E+01	2PT  
+2.400902E-01	+1.390779E-05	+1.621387E+01	2PT  
+2.500670E-01	+1.508668E-05	+1.608984E+01	2PT  
+2.600607E-01	+1.650485E-05	+1.596582E+01	2PT  
+2.700411E-01	+1.846667E-05	+1.584277E+01	2PT  
+2.800504E-01	+2.068663E-05	+1.571973E+01	2PT  
+2.900793E-01	+2.347493E-05	+1.559277E+01	2PT  
+3.000704E-01	+2.682195E-05	+1.546875E+01	2PT  
+3.100799E-01	+3.084536E-05	+1.534473E+01	2PT  
+3.200844E-01	+3.596111E-05	+1.522070E+01	2PT  
+3.301011E-01	+4.195442E-05	+1.509766E+01	2PT  
+3.401361E-01	+4.925314E-05	+1.497363E+01	2PT  
+3.501274E-01	+5.815307E-05	+1.484961E+01	2PT  
+3.601345E-01	+6.864624E-05	+1.472852E+01	2PT  
+3.701532E-01	+8.120250E-05	+1.460449E+01	2PT  
+3.801467E-01	+9.501848E-05	+1.448438E+01	2PT  
+3.901753E-01	+1.197348E-04	+1.424512E+01	2PT  
+4.001933E-01	+1.438116E-04	+1.412109E+01	2PT  
+4.101660E-01	+1.729954E-04	+1.399805E+01	2PT  
+4.201632E-01	+2.080352E-04	+1.387402E+01	2PT  
+4.301478E-01	+2.504024E-04	+1.375000E+01	2PT  
+4.401756E-01	+2.995689E-04	+1.362988E+01	2PT  
+4.501595E-01	+3.593910E-04	+1.350293E+01	2PT  
+4.601408E-01	+4.275372E-04	+1.338281E+01	2PT  
+4.701316E-01	+5.099271E-04	+1.325391E+01	2PT  
+4.801155E-01	+6.011298E-04	+1.313477E+01	2PT  
+4.901291E-01	+7.074738E-04	+1.300879E+01	2PT  
+5.001070E-01	+8.209778E-04	+1.288965E+01	2PT  
+5.101014E-01	+9.489690E-04	+1.275098E+01	2PT  
+5.200684E-01	+1.137684E-03	+1.251270E+01	2PT  
+5.300496E-01	+1.312774E-03	+1.238477E+01	2PT  
+5.400684E-01	+1.503457E-03	+1.226074E+01	2PT  
+5.500540E-01	+1.710756E-03	+1.213672E+01	2PT  
+5.600457E-01	+1.935910E-03	+1.201172E+01	2PT  
+5.700606E-01	+2.175645E-03	+1.189062E+01	2PT  
+5.800606E-01	+2.433383E-03	+1.176660E+01	2PT  
+5.900988E-01	+2.704413E-03	+1.164551E+01	2PT  
+6.001042E-01	+2.992355E-03	+1.152148E+01	2PT  
+6.101105E-01	+3.287723E-03	+1.140332E+01	2PT  
+6.201174E-01	+3.604879E-03	+1.127441E+01	2PT  
+6.301124E-01	+3.930857E-03	+1.115137E+01	2PT  
+6.401547E-01	+4.268284E-03	+1.102930E+01	2PT  
+6.501557E-01	+4.618128E-03	+1.090332E+01	2PT  
+6.601539E-01	+4.978448E-03	+1.077832E+01	2PT  
+6.701629E-01	+5.347631E-03	+1.065527E+01	2PT  
+6.801661E-01	+5.724936E-03	+1.053320E+01	2PT  
+6.902017E-01	+6.112876E-03	+1.040918E+01	2PT  
+7.001866E-01	+6.506641E-03	+1.028613E+01	2PT  
+7.101794E-01	+6.908319E-03	+1.016211E+01	2PT  
+7.201571E-01	+7.314654E-03	+1.004004E+01	2PT  
+7.301411E-01	+7.730749E-03	+9.912109E+00	2PT  
+7.401537E-01	+8.152700E-03	+9.788086E+00	2PT  
+7.501377E-01	+8.578792E-03	+9.664063E+00	2PT  
+7.601205E-01	+9.007080E-03	+9.541992E+00	2PT  
+7.701043E-01	+9.440298E-03	+9.417969E+00	2PT  
+7.800903E-01	+9.864300E-03	+9.300781E+00	2PT  
+7.900886E-01	+1.033887E-02	+9.061523E+00	2PT  
+8.000789E-01	+1.078997E-02	+8.938477E+00	2PT  
+8.100545E-01	+1.124500E-02	+8.814453E+00	2PT  
+8.200399E-01	+1.170317E-02	+8.691406E+00	2PT  
+8.300292E-01	+1.216403E-02	+8.568359E+00	2PT  
+8.400406E-01	+1.263078E-02	+8.444336E+00	2PT  
+8.500684E-01	+1.310084E-02	+8.321289E+00	2PT  
+8.600694E-01	+1.357164E-02	+8.197266E+00	2PT  
+8.700679E-01	+1.404753E-02	+8.070313E+00	2PT  
+8.800638E-01	+1.452257E-02	+7.948242E+00	2PT  
+8.901157E-01	+1.500378E-02	+7.826172E+00	2PT  
+9.001138E-01	+1.548466E-02	+7.700195E+00	2PT  
+9.101068E-01	+1.596618E-02	+7.577148E+00	2PT  
+9.201104E-01	+1.645076E-02	+7.453125E+00	2PT  
+9.301176E-01	+1.693753E-02	+7.329102E+00	2PT  
+9.401590E-01	+1.742701E-02	+7.206055E+00	2PT  
+9.501567E-01	+1.791475E-02	+7.083984E+00	2PT  
+9.601491E-01	+1.840507E-02	+6.960938E+00	2PT  
+9.701591E-01	+1.889565E-02	+6.838867E+00	2PT  
+9.801500E-01	+1.938739E-02	+6.713867E+00	2PT  
+9.901746E-01	+1.988138E-02	+6.590820E+00	2PT  
+1.000149E+00	+2.037414E-02	+6.466797E+00	2PT  
+1.010131E+00	+2.086677E-02	+6.344727E+00	2PT  
+1.020119E+00	+2.136111E-02	+6.221680E+00	2PT  
+1.030105E+00	+2.185490E-02	+6.099609E+00	2PT  
+1.040123E+00	+2.235105E-02	+5.980469E+00	2PT  
+1.050099E+00	+2.284334E-02	+5.859375E+00	2PT  
+1.060088E+00	+2.333762E-02	+5.736328E+00	2PT  
+1.070071E+00	+2.383132E-02	+5.612305E+00	2PT  
+1.080051E+00	+2.432293E-02	+5.490234E+00	2PT  
+1.090062E+00	+2.481631E-02	+5.365234E+00	2PT  
+1.100053E+00	+2.530769E-02	+5.237305E+00	2PT  
+1.110032E+00	+2.579679E-02	+5.113281E+00	2PT  
+1.120046E+00	+2.628764E-02	+4.988281E+00	2PT  
+1.130037E+00	+2.677525E-02	+4.868164E+00	2PT  
+1.140081E+00	+2.726395E-02	+4.743164E+00	2PT  
+1.150083E+00	+2.774934E-02	+4.620117E+00	2PT  
+1.160090E+00	+2.823130E-02	+4.500000E+00	2PT  
+1.170095E+00	+2.871007E-02	+4.374023E+00	2PT  
+1.180086E+00	+2.918744E-02	+4.250977E+00	2PT  
+1.190119E+00	+2.966055E-02	+4.128906E+00	2PT  
+1.200115E+00	+3.013001E-02	+4.003906E+00	2PT  
+1.210142E+00	+3.059693E-02	+3.880859E+00	2PT  
+1.220121E+00	+3.105428E-02	+3.759766E+00	2PT  
+1.230131E+00	+3.150903E-02	+3.635742E+00	2PT  
+1.240162E+00	+3.195723E-02	+3.513672E+00	2PT  
+1.250167E+00	+3.239531E-02	+3.390625E+00	2PT  
+1.260153E+00	+3.282388E-02	+3.266602E+00	2PT  
+1.270131E+00	+3.324346E-02	+3.142578E+00	2PT  
+1.280163E+00	+3.364719E-02	+3.020508E+00	2PT  
+1.290145E+00	+3.403968E-02	+2.896484E+00	2PT  
+1.300113E+00	+3.441324E-02	+2.773438E+00	2PT  
+1.310107E+00	+3.476232E-02	+2.651367E+00	2PT  
+1.320093E+00	+3.508491E-02	+2.526367E+00	2PT  
+1.330099E+00	+3.536169E-02	+2.397461E+00	2PT  
+1.340079E+00	+3.560694E-02	+2.273438E+00	2PT  
+1.350061E+00	+3.578309E-02	+2.147461E+00	2PT  
+1.360035E+00	+3.588613E-02	+2.024414E+00	2PT  
+1.370038E+00	+3.588250E-02	+1.903320E+00	2PT  
+1.380047E+00	+3.565829E-02	+1.775391E+00	2PT  
+1.390034E+00	+3.517627E-02	+1.657227E+00	2PT  
+1.400048E+00	+3.377130E-02	+1.521484E+00	2PT  


[[PARAMS]]
DeviceArea=9.0000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=1.0000000000E+2
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

