[[DESCRIPTION]]
CPB_106_SE_500nm_04_1P_2700K_200_lux_lights_off

[[ANALYSIS]]
EFF      	2.35	%
FF        	49.8	%
Voc      	1140.1	mV
Jsc       	0.09	mA/cm2
Vmax   	820.0	mV
Jmax    	0.06	mA/cm2
Isc        	8.003442E-6	A
Rsc       	7.3722E+5	Ohm
Roc      	15349	Ohm
A          	0.089	cm2
Incd. Pwr	2.171	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001183E-01	-8.204650E-06	+2.234766E+01	2PT  
-1.901264E-01	-8.210960E-06	+2.222656E+01	2PT  
-1.801509E-01	-8.196769E-06	+2.210254E+01	2PT  
-1.701560E-01	-8.151185E-06	+2.198047E+01	2PT  
-1.601744E-01	-8.120021E-06	+2.185254E+01	2PT  
-1.501586E-01	-8.143617E-06	+2.172852E+01	2PT  
-1.401726E-01	-8.141721E-06	+2.160645E+01	2PT  
-1.301779E-01	-8.084968E-06	+2.148438E+01	2PT  
-1.201863E-01	-8.106394E-06	+2.136035E+01	2PT  
-1.101865E-01	-8.139802E-06	+2.123633E+01	2PT  
-1.001375E-01	-8.064456E-06	+2.111523E+01	2PT  
-9.013312E-02	-8.051228E-06	+2.098828E+01	2PT  
-8.012149E-02	-8.027525E-06	+2.086426E+01	2PT  
-7.013281E-02	-8.040860E-06	+2.074023E+01	2PT  
-6.009569E-02	-8.049609E-06	+2.061621E+01	2PT  
-5.010019E-02	-8.051657E-06	+2.049219E+01	2PT  
-4.008779E-02	-8.039718E-06	+2.036914E+01	2PT  
-3.010651E-02	-8.049199E-06	+2.024609E+01	2PT  
-2.009550E-02	-8.045327E-06	+2.012305E+01	2PT  
-1.003865E-02	-8.016185E-06	+2.000098E+01	2PT  
+6.318986E-05	-8.003362E-06	+1.987598E+01	2PT  
+1.007330E-02	-8.044020E-06	+1.975195E+01	2PT  
+2.008670E-02	-7.979352E-06	+1.962891E+01	2PT  
+3.009422E-02	-7.962237E-06	+1.950488E+01	2PT  
+4.013849E-02	-7.983126E-06	+1.937988E+01	2PT  
+5.012034E-02	-7.999592E-06	+1.925684E+01	2PT  
+6.013043E-02	-7.968592E-06	+1.913477E+01	2PT  
+7.012632E-02	-7.960052E-06	+1.901074E+01	2PT  
+8.011641E-02	-7.973229E-06	+1.888867E+01	2PT  
+9.015437E-02	-7.974308E-06	+1.876367E+01	2PT  
+1.001667E-01	-7.899275E-06	+1.864063E+01	2PT  
+1.101682E-01	-7.896060E-06	+1.851855E+01	2PT  
+1.201597E-01	-7.942046E-06	+1.839551E+01	2PT  
+1.301835E-01	-7.873967E-06	+1.827344E+01	2PT  
+1.401880E-01	-7.858625E-06	+1.815039E+01	2PT  
+1.501873E-01	-7.867992E-06	+1.802832E+01	2PT  
+1.601706E-01	-7.841500E-06	+1.790527E+01	2PT  
+1.701422E-01	-7.812055E-06	+1.778320E+01	2PT  
+1.801443E-01	-7.770012E-06	+1.766113E+01	2PT  
+1.901757E-01	-7.758198E-06	+1.753809E+01	2PT  
+2.001237E-01	-7.767261E-06	+1.741504E+01	2PT  
+2.101115E-01	-7.746283E-06	+1.729199E+01	2PT  
+2.200952E-01	-7.705034E-06	+1.716895E+01	2PT  
+2.300839E-01	-7.724740E-06	+1.704883E+01	2PT  
+2.401037E-01	-7.658036E-06	+1.692676E+01	2PT  
+2.500867E-01	-7.670105E-06	+1.680176E+01	2PT  
+2.600662E-01	-7.672779E-06	+1.667969E+01	2PT  
+2.700399E-01	-7.648808E-06	+1.655566E+01	2PT  
+2.800529E-01	-7.581400E-06	+1.643164E+01	2PT  
+2.900690E-01	-7.569445E-06	+1.630957E+01	2PT  
+3.000756E-01	-7.591288E-06	+1.618555E+01	2PT  
+3.101007E-01	-7.524086E-06	+1.606348E+01	2PT  
+3.200975E-01	-7.480927E-06	+1.593945E+01	2PT  
+3.300954E-01	-7.514341E-06	+1.581543E+01	2PT  
+3.401460E-01	-7.462368E-06	+1.569238E+01	2PT  
+3.501334E-01	-7.427379E-06	+1.556738E+01	2PT  
+3.601381E-01	-7.404583E-06	+1.544238E+01	2PT  
+3.701413E-01	-7.402032E-06	+1.532227E+01	2PT  
+3.801393E-01	-7.381015E-06	+1.519727E+01	2PT  
+3.901870E-01	-7.320392E-06	+1.507520E+01	2PT  
+4.001719E-01	-7.292157E-06	+1.495117E+01	2PT  
+4.101847E-01	-7.294766E-06	+1.482910E+01	2PT  
+4.201719E-01	-7.221242E-06	+1.470410E+01	2PT  
+4.301457E-01	-7.223136E-06	+1.458398E+01	2PT  
+4.401613E-01	-7.223453E-06	+1.445898E+01	2PT  
+4.501599E-01	-7.148697E-06	+1.433496E+01	2PT  
+4.601545E-01	-7.095459E-06	+1.421191E+01	2PT  
+4.701166E-01	-7.124496E-06	+1.408984E+01	2PT  
+4.801136E-01	-7.073938E-06	+1.396582E+01	2PT  
+4.901331E-01	-6.993941E-06	+1.384375E+01	2PT  
+5.001076E-01	-7.002953E-06	+1.372070E+01	2PT  
+5.100912E-01	-6.996521E-06	+1.359570E+01	2PT  
+5.200879E-01	-6.902515E-06	+1.347559E+01	2PT  
+5.300525E-01	-6.891270E-06	+1.334863E+01	2PT  
+5.400745E-01	-6.853053E-06	+1.322559E+01	2PT  
+5.500520E-01	-6.861304E-06	+1.310156E+01	2PT  
+5.600749E-01	-6.786944E-06	+1.297754E+01	2PT  
+5.700785E-01	-6.723008E-06	+1.285547E+01	2PT  
+5.800719E-01	-6.710970E-06	+1.272852E+01	2PT  
+5.901042E-01	-6.659765E-06	+1.260449E+01	2PT  
+6.000949E-01	-6.670432E-06	+1.248145E+01	2PT  
+6.101164E-01	-6.582216E-06	+1.235937E+01	2PT  
+6.201160E-01	-6.520391E-06	+1.223535E+01	2PT  
+6.300975E-01	-6.544676E-06	+1.211230E+01	2PT  
+6.401451E-01	-6.454053E-06	+1.199023E+01	2PT  
+6.501596E-01	-6.382831E-06	+1.186719E+01	2PT  
+6.601492E-01	-6.388985E-06	+1.174316E+01	2PT  
+6.701626E-01	-6.344358E-06	+1.161914E+01	2PT  
+6.801651E-01	-6.289647E-06	+1.149414E+01	2PT  
+6.902127E-01	-6.247514E-06	+1.137207E+01	2PT  
+7.001833E-01	-6.231130E-06	+1.124805E+01	2PT  
+7.101609E-01	-6.209138E-06	+1.112305E+01	2PT  
+7.201505E-01	-6.073862E-06	+1.099902E+01	2PT  
+7.301428E-01	-6.020519E-06	+1.087695E+01	2PT  
+7.401423E-01	-6.006400E-06	+1.075488E+01	2PT  
+7.501394E-01	-5.949505E-06	+1.062793E+01	2PT  
+7.601260E-01	-5.891096E-06	+1.050391E+01	2PT  
+7.700931E-01	-5.820034E-06	+1.037988E+01	2PT  
+7.800863E-01	-5.743368E-06	+1.025586E+01	2PT  
+7.900926E-01	-5.727310E-06	+1.013477E+01	2PT  
+8.000674E-01	-5.637164E-06	+1.001074E+01	2PT  
+8.100572E-01	-5.585893E-06	+9.888672E+00	2PT  
+8.200473E-01	-5.543571E-06	+9.765625E+00	2PT  
+8.300341E-01	-5.448160E-06	+9.643555E+00	2PT  
+8.400548E-01	-5.371763E-06	+9.520508E+00	2PT  
+8.500614E-01	-5.323988E-06	+9.397461E+00	2PT  
+8.600764E-01	-5.191672E-06	+9.273438E+00	2PT  
+8.700967E-01	-5.128119E-06	+9.149414E+00	2PT  
+8.800706E-01	-5.077746E-06	+9.024414E+00	2PT  
+8.901157E-01	-4.973477E-06	+8.905273E+00	2PT  
+9.001167E-01	-4.926478E-06	+8.778320E+00	2PT  
+9.101150E-01	-4.832827E-06	+8.655273E+00	2PT  
+9.201232E-01	-4.722866E-06	+8.528320E+00	2PT  
+9.301291E-01	-4.655151E-06	+8.404297E+00	2PT  
+9.401575E-01	-4.577216E-06	+8.281250E+00	2PT  
+9.501695E-01	-4.467788E-06	+8.158203E+00	2PT  
+9.601647E-01	-4.369215E-06	+8.035156E+00	2PT  
+9.701744E-01	-4.281861E-06	+7.913086E+00	2PT  
+9.801567E-01	-4.113816E-06	+7.791016E+00	2PT  
+9.901816E-01	-4.027308E-06	+7.666992E+00	2PT  
+1.000134E+00	-3.926226E-06	+7.542969E+00	2PT  
+1.010159E+00	-3.772541E-06	+7.419922E+00	2PT  
+1.020142E+00	-3.617237E-06	+7.296875E+00	2PT  
+1.030113E+00	-3.461589E-06	+7.174805E+00	2PT  
+1.040126E+00	-3.267362E-06	+7.051758E+00	2PT  
+1.050133E+00	-3.062587E-06	+6.927734E+00	2PT  
+1.060095E+00	-2.854285E-06	+6.805664E+00	2PT  
+1.070085E+00	-2.581929E-06	+6.681641E+00	2PT  
+1.080079E+00	-2.321776E-06	+6.557617E+00	2PT  
+1.090078E+00	-2.019802E-06	+6.433594E+00	2PT  
+1.100053E+00	-1.676315E-06	+6.310547E+00	2PT  
+1.110057E+00	-1.213927E-06	+6.188477E+00	2PT  
+1.120063E+00	-7.045001E-07	+6.041992E+00	2PT  
+1.130029E+00	-5.725871E-07	+5.693359E+00	2PT  
+1.140118E+00	-1.298667E-09	+5.568359E+00	2PT  
+1.150037E+00	+7.305350E-07	+5.449219E+00	2PT  
+1.160116E+00	+1.431047E-06	+5.213867E+00	2PT  
+1.170102E+00	+1.509789E-06	+4.743164E+00	2PT  
+1.180081E+00	+2.387871E-06	+4.618164E+00	2PT  
+1.190148E+00	+3.496165E-06	+4.495117E+00	2PT  
+1.200137E+00	+4.850279E-06	+4.372070E+00	2PT  
+1.210136E+00	+6.532851E-06	+4.248047E+00	2PT  
+1.220162E+00	+8.841318E-06	+4.127930E+00	2PT  
+1.230152E+00	+1.120691E-05	+3.890625E+00	2PT  
+1.240182E+00	+1.472407E-05	+3.766602E+00	2PT  
+1.250190E+00	+1.939452E-05	+3.643555E+00	2PT  
+1.260179E+00	+2.576290E-05	+3.521484E+00	2PT  
+1.270160E+00	+3.454854E-05	+3.397461E+00	2PT  
+1.280188E+00	+4.687148E-05	+3.272461E+00	2PT  
+1.290168E+00	+6.435034E-05	+3.147461E+00	2PT  
+1.300153E+00	+8.925494E-05	+3.027344E+00	2PT  
+1.310126E+00	+1.387736E-04	+2.788086E+00	2PT  
+1.320106E+00	+1.953586E-04	+2.666016E+00	2PT  
+1.330104E+00	+2.760376E-04	+2.541992E+00	2PT  
+1.340101E+00	+3.847856E-04	+2.423828E+00	2PT  
+1.350091E+00	+5.427386E-04	+2.282227E+00	2PT  
+1.360082E+00	+7.341942E-04	+2.146484E+00	2PT  
+1.370059E+00	+1.055214E-03	+1.907227E+00	2PT  
+1.380060E+00	+1.266809E-03	+1.785156E+00	2PT  
+1.390057E+00	+1.478698E-03	+1.666016E+00	2PT  
+1.400066E+00	+1.676240E-03	+1.516602E+00	2PT  


[[PARAMS]]
DeviceArea=8.9000000000E-2
Slope neighborhood=1.0000000000E+0
LateralCorrectionFactor=1.0000000000E+0
Sample thickness=5.0000000000E+2
IncidentSpectrum=2.1710000000E+0
FourProbeSpacing=2.2900000000E+3
Max flicker=5.0000000000E+0
IdCrappyFit=TRUE
TemperatureK=3.0000000000E+2

