[[DESCRIPTION]]
CPB_106_SE_500nm_04_1P_4000K_1000_lux_lights_off

[[ANALYSIS]]
EFF      	7.51	%
FF        	56.9	%
Voc      	1261.2	mV
Jsc       	0.39	mA/cm2
Vmax   	1000.1	mV
Jmax    	0.28	mA/cm2
Isc        	3.468977E-5	A
Rsc       	1.4053E+5	Ohm
Roc      	2789.5	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001317E-01	-3.438533E-05	+2.228027E+01	2PT  
-1.901187E-01	-3.426009E-05	+2.215820E+01	2PT  
-1.801520E-01	-3.417524E-05	+2.203418E+01	2PT  
-1.701789E-01	-3.438410E-05	+2.191113E+01	2PT  
-1.601956E-01	-3.494714E-05	+2.178711E+01	2PT  
-1.501446E-01	-3.498014E-05	+2.166211E+01	2PT  
-1.401682E-01	-3.409150E-05	+2.154004E+01	2PT  
-1.301626E-01	-3.424449E-05	+2.141602E+01	2PT  
-1.201713E-01	-3.491711E-05	+2.129297E+01	2PT  
-1.101751E-01	-3.405625E-05	+2.116992E+01	2PT  
-1.001362E-01	-3.422178E-05	+2.104590E+01	2PT  
-9.014823E-02	-3.440007E-05	+2.092285E+01	2PT  
-8.012787E-02	-3.491557E-05	+2.079785E+01	2PT  
-7.011172E-02	-3.416308E-05	+2.067480E+01	2PT  
-6.008211E-02	-3.427644E-05	+2.055273E+01	2PT  
-5.008302E-02	-3.496727E-05	+2.042969E+01	2PT  
-4.007927E-02	-3.416792E-05	+2.030762E+01	2PT  
-3.007504E-02	-3.450847E-05	+2.017773E+01	2PT  
-2.008057E-02	-3.445796E-05	+2.005859E+01	2PT  
-1.002786E-02	-3.399224E-05	+1.993750E+01	2PT  
+8.485574E-05	-3.469567E-05	+1.980859E+01	2PT  
+1.007998E-02	-3.412456E-05	+1.968457E+01	2PT  
+2.007918E-02	-3.407732E-05	+1.956250E+01	2PT  
+3.004096E-02	-3.441787E-05	+1.943848E+01	2PT  
+4.013266E-02	-3.398637E-05	+1.931543E+01	2PT  
+5.014280E-02	-3.387231E-05	+1.919141E+01	2PT  
+6.013529E-02	-3.399664E-05	+1.906836E+01	2PT  
+7.007128E-02	-3.427473E-05	+1.894336E+01	2PT  
+8.014033E-02	-3.366820E-05	+1.882227E+01	2PT  
+9.020659E-02	-3.371494E-05	+1.869824E+01	2PT  
+1.001812E-01	-3.416907E-05	+1.857617E+01	2PT  
+1.101724E-01	-3.400038E-05	+1.845215E+01	2PT  
+1.201793E-01	-3.365682E-05	+1.832813E+01	2PT  
+1.301655E-01	-3.389353E-05	+1.820605E+01	2PT  
+1.402054E-01	-3.370526E-05	+1.807617E+01	2PT  
+1.501876E-01	-3.447384E-05	+1.795605E+01	2PT  
+1.601774E-01	-3.378517E-05	+1.783203E+01	2PT  
+1.701474E-01	-3.367338E-05	+1.770898E+01	2PT  
+1.800760E-01	-3.402289E-05	+1.758594E+01	2PT  
+1.901461E-01	-3.377083E-05	+1.746289E+01	2PT  
+2.001265E-01	-3.353989E-05	+1.733984E+01	2PT  
+2.101030E-01	-3.348492E-05	+1.721191E+01	2PT  
+2.201002E-01	-3.346496E-05	+1.708691E+01	2PT  
+2.300936E-01	-3.396867E-05	+1.696582E+01	2PT  
+2.401030E-01	-3.391006E-05	+1.684180E+01	2PT  
+2.501113E-01	-3.331761E-05	+1.671875E+01	2PT  
+2.600966E-01	-3.334483E-05	+1.659473E+01	2PT  
