[[DESCRIPTION]]
CPB_106_SE_500nm_04_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	3.03	%
FF        	62.3	%
Voc      	1303.4	mV
Jsc       	3.74	mA/cm2
Vmax   	1070.1	mV
Jmax    	2.83	mA/cm2
Isc        	0.000333	A
Rsc       	38412	Ohm
Roc      	132.69	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001011E-01	-3.399296E-04	+2.205859E+01	2PT  
-1.901344E-01	-3.395736E-04	+2.193457E+01	2PT  
-1.801497E-01	-3.393690E-04	+2.180762E+01	2PT  
-1.701606E-01	-3.386700E-04	+2.168750E+01	2PT  
-1.601772E-01	-3.384624E-04	+2.156152E+01	2PT  
-1.501555E-01	-3.382489E-04	+2.143750E+01	2PT  
-1.401694E-01	-3.380070E-04	+2.131445E+01	2PT  
-1.301666E-01	-3.375761E-04	+2.119336E+01	2PT  
-1.201805E-01	-3.371688E-04	+2.106836E+01	2PT  
-1.101728E-01	-3.367509E-04	+2.094629E+01	2PT  
-1.001354E-01	-3.364882E-04	+2.082227E+01	2PT  
-9.012656E-02	-3.359719E-04	+2.069922E+01	2PT  
-8.012644E-02	-3.356445E-04	+2.057617E+01	2PT  
-7.012368E-02	-3.354495E-04	+2.045215E+01	2PT  
-6.008837E-02	-3.348985E-04	+2.032910E+01	2PT  
-5.008894E-02	-3.345356E-04	+2.020703E+01	2PT  
-4.007700E-02	-3.340883E-04	+2.008301E+01	2PT  
-3.008577E-02	-3.337400E-04	+1.995898E+01	2PT  
-2.008143E-02	-3.332582E-04	+1.983496E+01	2PT  
-1.004366E-02	-3.330657E-04	+1.971387E+01	2PT  
+7.902223E-05	-3.327323E-04	+1.958594E+01	2PT  
+1.008080E-02	-3.325429E-04	+1.946289E+01	2PT  
+2.008839E-02	-3.320824E-04	+1.933887E+01	2PT  
+3.009096E-02	-3.315764E-04	+1.921484E+01	2PT  
+4.013438E-02	-3.312169E-04	+1.909082E+01	2PT  
+5.012774E-02	-3.310024E-04	+1.896582E+01	2PT  
+6.013231E-02	-3.303993E-04	+1.884473E+01	2PT  
+7.013223E-02	-3.302333E-04	+1.872168E+01	2PT  
+8.013438E-02	-3.298541E-04	+1.859766E+01	2PT  
+9.017076E-02	-3.293445E-04	+1.847559E+01	2PT  
+1.001640E-01	-3.289540E-04	+1.835156E+01	2PT  
+1.101724E-01	-3.285493E-04	+1.822949E+01	2PT  
+1.201688E-01	-3.280354E-04	+1.810449E+01	2PT  
+1.301840E-01	-3.279934E-04	+1.797754E+01	2PT  
+1.402055E-01	-3.273317E-04	+1.785742E+01	2PT  
+1.501804E-01	-3.271010E-04	+1.773340E+01	2PT  
+1.601725E-01	-3.265364E-04	+1.761035E+01	2PT  
+1.701525E-01	-3.259975E-04	+1.748730E+01	2PT  
+1.801467E-01	-3.258376E-04	+1.736426E+01	2PT  
+1.901551E-01	-3.252673E-04	+1.724121E+01	2PT  
+2.001343E-01	-3.249757E-04	+1.711621E+01	2PT  
+2.101100E-01	-3.243921E-04	+1.699609E+01	2PT  
+2.201044E-01	-3.242111E-04	+1.686914E+01	2PT  
+2.300880E-01	-3.237686E-04	+1.674902E+01	2PT  
+2.400898E-01	-3.233103E-04	+1.662500E+01	2PT  
+2.500777E-01	-3.228347E-04	+1.650195E+01	2PT  
+2.600634E-01	-3.224679E-04	+1.637891E+01	2PT  
+2.700454E-01	-3.219666E-04	+1.625586E+01	2PT  
+2.800429E-01	-3.217135E-04	+1.613477E+01	2PT  
+2.900870E-01	-3.209785E-04	+1.601367E+01	2PT  
+3.000922E-01	-3.206302E-04	+1.588965E+01	2PT  
+3.101008E-01	-3.199828E-04	+1.576660E+01	2PT  
+3.200957E-01	-3.194035E-04	+1.564355E+01	2PT  
+3.300927E-01	-3.188429E-04	+1.552148E+01	2PT  
+3.401370E-01	-3.183910E-04	+1.539648E+01	2PT  
+3.501348E-01	-3.176364E-04	+1.527637E+01	2PT  
+3.601329E-01	-3.172448E-04	+1.515039E+01	2PT  
+3.701349E-01	-3.166984E-04	+1.502539E+01	2PT  
+3.801437E-01	-3.161028E-04	+1.490332E+01	2PT  
+3.901817E-01	-3.155544E-04	+1.477832E+01	2PT  
+4.001820E-01	-3.148005E-04	+1.465625E+01	2PT  
+4.101828E-01	-3.144936E-04	+1.453223E+01	2PT  
+4.201703E-01	-3.139756E-04	+1.440820E+01	2PT  
+4.301596E-01	-3.134597E-04	+1.428613E+01	2PT  
+4.401815E-01	-3.129572E-04	+1.416113E+01	2PT  
+4.501656E-01	-3.123913E-04	+1.403711E+01	2PT  
