[[DESCRIPTION]]
CPB_106_SE_500nm_05_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	0.04	%
FF        	23.5	%
Voc      	55.3	mV
Jsc       	2.81	mA/cm2
Vmax   	30.1	mV
Jmax    	1.21	mA/cm2
Isc        	0.000250	A
Rsc       	218.64	Ohm
Roc      	203.1	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001091E-01	-1.099884E-03	+2.238770E+01	2PT  
-1.901192E-01	-1.053448E-03	+2.226758E+01	2PT  
-1.801606E-01	-1.026208E-03	+2.192285E+01	2PT  
-1.701756E-01	-9.835833E-04	+2.179883E+01	2PT  
-1.601833E-01	-9.410204E-04	+2.167578E+01	2PT  
-1.501673E-01	-8.988468E-04	+2.155078E+01	2PT  
-1.401802E-01	-8.562332E-04	+2.142969E+01	2PT  
-1.301964E-01	-8.137019E-04	+2.130371E+01	2PT  
-1.201806E-01	-7.710978E-04	+2.117969E+01	2PT  
-1.101838E-01	-7.287542E-04	+2.105469E+01	2PT  
-1.001495E-01	-6.858469E-04	+2.093164E+01	2PT  
-9.013634E-02	-6.432630E-04	+2.080859E+01	2PT  
-8.013195E-02	-6.007498E-04	+2.068457E+01	2PT  
-7.013072E-02	-5.577206E-04	+2.056152E+01	2PT  
-6.009677E-02	-5.148737E-04	+2.043652E+01	2PT  
-5.008891E-02	-4.714786E-04	+2.031543E+01	2PT  
-4.009096E-02	-4.282387E-04	+2.019141E+01	2PT  
-3.008990E-02	-3.839615E-04	+2.007031E+01	2PT  
-2.007814E-02	-3.399614E-04	+1.994727E+01	2PT  
-1.003949E-02	-2.951659E-04	+1.982324E+01	2PT  
+8.568921E-05	-2.494262E-04	+1.969824E+01	2PT  
+1.008831E-02	-2.030901E-04	+1.957617E+01	2PT  
+2.008844E-02	-1.566733E-04	+1.944629E+01	2PT  
+3.008688E-02	-1.076142E-04	+1.932617E+01	2PT  
+4.012036E-02	-7.295868E-05	+1.897852E+01	2PT  
+5.011762E-02	-2.537357E-05	+1.885449E+01	2PT  
+6.013282E-02	+2.397032E-05	+1.873242E+01	2PT  
+7.014827E-02	+7.457079E-05	+1.860059E+01	2PT  
+8.012792E-02	+1.203193E-04	+1.835352E+01	2PT  
+9.017677E-02	+1.471501E-04	+1.788281E+01	2PT  
+1.001765E-01	+1.950974E-04	+1.775977E+01	2PT  
+1.101876E-01	+2.441427E-04	+1.763867E+01	2PT  
+1.201855E-01	+2.938874E-04	+1.751465E+01	2PT  
+1.301909E-01	+3.439627E-04	+1.739160E+01	2PT  
+1.402021E-01	+3.949635E-04	+1.726855E+01	2PT  
+1.501984E-01	+4.473002E-04	+1.714551E+01	2PT  
+1.601794E-01	+5.001312E-04	+1.702148E+01	2PT  
+1.701623E-01	+5.535420E-04	+1.689844E+01	2PT  
+1.801536E-01	+6.079053E-04	+1.677441E+01	2PT  
+1.901717E-01	+6.633981E-04	+1.665039E+01	2PT  
+2.001490E-01	+7.204378E-04	+1.652832E+01	2PT  
+2.101312E-01	+7.780824E-04	+1.640527E+01	2PT  
+2.201165E-01	+8.374696E-04	+1.628320E+01	2PT  
+2.301040E-01	+8.970235E-04	+1.615918E+01	2PT  
+2.401138E-01	+9.600985E-04	+1.603906E+01	2PT  
+2.500953E-01	+1.013448E-03	+1.579980E+01	2PT  
+2.600680E-01	+1.075908E-03	+1.567969E+01	2PT  
+2.700563E-01	+1.139101E-03	+1.555273E+01	2PT  
+2.800626E-01	+1.204059E-03	+1.542871E+01	2PT  
+2.900934E-01	+1.269952E-03	+1.530176E+01	2PT  
+3.001087E-01	+1.338006E-03	+1.517871E+01	2PT  
+3.100999E-01	+1.405681E-03	+1.505566E+01	2PT  
+3.201045E-01	+1.475369E-03	+1.493164E+01	2PT  
+3.301088E-01	+1.546479E-03	+1.480664E+01	2PT  
+3.401453E-01	+1.619580E-03	+1.468652E+01	2PT  
+3.501376E-01	+1.694131E-03	+1.456348E+01	2PT  
+3.601421E-01	+1.769958E-03	+1.444141E+01	2PT  
+3.701434E-01	+1.846629E-03	+1.431836E+01	2PT  
+3.801493E-01	+1.924568E-03	+1.419629E+01	2PT  
+3.901899E-01	+2.004342E-03	+1.407227E+01	2PT  
+4.001931E-01	+2.085651E-03	+1.394922E+01	2PT  
+4.101948E-01	+2.168568E-03	+1.382520E+01	2PT  
+4.201869E-01	+2.252021E-03	+1.370215E+01	2PT  
+4.301736E-01	+2.338805E-03	+1.357715E+01	2PT  
+4.401857E-01	+2.426341E-03	+1.345703E+01	2PT  
+4.501772E-01	+2.515770E-03	+1.333203E+01	2PT  
+4.601554E-01	+2.607177E-03	+1.320898E+01	2PT  
+4.701405E-01	+2.699099E-03	+1.308594E+01	2PT  
+4.801242E-01	+2.795314E-03	+1.296387E+01	2PT  
+4.901357E-01	+2.890203E-03	+1.283984E+01	2PT  
+5.001101E-01	+2.988464E-03	+1.271777E+01	2PT  
+5.100938E-01	+3.087651E-03	+1.259082E+01	2PT  
+5.200983E-01	+3.188934E-03	+1.246777E+01	2PT  
+5.300726E-01	+3.293267E-03	+1.234277E+01	2PT  
+5.400915E-01	+3.398531E-03	+1.221973E+01	2PT  
+5.500740E-01	+3.506047E-03	+1.209766E+01	2PT  
+5.600791E-01	+3.613104E-03	+1.197266E+01	2PT  
