[[DESCRIPTION]]
CPB_106_SE_500nm_06_1P_4000K_1000_lux

[[ANALYSIS]]
EFF      	10.89	%
FF        	63.3	%
Voc      	1250.8	mV
Jsc       	0.51	mA/cm2
Vmax   	1020.1	mV
Jmax    	0.40	mA/cm2
Isc        	4.561280E-5	A
Rsc       	57179	Ohm
Roc      	1699.8	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.000254E-01	-4.555671E-05	+2.254004E+01	2PT  
-1.901518E-01	-4.530481E-05	+2.241211E+01	2PT  
-1.801715E-01	-4.596423E-05	+2.229004E+01	2PT  
-1.701738E-01	-4.592155E-05	+2.216602E+01	2PT  
-1.601894E-01	-4.518961E-05	+2.204297E+01	2PT  
-1.501416E-01	-4.528990E-05	+2.191895E+01	2PT  
-1.401804E-01	-4.611096E-05	+2.179590E+01	2PT  
-1.301825E-01	-4.529411E-05	+2.167187E+01	2PT  
-1.201475E-01	-4.499349E-05	+2.154785E+01	2PT  
-1.101607E-01	-4.506142E-05	+2.142285E+01	2PT  
-1.001506E-01	-4.609165E-05	+2.130176E+01	2PT  
-9.014602E-02	-4.604740E-05	+2.117676E+01	2PT  
-8.015616E-02	-4.524775E-05	+2.105566E+01	2PT  
-7.017368E-02	-4.549732E-05	+2.093164E+01	2PT  
-6.008659E-02	-4.575010E-05	+2.080859E+01	2PT  
-5.009718E-02	-4.500727E-05	+2.068555E+01	2PT  
-4.007617E-02	-4.521720E-05	+2.056250E+01	2PT  
-3.007169E-02	-4.530889E-05	+2.044043E+01	2PT  
-2.008225E-02	-4.494351E-05	+2.031641E+01	2PT  
-1.000954E-02	-4.517149E-05	+2.019434E+01	2PT  
+4.985809E-05	-4.561500E-05	+2.007031E+01	2PT  
+1.011163E-02	-4.481083E-05	+1.994922E+01	2PT  
+2.009843E-02	-4.520078E-05	+1.982031E+01	2PT  
+3.006851E-02	-4.529876E-05	+1.970020E+01	2PT  
+4.014783E-02	-4.510547E-05	+1.957324E+01	2PT  
+5.011126E-02	-4.519943E-05	+1.944824E+01	2PT  
+6.011539E-02	-4.479251E-05	+1.932617E+01	2PT  
+7.015361E-02	-4.465125E-05	+1.920215E+01	2PT  
+8.009463E-02	-4.503440E-05	+1.907910E+01	2PT  
+9.015822E-02	-4.559054E-05	+1.895508E+01	2PT  
+1.001683E-01	-4.480446E-05	+1.883105E+01	2PT  
+1.101846E-01	-4.466826E-05	+1.870801E+01	2PT  
+1.201918E-01	-4.491888E-05	+1.858398E+01	2PT  
+1.301793E-01	-4.547180E-05	+1.845996E+01	2PT  
+1.402121E-01	-4.477363E-05	+1.833594E+01	2PT  
+1.501990E-01	-4.465146E-05	+1.820996E+01	2PT  
+1.601414E-01	-4.467481E-05	+1.808984E+01	2PT  
+1.700929E-01	-4.496852E-05	+1.796484E+01	2PT  
+1.801492E-01	-4.516840E-05	+1.784082E+01	2PT  
+1.901701E-01	-4.428147E-05	+1.771777E+01	2PT  
+2.001599E-01	-4.436974E-05	+1.759375E+01	2PT  
+2.101011E-01	-4.501412E-05	+1.747070E+01	2PT  
+2.201086E-01	-4.463645E-05	+1.734668E+01	2PT  
+2.300968E-01	-4.408508E-05	+1.722266E+01	2PT  
+2.401223E-01	-4.423254E-05	+1.709863E+01	2PT  
+2.500891E-01	-4.420194E-05	+1.697266E+01	2PT  
+2.600790E-01	-4.440459E-05	+1.685254E+01	2PT  
+2.700616E-01	-4.392561E-05	+1.672754E+01	2PT  
+2.800607E-01	-4.388590E-05	+1.660352E+01	2PT  
+2.901120E-01	-4.411561E-05	+1.647949E+01	2PT  
+3.000945E-01	-4.467994E-05	+1.635547E+01	2PT  
+3.101021E-01	-4.407507E-05	+1.623145E+01	2PT  
+3.201063E-01	-4.406895E-05	+1.610547E+01	2PT  
+3.300928E-01	-4.389606E-05	+1.598438E+01	2PT  
