[[DESCRIPTION]]
CPB_106_SE_500nm_06_1P_4000K_1000_lux_higher_elevation

[[ANALYSIS]]
EFF      	6.82	%
FF        	63.7	%
Voc      	1214.2	mV
Jsc       	0.33	mA/cm2
Vmax   	990.2	mV
Jmax    	0.26	mA/cm2
Isc        	2.922945E-5	A
Rsc       	83349	Ohm
Roc      	2474.1	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001187E-01	-2.949191E-05	+2.183789E+01	2PT  
-1.900968E-01	-2.952469E-05	+2.171387E+01	2PT  
-1.801412E-01	-2.998983E-05	+2.159180E+01	2PT  
-1.701488E-01	-2.942812E-05	+2.146777E+01	2PT  
-1.601406E-01	-2.942630E-05	+2.134375E+01	2PT  
-1.501648E-01	-2.974887E-05	+2.122070E+01	2PT  
-1.401652E-01	-3.000845E-05	+2.109766E+01	2PT  
-1.301711E-01	-2.934795E-05	+2.097461E+01	2PT  
-1.201441E-01	-2.942707E-05	+2.084961E+01	2PT  
-1.101676E-01	-2.954424E-05	+2.072559E+01	2PT  
-1.001219E-01	-2.979448E-05	+2.060254E+01	2PT  
-9.012602E-02	-2.932238E-05	+2.047949E+01	2PT  
-8.009493E-02	-2.933670E-05	+2.035449E+01	2PT  
-7.015134E-02	-2.952742E-05	+2.023145E+01	2PT  
-6.008993E-02	-2.927390E-05	+2.011035E+01	2PT  
-5.010692E-02	-2.928453E-05	+1.998535E+01	2PT  
-4.007191E-02	-2.942397E-05	+1.986133E+01	2PT  
-3.013509E-02	-2.972405E-05	+1.973730E+01	2PT  
-2.008145E-02	-2.978442E-05	+1.961328E+01	2PT  
-1.002202E-02	-2.925302E-05	+1.949023E+01	2PT  
+9.068655E-05	-2.922924E-05	+1.936523E+01	2PT  
+1.008745E-02	-2.950055E-05	+1.924219E+01	2PT  
+2.009090E-02	-2.927737E-05	+1.912012E+01	2PT  
+3.011422E-02	-2.921483E-05	+1.899707E+01	2PT  
+4.014281E-02	-2.936259E-05	+1.887305E+01	2PT  
+5.012947E-02	-2.962479E-05	+1.875098E+01	2PT  
+6.014543E-02	-2.918772E-05	+1.862695E+01	2PT  
+7.012307E-02	-2.935690E-05	+1.850391E+01	2PT  
+8.012909E-02	-2.982771E-05	+1.838086E+01	2PT  
+9.017510E-02	-2.913341E-05	+1.825879E+01	2PT  
+1.001935E-01	-2.925280E-05	+1.813477E+01	2PT  
+1.101292E-01	-2.946577E-05	+1.801074E+01	2PT  
+1.201754E-01	-2.938808E-05	+1.788867E+01	2PT  
+1.301932E-01	-2.909391E-05	+1.776465E+01	2PT  
+1.401791E-01	-2.934447E-05	+1.764258E+01	2PT  
+1.502255E-01	-2.929027E-05	+1.751562E+01	2PT  
+1.601665E-01	-2.947991E-05	+1.739355E+01	2PT  
+1.701539E-01	-2.905799E-05	+1.726953E+01	2PT  
+1.801432E-01	-2.971505E-05	+1.714941E+01	2PT  
+1.901630E-01	-2.940530E-05	+1.702539E+01	2PT  
+2.001737E-01	-2.910684E-05	+1.690430E+01	2PT  
+2.101130E-01	-2.898958E-05	+1.677637E+01	2PT  
+2.201299E-01	-2.911867E-05	+1.665234E+01	2PT  
+2.300913E-01	-2.914472E-05	+1.652637E+01	2PT  
+2.401002E-01	-2.963742E-05	+1.640332E+01	2PT  
+2.500812E-01	-2.900342E-05	+1.627930E+01	2PT  
+2.600480E-01	-2.897546E-05	+1.615723E+01	2PT  
+2.700500E-01	-2.926427E-05	+1.603320E+01	2PT  
+2.800566E-01	-2.906120E-05	+1.591016E+01	2PT  
+2.901005E-01	-2.895718E-05	+1.578711E+01	2PT  
+3.000515E-01	-2.928801E-05	+1.566504E+01	2PT  
+3.100888E-01	-2.883313E-05	+1.554395E+01	2PT  
+3.200974E-01	-2.897803E-05	+1.541992E+01	2PT  
+3.301037E-01	-2.942366E-05	+1.529785E+01	2PT  
+3.401387E-01	-2.881117E-05	+1.517383E+01	2PT  
+3.501539E-01	-2.884119E-05	+1.504980E+01	2PT  
+3.601056E-01	-2.894090E-05	+1.492676E+01	2PT  
+3.701207E-01	-2.932142E-05	+1.480273E+01	2PT  
+3.801506E-01	-2.932935E-05	+1.467578E+01	2PT  
