[[DESCRIPTION]]
CPB_106_SE_500nm_06_1P_4000K_1000_lux_lights_off

[[ANALYSIS]]
EFF      	6.49	%
FF        	61.4	%
Voc      	1218.8	mV
Jsc       	0.32	mA/cm2
Vmax   	950.2	mV
Jmax    	0.25	mA/cm2
Isc        	2.874374E-5	A
Rsc       	39913	Ohm
Roc      	3153.3	Ohm
A          	0.089	cm2
Incd. Pwr	3.725	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001192E-01	-2.929027E-05	+2.221191E+01	2PT  
-1.901380E-01	-2.947001E-05	+2.208887E+01	2PT  
-1.801441E-01	-2.970768E-05	+2.196484E+01	2PT  
-1.701611E-01	-2.917467E-05	+2.184082E+01	2PT  
-1.601745E-01	-2.913853E-05	+2.171777E+01	2PT  
-1.501387E-01	-2.925927E-05	+2.159277E+01	2PT  
-1.401986E-01	-2.957706E-05	+2.146875E+01	2PT  
-1.301683E-01	-2.955446E-05	+2.134473E+01	2PT  
-1.201733E-01	-2.907544E-05	+2.122363E+01	2PT  
-1.101833E-01	-2.925637E-05	+2.109961E+01	2PT  
-1.001210E-01	-2.921780E-05	+2.097754E+01	2PT  
-9.012827E-02	-2.894412E-05	+2.085352E+01	2PT  
-8.012376E-02	-2.893859E-05	+2.072656E+01	2PT  
-7.011597E-02	-2.889839E-05	+2.060059E+01	2PT  
-6.013409E-02	-2.920311E-05	+2.047949E+01	2PT  
-5.008801E-02	-2.946904E-05	+2.035547E+01	2PT  
-4.006939E-02	-2.875320E-05	+2.023242E+01	2PT  
-3.008089E-02	-2.887962E-05	+2.010840E+01	2PT  
-2.011149E-02	-2.903435E-05	+1.998438E+01	2PT  
-1.003954E-02	-2.926348E-05	+1.986035E+01	2PT  
+9.652114E-05	-2.873874E-05	+1.973926E+01	2PT  
+1.008574E-02	-2.876343E-05	+1.961426E+01	2PT  
+2.008005E-02	-2.928167E-05	+1.949219E+01	2PT  
+3.009837E-02	-2.930426E-05	+1.936621E+01	2PT  
+4.014531E-02	-2.868814E-05	+1.924316E+01	2PT  
+5.015709E-02	-2.876835E-05	+1.912109E+01	2PT  
+6.015137E-02	-2.907875E-05	+1.899805E+01	2PT  
+7.013427E-02	-2.899888E-05	+1.887305E+01	2PT  
+8.014631E-02	-2.865156E-05	+1.875098E+01	2PT  
+9.017759E-02	-2.880809E-05	+1.862695E+01	2PT  
+1.001541E-01	-2.913059E-05	+1.850293E+01	2PT  
+1.101735E-01	-2.883036E-05	+1.837988E+01	2PT  
+1.201818E-01	-2.855696E-05	+1.825488E+01	2PT  
+1.302030E-01	-2.858510E-05	+1.813184E+01	2PT  
+1.402182E-01	-2.875400E-05	+1.800684E+01	2PT  
+1.501916E-01	-2.913582E-05	+1.788379E+01	2PT  
+1.601861E-01	-2.870643E-05	+1.775977E+01	2PT  
+1.701735E-01	-2.844756E-05	+1.763574E+01	2PT  
+1.801539E-01	-2.850541E-05	+1.751172E+01	2PT  
+1.901435E-01	-2.863664E-05	+1.738672E+01	2PT  
+2.001037E-01	-2.867946E-05	+1.726172E+01	2PT  
+2.101136E-01	-2.837541E-05	+1.713965E+01	2PT  
+2.200896E-01	-2.836383E-05	+1.701563E+01	2PT  
+2.300739E-01	-2.842688E-05	+1.689160E+01	2PT  
+2.400876E-01	-2.882438E-05	+1.676855E+01	2PT  
+2.500829E-01	-2.817495E-05	+1.664551E+01	2PT  
+2.600823E-01	-2.820349E-05	+1.652148E+01	2PT  
+2.700388E-01	-2.834562E-05	+1.639746E+01	2PT  
+2.800519E-01	-2.864213E-05	+1.627441E+01	2PT  
+2.900903E-01	-2.844179E-05	+1.614941E+01	2PT  
+3.001111E-01	-2.835336E-05	+1.602441E+01	2PT  
+3.101368E-01	-2.811201E-05	+1.590234E+01	2PT  
+3.201008E-01	-2.843458E-05	+1.577930E+01	2PT  
+3.301027E-01	-2.806971E-05	+1.565625E+01	2PT  
+3.401375E-01	-2.797544E-05	+1.553223E+01	2PT  
+3.501599E-01	-2.804023E-05	+1.540820E+01	2PT  
+3.601323E-01	-2.815558E-05	+1.528418E+01	2PT  
+3.701482E-01	-2.823720E-05	+1.516113E+01	2PT  
+3.801507E-01	-2.788009E-05	+1.503906E+01	2PT  
+3.901846E-01	-2.805645E-05	+1.491602E+01	2PT  
+4.001781E-01	-2.835850E-05	+1.479199E+01	2PT  
+4.101889E-01	-2.771400E-05	+1.466797E+01	2PT  
+4.201833E-01	-2.767135E-05	+1.454492E+01	2PT  
+4.301639E-01	-2.779852E-05	+1.442090E+01	2PT  
+4.401738E-01	-2.773590E-05	+1.429883E+01	2PT  
+4.501716E-01	-2.745742E-05	+1.417480E+01	2PT  
+4.601540E-01	-2.767403E-05	+1.405273E+01	2PT  
+4.701438E-01	-2.802315E-05	+1.392871E+01	2PT  
+4.801106E-01	-2.793082E-05	+1.380371E+01	2PT  
+4.901151E-01	-2.729824E-05	+1.368164E+01	2PT  
+5.001268E-01	-2.727775E-05	+1.355566E+01	2PT  
+5.100885E-01	-2.747433E-05	+1.343262E+01	2PT  
+5.200838E-01	-2.774382E-05	+1.330859E+01	2PT  
+5.300674E-01	-2.706071E-05	+1.318555E+01	2PT  
+5.400881E-01	-2.701548E-05	+1.306152E+01	2PT  
+5.500755E-01	-2.685789E-05	+1.293457E+01	2PT  
+5.600992E-01	-2.691783E-05	+1.281055E+01	2PT  
+5.700974E-01	-2.688137E-05	+1.268555E+01	2PT  
+5.800718E-01	-2.674000E-05	+1.256641E+01	2PT  
+5.901189E-01	-2.667535E-05	+1.244141E+01	2PT  
+6.001069E-01	-2.716123E-05	+1.232031E+01	2PT  
+6.101189E-01	-2.654915E-05	+1.219629E+01	2PT  
+6.201438E-01	-2.644149E-05	+1.207324E+01	2PT  
+6.301317E-01	-2.646700E-05	+1.194922E+01	2PT  
+6.401559E-01	-2.679518E-05	+1.182617E+01	2PT  
+6.501672E-01	-2.612528E-05	+1.170410E+01	2PT  
+6.601864E-01	-2.611412E-05	+1.158008E+01	2PT  
+6.701671E-01	-2.624422E-05	+1.145605E+01	2PT  
+6.801717E-01	-2.581725E-05	+1.133398E+01	2PT  
+6.902257E-01	-2.573287E-05	+1.121094E+01	2PT  
