[[DESCRIPTION]]
CPB_106_SE_500nm_07_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	2.58**	%
FF        	50.7**	%
Voc      	931.2**	mV
Jsc       	5.47**	mA/cm2
Vmax   	640.1	mV
Jmax    	4.03	mA/cm2
Isc        	0.00048642	A
Rsc       	13899	Ohm
Roc      	488.73	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001118E-01	-4.979732E-04	+2.215234E+01	2PT  
-1.901381E-01	-4.974371E-04	+2.202637E+01	2PT  
-1.801535E-01	-4.966051E-04	+2.190430E+01	2PT  
-1.701551E-01	-4.963928E-04	+2.178027E+01	2PT  
-1.601773E-01	-4.960995E-04	+2.165723E+01	2PT  
-1.501598E-01	-4.953334E-04	+2.153516E+01	2PT  
-1.401718E-01	-4.947700E-04	+2.141016E+01	2PT  
-1.301742E-01	-4.944626E-04	+2.128613E+01	2PT  
-1.201816E-01	-4.935653E-04	+2.116309E+01	2PT  
-1.101802E-01	-4.931070E-04	+2.104102E+01	2PT  
-1.001386E-01	-4.923893E-04	+2.091699E+01	2PT  
-9.014140E-02	-4.921546E-04	+2.079102E+01	2PT  
-8.013292E-02	-4.915333E-04	+2.066992E+01	2PT  
-7.013076E-02	-4.909408E-04	+2.054688E+01	2PT  
-6.009007E-02	-4.901389E-04	+2.042480E+01	2PT  
-5.009227E-02	-4.896539E-04	+2.030176E+01	2PT  
-4.009356E-02	-4.890638E-04	+2.017676E+01	2PT  
-3.009164E-02	-4.881415E-04	+2.005469E+01	2PT  
-2.008644E-02	-4.877870E-04	+1.993164E+01	2PT  
-1.004290E-02	-4.868553E-04	+1.980957E+01	2PT  
+7.818875E-05	-4.864216E-04	+1.968555E+01	2PT  
+1.008075E-02	-4.854025E-04	+1.956445E+01	2PT  
+2.008158E-02	-4.847555E-04	+1.944043E+01	2PT  
+3.008165E-02	-4.840652E-04	+1.931543E+01	2PT  
+4.012029E-02	-4.835786E-04	+1.919434E+01	2PT  
+5.013123E-02	-4.824496E-04	+1.907129E+01	2PT  
+6.011692E-02	-4.819379E-04	+1.894824E+01	2PT  
+7.012556E-02	-4.811432E-04	+1.882422E+01	2PT  
+8.012748E-02	-4.800735E-04	+1.870313E+01	2PT  
+9.016737E-02	-4.800400E-04	+1.857520E+01	2PT  
+1.001737E-01	-4.787217E-04	+1.845410E+01	2PT  
+1.101810E-01	-4.778782E-04	+1.833008E+01	2PT  
+1.201852E-01	-4.769795E-04	+1.820605E+01	2PT  
+1.301684E-01	-4.759399E-04	+1.808301E+01	2PT  
+1.401899E-01	-4.749933E-04	+1.795996E+01	2PT  
+1.501819E-01	-4.736655E-04	+1.783789E+01	2PT  
+1.601704E-01	-4.728124E-04	+1.771484E+01	2PT  
+1.701481E-01	-4.718743E-04	+1.759180E+01	2PT  
+1.801318E-01	-4.706132E-04	+1.746973E+01	2PT  
+1.901568E-01	-4.692927E-04	+1.734668E+01	2PT  
+2.001389E-01	-4.680859E-04	+1.722461E+01	2PT  
+2.101121E-01	-4.674364E-04	+1.710059E+01	2PT  
+2.200863E-01	-4.664555E-04	+1.697559E+01	2PT  
+2.300798E-01	-4.647938E-04	+1.685449E+01	2PT  
+2.400892E-01	-4.637319E-04	+1.673047E+01	2PT  
+2.500814E-01	-4.622520E-04	+1.660742E+01	2PT  
+2.600623E-01	-4.610366E-04	+1.648535E+01	2PT  
+2.700450E-01	-4.599020E-04	+1.636035E+01	2PT  
+2.800529E-01	-4.584755E-04	+1.623340E+01	2PT  
+2.900810E-01	-4.573783E-04	+1.611035E+01	2PT  
+3.000869E-01	-4.560662E-04	+1.598828E+01	2PT  
+3.100809E-01	-4.543034E-04	+1.586523E+01	2PT  
+3.200913E-01	-4.528706E-04	+1.574219E+01	2PT  
+3.300940E-01	-4.513804E-04	+1.561816E+01	2PT  
+3.401339E-01	-4.498015E-04	+1.549512E+01	2PT  
+3.501309E-01	-4.483108E-04	+1.537109E+01	2PT  
+3.601329E-01	-4.461132E-04	+1.525000E+01	2PT  
+3.701359E-01	-4.446235E-04	+1.512402E+01	2PT  
+3.801403E-01	-4.426965E-04	+1.500098E+01	2PT  
