[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_2700K_1000lux_1_VN_lights off

[[ANALYSIS]]
EFF      	0.95	%
FF        	52.1	%
Voc      	1150.7	mV
Jsc       	0.07	mA/cm2
Vmax   	820.1	mV
Jmax    	0.05	mA/cm2
Isc        	6.105012E-6	A
Rsc       	2.1272E+5	Ohm
Roc      	17151	Ohm
A          	0.09	cm2
Incd. Pwr	4.298	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001171E-01	-6.278420E-06	+1.340430E+01	2PT  
-1.901382E-01	-6.246914E-06	+1.333691E+01	2PT  
-1.805129E-01	-6.233850E-06	+1.326465E+01	2PT  
-1.701703E-01	-6.258371E-06	+1.318848E+01	2PT  
-1.605686E-01	-6.227675E-06	+1.312109E+01	2PT  
-1.501634E-01	-6.229819E-06	+1.304297E+01	2PT  
-1.401841E-01	-6.235652E-06	+1.297852E+01	2PT  
-1.301773E-01	-6.191161E-06	+1.290723E+01	2PT  
-1.201854E-01	-6.243351E-06	+1.282617E+01	2PT  
-1.101769E-01	-6.164265E-06	+1.276074E+01	2PT  
-1.001403E-01	-6.175928E-06	+1.268066E+01	2PT  
-9.051207E-02	-6.142719E-06	+1.261230E+01	2PT  
-8.012068E-02	-6.179353E-06	+1.253906E+01	2PT  
-7.011864E-02	-6.184517E-06	+1.246289E+01	2PT  
-6.011162E-02	-6.140448E-06	+1.238965E+01	2PT  
-5.010042E-02	-6.145500E-06	+1.231543E+01	2PT  
-4.008905E-02	-6.120240E-06	+1.224902E+01	2PT  
-3.008208E-02	-6.120498E-06	+1.217090E+01	2PT  
-2.008256E-02	-6.104184E-06	+1.210742E+01	2PT  
-1.002965E-02	-6.142324E-06	+1.202734E+01	2PT  
+7.319433E-05	-6.104740E-06	+1.195898E+01	2PT  
+1.007925E-02	-6.047296E-06	+1.188867E+01	2PT  
+2.009119E-02	-6.048385E-06	+1.182422E+01	2PT  
+3.008155E-02	-6.083283E-06	+1.173242E+01	2PT  
+4.013824E-02	-6.056568E-06	+1.166699E+01	2PT  
+5.012602E-02	-6.028891E-06	+1.159570E+01	2PT  
+6.012879E-02	-6.102298E-06	+1.151074E+01	2PT  
+7.014819E-02	-6.023045E-06	+1.144922E+01	2PT  
+8.012393E-02	-6.030831E-06	+1.136914E+01	2PT  
+9.016646E-02	-6.044432E-06	+1.129492E+01	2PT  
+1.001780E-01	-6.031145E-06	+1.122852E+01	2PT  
+1.101779E-01	-6.030513E-06	+1.115039E+01	2PT  
+1.201698E-01	-5.965578E-06	+1.109375E+01	2PT  
+1.301625E-01	-5.981602E-06	+1.100977E+01	2PT  
+1.401955E-01	-5.937891E-06	+1.094043E+01	2PT  
+1.501832E-01	-5.937845E-06	+1.087109E+01	2PT  
+1.601642E-01	-5.905445E-06	+1.080273E+01	2PT  
+1.701479E-01	-5.925212E-06	+1.071191E+01	2PT  
+1.801348E-01	-5.957135E-06	+1.063867E+01	2PT  
+1.901514E-01	-5.896279E-06	+1.057422E+01	2PT  
+2.001393E-01	-5.918613E-06	+1.049414E+01	2PT  
+2.101129E-01	-5.906206E-06	+1.043066E+01	2PT  
+2.197419E-01	-5.874203E-06	+1.035254E+01	2PT  
+2.300606E-01	-5.848116E-06	+1.028125E+01	2PT  
+2.400813E-01	-5.822827E-06	+1.021191E+01	2PT  
+2.500829E-01	-5.784180E-06	+1.014160E+01	2PT  
+2.600753E-01	-5.821379E-06	+1.005664E+01	2PT  
+2.700449E-01	-5.777256E-06	+9.989258E+00	2PT  
