[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_2700K_1000lux_1_VN_lights off_1mwcm-2

[[ANALYSIS]]
EFF      	3.84	%
FF        	51.5	%
Voc      	1149.3	mV
Jsc       	0.06	mA/cm2
Vmax   	840.1	mV
Jmax    	0.05	mA/cm2
Isc        	5.831175E-6	A
Rsc       	5.8066E+5	Ohm
Roc      	16787	Ohm
A          	0.09	cm2
Incd. Pwr	1	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001214E-01	-6.047574E-06	+1.341699E+01	2PT  
-1.901348E-01	-6.051695E-06	+1.334277E+01	2PT  
-1.801391E-01	-6.033685E-06	+1.327832E+01	2PT  
-1.701649E-01	-6.002412E-06	+1.319824E+01	2PT  
-1.601764E-01	-5.997082E-06	+1.313477E+01	2PT  
-1.501607E-01	-5.957759E-06	+1.306152E+01	2PT  
-1.401796E-01	-5.988406E-06	+1.297852E+01	2PT  
-1.301999E-01	-5.984881E-06	+1.290039E+01	2PT  
-1.201778E-01	-5.966345E-06	+1.283105E+01	2PT  
-1.101793E-01	-5.930376E-06	+1.276172E+01	2PT  
-1.001502E-01	-5.962575E-06	+1.268066E+01	2PT  
-9.013642E-02	-5.958210E-06	+1.261523E+01	2PT  
-8.050644E-02	-5.975289E-06	+1.253809E+01	2PT  
-7.011771E-02	-5.927516E-06	+1.246973E+01	2PT  
-6.009821E-02	-5.930183E-06	+1.238965E+01	2PT  
-5.009510E-02	-5.940321E-06	+1.231738E+01	2PT  
-4.047571E-02	-5.888803E-06	+1.225000E+01	2PT  
-3.008293E-02	-5.909214E-06	+1.217188E+01	2PT  
-2.008334E-02	-5.890465E-06	+1.210840E+01	2PT  
-1.004129E-02	-5.868175E-06	+1.203516E+01	2PT  
+7.402620E-05	-5.830902E-06	+1.196484E+01	2PT  
+1.008926E-02	-5.833892E-06	+1.188574E+01	2PT  
+2.008196E-02	-5.862260E-06	+1.180762E+01	2PT  
+3.008884E-02	-5.869540E-06	+1.174023E+01	2PT  
+4.014417E-02	-5.847034E-06	+1.166211E+01	2PT  
+5.013403E-02	-5.862407E-06	+1.159082E+01	2PT  
