[[DESCRIPTION]]
CPB_106_SE_500nm_12_1P_2700K_1000lux_led_pw_VN

[[ANALYSIS]]
EFF      	0.21**	%
FF        	37.4**	%
Voc      	629.0**	mV
Jsc       	0.04**	mA/cm2
Vmax   	580.1	mV
Jmax    	0.02	mA/cm2
Isc        	3.3750E-6	A
Rsc       	5.0997E+5	Ohm
Roc      	29962	Ohm
A          	0.09	cm2
Incd. Pwr	4.298	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-1.400085E+00	-1.553176E-02	+2.136719E+00	2PT  
-1.390087E+00	-1.679426E-02	+2.173828E+00	2PT  
-1.380102E+00	-1.858903E-02	+2.254883E+00	2PT  
-1.370087E+00	-1.956308E-02	+2.326172E+00	2PT  
-1.360107E+00	-2.023561E-02	+2.398438E+00	2PT  
-1.350121E+00	-2.063322E-02	+2.463867E+00	2PT  
-1.340144E+00	-2.105533E-02	+2.551758E+00	2PT  
-1.330126E+00	-2.122677E-02	+2.616211E+00	2PT  
-1.320500E+00	-2.135696E-02	+2.692383E+00	2PT  
-1.309853E+00	-2.134227E-02	+2.756836E+00	2PT  
-1.300186E+00	-2.132002E-02	+2.835938E+00	2PT  
-1.290559E+00	-2.118145E-02	+2.908203E+00	2PT  
-1.280177E+00	-2.106868E-02	+2.994141E+00	2PT  
-1.270198E+00	-2.088016E-02	+3.053711E+00	2PT  
-1.260215E+00	-2.066252E-02	+3.127930E+00	2PT  
-1.250226E+00	-2.043735E-02	+3.200195E+00	2PT  
-1.240223E+00	-2.019583E-02	+3.275391E+00	2PT  
-1.230187E+00	-1.993344E-02	+3.353516E+00	2PT  
-1.220185E+00	-1.966497E-02	+3.419922E+00	2PT  
-1.210183E+00	-1.939329E-02	+3.495117E+00	2PT  
-1.200177E+00	-1.911630E-02	+3.576172E+00	2PT  
-1.190183E+00	-1.882707E-02	+3.645508E+00	2PT  
-1.180148E+00	-1.853658E-02	+3.713867E+00	2PT  
-1.170143E+00	-1.824174E-02	+3.785156E+00	2PT  
-1.160152E+00	-1.794465E-02	+3.859375E+00	2PT  
-1.150132E+00	-1.764269E-02	+3.926758E+00	2PT  
-1.140137E+00	-1.732617E-02	+4.005859E+00	2PT  
-1.130101E+00	-1.701601E-02	+4.079102E+00	2PT  
-1.120467E+00	-1.670469E-02	+4.152344E+00	2PT  
-1.110095E+00	-1.638886E-02	+4.233398E+00	2PT  
-1.100109E+00	-1.607721E-02	+4.297852E+00	2PT  
-1.090129E+00	-1.575289E-02	+4.375000E+00	2PT  
-1.080110E+00	-1.543996E-02	+4.444336E+00	2PT  
-1.070127E+00	-1.512553E-02	+4.512695E+00	2PT  
-1.060139E+00	-1.480041E-02	+4.584961E+00	2PT  
-1.050154E+00	-1.447168E-02	+4.666016E+00	2PT  
-1.040181E+00	-1.415754E-02	+4.731445E+00	2PT  
-1.030163E+00	-1.382766E-02	+4.807617E+00	2PT  
-1.020178E+00	-1.351119E-02	+4.872070E+00	2PT  
-1.009937E+00	-1.317779E-02	+4.944336E+00	2PT  
-1.000212E+00	-1.284577E-02	+5.026367E+00	2PT  
-9.905733E-01	-1.252159E-02	+5.096680E+00	2PT  
-9.802039E-01	-1.219086E-02	+5.176758E+00	2PT  
-9.702146E-01	-1.185076E-02	+5.263672E+00	2PT  
-9.602144E-01	-1.154628E-02	+5.320313E+00	2PT  
-9.502141E-01	-1.122188E-02	+5.391602E+00	2PT  
-9.401704E-01	-1.089639E-02	+5.464844E+00	2PT  
-9.301683E-01	-1.058331E-02	+5.531250E+00	2PT  
-9.205159E-01	-1.024853E-02	+5.605469E+00	2PT  
-9.101804E-01	-9.864333E-03	+5.750977E+00	2PT  
-9.001856E-01	-9.591913E-03	+5.789063E+00	2PT  
-8.899192E-01	-9.287282E-03	+5.855469E+00	2PT  
-8.801457E-01	-8.968246E-03	+5.927734E+00	2PT  
-8.701428E-01	-8.643341E-03	+6.007813E+00	2PT  
-8.601356E-01	-8.347663E-03	+6.073242E+00	2PT  
-8.501333E-01	-8.014757E-03	+6.153320E+00	2PT  
-8.404867E-01	-7.706598E-03	+6.228516E+00	2PT  
-8.300880E-01	-7.407809E-03	+6.297852E+00	2PT  
-8.200963E-01	-7.086539E-03	+6.378906E+00	2PT  
-8.101208E-01	-6.771307E-03	+6.458008E+00	2PT  
-8.001379E-01	-6.486319E-03	+6.526367E+00	2PT  
-7.901197E-01	-6.193487E-03	+6.592773E+00	2PT  
-7.801310E-01	-5.903881E-03	+6.666992E+00	2PT  
-7.701494E-01	-5.620270E-03	+6.738281E+00	2PT  
-7.601742E-01	-5.323908E-03	+6.816406E+00	2PT  
-7.501931E-01	-5.060462E-03	+6.880859E+00	2PT  
-7.401693E-01	-4.752213E-03	+6.968750E+00	2PT  
-7.301858E-01	-4.489381E-03	+7.037109E+00	2PT  
-7.202050E-01	-4.215603E-03	+7.116211E+00	2PT  
-7.102166E-01	-3.961458E-03	+7.187500E+00	2PT  
-7.002270E-01	-3.711467E-03	+7.259766E+00	2PT  
-6.902078E-01	-3.479272E-03	+7.324219E+00	2PT  
-6.805453E-01	-3.223241E-03	+7.403320E+00	2PT  
-6.702074E-01	-3.002794E-03	+7.469727E+00	2PT  
-6.601978E-01	-2.764826E-03	+7.542969E+00	2PT  
-6.501913E-01	-2.534223E-03	+7.623047E+00	2PT  
-6.401557E-01	-2.329281E-03	+7.691406E+00	2PT  
-6.305135E-01	-2.117624E-03	+7.770508E+00	2PT  
-6.201509E-01	-1.937335E-03	+7.834961E+00	2PT  
-6.101431E-01	-1.744859E-03	+7.913086E+00	2PT  
-6.001450E-01	-1.569672E-03	+7.988281E+00	2PT  
-5.901045E-01	-1.407798E-03	+8.061523E+00	2PT  
-5.799519E-01	-1.262894E-03	+8.128906E+00	2PT  
-5.700962E-01	-1.106315E-03	+8.207031E+00	2PT  
-5.601109E-01	-9.146454E-04	+8.350586E+00	2PT  
-5.501072E-01	-8.222205E-04	+8.404297E+00	2PT  
-5.400852E-01	-7.244842E-04	+8.469727E+00	2PT  
-5.301037E-01	-6.353831E-04	+8.539063E+00	2PT  
-5.201146E-01	-5.398751E-04	+8.617188E+00	2PT  
-5.101280E-01	-4.672236E-04	+8.687500E+00	2PT  
-5.001101E-01	-4.042014E-04	+8.750000E+00	2PT  
-4.901282E-01	-3.342394E-04	+8.835938E+00	2PT  
-4.801381E-01	-2.855255E-04	+8.903320E+00	2PT  
-4.701593E-01	-2.402060E-04	+8.975586E+00	2PT  
-4.601738E-01	-2.033760E-04	+9.041992E+00	2PT  
-4.501478E-01	-1.660841E-04	+9.120117E+00	2PT  
-4.401685E-01	-1.388945E-04	+9.190430E+00	2PT  
-4.301854E-01	-1.149003E-04	+9.259766E+00	2PT  
-4.202124E-01	-8.434314E-05	+9.408203E+00	2PT  
-4.102271E-01	-7.342462E-05	+9.454102E+00	2PT  
-4.001789E-01	-6.303822E-05	+9.513672E+00	2PT  
-3.901721E-01	-5.162341E-05	+9.594727E+00	2PT  
-3.801674E-01	-4.367460E-05	+9.660156E+00	2PT  
-3.701637E-01	-3.551641E-05	+9.738281E+00	2PT  
-3.601587E-01	-2.917214E-05	+9.822266E+00	2PT  
-3.500257E-01	-2.495213E-05	+9.881836E+00	2PT  
-3.401081E-01	-2.053409E-05	+9.965820E+00	2PT  
-3.301142E-01	-1.778959E-05	+1.002637E+01	2PT  
-3.201075E-01	-1.498988E-05	+1.010449E+01	2PT  
-3.104731E-01	-1.284485E-05	+1.017773E+01	2PT  
-3.000692E-01	-1.102296E-05	+1.025781E+01	2PT  
-2.900823E-01	-9.156468E-06	+1.039551E+01	2PT  
-2.799951E-01	-8.447125E-06	+1.042969E+01	2PT  
-2.700682E-01	-7.497354E-06	+1.050781E+01	2PT  
-2.600894E-01	-6.846028E-06	+1.058105E+01	2PT  
-2.503933E-01	-6.289739E-06	+1.064453E+01	2PT  
-2.400795E-01	-5.778656E-06	+1.073047E+01	2PT  
-2.301045E-01	-5.383370E-06	+1.079297E+01	2PT  
-2.200942E-01	-5.065052E-06	+1.087109E+01	2PT  
-2.101130E-01	-4.842024E-06	+1.095801E+01	2PT  
-2.001205E-01	-4.607300E-06	+1.102148E+01	2PT  
-1.901349E-01	-4.476717E-06	+1.109277E+01	2PT  
-1.801434E-01	-4.342745E-06	+1.116992E+01	2PT  
-1.701641E-01	-4.201188E-06	+1.123926E+01	2PT  
-1.605581E-01	-4.112900E-06	+1.131738E+01	2PT  
-1.501499E-01	-4.072096E-06	+1.138867E+01	2PT  
-1.401683E-01	-3.968131E-06	+1.146680E+01	2PT  
-1.301869E-01	-3.881665E-06	+1.152930E+01	2PT  
-1.201742E-01	-3.843320E-06	+1.160840E+01	2PT  
-1.101874E-01	-3.774571E-06	+1.167480E+01	2PT  
-1.001348E-01	-3.785110E-06	+1.174609E+01	2PT  
-9.013066E-02	-3.720389E-06	+1.183789E+01	2PT  
-8.045974E-02	-3.646887E-06	+1.189258E+01	2PT  
-7.046778E-02	-3.608953E-06	+1.197070E+01	2PT  
-6.009944E-02	-3.557940E-06	+1.203809E+01	2PT  
-5.007849E-02	-3.558838E-06	+1.211621E+01	2PT  
-4.009693E-02	-3.511413E-06	+1.218945E+01	2PT  
-3.006834E-02	-3.519369E-06	+1.226660E+01	2PT  
-2.008182E-02	-3.473971E-06	+1.234277E+01	2PT  
-1.004059E-02	-3.411366E-06	+1.240625E+01	2PT  
-2.013148E-05	-3.374981E-06	+1.248535E+01	2PT  
+9.696919E-03	-3.372553E-06	+1.255664E+01	2PT  
+2.006394E-02	-3.374786E-06	+1.264844E+01	2PT  
+3.007494E-02	-3.375078E-06	+1.271582E+01	2PT  
+4.011544E-02	-3.265303E-06	+1.278027E+01	2PT  
+5.010778E-02	-3.265433E-06	+1.285645E+01	2PT  
+6.011909E-02	-3.225565E-06	+1.293066E+01	2PT  
+7.010003E-02	-3.160824E-06	+1.299512E+01	2PT  
+8.012637E-02	-3.220262E-06	+1.307813E+01	2PT  
+9.015281E-02	-3.092396E-06	+1.314062E+01	2PT  
+1.001713E-01	-3.177023E-06	+1.323145E+01	2PT  
+1.101590E-01	-3.077103E-06	+1.329687E+01	2PT  
+1.201693E-01	-3.067707E-06	+1.337598E+01	2PT  
+1.301583E-01	-2.995828E-06	+1.343945E+01	2PT  
+1.401776E-01	-2.960604E-06	+1.351074E+01	2PT  
+1.501805E-01	-2.916475E-06	+1.357715E+01	2PT  
+1.601649E-01	-2.904843E-06	+1.364844E+01	2PT  
+1.701635E-01	-2.911315E-06	+1.372559E+01	2PT  
+1.801229E-01	-2.823764E-06	+1.379297E+01	2PT  
+1.901528E-01	-2.775355E-06	+1.386328E+01	2PT  
+2.001219E-01	-2.849750E-06	+1.395312E+01	2PT  
+2.101148E-01	-2.760987E-06	+1.401074E+01	2PT  
+2.200869E-01	-2.719230E-06	+1.408789E+01	2PT  
+2.300620E-01	-2.649417E-06	+1.415332E+01	2PT  
+2.400827E-01	-2.619158E-06	+1.422656E+01	2PT  
+2.500783E-01	-2.607050E-06	+1.430371E+01	2PT  
+2.600415E-01	-2.555370E-06	+1.437305E+01	2PT  
+2.700267E-01	-2.529116E-06	+1.445215E+01	2PT  
+2.800364E-01	-2.460685E-06	+1.451465E+01	2PT  
+2.900687E-01	-2.430800E-06	+1.459180E+01	2PT  
+3.000964E-01	-2.408721E-06	+1.466797E+01	2PT  
+3.100649E-01	-2.351943E-06	+1.473633E+01	2PT  
+3.200831E-01	-2.332541E-06	+1.481445E+01	2PT  
+3.300876E-01	-2.283819E-06	+1.488867E+01	2PT  
+3.401356E-01	-2.248345E-06	+1.496680E+01	2PT  
+3.501284E-01	-2.151133E-06	+1.502930E+01	2PT  
+3.601279E-01	-2.111936E-06	+1.510742E+01	2PT  
+3.701326E-01	-2.062387E-06	+1.517578E+01	2PT  
+3.801404E-01	-2.025770E-06	+1.525391E+01	2PT  
+3.901795E-01	-1.970291E-06	+1.532715E+01	2PT  
+4.001846E-01	-1.856025E-06	+1.539063E+01	2PT  
+4.101715E-01	-1.803358E-06	+1.546777E+01	2PT  
+4.201681E-01	-1.734622E-06	+1.553516E+01	2PT  
+4.301485E-01	-1.660931E-06	+1.560645E+01	2PT  
+4.401610E-01	-1.630381E-06	+1.569141E+01	2PT  
+4.501666E-01	-1.548853E-06	+1.575293E+01	2PT  
+4.601416E-01	-1.471192E-06	+1.583105E+01	2PT  
+4.701161E-01	-1.312512E-06	+1.589844E+01	2PT  
+4.801076E-01	-1.247009E-06	+1.597656E+01	2PT  
+4.901184E-01	-1.129792E-06	+1.604883E+01	2PT  
+5.000998E-01	-1.054336E-06	+1.612500E+01	2PT  
+5.100849E-01	-1.455197E-06	+1.633691E+01	2PT  
+5.200685E-01	-1.135122E-06	+1.637305E+01	2PT  
+5.300329E-01	-1.453063E-06	+1.658496E+01	2PT  
+5.400674E-01	-1.167208E-06	+1.662988E+01	2PT  
+5.500484E-01	-1.444448E-06	+1.683887E+01	2PT  
+5.600616E-01	-1.059447E-06	+1.687598E+01	2PT  
+5.700639E-01	-1.310538E-06	+1.709375E+01	2PT  
+5.800753E-01	-1.369869E-06	+1.727441E+01	2PT  
+5.901015E-01	-1.037095E-06	+1.731934E+01	2PT  
+6.001987E-01	-9.533426E-07	+1.745508E+01	2PT  
+6.101055E-01	-5.438353E-07	+1.749023E+01	2PT  
+6.201804E-01	-3.170471E-07	+1.756836E+01	2PT  
+6.300977E-01	+3.781383E-08	+1.763379E+01	2PT  
+6.401939E-01	+3.503714E-07	+1.770605E+01	2PT  
+6.501315E-01	+6.339024E-07	+1.778418E+01	2PT  
+6.602074E-01	+1.049995E-06	+1.784766E+01	2PT  
+6.701590E-01	+6.788213E-07	+1.803516E+01	2PT  
+6.801538E-01	+1.355498E-06	+1.806738E+01	2PT  
+6.902000E-01	+1.781253E-06	+1.814453E+01	2PT  
+7.001924E-01	+2.207488E-06	+1.822168E+01	2PT  
+7.101781E-01	+2.820323E-06	+1.828711E+01	2PT  
+7.198181E-01	+3.337828E-06	+1.836426E+01	2PT  
+7.301257E-01	+4.023554E-06	+1.843164E+01	2PT  
+7.401596E-01	+4.652866E-06	+1.850391E+01	2PT  
+7.501478E-01	+5.062248E-06	+1.859668E+01	2PT  
+7.601255E-01	+6.027960E-06	+1.865625E+01	2PT  
+7.701089E-01	+6.956893E-06	+1.872656E+01	2PT  
+7.800980E-01	+7.611867E-06	+1.880859E+01	2PT  
+7.898915E-01	+8.869472E-06	+1.887207E+01	2PT  
+8.000981E-01	+1.007392E-05	+1.894141E+01	2PT  
+8.089398E-01	+1.049983E-05	+1.901563E+01	2PT  
+8.200461E-01	+9.343834E-06	+1.922461E+01	2PT  
+8.300218E-01	+1.108294E-05	+1.928027E+01	2PT  
+8.400638E-01	+1.324849E-05	+1.933398E+01	2PT  
+8.500780E-01	+1.499329E-05	+1.940625E+01	2PT  
+8.600737E-01	+1.702857E-05	+1.947266E+01	2PT  
+8.700822E-01	+1.887100E-05	+1.954980E+01	2PT  
+8.800834E-01	+2.090478E-05	+1.962793E+01	2PT  
+8.901052E-01	+2.330743E-05	+1.970117E+01	2PT  
+9.001240E-01	+2.550370E-05	+1.978027E+01	2PT  
+9.101219E-01	+2.936369E-05	+1.983691E+01	2PT  
+9.197335E-01	+3.229634E-05	+1.991406E+01	2PT  
+9.301298E-01	+3.607040E-05	+1.998242E+01	2PT  
+9.401696E-01	+3.932341E-05	+2.006055E+01	2PT  
+9.501755E-01	+4.305104E-05	+2.013770E+01	2PT  
+9.601716E-01	+4.793248E-05	+2.020605E+01	2PT  
+9.701814E-01	+5.269530E-05	+2.027930E+01	2PT  
+9.801639E-01	+5.798203E-05	+2.035156E+01	2PT  
+9.901849E-01	+6.252083E-05	+2.043164E+01	2PT  
+9.999079E-01	+6.948823E-05	+2.050000E+01	2PT  
+1.010155E+00	+7.416908E-05	+2.058789E+01	2PT  
+1.020159E+00	+8.354743E-05	+2.064551E+01	2PT  
+1.030128E+00	+9.110457E-05	+2.071973E+01	2PT  
