[[DESCRIPTION]]
CPB_106_SE_500nm_1P_2700K_200_lux_VN

[[ANALYSIS]]
EFF      	0.00**	%
FF        	57.6**	%
Voc      	511.4**	mV
Jsc       	0.01**	mA/cm2
Vmax   	340.1	mV
Jmax    	0.01	mA/cm2
Isc        	1.2840E-6	A
Rsc       	3.0621E+5	Ohm
Roc      	87604	Ohm
A          	0.09	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-1.400078E+00	-1.537271E-02	+2.137695E+00	2PT  
-1.390083E+00	-1.661372E-02	+2.171875E+00	2PT  
-1.380104E+00	-1.846242E-02	+2.252930E+00	2PT  
-1.370090E+00	-1.955878E-02	+2.328125E+00	2PT  
-1.360107E+00	-2.029510E-02	+2.410156E+00	2PT  
-1.350120E+00	-2.062832E-02	+2.469727E+00	2PT  
-1.340140E+00	-2.095281E-02	+2.544922E+00	2PT  
-1.330118E+00	-2.108299E-02	+2.610352E+00	2PT  
-1.320141E+00	-2.122681E-02	+2.694336E+00	2PT  
-1.310163E+00	-2.124760E-02	+2.766602E+00	2PT  
-1.300181E+00	-2.114451E-02	+2.832031E+00	2PT  
-1.290193E+00	-2.105842E-02	+2.907227E+00	2PT  
-1.280554E+00	-2.090262E-02	+2.968750E+00	2PT  
-1.270198E+00	-2.077213E-02	+3.056641E+00	2PT  
-1.260215E+00	-2.057970E-02	+3.123047E+00	2PT  
-1.250223E+00	-2.036617E-02	+3.190430E+00	2PT  
-1.240225E+00	-2.015244E-02	+3.278320E+00	2PT  
-1.230190E+00	-1.990195E-02	+3.342773E+00	2PT  
-1.220179E+00	-1.964341E-02	+3.416992E+00	2PT  
-1.210181E+00	-1.939178E-02	+3.480469E+00	2PT  
-1.200178E+00	-1.909737E-02	+3.563477E+00	2PT  
-1.190176E+00	-1.881444E-02	+3.632813E+00	2PT  
-1.180151E+00	-1.852251E-02	+3.698242E+00	2PT  
-1.170142E+00	-1.822482E-02	+3.777344E+00	2PT  
-1.160137E+00	-1.792562E-02	+3.842773E+00	2PT  
-1.150145E+00	-1.761108E-02	+3.920898E+00	2PT  
-1.140132E+00	-1.729800E-02	+4.000000E+00	2PT  
-1.130094E+00	-1.698195E-02	+4.068359E+00	2PT  
-1.120478E+00	-1.665931E-02	+4.142578E+00	2PT  
-1.110093E+00	-1.633646E-02	+4.213867E+00	2PT  
-1.100108E+00	-1.600618E-02	+4.295898E+00	2PT  
-1.090124E+00	-1.567481E-02	+4.373047E+00	2PT  
-1.080104E+00	-1.534944E-02	+4.442383E+00	2PT  
-1.070123E+00	-1.501787E-02	+4.512695E+00	2PT  
-1.060133E+00	-1.468591E-02	+4.586914E+00	2PT  
-1.050154E+00	-1.437029E-02	+4.660156E+00	2PT  
-1.040180E+00	-1.403629E-02	+4.733398E+00	2PT  
-1.030156E+00	-1.368305E-02	+4.805664E+00	2PT  
-1.020180E+00	-1.333903E-02	+4.891602E+00	2PT  
-1.010191E+00	-1.301268E-02	+4.953125E+00	2PT  
-1.000209E+00	-1.267780E-02	+5.026367E+00	2PT  
-9.902249E-01	-1.234093E-02	+5.097656E+00	2PT  
-9.802060E-01	-1.200684E-02	+5.171875E+00	2PT  
-9.702148E-01	-1.168004E-02	+5.237305E+00	2PT  
-9.602123E-01	-1.133220E-02	+5.315430E+00	2PT  
-9.502108E-01	-1.100238E-02	+5.387695E+00	2PT  
-9.401718E-01	-1.066989E-02	+5.458984E+00	2PT  
-9.301661E-01	-1.033666E-02	+5.532227E+00	2PT  
-9.201600E-01	-1.001792E-02	+5.598633E+00	2PT  
-9.101809E-01	-9.604319E-03	+5.746094E+00	2PT  
-9.001803E-01	-9.327812E-03	+5.783203E+00	2PT  
-8.901453E-01	-9.010470E-03	+5.855469E+00	2PT  
-8.805350E-01	-8.690713E-03	+5.926758E+00	2PT  
-8.701405E-01	-8.359440E-03	+6.006836E+00	2PT  
-8.601332E-01	-8.059587E-03	+6.069336E+00	2PT  
-8.501320E-01	-7.727563E-03	+6.150391E+00	2PT  
-8.400878E-01	-7.426204E-03	+6.214844E+00	2PT  
-8.300847E-01	-7.112874E-03	+6.286133E+00	2PT  
-8.201072E-01	-6.793219E-03	+6.364258E+00	2PT  
-8.101180E-01	-6.499336E-03	+6.431641E+00	2PT  
-8.001375E-01	-6.173236E-03	+6.512695E+00	2PT  
-7.901165E-01	-5.877560E-03	+6.585938E+00	2PT  
-7.801306E-01	-5.598137E-03	+6.651367E+00	2PT  
-7.701483E-01	-5.295489E-03	+6.729492E+00	2PT  
-7.601663E-01	-5.025941E-03	+6.797852E+00	2PT  
-7.501891E-01	-4.723156E-03	+6.876953E+00	2PT  
-7.401673E-01	-4.452042E-03	+6.951172E+00	2PT  
-7.301872E-01	-4.199710E-03	+7.015625E+00	2PT  
-7.202018E-01	-3.917159E-03	+7.094727E+00	2PT  
-7.102203E-01	-3.680263E-03	+7.161133E+00	2PT  
-7.002328E-01	-3.400159E-03	+7.243164E+00	2PT  
-6.902086E-01	-3.167547E-03	+7.312500E+00	2PT  
-6.802052E-01	-2.920140E-03	+7.390625E+00	2PT  
-6.702064E-01	-2.685677E-03	+7.469727E+00	2PT  
-6.601903E-01	-2.467138E-03	+7.541016E+00	2PT  
-6.505390E-01	-2.270903E-03	+7.610352E+00	2PT  
-6.401450E-01	-2.073658E-03	+7.677734E+00	2PT  
-6.301433E-01	-1.870369E-03	+7.756836E+00	2PT  
-6.201438E-01	-1.707598E-03	+7.819336E+00	2PT  
-6.105165E-01	-1.530351E-03	+7.891602E+00	2PT  
-6.001444E-01	-1.354240E-03	+7.970703E+00	2PT  
-5.901086E-01	-1.217175E-03	+8.037109E+00	2PT  
-5.801041E-01	-1.059443E-03	+8.117188E+00	2PT  
-5.701158E-01	-8.723423E-04	+8.257813E+00	2PT  
-5.601113E-01	-7.965581E-04	+8.296875E+00	2PT  
-5.501056E-01	-7.000083E-04	+8.366211E+00	2PT  
-5.400766E-01	-6.023603E-04	+8.445313E+00	2PT  
-5.300896E-01	-5.101979E-04	+8.525391E+00	2PT  
-5.201150E-01	-4.410288E-04	+8.596680E+00	2PT  
-5.101320E-01	-3.756049E-04	+8.666992E+00	2PT  
-5.001009E-01	-3.112549E-04	+8.751953E+00	2PT  
-4.904970E-01	-2.689349E-04	+8.809570E+00	2PT  
-4.801456E-01	-2.168366E-04	+8.899414E+00	2PT  
-4.701546E-01	-1.878115E-04	+8.953125E+00	2PT  
-4.605310E-01	-1.537075E-04	+9.031250E+00	2PT  
-4.501557E-01	-1.284322E-04	+9.098633E+00	2PT  
-4.401688E-01	-1.038329E-04	+9.175781E+00	2PT  
-4.301951E-01	-7.548259E-05	+9.319336E+00	2PT  
-4.202092E-01	-6.586131E-05	+9.363281E+00	2PT  
-4.102132E-01	-5.522825E-05	+9.429688E+00	2PT  
-4.001760E-01	-4.561314E-05	+9.500977E+00	2PT  
-3.901698E-01	-3.743214E-05	+9.572266E+00	2PT  
-3.801723E-01	-3.032845E-05	+9.650391E+00	2PT  
-3.701579E-01	-2.542504E-05	+9.713867E+00	2PT  
-3.601549E-01	-2.073629E-05	+9.788086E+00	2PT  
-3.501098E-01	-1.690916E-05	+9.865234E+00	2PT  
