[[DESCRIPTION]]
CPB_106_SE_500nm_1P_2700K_200lux_led_pw_VN

[[ANALYSIS]]
EFF      	0.03**	%
FF        	29.9**	%
Voc      	175.6**	mV
Jsc       	0.01**	mA/cm2
Vmax   	80.2	mV
Jmax    	0.01	mA/cm2
Isc        	1.2544E-6	A
Rsc       	1.3452E+5	Ohm
Roc      	93965	Ohm
A          	0.09	cm2
Incd. Pwr	2.17	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-1.400080E+00	-1.801039E-02	+2.136719E+00	2PT  
-1.390087E+00	-1.955035E-02	+2.173828E+00	2PT  
-1.380103E+00	-2.184278E-02	+2.261719E+00	2PT  
-1.370087E+00	-2.275369E-02	+2.326172E+00	2PT  
-1.360102E+00	-2.346837E-02	+2.395508E+00	2PT  
-1.350126E+00	-2.394596E-02	+2.467773E+00	2PT  
-1.340142E+00	-2.428843E-02	+2.543945E+00	2PT  
-1.330123E+00	-2.446679E-02	+2.619141E+00	2PT  
-1.320483E+00	-2.454457E-02	+2.697266E+00	2PT  
-1.310167E+00	-2.452516E-02	+2.766602E+00	2PT  
-1.300185E+00	-2.445870E-02	+2.851563E+00	2PT  
-1.290195E+00	-2.429153E-02	+2.916016E+00	2PT  
-1.280180E+00	-2.412094E-02	+2.990234E+00	2PT  
-1.270197E+00	-2.391141E-02	+3.061523E+00	2PT  
-1.260598E+00	-2.367415E-02	+3.135742E+00	2PT  
-1.250226E+00	-2.341514E-02	+3.207031E+00	2PT  
-1.240216E+00	-2.313728E-02	+3.288086E+00	2PT  
-1.230196E+00	-2.283805E-02	+3.348633E+00	2PT  
-1.220189E+00	-2.252645E-02	+3.430664E+00	2PT  
-1.210183E+00	-2.220709E-02	+3.500977E+00	2PT  
-1.200180E+00	-2.187593E-02	+3.584961E+00	2PT  
-1.190178E+00	-2.153370E-02	+3.648438E+00	2PT  
-1.180144E+00	-2.119189E-02	+3.721680E+00	2PT  
-1.170143E+00	-2.084161E-02	+3.787109E+00	2PT  
-1.160473E+00	-2.048089E-02	+3.862305E+00	2PT  
-1.150140E+00	-2.012230E-02	+3.929688E+00	2PT  
-1.140139E+00	-1.974738E-02	+4.002930E+00	2PT  
-1.130100E+00	-1.937194E-02	+4.083984E+00	2PT  
-1.120098E+00	-1.899413E-02	+4.155273E+00	2PT  
-1.110093E+00	-1.861922E-02	+4.230469E+00	2PT  
-1.100110E+00	-1.824951E-02	+4.295898E+00	2PT  
-1.090126E+00	-1.785864E-02	+4.375977E+00	2PT  
-1.080110E+00	-1.747923E-02	+4.446289E+00	2PT  
-1.070123E+00	-1.708535E-02	+4.526367E+00	2PT  
-1.060140E+00	-1.671445E-02	+4.590820E+00	2PT  
-1.050490E+00	-1.632505E-02	+4.666016E+00	2PT  
-1.039904E+00	-1.594220E-02	+4.733398E+00	2PT  
-1.030159E+00	-1.553800E-02	+4.813477E+00	2PT  
-1.020179E+00	-1.515111E-02	+4.892578E+00	2PT  
-1.010194E+00	-1.475828E-02	+4.965820E+00	2PT  
-1.000205E+00	-1.437588E-02	+5.039063E+00	2PT  
-9.902226E-01	-1.400029E-02	+5.100586E+00	2PT  
-9.801977E-01	-1.358154E-02	+5.194336E+00	2PT  
-9.702187E-01	-1.321565E-02	+5.251953E+00	2PT  
-9.602109E-01	-1.282633E-02	+5.326172E+00	2PT  
-9.502207E-01	-1.245741E-02	+5.389648E+00	2PT  
-9.405160E-01	-1.204215E-02	+5.482422E+00	2PT  
-9.301705E-01	-1.168085E-02	+5.541992E+00	2PT  
-9.201681E-01	-1.128660E-02	+5.621094E+00	2PT  
-9.101629E-01	-1.092558E-02	+5.684570E+00	2PT  
-9.001628E-01	-1.054465E-02	+5.759766E+00	2PT  
-8.898879E-01	-1.017846E-02	+5.827148E+00	2PT  
-8.801450E-01	-9.708494E-03	+5.973633E+00	2PT  
-8.701426E-01	-9.415667E-03	+6.005859E+00	2PT  
-8.601321E-01	-9.055009E-03	+6.078125E+00	2PT  
-8.501335E-01	-8.681722E-03	+6.157227E+00	2PT  
-8.400918E-01	-8.337168E-03	+6.222656E+00	2PT  
-8.300902E-01	-7.952891E-03	+6.301758E+00	2PT  
-8.201061E-01	-7.602213E-03	+6.375977E+00	2PT  
-8.101232E-01	-7.275163E-03	+6.440430E+00	2PT  
-8.001389E-01	-6.906949E-03	+6.521484E+00	2PT  
-7.901188E-01	-6.563867E-03	+6.592773E+00	2PT  
-7.801364E-01	-6.235930E-03	+6.666016E+00	2PT  
-7.701588E-01	-5.925636E-03	+6.730469E+00	2PT  
-7.601786E-01	-5.582015E-03	+6.809570E+00	2PT  
-7.501848E-01	-5.283545E-03	+6.874023E+00	2PT  
-7.405413E-01	-4.954691E-03	+6.948242E+00	2PT  
-7.301847E-01	-4.634751E-03	+7.027344E+00	2PT  
-7.202023E-01	-4.347035E-03	+7.094727E+00	2PT  
-7.102162E-01	-4.013663E-03	+7.188477E+00	2PT  
-7.002245E-01	-3.761721E-03	+7.246094E+00	2PT  
-6.902111E-01	-3.484860E-03	+7.318359E+00	2PT  
-6.802080E-01	-3.224736E-03	+7.386719E+00	2PT  
-6.702026E-01	-2.951994E-03	+7.465820E+00	2PT  
-6.605641E-01	-2.703553E-03	+7.540039E+00	2PT  
-6.501865E-01	-2.443019E-03	+7.625000E+00	2PT  
-6.401536E-01	-2.236762E-03	+7.688477E+00	2PT  
-6.301420E-01	-2.019199E-03	+7.761719E+00	2PT  
-6.201486E-01	-1.823061E-03	+7.830078E+00	2PT  
-6.101486E-01	-1.607473E-03	+7.916992E+00	2PT  
-6.001469E-01	-1.452156E-03	+7.974609E+00	2PT  
-5.901030E-01	-1.266125E-03	+8.059570E+00	2PT  
-5.800956E-01	-1.114792E-03	+8.127930E+00	2PT  
-5.701096E-01	-9.105710E-04	+8.268555E+00	2PT  
-5.601149E-01	-8.203158E-04	+8.313477E+00	2PT  
-5.501069E-01	-7.264768E-04	+8.375000E+00	2PT  
-5.400891E-01	-6.199864E-04	+8.453125E+00	2PT  
-5.299709E-01	-5.369048E-04	+8.519531E+00	2PT  
-5.201151E-01	-4.419462E-04	+8.605469E+00	2PT  
-5.101240E-01	-3.763123E-04	+8.674805E+00	2PT  
-5.001072E-01	-3.208584E-04	+8.739258E+00	2PT  
-4.901164E-01	-2.645958E-04	+8.817383E+00	2PT  
-4.801442E-01	-2.243130E-04	+8.881836E+00	2PT  
-4.701620E-01	-1.841794E-04	+8.955078E+00	2PT  
-4.601727E-01	-1.499341E-04	+9.033203E+00	2PT  
-4.501525E-01	-1.224876E-04	+9.107422E+00	2PT  
-4.401642E-01	-1.003371E-04	+9.180664E+00	2PT  
-4.301932E-01	-7.249100E-05	+9.326172E+00	2PT  
-4.202036E-01	-6.285362E-05	+9.373047E+00	2PT  
-4.102170E-01	-5.245855E-05	+9.444336E+00	2PT  
-4.001729E-01	-4.299980E-05	+9.519531E+00	2PT  
-3.901690E-01	-3.531792E-05	+9.599609E+00	2PT  
-3.801629E-01	-3.023876E-05	+9.659180E+00	2PT  
-3.705181E-01	-2.450536E-05	+9.748047E+00	2PT  
-3.601592E-01	-2.105875E-05	+9.802734E+00	2PT  
-3.501144E-01	-1.730039E-05	+9.886719E+00	2PT  
-3.401154E-01	-1.490964E-05	+9.947266E+00	2PT  
-3.301168E-01	-1.257575E-05	+1.002539E+01	2PT  
-3.200223E-01	-1.086101E-05	+1.009277E+01	2PT  
-3.101269E-01	-8.723045E-06	+1.024023E+01	2PT  
-3.001000E-01	-7.919990E-06	+1.028223E+01	2PT  
-2.901071E-01	-7.044571E-06	+1.035449E+01	2PT  
-2.800844E-01	-6.406021E-06	+1.042480E+01	2PT  
-2.700531E-01	-5.785391E-06	+1.049805E+01	2PT  
-2.600751E-01	-5.287803E-06	+1.056543E+01	2PT  
-2.500424E-01	-4.828379E-06	+1.064355E+01	2PT  
-2.400913E-01	-4.481372E-06	+1.072266E+01	2PT  
-2.304255E-01	-4.106047E-06	+1.078613E+01	2PT  
-2.201006E-01	-3.887586E-06	+1.087207E+01	2PT  
-2.101290E-01	-3.638137E-06	+1.093457E+01	2PT  
-2.001362E-01	-3.389677E-06	+1.100781E+01	2PT  
-1.901079E-01	-3.171010E-06	+1.109082E+01	2PT  
-1.801383E-01	-3.039633E-06	+1.115430E+01	2PT  
-1.701425E-01	-2.915340E-06	+1.123047E+01	2PT  
-1.601727E-01	-2.816308E-06	+1.130664E+01	2PT  
-1.501417E-01	-2.653560E-06	+1.136621E+01	2PT  
-1.401768E-01	-2.583540E-06	+1.144629E+01	2PT  
-1.301735E-01	-2.441014E-06	+1.151172E+01	2PT  
-1.201640E-01	-2.342014E-06	+1.158301E+01	2PT  
-1.101692E-01	-2.269272E-06	+1.166113E+01	2PT  
-1.001235E-01	-2.169514E-06	+1.172754E+01	2PT  
-9.013536E-02	-2.045748E-06	+1.180176E+01	2PT  
-8.011870E-02	-2.026084E-06	+1.188086E+01	2PT  
-7.011443E-02	-1.847206E-06	+1.195117E+01	2PT  
-6.008628E-02	-1.805274E-06	+1.203125E+01	2PT  
-5.005997E-02	-1.684376E-06	+1.209180E+01	2PT  
-4.008358E-02	-1.588038E-06	+1.216992E+01	2PT  
-3.007392E-02	-1.481269E-06	+1.223730E+01	2PT  
-2.007354E-02	-1.436795E-06	+1.232031E+01	2PT  
-1.003394E-02	-1.328443E-06	+1.239062E+01	2PT  
-3.846256E-05	-1.254738E-06	+1.245508E+01	2PT  
+9.690235E-03	-1.181864E-06	+1.253125E+01	2PT  
+1.970725E-02	-1.083945E-06	+1.259863E+01	2PT  
+3.009925E-02	-1.052112E-06	+1.267480E+01	2PT  
+4.012320E-02	-1.121790E-06	+1.289160E+01	2PT  
+5.010906E-02	-1.133750E-06	+1.307129E+01	2PT  
+6.013190E-02	-1.005390E-06	+1.317871E+01	2PT  
+7.006504E-02	-8.919304E-07	+1.322070E+01	2PT  
+8.019722E-02	-8.215942E-07	+1.328223E+01	2PT  
+9.018032E-02	-7.203501E-07	+1.335742E+01	2PT  
+1.002150E-01	-6.260392E-07	+1.343359E+01	2PT  
+1.100979E-01	-5.440144E-07	+1.349805E+01	2PT  
+1.200525E-01	-4.708305E-07	+1.357715E+01	2PT  
+1.301332E-01	-4.270489E-07	+1.364941E+01	2PT  
+1.401919E-01	-2.756895E-07	+1.372070E+01	2PT  
+1.500780E-01	-2.255038E-07	+1.379687E+01	2PT  
+1.600728E-01	-1.573857E-07	+1.387207E+01	2PT  
+1.700791E-01	-6.160638E-08	+1.394824E+01	2PT  
+1.800995E-01	+4.952097E-08	+1.401660E+01	2PT  
+1.901489E-01	+1.444481E-07	+1.408984E+01	2PT  
+2.000899E-01	+2.283112E-07	+1.416211E+01	2PT  
+2.101667E-01	+3.441090E-07	+1.424219E+01	2PT  
+2.201112E-01	+4.063550E-07	+1.431055E+01	2PT  
+2.299508E-01	+5.323188E-07	+1.438965E+01	2PT  
+2.402162E-01	+5.505152E-07	+1.445215E+01	2PT  
+2.500360E-01	+7.237873E-07	+1.453711E+01	2PT  
+2.602907E-01	+9.360380E-07	+1.459863E+01	2PT  
+2.701140E-01	+9.804866E-07	+1.468359E+01	2PT  
+2.800807E-01	+1.162171E-06	+1.485840E+01	2PT  
+2.901074E-01	+1.256820E-06	+1.490039E+01	2PT  
+3.000789E-01	+1.449064E-06	+1.496289E+01	2PT  
+3.097075E-01	+1.536151E-06	+1.503809E+01	2PT  
+3.200499E-01	+1.906355E-06	+1.511621E+01	2PT  
+3.300363E-01	+1.990101E-06	+1.519043E+01	2PT  
+3.400972E-01	+2.090773E-06	+1.526074E+01	2PT  
+3.501334E-01	+2.205129E-06	+1.533301E+01	2PT  
+3.601513E-01	+2.682418E-06	+1.541113E+01	2PT  
+3.701610E-01	+2.802881E-06	+1.547559E+01	2PT  
+3.801122E-01	+2.964285E-06	+1.555469E+01	2PT  
+3.901669E-01	+2.963639E-06	+1.563379E+01	2PT  
+4.001992E-01	+3.232077E-06	+1.569531E+01	2PT  
+4.102535E-01	+3.817544E-06	+1.578516E+01	2PT  
+4.198513E-01	+4.117479E-06	+1.584375E+01	2PT  
+4.301528E-01	+4.278728E-06	+1.592383E+01	2PT  
+4.401898E-01	+4.620324E-06	+1.599902E+01	2PT  
+4.501463E-01	+4.637404E-06	+1.606836E+01	2PT  
+4.601497E-01	+5.761266E-06	+1.613281E+01	2PT  
+4.701139E-01	+5.699046E-06	+1.621191E+01	2PT  
+4.800963E-01	+5.811119E-06	+1.627637E+01	2PT  
+4.901378E-01	+5.671761E-06	+1.634961E+01	2PT  
