[[DESCRIPTION]]
CPB_SE5_10_1P_A1.5G_Sun

[[ANALYSIS]]
EFF      	3.14	%
FF        	49.5	%
Voc      	1263.0	mV
Jsc       	5.01	mA/cm2
Vmax   	850.1	mV
Jmax    	3.69	mA/cm2
Isc        	0.000446	A
Rsc       	28318	Ohm
Roc      	385.4	Ohm
A          	0.089	cm2
Incd. Pwr	100	mW/cm2

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-2.001085E-01	-4.544305E-04	+2.233594E+01	2PT  
-1.901257E-01	-4.538466E-04	+2.221484E+01	2PT  
-1.801489E-01	-4.535580E-04	+2.208789E+01	2PT  
-1.701536E-01	-4.530791E-04	+2.196582E+01	2PT  
-1.601796E-01	-4.527905E-04	+2.184082E+01	2PT  
-1.501503E-01	-4.524129E-04	+2.171875E+01	2PT  
-1.401741E-01	-4.521587E-04	+2.159473E+01	2PT  
-1.301709E-01	-4.514954E-04	+2.147070E+01	2PT  
-1.201772E-01	-4.509507E-04	+2.134766E+01	2PT  
-1.101716E-01	-4.505305E-04	+2.122559E+01	2PT  
-1.001367E-01	-4.507256E-04	+2.109863E+01	2PT  
-9.013067E-02	-4.501773E-04	+2.097461E+01	2PT  
-8.011978E-02	-4.496496E-04	+2.085156E+01	2PT  
-7.012597E-02	-4.493569E-04	+2.072754E+01	2PT  
-6.008924E-02	-4.489670E-04	+2.060449E+01	2PT  
-5.008465E-02	-4.485691E-04	+2.048047E+01	2PT  
-4.009101E-02	-4.481925E-04	+2.035742E+01	2PT  
-3.007923E-02	-4.477077E-04	+2.023340E+01	2PT  
-2.007144E-02	-4.471099E-04	+2.010937E+01	2PT  
-1.004699E-02	-4.465472E-04	+1.998730E+01	2PT  
+8.068938E-05	-4.463006E-04	+1.986328E+01	2PT  
+1.008164E-02	-4.458350E-04	+1.974023E+01	2PT  
+2.007920E-02	-4.451526E-04	+1.961621E+01	2PT  
+3.008763E-02	-4.448629E-04	+1.949219E+01	2PT  
+4.012193E-02	-4.446098E-04	+1.936523E+01	2PT  
+5.012766E-02	-4.439748E-04	+1.924316E+01	2PT  
+6.013119E-02	-4.433931E-04	+1.911816E+01	2PT  
+7.012386E-02	-4.428735E-04	+1.899609E+01	2PT  
